Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; With a mortgage:,Margin of Error; With a mortgage:,Estimate; With a mortgage: - Less than 2.0,Margin of Error; With a mortgage: - Less than 2.0,Estimate; With a mortgage: - 2.0 to 2.9,Margin of Error; With a mortgage: - 2.0 to 2.9,Estimate; With a mortgage: - 3.0 to 3.9,Margin of Error; With a mortgage: - 3.0 to 3.9,Estimate; With a mortgage: - 4.0 or more,Margin of Error; With a mortgage: - 4.0 or more,Estimate; With a mortgage: - Not computed,Margin of Error; With a mortgage: - Not computed,Estimate; Not mortgaged:,Margin of Error; Not mortgaged:,Estimate; Not mortgaged: - Less than 2.0,Margin of Error; Not mortgaged: - Less than 2.0,Estimate; Not mortgaged: - 2.0 to 2.9,Margin of Error; Not mortgaged: - 2.0 to 2.9,Estimate; Not mortgaged: - 3.0 to 3.9,Margin of Error; Not mortgaged: - 3.0 to 3.9,Estimate; Not mortgaged: - 4.0 or more,Margin of Error; Not mortgaged: - 4.0 or more,Estimate; Not mortgaged: - Not computed,Margin of Error; Not mortgaged: - Not computed
0500000US06083,6083,"Santa Barbara County, California",2005,79553,2759,56337,2735,1854,520,2085,645,3768,983,48473,2699,157,177,23216,1692,2276,570,1709,586,1482,445,17625,1532,124,105
0500000US06085,6085,"Santa Clara County, California",2005,349388,7404,269769,7539,15785,2000,14082,2234,30908,2714,207660,7034,1334,635,79619,3588,6939,1180,4016,858,4495,911,63375,3410,794,446
0500000US06087,6087,"Santa Cruz County, California",2005,55676,2686,40302,2662,1179,402,1432,606,4593,1162,32959,2236,139,228,15374,1558,1282,471,704,319,1200,501,11807,1466,381,240
0500000US06089,6089,"Shasta County, California",2005,44986,1865,30074,1970,2704,724,5412,1122,5363,962,16538,1570,57,95,14912,1367,2765,749,1623,598,1935,639,8474,960,115,141
0500000US06095,6095,"Solano County, California",2005,90074,2954,73478,2885,2506,671,4273,1138,10490,1720,55880,3215,329,256,16596,1704,1256,412,729,356,1160,428,13283,1594,168,162
0500000US06097,6097,"Sonoma County, California",2005,113484,3889,84766,3400,2543,703,4274,872,5954,1027,71664,3114,331,326,28718,2388,2875,716,1740,603,1426,535,22276,2049,401,298
0500000US06099,6099,"Stanislaus County, California",2005,100836,3462,76698,3154,2999,838,8582,1246,12456,1807,52661,2687,0,293,24138,1818,3434,792,2691,961,2062,919,15843,1545,108,110
0500000US06101,6101,"Sutter County, California",2005,19429,1224,13638,1138,1228,546,2264,555,2501,766,7580,996,65,109,5791,901,958,394,734,322,488,243,3577,646,34,54
0500000US06107,6107,"Tulare County, California",2005,71243,2497,51118,2458,9211,1262,9638,1213,9378,1333,22665,1804,226,261,20125,1598,4299,810,2061,530,2643,671,10801,1043,321,362
0500000US06111,6111,"Ventura County, California",2005,174154,4423,138637,4436,4206,856,7001,1451,13299,1810,113929,4254,202,227,35517,2251,2439,650,1498,530,1672,574,29660,2138,248,325
