Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; With a mortgage:,Margin of Error; With a mortgage:,Estimate; With a mortgage: - Less than 2.0,Margin of Error; With a mortgage: - Less than 2.0,Estimate; With a mortgage: - 2.0 to 2.9,Margin of Error; With a mortgage: - 2.0 to 2.9,Estimate; With a mortgage: - 3.0 to 3.9,Margin of Error; With a mortgage: - 3.0 to 3.9,Estimate; With a mortgage: - 4.0 or more,Margin of Error; With a mortgage: - 4.0 or more,Estimate; With a mortgage: - Not computed,Margin of Error; With a mortgage: - Not computed,Estimate; Not mortgaged:,Margin of Error; Not mortgaged:,Estimate; Not mortgaged: - Less than 2.0,Margin of Error; Not mortgaged: - Less than 2.0,Estimate; Not mortgaged: - 2.0 to 2.9,Margin of Error; Not mortgaged: - 2.0 to 2.9,Estimate; Not mortgaged: - 3.0 to 3.9,Margin of Error; Not mortgaged: - 3.0 to 3.9,Estimate; Not mortgaged: - 4.0 or more,Margin of Error; Not mortgaged: - 4.0 or more,Estimate; Not mortgaged: - Not computed,Margin of Error; Not mortgaged: - Not computed
0500000US06107,6107,"Tulare County, California",2007,72453,2619,52800,2707,5683,1219,9099,1261,9549,1311,28287,2571,182,242,19653,1519,3908,834,3004,859,1151,353,11414,1094,176,151
0500000US06111,6111,"Ventura County, California",2007,173223,3236,136390,3578,4109,1028,6632,1092,14763,1739,110613,4022,273,171,36833,2288,2281,636,1813,609,1869,577,30359,2219,511,302
0500000US06113,6113,"Yolo County, California",2007,37899,1790,28580,1600,1300,596,2734,829,5293,1086,19253,1388,0,292,9319,1190,1521,591,739,415,467,284,6592,1073,0,292
0500000US06115,6115,"Yuba County, California",2007,13169,1391,9762,1250,920,649,1484,624,2898,946,4460,870,0,292,3407,767,1181,458,452,261,365,248,1409,466,0,292
0500000US06001,6001,"Alameda County, California",2008,289188,6710,226724,5625,9432,1386,21433,2155,38429,2633,156495,5034,935,539,62464,3248,6173,1086,3083,809,5339,1051,47658,2813,211,176
0500000US06007,6007,"Butte County, California",2008,49878,2206,32434,2024,2883,703,5504,1117,7104,1375,16839,1843,104,126,17444,1815,4285,933,1584,586,2180,718,9267,1330,128,148
0500000US06013,6013,"Contra Costa County, California",2008,253573,4209,198375,4449,11805,1650,25915,2512,32328,2923,126901,4358,1426,664,55198,2946,7706,1445,4169,886,4696,927,38229,2433,398,351
0500000US06017,6017,"El Dorado County, California",2008,46505,1804,34175,1929,2226,786,3624,1021,7124,1294,21201,2033,0,294,12330,1446,1478,661,1158,483,1335,446,8319,1247,40,66
0500000US06019,6019,"Fresno County, California",2008,149799,4811,113955,3754,17344,2479,24617,2021,21588,2168,49661,3471,745,507,35844,2892,8255,1190,5880,1173,3366,674,17831,1708,512,433
0500000US06023,6023,"Humboldt County, California",2008,28623,1831,18574,1820,1272,592,2249,731,2859,692,12102,1676,92,115,10049,1118,1746,623,561,281,948,459,6658,989,136,123
0500000US06025,6025,"Imperial County, California",2008,25739,1837,16553,1967,2584,787,4141,1128,3492,884,6281,1260,55,94,9186,1262,3248,824,600,248,744,345,4428,967,166,236
0500000US06029,6029,"Kern County, California",2008,145468,4122,108875,3883,20788,1985,29401,2519,17310,1974,41054,2787,322,224,36593,2435,9178,1555,6133,1224,4427,1106,16625,1771,230,228
0500000US06031,6031,"Kings County, California",2008,22409,1676,16612,1820,2633,843,4689,1109,2615,714,6575,1217,100,161,5797,1084,1455,467,885,436,506,261,2882,736,69,120
0500000US06033,6033,"Lake County, California",2008,15574,1835,9981,1466,1825,682,1615,853,1580,677,4838,1001,123,195,5593,1159,881,459,784,429,617,327,3311,957,0,294
0500000US06037,6037,"Los Angeles County, California",2008,1528562,13153,1178111,13787,61582,3745,115854,6863,170866,5940,823309,11448,6500,1340,350451,8218,36311,2587,21116,1796,28376,2382,261039,7332,3609,914
0500000US06039,6039,"Madera County, California",2008,24974,1866,18166,2005,2512,828,3226,761,3441,1101,8871,1565,116,147,6808,1002,1581,518,583,405,676,300,3917,843,51,87
0500000US06041,6041,"Marin County, California",2008,66339,2622,50025,2776,1977,776,3298,735,4963,1222,39484,2564,303,298,16314,1881,1160,560,272,258,677,372,14033,1724,172,208
0500000US06045,6045,"Mendocino County, California",2008,21170,1695,11401,1449,650,312,1189,562,1527,546,7945,1181,90,141,9769,1281,1760,726,359,204,795,387,6791,1279,64,103
0500000US06047,6047,"Merced County, California",2008,38502,2103,27964,1924,3940,926,6799,1161,4671,992,12425,1605,129,163,10538,1166,2809,585,1133,408,1095,490,5374,834,127,153
0500000US06053,6053,"Monterey County, California",2008,65439,2763,47326,2750,3155,867,4286,899,6651,1171,33159,2716,75,110,18113,1786,2568,793,1084,442,715,373,13469,1485,277,215
0500000US06055,6055,"Napa County, California",2008,30047,1952,20740,1954,942,440,1544,556,3060,665,15135,1813,59,182,9307,1180,1645,596,699,404,406,335,6385,1081,172,172
0500000US06057,6057,"Nevada County, California",2008,29176,1783,18889,1542,674,438,1364,555,2548,813,13990,1544,313,265,10287,1236,1319,555,813,397,497,330,7546,1157,112,137
0500000US06059,6059,"Orange County, California",2008,592946,6891,462290,7294,22581,1880,43482,3197,64791,4056,329113,5796,2323,805,130656,5043,15924,1728,8698,1227,8412,1143,95953,4136,1669,809
0500000US06061,6061,"Placer County, California",2008,93935,2467,70780,2858,5487,1001,13704,1990,14617,1814,36686,2655,286,240,23155,1841,2202,585,1785,650,2142,657,16695,1539,331,366
0500000US06065,6065,"Riverside County, California",2008,438193,7265,335984,7413,35832,2769,60057,4593,66163,3817,171504,6289,2428,859,102209,3668,24222,2308,10701,1458,9323,1574,56208,3178,1755,488
0500000US06067,6067,"Sacramento County, California",2008,297912,5728,235253,5136,27571,2415,52503,3286,53485,3646,101091,4255,603,295,62659,3101,11369,1532,6793,1236,7447,1033,36881,2292,169,160
0500000US06071,6071,"San Bernardino County, California",2008,365279,6911,288220,6704,31776,3146,50400,3493,52152,4322,151875,6070,2017,766,77059,3596,17563,2154,8335,1395,8072,1280,42148,2953,941,437
0500000US06073,6073,"San Diego County, California",2008,585307,7571,451087,7543,26983,2710,53415,3401,79756,4216,288788,7151,2145,713,134220,5093,17115,1759,8623,1224,11584,1611,94788,4523,2110,851
0500000US06075,6075,"San Francisco County, California",2008,127625,4686,95909,4044,4361,977,7502,1381,13290,1902,70343,4021,413,305,31716,2598,1136,499,1522,489,1703,598,27011,2495,344,226
0500000US06077,6077,"San Joaquin County, California",2008,121162,4667,93087,3485,12205,1710,20073,2390,18279,2132,42142,3058,388,277,28075,3866,5807,1176,3002,845,3382,937,15423,2414,461,323
0500000US06079,6079,"San Luis Obispo County, California",2008,63686,2700,44833,2605,1617,457,3309,834,6431,1273,33255,2149,221,217,18853,1668,1378,610,1193,547,1775,676,14507,1550,0,294
0500000US06081,6081,"San Mateo County, California",2008,154221,4114,114888,3808,4861,982,6825,1081,12276,1489,90461,4095,465,346,39333,2557,2445,565,1536,538,1939,622,33044,2456,369,327
0500000US06083,6083,"Santa Barbara County, California",2008,75128,2751,53505,2648,2902,649,6419,1171,6765,1261,37362,2326,57,95,21623,1857,1867,533,1125,570,1858,698,16634,1609,139,138
0500000US06085,6085,"Santa Clara County, California",2008,355181,6145,274843,6206,13113,1623,21290,2326,36946,2647,202188,5474,1306,620,80338,4087,8868,1124,5020,1062,4300,981,61473,3508,677,459
0500000US06087,6087,"Santa Cruz County, California",2008,55999,1812,41907,2115,1803,570,2323,690,4418,1007,32942,2054,421,280,14092,1391,1241,486,743,353,833,375,11111,1298,164,203
0500000US06089,6089,"Shasta County, California",2008,45629,2248,29867,1937,2472,671,4813,1007,6185,1246,15821,1774,576,523,15762,1274,2473,723,1516,525,1934,527,9682,1249,157,160
0500000US06095,6095,"Solano County, California",2008,86980,2938,69311,2685,5734,1077,15131,2174,14367,1716,33864,2663,215,177,17669,1519,2751,749,1298,437,1644,541,11976,1288,0,294
0500000US06097,6097,"Sonoma County, California",2008,115000,2667,85015,2918,4490,1036,8816,1621,12784,1649,58463,3033,462,437,29985,1958,4136,861,2208,684,1816,692,21699,1753,126,147
0500000US06099,6099,"Stanislaus County, California",2008,100049,3247,75225,3015,11507,1734,15671,1807,14917,1967,32741,2285,389,308,24824,1985,6285,1126,2628,553,2724,672,13032,1393,155,152
0500000US06101,6101,"Sutter County, California",2008,18696,1304,14094,1236,2234,670,3676,857,2432,644,5752,981,0,294,4602,735,1034,428,796,428,511,260,2099,506,162,178
0500000US06107,6107,"Tulare County, California",2008,73086,2860,53336,3079,8692,1455,12777,1587,9938,1466,21399,2078,530,427,19750,1567,4922,1017,2606,688,2381,848,9782,1301,59,101
0500000US06111,6111,"Ventura County, California",2008,170236,4023,134492,4012,7931,1411,12793,1848,23080,2167,90263,4084,425,243,35744,1965,3337,741,3206,749,2911,770,25762,1878,528,384
0500000US06113,6113,"Yolo County, California",2008,36711,2253,27506,2021,2231,691,4762,990,5093,976,15420,1882,0,294,9205,1319,2377,830,622,337,675,314,5531,1070,0,294
0500000US06115,6115,"Yuba County, California",2008,14673,1368,11137,1459,1669,645,3503,1105,1901,634,4064,1005,0,294,3536,758,1103,456,511,364,417,267,1505,479,0,294
0500000US06001,6001,"Alameda County, California",2009,280221,4710,218017,4452,15799,1871,35471,3058,40906,3054,125230,4266,611,281,62204,2812,5722,910,5157,1030,5680,994,45030,2677,615,482
0500000US06007,6007,"Butte County, California",2009,51838,2164,33434,2418,4744,977,6108,1071,6902,1221,15546,1698,134,152,18404,1926,5262,1191,1741,515,1566,558,9647,1196,188,191
0500000US06013,6013,"Contra Costa County, California",2009,247333,4879,192553,4331,24943,2410,37405,2635,35536,2757,94324,3885,345,217,54780,2619,6966,1122,5343,1215,6244,1062,36050,2267,177,164
0500000US06017,6017,"El Dorado County, California",2009,51393,2223,38395,2457,3981,1109,7060,1339,6989,1312,20326,2051,39,66,12998,1515,1971,780,1611,701,1146,484,8202,1205,68,116
0500000US06019,6019,"Fresno County, California",2009,152504,3738,113831,3713,25577,1966,29948,2286,21651,2197,36350,2779,305,226,38673,2831,9247,1374,6609,1297,3639,854,19001,2095,177,154
0500000US06023,6023,"Humboldt County, California",2009,29092,1375,17437,1246,992,413,2198,859,3484,922,10455,1235,308,244,11655,1168,2317,686,817,350,877,419,7589,1105,55,93
0500000US06025,6025,"Imperial County, California",2009,28596,1824,19459,1714,6739,1298,5663,1147,2932,799,4125,795,0,294,9137,1065,3169,735,878,421,1284,541,3616,880,190,206
0500000US06029,6029,"Kern County, California",2009,145330,4194,108854,3815,35296,2492,26607,2145,16466,2164,29962,2527,523,448,36476,2327,13542,1824,5513,1085,3679,700,13498,1719,244,187
0500000US06031,6031,"Kings County, California",2009,19582,1515,14752,1799,2449,704,3893,1050,3093,840,5280,1092,37,64,4830,813,1255,410,804,308,744,376,2012,669,15,37
0500000US06033,6033,"Lake County, California",2009,17747,1681,11323,1714,1968,720,3059,913,1718,741,4268,1190,310,411,6424,1259,1308,499,301,358,599,394,3954,1076,262,230
0500000US06037,6037,"Los Angeles County, California",2009,1514362,13749,1175417,13096,96681,4971,166793,6713,190866,5854,713959,10822,7118,1273,338945,7612,40502,3094,25373,2389,27670,2507,240809,6212,4591,984
0500000US06039,6039,"Madera County, California",2009,27746,1856,19812,1656,3805,853,4382,1123,4097,1070,7173,1366,355,298,7934,1122,2055,674,1148,515,850,425,3881,813,0,294
0500000US06041,6041,"Marin County, California",2009,63046,2716,45528,2528,1878,536,3594,856,7332,1214,32292,2317,432,431,17518,1844,1462,578,590,335,1446,742,13848,1624,172,274
0500000US06045,6045,"Mendocino County, California",2009,21021,1480,12144,1284,874,448,1375,512,2104,741,7679,1239,112,161,8877,1098,1255,485,640,358,515,254,6414,1063,53,91
0500000US06047,6047,"Merced County, California",2009,39947,2316,28925,2019,10332,1186,6954,1186,3505,824,8019,1457,115,144,11022,1284,4066,1038,1346,515,1249,577,4361,842,0,294
0500000US06053,6053,"Monterey County, California",2009,64565,2566,47723,2672,5759,1236,8541,1447,7576,1329,25452,2165,395,432,16842,1708,2268,734,1398,483,1353,547,11777,1535,46,67
0500000US06055,6055,"Napa County, California",2009,31298,1867,21686,1875,2189,834,3645,939,3750,886,11977,1626,125,140,9612,1248,2087,523,1029,472,751,375,5745,1085,0,294
0500000US06057,6057,"Nevada County, California",2009,30320,1892,20909,1897,2827,918,1920,617,2301,777,13800,1753,61,85,9411,1243,1078,494,832,408,606,311,6690,1057,205,326
0500000US06059,6059,"Orange County, California",2009,586937,7024,445966,7693,31568,2149,56160,3524,76987,3913,278974,7569,2277,797,140971,5213,16885,1681,12131,1433,12859,1705,97367,4220,1729,600
0500000US06061,6061,"Placer County, California",2009,90529,2281,68275,2725,7147,1117,16240,2111,12363,1404,32129,2101,396,392,22254,1755,3069,650,2831,828,2362,701,13806,1501,186,179
0500000US06065,6065,"Riverside County, California",2009,440246,6338,330966,6996,68587,3573,80663,4294,60379,3527,119166,4481,2171,780,109280,3435,29770,2386,12726,1577,11324,1543,54180,3182,1280,474
0500000US06067,6067,"Sacramento County, California",2009,292581,5267,224531,5432,43819,3230,60118,4172,40115,2951,79293,4136,1186,704,68050,2906,13428,1273,9392,1171,10002,1340,35022,2588,206,193
0500000US06071,6071,"San Bernardino County, California",2009,377587,6460,296549,6117,63786,3805,69692,4043,53712,3993,107720,4900,1639,662,81038,3703,22860,2056,9921,1467,9117,1507,38008,3290,1132,518
0500000US06073,6073,"San Diego County, California",2009,578787,7201,443139,7620,38699,2698,73059,3680,80901,4486,247453,6121,3027,991,135648,4409,19792,1762,12209,1466,11729,1422,90315,3739,1603,502
0500000US06075,6075,"San Francisco County, California",2009,122182,4247,87651,3799,3831,934,9552,1732,11256,1787,62778,3950,234,173,34531,2724,1920,622,1656,731,1946,643,28399,2626,610,391
0500000US06077,6077,"San Joaquin County, California",2009,126980,5361,97311,4553,25716,2428,26157,2976,15825,1792,29084,2532,529,451,29669,2233,8861,1433,3497,741,3433,920,13743,1673,135,136
0500000US06079,6079,"San Luis Obispo County, California",2009,63780,2394,43996,2461,2505,824,5624,1273,5854,1233,29852,2138,161,184,19784,1662,2183,691,1298,459,1023,484,14990,1498,290,242
0500000US06081,6081,"San Mateo County, California",2009,153416,4043,115966,4114,3616,834,10829,1684,18253,2568,82996,3714,272,225,37450,2353,2870,750,1733,556,2091,682,30378,2073,378,241
0500000US06083,6083,"Santa Barbara County, California",2009,74286,2605,51322,2743,4492,949,6114,1061,6449,1218,33892,2520,375,385,22964,1820,2409,607,1903,563,1827,757,16688,1606,137,139
0500000US06085,6085,"Santa Clara County, California",2009,344935,6086,262070,5783,16257,1673,31710,2554,43832,3523,169298,5146,973,469,82865,4112,9310,1199,5884,1148,5942,1167,60960,3093,769,399
0500000US06087,6087,"Santa Cruz County, California",2009,56015,2417,39787,2126,2248,670,4328,977,5026,954,28131,2178,54,89,16228,1769,2132,865,990,377,1146,457,11583,1504,377,439
0500000US06089,6089,"Shasta County, California",2009,44976,1870,29180,1950,3717,922,5962,1066,5058,1079,14381,1670,62,110,15796,1311,3854,1013,1717,506,1458,493,8482,1057,285,267
0500000US06095,6095,"Solano County, California",2009,91324,2797,72794,3101,13786,1741,20788,2036,11796,1802,26143,2436,281,273,18530,1703,4630,1014,2235,594,2383,871,9282,1310,0,294
0500000US06097,6097,"Sonoma County, California",2009,109437,3969,80798,3614,5810,1139,11547,1724,14891,1627,48364,3021,186,158,28639,1889,4503,925,2314,701,2443,683,19129,1429,250,232
0500000US06099,6099,"Stanislaus County, California",2009,96132,3720,69828,3305,21338,2199,16986,2126,12054,1680,19375,2101,75,104,26304,2059,7584,1122,3643,775,3456,741,11497,1592,124,117
0500000US06101,6101,"Sutter County, California",2009,19642,1373,14940,1313,3108,695,4037,1036,2782,686,4904,1053,109,132,4702,919,1634,629,473,317,543,306,1980,531,72,114
0500000US06107,6107,"Tulare County, California",2009,72208,2486,54057,2674,12990,1806,13466,1663,8400,1393,19105,1992,96,115,18151,1598,5114,955,2175,587,1790,520,8989,1227,83,101
0500000US06111,6111,"Ventura County, California",2009,169308,3738,134239,3984,9619,1523,20452,2327,25077,2498,78896,3463,195,190,35069,2576,3164,638,2984,709,3240,730,25394,2217,287,264
0500000US06113,6113,"Yolo County, California",2009,37805,1579,28664,1754,3757,775,5946,993,6011,1210,12896,1561,54,94,9141,1159,2603,695,979,435,1003,390,4426,781,130,156
0500000US06115,6115,"Yuba County, California",2009,15321,1323,10970,1436,3103,781,2116,667,2261,809,3426,993,64,111,4351,726,679,367,1119,543,632,355,1862,633,59,103
0500000US06001,6001,"Alameda County, California",2010,286780,5237,220712,5421,19768,1856,36349,3184,40826,2770,122188,5191,1581,753,66068,3121,6061,1027,6046,1229,6172,884,47219,2541,570,327
0500000US06007,6007,"Butte County, California",2010,50325,2185,32399,1937,6093,1040,7871,1446,4997,973,13077,1622,361,486,17926,1690,4767,1024,1421,519,1941,513,9532,1208,265,192
0500000US06013,6013,"Contra Costa County, California",2010,243026,4695,190759,4999,29860,2606,37345,3325,33606,2688,89295,4048,653,459,52267,2359,6989,1045,5489,1025,5192,955,34277,1682,320,225
0500000US06017,6017,"El Dorado County, California",2010,51155,2734,38534,2558,3644,982,8900,1408,6650,1236,19340,2197,0,294,12621,1644,2337,665,1470,550,1280,482,7534,1296,0,294
0500000US06019,6019,"Fresno County, California",2010,154283,4108,114058,3926,31958,2544,26106,2654,18612,2147,36428,2717,954,656,40225,2544,9361,1611,6924,1119,5450,949,18030,1898,460,322
0500000US06023,6023,"Humboldt County, California",2010,31560,1850,19980,1704,2085,799,2388,703,3354,870,11968,1545,185,238,11580,1518,1586,424,1644,629,1312,473,6985,1245,53,61
0500000US06025,6025,"Imperial County, California",2010,27947,1648,19051,1668,7313,1138,5704,1067,2409,796,3625,918,0,294,8896,1425,3267,944,1057,560,946,337,3626,944,0,294
0500000US06029,6029,"Kern County, California",2010,148939,3532,107754,3173,42215,2914,25374,2034,14740,1947,25220,2317,205,145,41185,2650,15893,1763,6776,1321,4113,1081,13626,1603,777,434
0500000US06031,6031,"Kings County, California",2010,20953,1516,15174,1561,4990,1041,4217,988,2533,911,3340,808,94,115,5779,892,1326,446,1110,408,696,421,2507,597,140,152
0500000US06033,6033,"Lake County, California",2010,15970,1551,10260,1453,2145,773,2242,821,1172,568,4639,1007,62,111,5710,1043,1319,625,1015,598,723,345,2653,729,0,294
0500000US06037,6037,"Los Angeles County, California",2010,1501448,14839,1156155,13900,101801,4658,183372,6876,187387,6017,676561,10712,7034,1302,345293,8511,36865,2746,26900,2508,29975,2251,246418,6619,5135,945
0500000US06039,6039,"Madera County, California",2010,25469,1872,19077,1561,5228,1204,4160,1115,2952,735,6737,1085,0,294,6392,1034,1443,629,654,315,785,414,3389,720,121,143
0500000US06041,6041,"Marin County, California",2010,66429,2772,50006,2790,2238,767,5734,1381,7492,1175,34228,2612,314,210,16423,1535,1544,509,321,219,1295,543,12767,1439,496,319
0500000US06045,6045,"Mendocino County, California",2010,18318,1755,9932,1471,543,372,1066,497,1289,579,7034,1371,0,294,8386,1394,1623,707,873,409,689,345,5102,1148,99,125
0500000US06047,6047,"Merced County, California",2010,40334,2510,29786,2501,13041,1950,6380,1287,2842,799,7201,1418,322,255,10548,1444,3345,887,1388,460,1091,448,4628,1043,96,105
0500000US06053,6053,"Monterey County, California",2010,63894,2982,45014,2797,6712,1195,8082,1299,6300,1230,23752,2408,168,167,18880,2216,3656,1024,1187,464,1395,609,12390,1548,252,240
0500000US06055,6055,"Napa County, California",2010,30948,1999,21906,2062,2055,709,3419,942,4104,1038,12328,1661,0,294,9042,1313,1321,491,1332,549,431,314,5901,1056,57,98
0500000US06057,6057,"Nevada County, California",2010,28278,1771,19471,1427,1290,549,4136,1016,3451,832,10533,1325,61,107,8807,1376,1545,667,928,481,506,414,5780,1116,48,81
0500000US06059,6059,"Orange County, California",2010,584314,7164,444114,7163,30810,2848,61095,3951,77467,4156,272920,6054,1822,792,140200,4249,17887,2275,12261,1501,11415,1523,97291,4097,1346,554
0500000US06061,6061,"Placer County, California",2010,93350,3170,71114,3328,9102,1404,17303,2122,12759,1839,31733,2338,217,211,22236,1817,2670,737,2434,597,2344,682,14688,1590,100,123
0500000US06065,6065,"Riverside County, California",2010,458273,6812,349306,6591,83348,4985,87510,4265,59851,4271,116607,4971,1990,707,108967,4454,32326,2711,13334,1601,12140,1602,49914,3251,1253,450
0500000US06067,6067,"Sacramento County, California",2010,294365,5847,225690,5377,51979,3436,61941,3535,40104,3047,70708,3983,958,464,68675,3628,15281,1683,10324,1350,10196,1525,32016,2805,858,406
0500000US06071,6071,"San Bernardino County, California",2010,372535,7382,285972,7416,72147,4059,66588,4018,50312,3393,95069,4817,1856,885,86563,3906,24415,2146,12689,1449,11510,1807,36063,3079,1886,829
0500000US06073,6073,"San Diego County, California",2010,572400,8785,438814,7546,39344,3049,75964,4037,79421,4465,237897,6746,6188,1566,133586,5311,21436,1919,11337,1370,12269,1641,86648,4086,1896,806
0500000US06075,6075,"San Francisco County, California",2010,123128,4317,84904,3824,3476,815,8334,1452,11480,1526,61146,3609,468,461,38224,2719,2275,794,1260,493,2318,670,31732,2533,639,380
0500000US06077,6077,"San Joaquin County, California",2010,124244,4141,96709,3796,29330,2492,24481,2574,16250,2159,26361,2242,287,213,27535,2342,7692,1131,3622,906,3248,806,12638,1678,335,294
0500000US06079,6079,"San Luis Obispo County, California",2010,59862,2141,41224,2274,3071,872,4752,1062,5946,1057,27268,2346,187,194,18638,1838,2351,753,1278,498,1432,597,13460,1527,117,141
0500000US06081,6081,"San Mateo County, California",2010,152358,4237,113945,4257,5466,863,10304,1582,15877,2055,81726,3914,572,279,38413,2354,2139,588,1808,579,1790,514,32129,2350,547,284
0500000US06083,6083,"Santa Barbara County, California",2010,75146,2601,51962,2501,5165,1127,9537,1679,6593,1070,30667,2195,0,294,23184,1667,3337,825,1583,518,1943,593,16126,1397,195,233
0500000US06085,6085,"Santa Clara County, California",2010,342955,4963,256276,5674,18104,2319,33034,2900,45373,3018,158825,5722,940,513,86679,3495,9937,1252,6273,1218,6749,1251,62160,2898,1560,724
0500000US06087,6087,"Santa Cruz County, California",2010,54209,3225,39258,3199,2032,831,5070,1102,5043,847,26992,2683,121,151,14951,1508,1318,660,1034,562,1383,613,10961,1467,255,256
0500000US06089,6089,"Shasta County, California",2010,44695,2085,29421,2099,4248,1092,6885,1236,4372,974,13665,1569,251,221,15274,1550,4156,1021,1127,479,1642,559,8228,1256,121,144
0500000US06095,6095,"Solano County, California",2010,87615,2945,67552,3341,15921,1928,17429,1930,12227,1639,21847,1984,128,165,20063,1495,4027,831,2857,616,3626,760,9513,1177,40,67
0500000US06097,6097,"Sonoma County, California",2010,110953,3114,78737,3222,6778,1382,12029,1832,14851,1857,44452,2824,627,461,32216,2362,4658,992,2774,681,2753,729,21676,1759,355,364
0500000US06099,6099,"Stanislaus County, California",2010,98598,3087,74469,3146,25778,1792,19315,2080,9361,1467,19760,2107,255,325,24129,1958,7358,1175,2818,735,3137,651,10468,1340,348,237
0500000US06101,6101,"Sutter County, California",2010,17958,1234,12676,1240,3144,788,3226,778,2057,705,4224,1014,25,44,5282,951,1322,451,769,410,642,302,2473,646,76,99
0500000US06107,6107,"Tulare County, California",2010,75913,2391,54406,2597,16747,1798,12619,1609,7729,1217,17071,1806,240,201,21507,1851,6286,919,3032,740,2956,684,8901,1296,332,272
0500000US06111,6111,"Ventura County, California",2010,170124,4279,129346,4108,10966,1524,24655,2575,23987,2200,69146,3729,592,348,40778,2570,5567,1014,3264,798,4156,1111,27084,2234,707,355
0500000US06113,6113,"Yolo County, California",2010,37863,2183,27412,2175,5197,1177,6416,1168,5536,1011,10263,1482,0,294,10451,1252,2221,721,917,490,1284,615,5848,962,181,199
0500000US06115,6115,"Yuba County, California",2010,14982,1451,10881,1181,3988,1024,2562,906,1674,536,2657,974,0,294,4101,928,1444,555,325,234,33,58,2206,761,93,119
0500000US06001,6001,"Alameda County, California",2011,289222,5684,222697,5513,22925,2423,40655,3449,44350,3043,114098,4794,669,409,66525,3269,7133,1342,6300,1235,7134,1226,45017,2898,941,636
0500000US06007,6007,"Butte County, California",2011,48746,2448,31909,2586,6615,1375,6838,1210,4387,1125,13746,1634,323,260,16837,1758,4241,867,1969,689,2340,871,8208,1216,79,101
0500000US06013,6013,"Contra Costa County, California",2011,246590,5513,190712,5751,32303,3195,45225,3406,32552,2919,79766,4350,866,469,55878,3863,7368,1314,5714,1132,6054,1299,36445,3099,297,179
0500000US06017,6017,"El Dorado County, California",2011,48985,2549,36227,2414,6137,1376,7038,1423,6352,1321,16546,1568,154,191,12758,1527,1974,496,1707,685,1336,374,7319,1084,422,389
0500000US06019,6019,"Fresno County, California",2011,155609,4439,114643,4274,35072,2734,32314,2715,15725,1949,30962,2955,570,348,40966,2656,11694,1484,6392,1095,5184,1012,17096,1796,600,336
0500000US06023,6023,"Humboldt County, California",2011,28459,1875,17122,1643,2321,625,2567,680,3211,784,8919,1457,104,126,11337,1180,1590,519,786,353,1012,362,7895,1109,54,45
0500000US06025,6025,"Imperial County, California",2011,27172,1553,19365,1523,9160,1224,4429,1066,1701,737,3783,846,292,294,7807,1103,4160,878,1538,547,649,358,1398,414,62,71
0500000US06029,6029,"Kern County, California",2011,144094,4352,104141,4124,42832,2370,24974,2489,12369,1777,23178,2669,788,583,39953,2587,15585,1910,6672,1242,4080,962,13070,1708,546,326
0500000US06031,6031,"Kings County, California",2011,22822,1448,16974,1521,6920,1262,4220,1135,2272,815,3466,880,96,120,5848,891,2558,804,1119,457,437,264,1629,469,105,104
0500000US06033,6033,"Lake County, California",2011,16839,1362,9855,1411,2685,842,1845,711,981,610,4281,1199,63,106,6984,1069,2022,697,1039,559,905,482,3018,799,0,208
0500000US06037,6037,"Los Angeles County, California",2011,1482011,12100,1126864,11396,114669,5569,182673,6195,190495,6976,632558,9853,6469,1258,355147,8018,43892,2830,28745,2175,29397,2143,248141,6439,4972,1099
0500000US06039,6039,"Madera County, California",2011,24738,1996,16427,1984,4732,1022,3678,1034,2367,774,5230,1304,420,393,8311,1049,2538,893,784,387,1135,548,3803,871,51,86
0500000US06041,6041,"Marin County, California",2011,60453,2759,43474,2667,2201,676,4971,1142,5649,1102,30286,2363,367,276,16979,1497,1891,701,940,413,1358,513,12576,1384,214,193
0500000US06045,6045,"Mendocino County, California",2011,20447,1648,11224,1578,1098,514,1708,561,1522,606,6896,1394,0,208,9223,1306,1936,644,1205,531,778,346,4996,961,308,234
0500000US06047,6047,"Merced County, California",2011,38880,2463,28126,2290,11846,1575,6558,1242,3006,884,6350,1055,366,314,10754,1144,3864,720,1601,462,1088,333,3982,929,219,198
0500000US06053,6053,"Monterey County, California",2011,58668,2648,41893,2536,8263,1625,6667,1067,7468,1228,19254,1896,241,187,16775,1494,2923,800,1466,549,1931,641,10314,1154,141,115
0500000US06055,6055,"Napa County, California",2011,27183,1774,19241,1788,2437,716,3099,926,3081,900,10474,1502,150,185,7942,1003,1448,561,996,366,442,272,5017,828,39,66
0500000US06057,6057,"Nevada County, California",2011,30219,2173,21607,2023,2580,777,3178,794,4728,1270,10933,1723,188,314,8612,1050,1500,580,843,327,586,309,5500,877,183,189
0500000US06059,6059,"Orange County, California",2011,581991,6072,443304,6618,38639,3058,69124,4310,76818,4515,256305,5675,2418,695,138687,3984,16185,1704,12234,1552,12786,1611,95352,3240,2130,622
0500000US06061,6061,"Placer County, California",2011,94614,3282,70800,3486,13575,2142,18271,2401,12805,2014,25715,3106,434,289,23814,2215,3540,920,2316,736,2329,820,15269,2097,360,357
0500000US06065,6065,"Riverside County, California",2011,451415,7857,337651,8577,85469,5356,84793,5214,58527,4418,106890,6262,1972,769,113764,5528,34353,3755,14721,1963,12570,1830,50643,3460,1477,604
