Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Less than $100,Margin of Error; Less than $100,Estimate; $100 to $199,Margin of Error; $100 to $199,Estimate; $200 to $299,Margin of Error; $200 to $299,Estimate; $300 to $399,Margin of Error; $300 to $399,Estimate; $400 to $499,Margin of Error; $400 to $499,Estimate; $500 to $599,Margin of Error; $500 to $599,Estimate; $600 to $699,Margin of Error; $600 to $699,Estimate; $700 to $799,Margin of Error; $700 to $799,Estimate; $800 to $899,Margin of Error; $800 to $899,Estimate; $900 to $999,Margin of Error; $900 to $999,"Estimate; $1,000 to $1,499","Margin of Error; $1,000 to $1,499","Estimate; $1,500 to $1,999","Margin of Error; $1,500 to $1,999","Estimate; $2,000 or more","Margin of Error; $2,000 or more",Estimate; No cash rent,Margin of Error; No cash rent
0500000US06099,6099,"Stanislaus County, California",2007,157262,2790,675,516,2167,780,5846,1268,8331,1359,5333,1022,7495,1337,7815,1328,9487,1455,7974,1303,10160,1812,32917,2519,20028,2139,36703,2610,2331,794
0500000US06101,6101,"Sutter County, California",2007,31214,974,37,60,674,375,1820,632,1975,532,1340,523,1608,545,1442,489,2426,887,2330,864,1060,467,5911,961,4365,850,5879,1065,347,235
0500000US06107,6107,"Tulare County, California",2007,122613,2172,557,356,3710,841,6294,958,8031,1363,7952,1356,11122,1936,9070,1517,8162,1233,8536,1525,6168,1175,24995,2632,12432,1606,13088,1494,2496,654
0500000US06111,6111,"Ventura County, California",2007,255668,2389,670,305,3236,881,8147,1569,8789,1407,6485,1052,7492,1276,6841,1009,6390,1143,7409,1526,7973,1430,45132,2859,37508,2515,105627,3545,3969,1055
0500000US06113,6113,"Yolo County, California",2007,68506,1015,101,160,1162,453,1910,651,3356,902,3050,827,2714,850,2354,735,4222,1290,4580,948,3520,997,13254,1704,9425,1298,17697,1758,1161,581
0500000US06115,6115,"Yuba County, California",2007,24236,1172,230,214,765,330,1588,590,551,272,1357,569,2083,823,3211,965,1434,523,1730,691,539,297,2697,801,3418,916,3951,921,682,386
0500000US06001,6001,"Alameda County, California",2008,517939,5028,1320,616,4640,929,15840,1451,11832,1723,14441,1664,14962,1672,14905,2085,16921,1968,21828,2327,22304,2295,111345,5012,71633,3751,189329,5668,6639,1391
0500000US06007,6007,"Butte County, California",2008,86438,1987,1268,673,2445,745,5310,1034,4336,1051,4615,919,5520,1062,7172,1436,5797,1066,5798,1292,7018,1600,15890,2126,9520,1367,10499,1367,1250,477
0500000US06013,6013,"Contra Costa County, California",2008,367985,3384,1147,607,3401,931,7958,1269,10026,1462,11164,1566,11129,1573,9807,1535,7868,1305,10450,1613,14100,1782,63765,4016,48791,3330,164639,5036,3740,1165
0500000US06017,6017,"El Dorado County, California",2008,65323,1888,171,208,282,215,1055,502,2754,724,2694,778,2344,662,3286,784,4111,1335,3285,1011,2820,1003,11845,1753,7373,1221,22693,1940,610,307
0500000US06019,6019,"Fresno County, California",2008,278964,3810,948,511,5465,1088,10784,1389,13280,1751,15634,2045,15616,2188,18900,2299,23501,2713,19856,2209,14399,1890,56393,3683,33638,2784,45194,3075,5356,1395
0500000US06023,6023,"Humboldt County, California",2008,52979,1527,155,130,2177,587,3206,807,3061,711,2688,745,4299,1110,4214,942,3940,931,3877,957,2613,876,9808,1637,6307,1204,5170,1093,1464,499
0500000US06025,6025,"Imperial County, California",2008,46834,1508,349,274,1290,500,3409,984,3596,949,3788,1177,3584,884,5400,1592,2477,757,2560,797,2319,1046,6328,1159,4552,1034,5892,1171,1290,504
0500000US06029,6029,"Kern County, California",2008,244186,3604,363,290,4564,1022,11550,1348,11833,1740,12633,1694,15368,2051,19495,2312,16853,2396,17936,2491,13224,1960,47904,3464,30265,2792,37105,2593,5093,1298
0500000US06031,6031,"Kings County, California",2008,40495,1795,162,153,714,292,1884,609,2336,691,1955,557,2190,780,2055,570,3083,959,2233,817,1836,597,9712,1603,4926,969,5890,1326,1519,620
0500000US06033,6033,"Lake County, California",2008,24459,1977,0,294,277,301,971,450,2270,676,1591,781,1461,737,1799,704,1517,781,1152,633,694,514,5760,1237,3419,1096,2976,920,572,535
0500000US06037,6037,"Los Angeles County, California",2008,3168362,9799,8298,1405,28240,2439,101341,4363,93052,4800,88321,4124,98568,5167,117305,6351,145663,6135,180447,6327,197508,7736,717763,10524,439161,9467,915348,14264,37347,3592
0500000US06039,6039,"Madera County, California",2008,41888,1942,271,179,452,283,1430,495,2161,726,2118,757,1805,622,2521,784,2760,871,1555,748,2935,1016,10022,1528,4423,981,7657,1501,1778,725
0500000US06041,6041,"Marin County, California",2008,102147,1745,196,231,281,213,1514,838,2644,1017,2646,830,2861,800,2350,731,1654,573,1507,644,2890,1067,17118,1959,14121,1953,51011,2455,1354,706
0500000US06045,6045,"Mendocino County, California",2008,34519,1354,396,449,828,343,1742,457,2443,745,2462,815,2063,579,1963,840,2182,731,1733,724,1617,734,8048,1382,3684,1000,4116,993,1242,607
0500000US06047,6047,"Merced County, California",2008,72353,1721,278,328,1058,452,2925,638,3943,787,5287,1051,6773,1336,5699,1337,5463,1425,3838,1103,2938,846,12618,1687,8381,1548,10621,1473,2531,796
0500000US06053,6053,"Monterey County, California",2008,126066,2621,435,329,2183,661,4667,900,3261,733,4296,1059,4217,915,5075,1235,6725,1348,6658,1568,8817,1749,24444,2135,18885,2285,34562,2385,1841,712
0500000US06055,6055,"Napa County, California",2008,46333,1806,170,269,510,380,2201,662,1927,636,1521,649,2079,682,1886,952,928,462,1656,725,1791,568,9626,1505,5282,944,16169,1735,587,408
0500000US06057,6057,"Nevada County, California",2008,41529,1730,30,54,529,343,1503,459,1975,903,2141,642,1148,480,2129,571,2337,834,2605,894,3338,1203,6963,1536,5596,1204,10666,1418,569,348
0500000US06059,6059,"Orange County, California",2008,971559,4843,2928,721,10168,1178,23654,2062,25117,2596,25426,1998,18258,1772,16926,2008,18572,1821,25534,2457,33340,3034,204901,5932,167708,6590,390012,7382,9015,1674
0500000US06061,6061,"Placer County, California",2008,128475,2552,342,373,788,350,3506,915,3371,837,5256,1100,5452,1143,4850,1118,3656,842,4108,1159,5044,1407,20267,2329,18741,1912,52101,2264,993,426
0500000US06065,6065,"Riverside County, California",2008,647443,6148,2019,717,10719,1446,18471,1758,21198,1984,19949,2060,23257,2210,21482,2360,24932,2683,29213,2751,29616,3042,127541,6178,98197,4665,214146,6791,6703,1192
0500000US06067,6067,"Sacramento County, California",2008,502061,5086,1511,688,6535,1178,17149,1867,17928,2068,15667,1906,16966,1948,20939,2021,30316,2823,28773,2563,31256,2943,106902,5337,74497,4618,128371,4473,5251,1130
0500000US06071,6071,"San Bernardino County, California",2008,580361,5845,2604,812,8457,1400,17815,2050,18767,1983,18247,2130,20761,2650,22459,2607,24675,2668,29070,2732,30442,2911,132211,5455,89891,4381,156819,5837,8143,1813
0500000US06073,6073,"San Diego County, California",2008,1037958,7793,3620,731,10365,1490,33400,2489,27565,2297,29522,2298,27173,2242,25893,2323,39025,3205,49791,3754,51769,3962,211117,6350,158252,5443,357453,7095,13013,1781
0500000US06075,6075,"San Francisco County, California",2008,323339,4231,880,450,3887,1042,12960,1475,11132,1824,13216,1900,12028,1860,9241,1473,13430,1736,11866,1741,10451,1516,56279,3684,49077,3487,114185,4899,4707,1012
0500000US06077,6077,"San Joaquin County, California",2008,205056,4029,267,197,3681,1001,6956,1334,8467,1552,7130,1269,7797,1290,11572,1624,10525,1412,13449,1813,10505,1587,36589,2857,25963,2604,57512,3227,4643,1219
0500000US06079,6079,"San Luis Obispo County, California",2008,100901,2900,515,365,2138,777,4009,1142,3945,833,3508,728,4838,1206,3538,952,4477,961,4167,1294,5600,1258,19127,2356,14598,2085,28812,2538,1629,745
0500000US06081,6081,"San Mateo County, California",2008,254590,2909,412,269,1699,603,4472,914,9196,1416,7518,1208,5637,1210,6477,1337,4423,975,5468,969,7378,1676,49453,3128,36740,2781,112609,4032,3108,1010
0500000US06083,6083,"Santa Barbara County, California",2008,139212,2572,488,280,1486,496,4701,1123,5871,1080,3746,974,3419,694,3553,774,5404,1155,6297,1183,6592,1392,29410,2578,21017,2194,44275,2494,2953,888
0500000US06085,6085,"Santa Clara County, California",2008,587948,3702,1148,416,4310,950,12690,1774,14787,1676,16309,2024,14706,2049,10745,1645,10976,1467,21073,2540,20758,2510,104612,4045,86493,4167,262774,5628,6567,1215
0500000US06087,6087,"Santa Cruz County, California",2008,93759,2135,198,207,539,274,3473,813,3777,979,4005,756,2753,843,3180,839,1868,634,3683,867,2983,883,15752,1732,14444,2013,35819,2368,1285,592
0500000US06089,6089,"Shasta County, California",2008,70067,1820,154,154,1966,722,2717,785,4887,1071,3824,984,4272,1135,5473,1366,4250,1157,3840,1248,4054,1236,14398,1756,8712,1423,10112,1412,1408,627
0500000US06095,6095,"Solano County, California",2008,136036,2513,675,470,1580,643,4614,970,3760,947,4079,787,3117,735,3475,914,3098,721,5196,1217,5666,1391,27006,2341,23856,2306,48005,2659,1909,593
0500000US06097,6097,"Sonoma County, California",2008,181159,2500,845,425,2871,791,4584,1119,6415,1060,5262,1113,6723,1168,5216,1022,5772,1154,8250,1497,7545,1316,36590,2670,26530,2744,61467,3136,3089,862
0500000US06099,6099,"Stanislaus County, California",2008,160855,2782,492,335,2189,747,5715,1042,6416,1187,6258,1015,6650,1199,8215,1489,10194,1654,9402,1493,10352,1695,34727,2746,21123,2310,36243,2502,2879,869
0500000US06101,6101,"Sutter County, California",2008,30982,864,185,190,719,288,899,366,1047,350,1529,528,2583,769,2136,617,2250,624,1296,538,957,392,7098,1140,4397,966,4874,938,1012,479
0500000US06107,6107,"Tulare County, California",2008,124047,2152,642,363,2361,593,6643,1213,7333,1134,8017,1391,8092,1385,10923,1696,9075,1561,8566,1730,5059,1021,25149,2267,14569,1736,14157,1743,3461,895
0500000US06111,6111,"Ventura County, California",2008,256944,3048,303,167,4216,943,7336,1250,8576,1239,7141,1391,5458,1025,6882,1196,5802,994,5614,1072,8708,1629,41657,3340,41179,3267,110724,4324,3348,892
0500000US06113,6113,"Yolo County, California",2008,68769,3276,308,339,1086,552,1888,658,2668,712,1990,676,3674,893,3389,831,2856,717,3341,874,2986,865,14243,2218,9917,1378,19054,1715,1369,494
0500000US06115,6115,"Yuba County, California",2008,25233,1117,107,135,539,315,1541,500,656,331,1158,490,924,408,1646,724,1698,791,1386,635,972,482,4781,1245,3473,967,5112,1012,1240,420
0500000US06001,6001,"Alameda County, California",2009,517795,5059,1096,662,3507,868,17223,2181,15571,2033,15037,1867,14219,1587,17769,2155,18805,2411,20449,2238,25649,2533,113288,4888,72669,3593,177267,4173,5246,1125
0500000US06007,6007,"Butte County, California",2009,84440,2045,134,133,1592,607,5772,1165,5715,1068,4212,976,6348,1583,6166,1133,6466,1565,4640,938,4288,1202,17578,2296,8948,1310,10702,1516,1879,595
0500000US06013,6013,"Contra Costa County, California",2009,364556,3791,556,441,3230,851,10391,1735,12394,1575,10586,1576,11207,1872,8825,1438,11512,1878,12532,2174,13357,1842,59845,4188,55476,3923,151467,4186,3178,1020
0500000US06017,6017,"El Dorado County, California",2009,65569,2118,104,100,292,216,2105,801,2563,946,3006,701,2401,783,1925,620,2801,948,2972,896,1914,644,10328,1779,9304,1411,24860,2192,994,500
0500000US06019,6019,"Fresno County, California",2009,280846,3997,1101,544,4958,1034,11949,1704,13051,1456,12585,1837,16087,2121,19755,2222,22261,2736,22241,2503,16325,1949,58873,3419,36469,3279,38919,2777,6272,1056
0500000US06023,6023,"Humboldt County, California",2009,52316,1619,695,360,1219,423,2889,759,3810,809,2073,591,3966,1149,4661,1089,4324,1049,4327,1121,1875,696,10897,1649,4599,1071,5661,1152,1320,715
0500000US06025,6025,"Imperial County, California",2009,48540,1344,404,281,1780,695,3832,936,2920,764,3609,1121,3689,983,3492,942,2833,965,2628,826,2079,716,7747,1408,5823,1109,6333,1209,1371,550
0500000US06029,6029,"Kern County, California",2009,241764,3800,1719,637,4946,1123,9804,1311,12088,1476,11404,1771,14762,2122,16239,1982,15306,2042,18338,2198,14650,2151,51395,3413,32954,2992,34167,2245,3992,1011
0500000US06031,6031,"Kings County, California",2009,38669,1588,141,143,601,305,2443,623,1138,420,2064,748,1670,571,2587,935,3099,878,3298,995,2704,1010,8317,1531,3304,929,5547,985,1756,619
0500000US06033,6033,"Lake County, California",2009,26670,1634,133,208,591,393,1590,611,1413,657,1646,689,1697,769,1967,908,2002,843,1739,679,1093,627,5017,1334,2198,625,5070,1343,514,422
0500000US06037,6037,"Los Angeles County, California",2009,3166126,8715,8472,1615,30138,2422,91031,4569,82435,3424,82570,4382,94527,4948,108077,5496,140959,5720,175123,6930,186883,8214,749396,11536,458374,10539,914645,11865,43496,3423
0500000US06039,6039,"Madera County, California",2009,43393,1413,58,90,567,311,2456,792,2369,811,1617,662,2161,819,3403,950,2956,833,2663,940,1636,664,8070,1400,4918,1075,8810,1298,1709,691
0500000US06041,6041,"Marin County, California",2009,101263,2025,421,291,773,409,1500,503,1812,659,3296,1171,3447,950,2469,816,2146,583,1906,755,3112,943,16121,2175,15901,1729,47820,2293,539,290
0500000US06045,6045,"Mendocino County, California",2009,33507,1327,425,379,1587,622,2330,740,1675,550,2108,575,1737,674,1811,650,2906,931,1274,506,1661,673,5124,1127,3325,1071,6880,1126,664,393
0500000US06047,6047,"Merced County, California",2009,74166,2130,275,196,1346,543,3219,753,3632,935,4954,1062,5669,1422,5039,1129,5523,1089,5383,1101,4638,1148,15092,1824,7840,1438,9014,1406,2542,758
0500000US06053,6053,"Monterey County, California",2009,128025,2031,281,257,1825,698,4678,863,3982,952,3415,791,3560,1041,4010,1055,5943,1353,6862,1233,7376,1424,27448,2370,18320,1912,37614,2337,2711,874
0500000US06055,6055,"Napa County, California",2009,49014,1549,45,75,1041,444,1909,616,1664,627,898,423,1643,582,2122,679,1421,551,1968,715,2559,775,8721,1463,7590,1457,16804,1671,629,431
0500000US06057,6057,"Nevada County, California",2009,39718,1799,85,137,519,289,1481,454,1786,654,1507,498,1411,479,1565,631,2074,846,1168,463,2178,831,6793,1206,5823,1222,12794,1740,534,413
0500000US06059,6059,"Orange County, California",2009,975967,4674,2968,680,9368,1199,25380,2105,28137,2739,27305,2329,21832,1996,19618,1811,21644,2394,21679,2252,30349,2692,204559,5613,169611,5869,383842,7944,9675,1363
0500000US06061,6061,"Placer County, California",2009,126437,2159,236,226,1001,520,2203,689,4895,1125,5683,1035,3975,826,4983,1138,4728,1175,4394,956,5593,1188,21133,2096,18518,2075,47696,2608,1399,686
0500000US06065,6065,"Riverside County, California",2009,649505,6269,3360,1017,9431,1363,21184,2025,22633,2392,22866,2322,19843,2223,24171,2760,24491,2312,29301,3084,31605,2926,140743,5560,95244,3889,195269,4965,9364,1587
0500000US06067,6067,"Sacramento County, California",2009,507357,4634,2118,721,8196,1359,16245,1912,17822,1784,17588,1792,17656,2253,25322,2378,33909,2876,30375,2720,30658,2738,110395,4701,74864,3707,116860,4274,5349,1225
0500000US06071,6071,"San Bernardino County, California",2009,592207,5586,2149,753,11090,1727,22136,2233,20610,2054,21758,2436,18935,2559,22628,2493,26935,2757,29818,2836,35012,3330,132949,5826,94098,5031,145821,4810,8268,1563
0500000US06073,6073,"San Diego County, California",2009,1048975,5987,4343,1092,11987,1535,30467,2207,26681,1959,28829,2287,26252,2397,27705,2548,33131,3101,53728,3547,53199,3960,226396,6556,166872,6232,348451,8208,10934,1518
0500000US06075,6075,"San Francisco County, California",2009,324588,3785,965,512,4291,1313,14397,1648,9956,1280,11307,1677,12431,1587,9799,1525,9685,1584,10172,1597,12356,1952,57641,3509,49724,3646,115648,4400,6216,1256
0500000US06077,6077,"San Joaquin County, California",2009,208513,5447,1026,625,3425,740,7169,1162,6386,1179,7224,1202,7470,1309,10011,1559,9793,1585,13144,1896,10960,1812,43935,3280,32288,2646,52379,3684,3303,762
0500000US06079,6079,"San Luis Obispo County, California",2009,103011,2778,369,251,1732,613,3018,757,4220,919,4135,1003,3107,851,3570,968,5207,1093,5036,1276,6578,1675,19555,1885,16555,1760,28596,2580,1333,632
0500000US06081,6081,"San Mateo County, California",2009,251448,2761,322,217,1718,656,5983,994,6399,1245,7947,1151,5637,1095,5721,1123,5004,1032,7418,1565,6666,1507,46341,3181,36213,3038,113531,3737,2548,830
0500000US06083,6083,"Santa Barbara County, California",2009,140128,2385,689,355,1544,482,4426,828,4254,1053,4888,954,4249,849,4470,950,6141,1055,6205,1140,5918,1247,30592,2330,21823,2070,42214,2439,2715,811
0500000US06085,6085,"Santa Clara County, California",2009,587208,4449,2892,918,3838,995,16676,1820,15034,1717,15720,1657,12513,1620,14154,1821,11939,1834,16623,2312,20193,2419,108560,5053,88012,4415,254413,5694,6641,1280
0500000US06087,6087,"Santa Cruz County, California",2009,92227,2413,486,411,1437,537,3543,916,3581,853,3068,1002,3721,1185,3247,876,2843,811,3597,973,3323,864,16171,1835,13572,1675,32052,2660,1586,713
0500000US06089,6089,"Shasta County, California",2009,69738,1982,507,313,1678,592,3759,880,4325,907,4286,1069,4416,1095,4346,1105,4574,977,3636,854,3825,857,14227,1647,7478,1135,10887,1256,1794,715
0500000US06095,6095,"Solano County, California",2009,139186,1935,746,447,2251,637,5118,1074,4597,1017,3855,781,4420,834,3471,872,4213,988,4704,1095,4795,1158,26470,2426,23713,2264,49699,2987,1134,558
0500000US06097,6097,"Sonoma County, California",2009,180378,2545,488,276,2516,672,5550,1133,5851,1122,5311,1015,5962,1107,7053,1387,6708,1366,7862,1348,8230,1383,37148,3284,24741,2347,59179,3291,3779,1017
0500000US06099,6099,"Stanislaus County, California",2009,161083,2115,482,338,2566,706,5110,1104,9365,1597,6261,1191,7432,1188,7651,1323,10163,1646,9258,1614,10700,1672,33811,2526,25439,2090,29772,2588,3073,858
0500000US06101,6101,"Sutter County, California",2009,31158,926,323,309,612,346,1652,715,1176,550,870,469,1853,733,1769,580,1905,680,2037,518,1794,620,6709,1066,4571,1135,5436,1068,451,339
0500000US06107,6107,"Tulare County, California",2009,126409,1898,1052,551,3508,829,5781,1004,5418,1001,7328,1009,8818,1454,9346,1481,8459,1664,9473,1722,7393,1494,27548,2341,14642,1846,14679,1639,2964,781
0500000US06111,6111,"Ventura County, California",2009,260249,2364,587,277,3648,925,8432,1026,7386,1172,6537,1221,5649,1264,8417,1272,6451,1248,5866,1385,6719,1346,46876,3496,44397,3306,106471,3793,2813,701
0500000US06113,6113,"Yolo County, California",2009,67350,1767,179,174,526,271,2235,697,2057,647,2494,661,3382,776,3168,896,3448,866,3781,887,4018,1232,13396,1924,9285,1260,18273,1941,1108,555
0500000US06115,6115,"Yuba County, California",2009,24647,1653,74,92,669,393,1424,467,1748,674,1041,471,1431,637,1834,676,1649,700,1554,798,856,453,5331,1273,2748,825,3420,865,868,502
0500000US06001,6001,"Alameda County, California",2010,537410,4196,1408,585,4209,1132,17232,1944,16796,2040,14825,1617,14616,1845,12600,1698,18780,1942,22614,2056,25285,2606,117764,4692,77842,4061,186209,5132,7230,1389
0500000US06007,6007,"Butte County, California",2010,84629,2168,358,230,1606,542,3499,839,4740,930,3831,757,6852,1324,6349,1277,5941,1416,6704,1374,5595,1297,17091,2053,10452,1545,10154,1261,1457,683
0500000US06013,6013,"Contra Costa County, California",2010,367883,3940,481,344,2243,730,8882,1430,11031,1393,10954,1621,9722,1595,8216,1396,9386,1548,12137,1791,13582,1679,71379,3905,54193,3923,151491,4361,4186,1033
0500000US06017,6017,"El Dorado County, California",2010,67092,2275,169,200,437,241,1861,648,1999,653,1899,709,2601,810,3518,1058,2068,715,2932,871,3045,1080,10576,1691,10263,1606,24660,1948,1064,552
0500000US06019,6019,"Fresno County, California",2010,284690,3466,1488,712,5686,1145,10039,1669,14022,1988,14894,1921,16648,2101,20389,2196,22024,2201,19524,2276,18083,1935,64741,4191,32674,2737,38263,2648,6215,1208
0500000US06023,6023,"Humboldt County, California",2010,54980,1495,403,301,1226,533,2687,786,4327,1044,2788,727,4371,969,4563,1167,2658,861,4095,1062,2802,792,11869,1506,6406,1234,5911,1107,874,473
0500000US06025,6025,"Imperial County, California",2010,48206,1756,477,362,992,413,2178,727,3162,995,3019,957,3232,927,4150,1077,3408,909,2346,693,3588,1023,10846,1511,5317,1022,4278,988,1213,521
0500000US06029,6029,"Kern County, California",2010,252284,3155,1285,532,5046,1209,11483,1740,12596,1785,12462,1906,15806,1898,18933,1608,18749,2291,18906,2085,15182,1957,56213,3155,30037,2287,30823,2275,4763,1010
0500000US06031,6031,"Kings County, California",2010,40818,1464,421,315,899,388,1672,609,1602,551,1642,637,2296,693,3228,757,3563,873,4692,1155,1886,559,7873,1214,5182,1108,4204,935,1658,758
0500000US06033,6033,"Lake County, California",2010,24521,1711,0,294,1007,618,1791,797,2001,766,1902,757,1274,690,1252,668,715,458,1289,605,2151,811,4486,1053,3087,963,3119,851,447,323
0500000US06037,6037,"Los Angeles County, California",2010,3202353,9199,8323,1480,26422,2386,95569,4913,84568,3328,83007,4047,87233,3634,106275,5045,143121,5932,169031,6768,192470,6680,784943,11636,481645,9867,895567,13788,44179,3533
0500000US06039,6039,"Madera County, California",2010,42189,1880,229,208,527,341,1763,631,2065,578,1892,624,2455,876,1751,729,1615,627,3758,1258,2816,820,9806,1300,5322,1182,6703,1090,1487,741
0500000US06041,6041,"Marin County, California",2010,102692,2313,0,294,289,249,1038,481,2686,792,2707,715,3764,905,2437,728,2469,702,3402,905,2933,889,16080,2190,14086,1970,49993,2510,808,388
0500000US06045,6045,"Mendocino County, California",2010,33057,1837,338,320,1158,556,1794,907,2111,667,1734,545,1999,645,2537,798,1368,538,1670,572,2305,743,5747,1228,3356,897,5600,1197,1340,706
0500000US06047,6047,"Merced County, California",2010,73885,2088,336,230,1838,697,3383,824,3889,984,3334,942,5002,1270,5712,1302,5814,1426,5079,1085,4422,1255,16555,2081,8444,1288,7791,1428,2286,757
0500000US06053,6053,"Monterey County, California",2010,125446,2406,1108,629,1761,545,3628,923,4085,1083,3460,771,3587,886,4522,1043,5920,1395,7247,1550,7285,1379,28219,2144,21426,2038,31595,2443,1603,655
0500000US06055,6055,"Napa County, California",2010,49754,1583,634,456,630,363,1234,444,1575,461,780,396,1890,683,1677,547,2188,716,2362,728,2405,904,10803,1694,6157,1025,16872,1880,547,359
0500000US06057,6057,"Nevada County, California",2010,40851,2216,72,122,703,396,998,500,1974,659,1442,589,2127,717,1758,619,2145,760,2662,1099,1761,636,6560,1363,6717,1270,11125,1643,807,387
0500000US06059,6059,"Orange County, California",2010,986297,5154,2228,829,10673,1592,26478,2297,27448,2469,24064,1985,23381,2159,19961,2347,19487,1987,27866,2139,30310,2860,220621,6142,169032,6123,377147,6980,7601,1274
0500000US06061,6061,"Placer County, California",2010,131234,2692,80,102,820,366,2718,723,3670,760,4013,888,5512,1218,4504,1044,5323,1254,5218,1012,6787,1477,25453,2565,19833,2146,46285,2523,1018,434
0500000US06065,6065,"Riverside County, California",2010,670075,6112,3146,926,10133,1365,18738,2151,26260,2411,21086,1987,22222,2016,24059,2607,26759,2676,32179,2978,35054,2969,149739,6160,110824,4804,183376,4862,6500,1388
0500000US06067,6067,"Sacramento County, California",2010,514514,4461,1581,521,5356,974,17436,1661,19555,1783,16865,2103,16129,1736,25551,2281,31825,2688,34106,3009,30566,2854,123145,5700,80074,5023,106151,4261,6174,1235
0500000US06071,6071,"San Bernardino County, California",2010,594975,6295,3076,822,12640,1863,17867,2237,22016,2415,18991,2243,20823,2481,25830,2921,29828,3089,33791,3261,38080,3086,140188,5076,92991,4784,132537,4816,6317,1309
0500000US06073,6073,"San Diego County, California",2010,1061210,7516,3960,936,11795,1825,27513,2248,30531,2735,25338,2367,25999,2357,27167,2257,35936,2829,48088,3663,49553,3359,239887,7644,180837,5913,342850,6465,11756,1600
0500000US06075,6075,"San Francisco County, California",2010,336012,4358,703,379,3105,826,13322,1789,11295,1579,10444,1761,13705,1546,11876,1554,10325,1473,11138,1927,12112,1962,62792,3965,52107,3266,117604,4382,5484,1390
0500000US06077,6077,"San Joaquin County, California",2010,215469,3657,470,368,2484,875,7645,1237,7412,1145,6896,1263,7645,1300,11638,1502,11140,1604,13369,2082,12425,1796,49161,3486,34469,3003,46402,3011,4313,1195
0500000US06079,6079,"San Luis Obispo County, California",2010,99653,2679,422,278,1605,564,3471,763,3097,867,5217,1168,3997,1241,2738,860,4739,985,5586,1283,4884,1108,20127,1839,14020,1917,27476,2161,2274,751
0500000US06081,6081,"San Mateo County, California",2010,257509,2547,819,515,1401,483,4834,889,7523,1122,6992,1057,4660,861,4814,1075,5181,1057,7216,1355,5987,1270,54045,3410,36297,2764,114747,4188,2993,1015
0500000US06083,6083,"Santa Barbara County, California",2010,140842,2337,515,278,1762,582,5594,1079,5058,935,4862,922,4129,1045,4611,1107,5324,1027,7250,1604,6116,1201,28194,2187,23575,2416,40580,2603,3272,914
0500000US06085,6085,"Santa Clara County, California",2010,599235,3770,1409,573,3823,742,14303,1756,17004,1695,15916,1502,16086,1723,14543,1978,12728,1797,17419,1998,20713,2548,114434,5460,93258,4798,252299,4771,5300,1144
0500000US06087,6087,"Santa Cruz County, California",2010,91264,4582,171,191,1209,511,3543,954,3845,1122,3122,924,2835,768,2941,803,2973,1094,3203,748,3676,1056,16068,2176,13399,1880,32301,2482,1978,824
0500000US06089,6089,"Shasta County, California",2010,67909,2340,746,488,2054,694,3491,828,4872,1004,3430,950,3406,923,4131,966,4287,979,3922,1136,3196,925,15033,1778,9460,1771,8747,1318,1134,553
0500000US06095,6095,"Solano County, California",2010,140202,2400,266,164,1636,528,4253,914,5502,936,4421,795,4735,1004,3573,1075,4913,1266,4492,1115,6394,1352,31034,2498,26287,2523,40492,2823,2204,909
0500000US06097,6097,"Sonoma County, California",2010,185711,2464,599,442,3749,1097,4842,1101,5578,1087,6304,1094,6880,1199,5372,1026,6358,1384,8416,1412,7948,1196,40784,2880,28761,2685,57088,3113,3032,914
0500000US06099,6099,"Stanislaus County, California",2010,165761,2304,670,363,2731,725,6121,1276,6954,1204,5891,1021,6933,1220,8069,1491,7786,1407,10820,1713,10951,1665,40722,2967,24738,2362,29748,2534,3627,978
0500000US06101,6101,"Sutter County, California",2010,32066,932,167,148,591,303,1334,507,1559,506,1807,767,2050,710,2152,740,2911,820,1813,730,2058,781,6382,1257,4905,979,3783,903,554,312
0500000US06107,6107,"Tulare County, California",2010,129590,2227,646,321,2742,717,6934,1098,7648,1280,7109,1042,8003,1180,8553,1328,10167,1668,9579,1391,9293,1435,29701,2574,13085,1690,13290,1681,2840,625
0500000US06111,6111,"Ventura County, California",2010,265904,3691,1623,776,3040,993,7510,1375,8703,1177,7371,1412,7299,1266,7410,1218,6934,1395,7530,1212,9354,1765,47178,3221,43888,3448,105669,3984,2395,745
0500000US06113,6113,"Yolo County, California",2010,68585,4168,423,391,1147,452,2976,890,2369,614,3091,871,2264,575,3235,855,3512,935,3591,926,3854,1052,13674,1931,10952,2239,16527,1691,970,488
0500000US06115,6115,"Yuba County, California",2010,23175,1608,199,256,421,291,1465,642,1142,498,1144,500,1154,517,1704,676,1941,793,1171,525,1209,553,4400,988,2897,758,3762,851,566,306
0500000US06001,6001,"Alameda County, California",2011,545559,3859,1380,544,3254,742,17630,2121,15390,1734,15221,1586,14942,1874,13933,1766,18050,1956,22547,2720,23013,2356,115693,5346,88356,4669,186907,5294,9243,1453
0500000US06007,6007,"Butte County, California",2011,83634,2139,485,265,2724,803,4219,847,4434,864,4193,1181,5212,1147,5589,1160,6955,1557,5692,1349,6283,1457,16057,1796,10104,1630,9110,1616,2577,1141
