Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Less than $100,Margin of Error; Less than $100,Estimate; $100 to $199,Margin of Error; $100 to $199,Estimate; $200 to $299,Margin of Error; $200 to $299,Estimate; $300 to $399,Margin of Error; $300 to $399,Estimate; $400 to $499,Margin of Error; $400 to $499,Estimate; $500 to $599,Margin of Error; $500 to $599,Estimate; $600 to $699,Margin of Error; $600 to $699,Estimate; $700 to $799,Margin of Error; $700 to $799,Estimate; $800 to $899,Margin of Error; $800 to $899,Estimate; $900 to $999,Margin of Error; $900 to $999,"Estimate; $1,000 to $1,499","Margin of Error; $1,000 to $1,499","Estimate; $1,500 to $1,999","Margin of Error; $1,500 to $1,999","Estimate; $2,000 or more","Margin of Error; $2,000 or more",Estimate; No cash rent,Margin of Error; No cash rent
0500000US06079,6079,"San Luis Obispo County, California",2005,101996,2137,778,416,2706,779,3181,813,3955,886,4814,1504,4063,903,3340,843,7118,1618,5801,1288,5184,1111,20877,2116,16770,2179,20720,2113,2689,1125
0500000US06081,6081,"San Mateo County, California",2005,254227,2345,677,479,2397,783,6494,1015,8968,1229,6809,1078,7678,1411,5139,1043,8533,1710,10008,1872,11003,1659,51770,3556,37857,3567,94291,3954,2603,776
0500000US06083,6083,"Santa Barbara County, California",2005,137727,2590,480,270,2493,754,6496,1029,4993,1032,5045,950,4792,1096,4857,938,5435,1039,8204,1762,7165,1450,27156,2861,20906,2669,36516,2956,3189,912
0500000US06085,6085,"Santa Clara County, California",2005,580130,3400,1140,654,5366,1096,17679,2156,17672,2510,14445,1689,14544,1831,14192,2090,19521,2545,28356,3606,26038,2766,119669,5597,82943,4749,211367,6782,7198,1951
0500000US06087,6087,"Santa Cruz County, California",2005,93076,2053,195,166,1752,662,3844,829,2830,892,3387,802,4545,1118,3096,856,3099,810,2776,910,3949,952,20999,2414,12268,1560,28688,2130,1648,791
0500000US06089,6089,"Shasta County, California",2005,68152,1405,454,302,2705,952,5043,1008,4695,1040,4573,1184,5142,1195,4384,907,5086,1123,5180,1118,3325,939,14249,1684,7181,1320,5394,919,741,345
0500000US06095,6095,"Solano County, California",2005,134624,2179,160,152,1654,592,4645,1113,4494,1082,5090,982,3412,712,3918,1174,4616,857,4762,1099,6835,1660,31524,2915,23252,2168,38201,2593,2061,795
0500000US06097,6097,"Sonoma County, California",2005,177212,2075,488,240,2378,738,5754,970,7393,1305,6534,1296,6919,1367,5686,1017,7512,1516,9651,1945,9318,1774,33403,2983,27348,2570,52594,3075,2234,623
0500000US06099,6099,"Stanislaus County, California",2005,158342,1551,525,355,3193,965,7607,1503,6849,1145,6302,1120,8328,1354,11632,1936,11851,2053,9466,1436,8644,1560,36175,3213,21318,2351,22561,2517,3891,1233
0500000US06101,6101,"Sutter County, California",2005,29595,844,155,187,764,405,1992,580,1622,522,1713,468,2087,629,2415,655,1512,579,1703,633,1896,662,6671,1153,3276,708,2991,737,798,456
0500000US06107,6107,"Tulare County, California",2005,119621,1485,661,437,4031,1017,8891,1290,8233,1257,10869,1537,12031,1619,10568,1676,9314,1560,9168,1336,6701,1207,19565,1912,9699,1346,7000,1172,2890,745
0500000US06111,6111,"Ventura County, California",2005,252679,2257,1205,537,3842,720,7873,1434,7737,1226,9218,1417,8574,1920,7947,1417,7861,1436,7413,1428,10943,1734,47521,3185,48755,3293,80271,3929,3519,921
0500000US06113,6113,"Yolo County, California",2005,65761,1136,585,382,1020,511,3100,641,2659,767,2285,636,2409,709,3827,894,4173,887,3745,1028,5256,1049,14400,1677,10092,1503,11146,1397,1064,690
0500000US06115,6115,"Yuba County, California",2005,22632,818,239,287,693,344,1439,418,1654,703,2504,980,1473,583,1473,538,1663,604,2006,683,604,305,4405,1045,1490,493,1102,409,1887,541
0500000US06001,6001,"Alameda County, California",2006,517241,4016,1233,481,4640,955,16267,1759,18196,1969,17558,2316,13413,1580,15458,1892,20826,1970,25801,2605,26464,2624,113551,4954,68146,3911,169597,4489,6091,1139
0500000US06007,6007,"Butte County, California",2006,85513,1618,443,290,2349,818,5347,1094,5590,1237,6192,1072,6280,1321,6571,1229,7347,1618,5665,1297,5563,1190,16552,2260,8476,1350,7699,1178,1439,677
0500000US06013,6013,"Contra Costa County, California",2006,359371,3514,1126,499,3086,753,9066,1222,12932,1743,10575,1504,8868,1258,8039,1299,8490,1347,12143,1848,14715,1995,64765,3767,47181,3167,154441,4577,3944,1287
0500000US06017,6017,"El Dorado County, California",2006,63235,2065,498,448,519,244,1953,560,1907,604,1961,667,3242,985,2699,698,2000,828,2218,943,2210,685,12004,1655,8786,1209,22695,1582,543,416
0500000US06019,6019,"Fresno County, California",2006,277256,2452,1141,463,4690,1030,13014,1649,14809,2050,14936,1807,21047,2230,22656,2259,24977,2644,20900,2626,16688,1873,52141,3109,32685,2688,30616,2338,6956,1288
0500000US06023,6023,"Humboldt County, California",2006,52660,1383,491,306,1693,570,3454,852,3222,754,3389,901,5314,1175,4979,1133,3899,833,3685,875,3142,975,9019,1463,5212,930,3474,640,1687,654
0500000US06025,6025,"Imperial County, California",2006,45204,1450,158,136,1352,571,2462,630,3525,855,3116,940,3330,811,4768,1262,3239,874,1401,513,2868,731,7922,1574,6550,1396,3274,837,1239,585
0500000US06029,6029,"Kern County, California",2006,238229,2657,830,473,5945,1290,10964,1503,13169,1850,16673,1801,17860,2050,19542,2441,17396,2253,14536,1610,13762,2008,52013,3269,27014,2601,24288,2248,4237,1051
0500000US06031,6031,"Kings County, California",2006,39702,730,442,338,953,406,2155,617,1457,465,3009,852,3493,1046,2719,750,2675,829,3025,944,1661,671,7771,1179,4124,899,3241,824,2977,779
0500000US06033,6033,"Lake County, California",2006,25212,1861,124,145,922,552,1616,658,2127,734,1074,593,1934,734,2059,954,1492,715,1397,816,1703,868,4009,1191,2387,803,3349,1041,1019,636
0500000US06037,6037,"Los Angeles County, California",2006,3172032,6982,8909,1356,34127,2704,98935,4054,91997,3413,98727,4447,120444,4422,152777,6745,196991,7732,215095,7268,213355,7453,717076,13560,417591,10368,766496,10885,39512,2676
0500000US06039,6039,"Madera County, California",2006,41052,1511,451,340,1251,550,1851,610,1694,643,2160,655,2758,949,2062,752,3407,1067,2411,746,2687,691,9564,1524,4835,1006,4926,1261,995,502
0500000US06041,6041,"Marin County, California",2006,100201,1616,409,380,944,505,1090,412,3354,801,3541,974,1825,654,2486,694,2833,877,2223,746,2676,832,18793,1786,14714,1523,44395,2367,918,429
0500000US06045,6045,"Mendocino County, California",2006,33169,1258,76,95,1917,593,2752,976,2778,722,1347,582,1419,577,2109,784,1740,644,1271,523,2301,706,5743,1146,4126,1125,4337,924,1253,488
0500000US06047,6047,"Merced County, California",2006,72180,1892,214,229,1099,475,3572,764,5145,1090,3663,869,6906,1532,4038,1143,4906,1104,5477,1384,3576,969,14836,1829,8115,1395,8469,1439,2164,753
0500000US06053,6053,"Monterey County, California",2006,123600,2003,687,379,1767,607,5119,1120,4950,1064,4501,1145,4282,899,5470,1239,5278,1045,6755,1181,8115,1585,24158,1913,16709,2329,33375,2427,2434,796
0500000US06055,6055,"Napa County, California",2006,47854,1272,350,268,884,436,2349,832,808,394,1580,540,1567,525,1828,717,3229,954,2039,724,2265,846,8146,1354,5863,1181,15490,1768,1456,664
0500000US06057,6057,"Nevada County, California",2006,39426,1503,121,149,665,381,1129,477,1422,565,3575,999,1777,536,1657,583,1854,723,2499,916,978,525,8042,1507,7072,1116,8433,1293,202,179
0500000US06059,6059,"Orange County, California",2006,971208,3581,3964,921,10538,1602,26710,2349,28518,2513,23594,2051,20056,2063,17885,1885,23170,2477,30447,2671,38412,3154,224460,7475,165174,6117,349638,8335,8642,1436
0500000US06061,6061,"Placer County, California",2006,123334,2363,187,156,740,407,3167,883,4372,876,4323,885,3765,781,5379,1120,4970,1215,6413,1550,6718,1271,23543,2388,17380,2135,41100,2663,1277,530
0500000US06065,6065,"Riverside County, California",2006,643239,5284,2594,629,11351,1638,23196,2167,23952,1886,23409,2656,26391,2666,28348,2373,27598,2515,30400,2719,31856,2973,129840,6128,94551,4697,181160,5682,8593,1476
0500000US06067,6067,"Sacramento County, California",2006,500292,3592,1444,682,6751,1203,15978,1822,19069,2060,17415,1910,16728,1978,24734,2453,30766,2966,33623,2659,32176,3141,107240,6069,74773,4564,113776,4713,5819,1190
0500000US06071,6071,"San Bernardino County, California",2006,592650,4657,2607,796,11812,1475,20772,1873,21664,2272,21808,2199,21634,2537,24282,2378,30584,3126,35266,2815,37113,3074,134985,5237,95635,4840,127388,5189,7100,1403
0500000US06073,6073,"San Diego County, California",2006,1039619,6525,4430,915,14135,1575,35130,2726,32085,2308,28116,2616,27475,2257,34316,2772,45066,3567,54008,3489,56470,3490,221839,7199,158810,6237,313102,7913,14637,1812
0500000US06075,6075,"San Francisco County, California",2006,322547,3195,1178,577,4899,1119,15691,2172,13080,1691,13046,1883,10307,1549,12847,1735,12607,1921,13868,1833,12500,1541,66221,3421,46516,3409,93779,4333,6008,1246
0500000US06077,6077,"San Joaquin County, California",2006,210462,2349,966,501,3183,706,7230,1143,9130,1339,8700,1263,9521,1467,11782,1876,12588,1931,11622,1801,12057,1724,37043,2855,30358,2795,51997,3027,4285,1184
0500000US06079,6079,"San Luis Obispo County, California",2006,102007,2332,320,222,1625,583,3904,859,3698,1032,4698,1020,4523,839,5817,1134,4990,1060,4701,1189,5070,1193,23867,2198,13264,2089,22453,1876,3077,1074
0500000US06081,6081,"San Mateo County, California",2006,251755,2520,865,575,2827,817,7259,1296,8120,1108,6380,1114,6511,1278,5994,1071,5155,1063,7074,1180,10078,1448,49667,3490,33835,3197,105434,3549,2556,1073
0500000US06083,6083,"Santa Barbara County, California",2006,140752,2058,856,396,2859,746,6336,955,4830,879,4615,1066,4699,1175,4443,854,5816,1023,7709,1403,8375,1572,29048,2752,19705,2323,38199,2317,3262,693
0500000US06085,6085,"Santa Clara County, California",2006,585430,2909,1981,614,4124,744,17179,2011,15630,1638,14221,1514,14835,1948,12649,1580,16444,1969,24568,2368,23669,2196,119276,4158,81311,4379,232564,5841,6979,1248
0500000US06087,6087,"Santa Cruz County, California",2006,92998,1704,377,246,743,322,2170,663,4609,1052,3750,1084,3035,889,3092,955,2299,700,3465,1002,3080,757,18023,1984,13916,1694,32693,1898,1746,727
0500000US06089,6089,"Shasta County, California",2006,68385,1504,688,398,2578,768,2817,639,4821,869,4283,990,5156,1226,6267,1271,3944,946,5680,1405,3370,944,14255,2069,6927,1038,6758,1045,841,500
0500000US06095,6095,"Solano County, California",2006,137306,1831,251,221,1029,393,4359,942,4414,1034,3876,783,3054,719,3212,779,4264,1123,5559,1122,7901,1370,27369,2219,22469,1982,46362,2897,3187,891
0500000US06097,6097,"Sonoma County, California",2006,178483,1920,488,328,2248,626,5875,1181,7224,1265,5233,995,6229,1097,6941,1312,6389,1337,9575,1480,7639,1153,36056,2610,28380,2800,52920,3029,3286,799
0500000US06099,6099,"Stanislaus County, California",2006,160431,2017,491,423,2328,699,6671,1135,7317,1217,6693,1228,8340,1303,9268,1393,10407,1773,8524,1528,7610,1315,33445,2885,23842,2768,33061,2793,2434,666
