Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Median household income for units with a mortgage,Margin of Error; Total: - Median household income for units with a mortgage,Estimate; Total: - Median household for units without a mortgage,Margin of Error; Total: - Median household for units without a mortgage
0500000US06013,6013,"Contra Costa County, California",2007,93160,2414,102029,2487,52279,2724
0500000US06017,6017,"El Dorado County, California",2007,81115,6291,92040,5050,46312,6937
0500000US06019,6019,"Fresno County, California",2007,66070,2880,73569,2909,44137,3443
0500000US06023,6023,"Humboldt County, California",2007,47852,5046,63064,9083,31765,4760
0500000US06025,6025,"Imperial County, California",2007,53606,4718,62841,7391,29571,8169
0500000US06029,6029,"Kern County, California",2007,60623,2108,67189,3095,36573,3613
0500000US06031,6031,"Kings County, California",2007,62490,5255,70953,6732,30004,6044
0500000US06033,6033,"Lake County, California",2007,46915,8128,67464,15205,30370,5849
0500000US06037,6037,"Los Angeles County, California",2007,78567,956,86738,1110,48684,1295
0500000US06039,6039,"Madera County, California",2007,63552,5522,70184,7294,39756,6685
0500000US06041,6041,"Marin County, California",2007,107269,5634,122288,8073,66434,10440
0500000US06045,6045,"Mendocino County, California",2007,54257,6309,74268,7696,35809,5694
0500000US06047,6047,"Merced County, California",2007,61400,4527,68564,5729,40611,9912
0500000US06053,6053,"Monterey County, California",2007,75745,3390,82993,5238,56501,6900
0500000US06055,6055,"Napa County, California",2007,80089,9693,99889,7597,42492,7159
0500000US06057,6057,"Nevada County, California",2007,63752,4062,71212,7077,52692,9958
0500000US06059,6059,"Orange County, California",2007,93249,1514,104361,1411,53416,2592
0500000US06061,6061,"Placer County, California",2007,84236,3514,94030,2835,46324,5242
0500000US06065,6065,"Riverside County, California",2007,70155,1276,79552,1557,39221,1960
0500000US06067,6067,"Sacramento County, California",2007,75367,1691,82837,1995,47087,2828
0500000US06071,6071,"San Bernardino County, California",2007,69297,1917,76758,1843,38539,3315
0500000US06073,6073,"San Diego County, California",2007,82944,1155,92965,1649,46100,2149
0500000US06075,6075,"San Francisco County, California",2007,101558,4175,123915,5716,51348,4475
0500000US06077,6077,"San Joaquin County, California",2007,69290,3792,79794,2987,42163,3449
0500000US06079,6079,"San Luis Obispo County, California",2007,78792,4417,90715,5990,47308,6488
0500000US06081,6081,"San Mateo County, California",2007,102243,2927,115394,4070,62313,3555
0500000US06083,6083,"Santa Barbara County, California",2007,80274,4409,92996,5055,50065,5179
0500000US06085,6085,"Santa Clara County, California",2007,108924,2169,119383,2980,68930,3694
0500000US06087,6087,"Santa Cruz County, California",2007,81888,4443,95010,6417,54156,4554
0500000US06089,6089,"Shasta County, California",2007,53687,5010,62443,4178,35008,4743
0500000US06095,6095,"Solano County, California",2007,84374,3065,92043,2740,49861,3929
0500000US06097,6097,"Sonoma County, California",2007,78768,2547,89610,3374,47528,3755
0500000US06099,6099,"Stanislaus County, California",2007,65061,2662,72618,3268,33721,3227
0500000US06101,6101,"Sutter County, California",2007,65899,7618,73781,6725,34346,6224
0500000US06107,6107,"Tulare County, California",2007,50790,2988,59514,4244,36242,4224
0500000US06111,6111,"Ventura County, California",2007,87583,2668,96658,2879,48878,3656
0500000US06113,6113,"Yolo County, California",2007,85029,6298,100313,5836,48401,7222
0500000US06115,6115,"Yuba County, California",2007,66665,7669,72236,6505,38860,9829
0500000US06001,6001,"Alameda County, California",2008,98064,2474,107661,2287,57739,3367
0500000US06007,6007,"Butte County, California",2008,52461,3832,68197,5136,35165,2883
0500000US06013,6013,"Contra Costa County, California",2008,98909,2594,106325,2314,59926,4007
0500000US06017,6017,"El Dorado County, California",2008,80286,5645,92761,7376,53997,5417
0500000US06019,6019,"Fresno County, California",2008,66321,2265,73609,2884,42409,3421
0500000US06023,6023,"Humboldt County, California",2008,55801,3460,63960,4546,31388,7002
0500000US06025,6025,"Imperial County, California",2008,54509,7059,66650,8414,31351,7348
0500000US06029,6029,"Kern County, California",2008,59006,3315,67006,3039,36986,3660
0500000US06031,6031,"Kings County, California",2008,62141,4585,70459,7298,37632,5661
0500000US06033,6033,"Lake County, California",2008,50956,5776,58740,6478,36704,7382
0500000US06037,6037,"Los Angeles County, California",2008,81778,982,90248,1139,51229,1176
0500000US06039,6039,"Madera County, California",2008,65232,8345,72075,6581,46735,6991
0500000US06041,6041,"Marin County, California",2008,117257,5875,129928,6536,75127,9762
0500000US06045,6045,"Mendocino County, California",2008,59707,3534,71362,12267,43006,9480
0500000US06047,6047,"Merced County, California",2008,61879,4816,67974,4615,45158,5979
0500000US06053,6053,"Monterey County, California",2008,76374,4438,84216,3747,55881,5713
0500000US06055,6055,"Napa County, California",2008,86029,5943,104213,4791,48339,8014
0500000US06057,6057,"Nevada County, California",2008,64639,5340,80295,10577,47780,4923
0500000US06059,6059,"Orange County, California",2008,96518,1732,106206,1692,54772,3671
0500000US06061,6061,"Placer County, California",2008,89335,3460,101732,2822,47058,4562
0500000US06065,6065,"Riverside County, California",2008,70653,1293,80527,1610,39303,1973
0500000US06067,6067,"Sacramento County, California",2008,75328,2176,83414,2062,46858,2454
0500000US06071,6071,"San Bernardino County, California",2008,69630,1861,76679,1941,40562,1798
0500000US06073,6073,"San Diego County, California",2008,86196,1537,96137,1627,50225,2074
0500000US06075,6075,"San Francisco County, California",2008,109172,4661,125824,7643,59976,5748
0500000US06077,6077,"San Joaquin County, California",2008,73810,2986,82912,3168,45845,4189
0500000US06079,6079,"San Luis Obispo County, California",2008,74201,4428,86939,4503,47595,5934
0500000US06081,6081,"San Mateo County, California",2008,107167,3739,121292,5556,65023,4602
0500000US06083,6083,"Santa Barbara County, California",2008,81405,3927,92431,4810,48613,4702
0500000US06085,6085,"Santa Clara County, California",2008,111879,2254,123884,3074,71746,4440
0500000US06087,6087,"Santa Cruz County, California",2008,91260,4870,103002,4637,51125,6935
0500000US06089,6089,"Shasta County, California",2008,54221,4896,63711,4301,35613,4617
0500000US06095,6095,"Solano County, California",2008,85433,3938,96114,4726,48341,4256
0500000US06097,6097,"Sonoma County, California",2008,80224,3615,94781,4251,40585,2311
0500000US06099,6099,"Stanislaus County, California",2008,65892,2997,72751,3284,41800,3169
0500000US06101,6101,"Sutter County, California",2008,63879,5467,70158,4218,35462,8605
0500000US06107,6107,"Tulare County, California",2008,59669,3735,65683,3262,42014,6872
0500000US06111,6111,"Ventura County, California",2008,96512,3396,104943,2282,53969,3465
0500000US06113,6113,"Yolo County, California",2008,84996,9230,97881,8320,53167,8894
0500000US06115,6115,"Yuba County, California",2008,63446,9454,77516,9780,31529,10671
0500000US06001,6001,"Alameda County, California",2009,98014,2269,109180,2060,55843,3764
0500000US06007,6007,"Butte County, California",2009,53151,3317,63105,3380,35077,4030
0500000US06013,6013,"Contra Costa County, California",2009,95146,3402,104950,3002,55359,3641
0500000US06017,6017,"El Dorado County, California",2009,82837,5677,97510,6459,55184,11354
0500000US06019,6019,"Fresno County, California",2009,63508,2201,70165,3196,42865,4258
0500000US06023,6023,"Humboldt County, California",2009,51316,3892,62159,7104,38264,4318
0500000US06025,6025,"Imperial County, California",2009,55129,7519,70182,9827,28681,3950
0500000US06029,6029,"Kern County, California",2009,61040,1630,67216,3450,40062,3416
0500000US06031,6031,"Kings County, California",2009,54773,3226,57121,4210,44308,10158
0500000US06033,6033,"Lake County, California",2009,55375,5088,74870,8580,26613,4219
0500000US06037,6037,"Los Angeles County, California",2009,79610,820,87114,1001,50406,1436
0500000US06039,6039,"Madera County, California",2009,54947,4424,59202,8293,37277,7579
0500000US06041,6041,"Marin County, California",2009,112600,6297,128245,6816,72143,14334
0500000US06045,6045,"Mendocino County, California",2009,51780,3633,75050,7815,29296,3938
0500000US06047,6047,"Merced County, California",2009,58751,3575,62260,3774,47301,6435
0500000US06053,6053,"Monterey County, California",2009,79160,4717,90228,5549,43948,8464
0500000US06055,6055,"Napa County, California",2009,89627,8627,102097,11508,51571,7308
0500000US06057,6057,"Nevada County, California",2009,67994,5432,75888,9938,43273,7337
0500000US06059,6059,"Orange County, California",2009,91475,1933,102333,1731,55694,2561
0500000US06061,6061,"Placer County, California",2009,85265,4136,94884,5756,54758,5853
0500000US06065,6065,"Riverside County, California",2009,67647,1392,77823,1916,36434,1903
0500000US06067,6067,"Sacramento County, California",2009,71260,1483,80184,1964,46548,2329
0500000US06071,6071,"San Bernardino County, California",2009,66002,1759,74817,1718,36882,2302
0500000US06073,6073,"San Diego County, California",2009,82393,1250,91871,1449,49679,2649
0500000US06075,6075,"San Francisco County, California",2009,104190,6104,122514,7998,66150,6808
0500000US06077,6077,"San Joaquin County, California",2009,68923,3239,77945,3156,42102,4375
0500000US06079,6079,"San Luis Obispo County, California",2009,73776,4983,85661,5845,48121,6161
0500000US06081,6081,"San Mateo County, California",2009,112978,3691,126658,2968,64994,5319
0500000US06083,6083,"Santa Barbara County, California",2009,79014,5178,92681,5480,55271,5168
0500000US06085,6085,"Santa Clara County, California",2009,109763,2744,122059,1992,63169,4507
0500000US06087,6087,"Santa Cruz County, California",2009,83624,5610,97805,6196,51310,11515
0500000US06089,6089,"Shasta County, California",2009,52760,2034,62201,6072,37333,3741
0500000US06095,6095,"Solano County, California",2009,81070,3347,88897,4047,48714,5043
0500000US06097,6097,"Sonoma County, California",2009,81570,3005,94011,5327,46147,4422
0500000US06099,6099,"Stanislaus County, California",2009,62289,2477,71578,2918,39758,3238
0500000US06101,6101,"Sutter County, California",2009,61816,3691,64496,5808,45170,6493
0500000US06107,6107,"Tulare County, California",2009,54982,3004,60713,3376,37654,3445
0500000US06111,6111,"Ventura County, California",2009,89226,3092,99429,2220,46660,3298
0500000US06113,6113,"Yolo County, California",2009,85305,2175,87551,5228,70908,15640
0500000US06115,6115,"Yuba County, California",2009,55036,6543,63386,3744,39677,11630
0500000US06001,6001,"Alameda County, California",2010,97977,2990,108275,3146,61123,3445
0500000US06007,6007,"Butte County, California",2010,54433,3711,68250,5599,33955,4089
0500000US06013,6013,"Contra Costa County, California",2010,95459,2690,107279,3090,54254,3393
0500000US06017,6017,"El Dorado County, California",2010,80321,6528,88771,5778,51849,6735
0500000US06019,6019,"Fresno County, California",2010,65352,2061,72537,2574,47419,5381
0500000US06023,6023,"Humboldt County, California",2010,54556,6464,62202,4437,36394,4315
0500000US06025,6025,"Imperial County, California",2010,54367,4264,63791,8438,35943,7579
0500000US06029,6029,"Kern County, California",2010,61561,2051,69006,2954,39483,3675
0500000US06031,6031,"Kings County, California",2010,66583,5669,76816,12512,44370,7678
0500000US06033,6033,"Lake County, California",2010,41838,6560,51748,10505,25928,5567
0500000US06037,6037,"Los Angeles County, California",2010,78711,1095,87028,1009,49566,1232
0500000US06039,6039,"Madera County, California",2010,60123,6799,66006,6811,42846,8205
0500000US06041,6041,"Marin County, California",2010,110170,7706,125708,9507,69408,13495
0500000US06045,6045,"Mendocino County, California",2010,45453,5754,57548,5462,31076,4369
0500000US06047,6047,"Merced County, California",2010,56475,6223,62087,4254,38222,4498
0500000US06053,6053,"Monterey County, California",2010,72615,4724,83673,4980,50088,7151
0500000US06055,6055,"Napa County, California",2010,87750,6342,98238,5129,43902,11245
0500000US06057,6057,"Nevada County, California",2010,67998,5158,77127,5151,46192,6564
0500000US06059,6059,"Orange County, California",2010,92447,1589,103383,1591,55115,2575
0500000US06061,6061,"Placer County, California",2010,80887,3854,91440,4753,46814,6527
0500000US06065,6065,"Riverside County, California",2010,66100,1334,75310,1680,38643,1544
0500000US06067,6067,"Sacramento County, California",2010,72691,1737,79352,2094,48111,2909
0500000US06071,6071,"San Bernardino County, California",2010,66588,1774,74279,1936,39401,3497
0500000US06073,6073,"San Diego County, California",2010,81747,1060,91605,1194,48713,2153
0500000US06075,6075,"San Francisco County, California",2010,107725,5391,127119,7562,64437,4676
0500000US06077,6077,"San Joaquin County, California",2010,70174,2262,76437,3034,43110,2940
0500000US06079,6079,"San Luis Obispo County, California",2010,72373,4059,83999,4611,42881,4447
0500000US06081,6081,"San Mateo County, California",2010,105708,3751,121279,4037,60587,4385
0500000US06083,6083,"Santa Barbara County, California",2010,76848,3550,88093,5628,49833,5171
0500000US06085,6085,"Santa Clara County, California",2010,109867,2254,126786,3772,64133,4621
0500000US06087,6087,"Santa Cruz County, California",2010,84702,4243,95691,6260,54035,7416
0500000US06089,6089,"Shasta County, California",2010,50120,4234,61404,5557,35404,3745
0500000US06095,6095,"Solano County, California",2010,78140,3402,86216,3858,53892,3591
0500000US06097,6097,"Sonoma County, California",2010,74012,2622,86225,4116,48140,3927
0500000US06099,6099,"Stanislaus County, California",2010,61662,2342,71480,3930,36125,2731
0500000US06101,6101,"Sutter County, California",2010,57321,7732,66855,9816,38022,7760
0500000US06107,6107,"Tulare County, California",2010,57435,2635,62616,3654,34922,4183
0500000US06111,6111,"Ventura County, California",2010,91343,2641,102148,4201,52506,4748
0500000US06113,6113,"Yolo County, California",2010,83396,4671,98252,5732,53762,7520
0500000US06115,6115,"Yuba County, California",2010,58802,4640,67710,10691,34638,7325
0500000US06001,6001,"Alameda County, California",2011,98825,2596,108605,3423,59313,4422
0500000US06007,6007,"Butte County, California",2011,53433,4603,63887,3378,32976,5480
0500000US06013,6013,"Contra Costa County, California",2011,97006,4292,110327,4682,53375,4256
