Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Median household income for units with a mortgage,Margin of Error; Total: - Median household income for units with a mortgage,Estimate; Total: - Median household for units without a mortgage,Margin of Error; Total: - Median household for units without a mortgage
0500000US06047,6047,"Merced County, California",2013,55619,3421,63767,4559,39621,5328
0500000US06053,6053,"Monterey County, California",2013,78851,2714,89340,5565,54858,5065
0500000US06055,6055,"Napa County, California",2013,87715,7537,99611,7541,57806,6942
0500000US06057,6057,"Nevada County, California",2013,65669,5596,79073,6801,45450,8358
0500000US06059,6059,"Orange County, California",2013,98756,2169,111135,1952,60990,2014
0500000US06061,6061,"Placer County, California",2013,88835,3656,101534,3076,57169,6338
0500000US06065,6065,"Riverside County, California",2013,68406,1415,77193,1968,43758,2501
0500000US06067,6067,"Sacramento County, California",2013,71779,1657,80196,2165,49942,2550
0500000US06071,6071,"San Bernardino County, California",2013,66721,1331,75771,1643,43734,1925
0500000US06073,6073,"San Diego County, California",2013,85340,1664,97593,2138,52459,2555
0500000US06075,6075,"San Francisco County, California",2013,114121,5138,141760,8798,64298,6927
0500000US06077,6077,"San Joaquin County, California",2013,69198,4018,78711,3052,45784,3098
0500000US06079,6079,"San Luis Obispo County, California",2013,79961,4529,90757,5807,52141,6845
0500000US06081,6081,"San Mateo County, California",2013,117836,5525,133555,5294,74644,7523
0500000US06083,6083,"Santa Barbara County, California",2013,84093,4845,103156,8955,51799,4213
0500000US06085,6085,"Santa Clara County, California",2013,120599,1549,138110,2868,72210,3141
0500000US06087,6087,"Santa Cruz County, California",2013,93189,4914,106242,7763,53510,11517
0500000US06089,6089,"Shasta County, California",2013,50940,4745,65130,6262,35456,4720
0500000US06095,6095,"Solano County, California",2013,82563,3152,93681,5729,50165,5174
0500000US06097,6097,"Sonoma County, California",2013,81802,2278,95667,5082,50837,3037
0500000US06099,6099,"Stanislaus County, California",2013,64551,3782,72126,3414,43065,6033
0500000US06101,6101,"Sutter County, California",2013,65070,9659,75431,10389,49588,12563
0500000US06107,6107,"Tulare County, California",2013,54053,2795,61028,5006,39446,4709
0500000US06111,6111,"Ventura County, California",2013,97487,3300,107199,3299,61967,6440
0500000US06113,6113,"Yolo County, California",2013,81066,7441,98979,8282,57184,8048
0500000US06115,6115,"Yuba County, California",2013,58339,3359,62567,9405,39053,11290
