Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Median value for units with a mortgage,Margin of Error; Total: - Median value for units with a mortgage,Estimate; Total: - Median value for units without a mortgage,Margin of Error; Total: - Median value for units without a mortgage
0500000US06101,6101,"Sutter County, California",2005,286600,19244,296400,18859,244400,35436
0500000US06107,6107,"Tulare County, California",2005,202400,7687,210700,7671,167400,8621
0500000US06111,6111,"Ventura County, California",2005,602700,7417,620800,7524,502700,27195
0500000US06113,6113,"Yolo County, California",2005,434900,12825,447100,15892,400200,32087
0500000US06115,6115,"Yuba County, California",2005,247000,16797,260000,27528,226000,36307
0500000US06001,6001,"Alameda County, California",2006,646800,5277,658600,6161,600400,12156
0500000US06007,6007,"Butte County, California",2006,273700,12040,304600,14369,204800,19265
0500000US06013,6013,"Contra Costa County, California",2006,641900,6695,658600,7775,562200,23662
0500000US06017,6017,"El Dorado County, California",2006,515100,22758,547900,23407,412400,37932
0500000US06019,6019,"Fresno County, California",2006,301400,6522,316300,6776,239700,9209
0500000US06023,6023,"Humboldt County, California",2006,336000,8262,347700,9788,313000,22108
0500000US06025,6025,"Imperial County, California",2006,245100,12467,263700,8847,166100,14188
0500000US06029,6029,"Kern County, California",2006,255100,6313,273500,5873,195900,9260
0500000US06031,6031,"Kings County, California",2006,228000,12180,243600,14128,179100,14826
0500000US06033,6033,"Lake County, California",2006,317800,26216,338100,36392,286500,44266
0500000US06037,6037,"Los Angeles County, California",2006,574100,2897,584300,3364,532900,7733
0500000US06039,6039,"Madera County, California",2006,336500,15567,352500,18807,246300,71398
0500000US06041,6041,"Marin County, California",2006,901900,16081,923400,20108,841700,37133
0500000US06045,6045,"Mendocino County, California",2006,457400,25933,474800,27056,415400,64295
0500000US06047,6047,"Merced County, California",2006,359300,9036,372000,12243,327700,15632
0500000US06053,6053,"Monterey County, California",2006,685100,16288,694200,18557,654200,38970
0500000US06055,6055,"Napa County, California",2006,657300,17557,675800,19537,599600,49409
0500000US06057,6057,"Nevada County, California",2006,478400,16491,488900,19991,450400,38979
0500000US06059,6059,"Orange County, California",2006,676000,4493,698400,5370,589800,9066
0500000US06061,6061,"Placer County, California",2006,507900,18417,529800,19801,462500,18972
0500000US06065,6065,"Riverside County, California",2006,414000,4274,437400,3997,293300,17358
0500000US06067,6067,"Sacramento County, California",2006,389200,3323,398700,4034,343200,9748
0500000US06071,6071,"San Bernardino County, California",2006,378100,3670,395900,4919,258300,20440
0500000US06073,6073,"San Diego County, California",2006,572000,4093,590100,5233,494800,10730
0500000US06075,6075,"San Francisco County, California",2006,806700,14966,813500,18491,792300,27527
0500000US06077,6077,"San Joaquin County, California",2006,427000,7456,443500,7314,346200,19451
0500000US06079,6079,"San Luis Obispo County, California",2006,581000,17537,603100,23007,518900,40751
0500000US06081,6081,"San Mateo County, California",2006,814700,11103,833100,11956,746900,29135
0500000US06083,6083,"Santa Barbara County, California",2006,685700,28193,721800,34097,570800,67256
0500000US06085,6085,"Santa Clara County, California",2006,743000,7385,750100,9108,714100,18199
0500000US06087,6087,"Santa Cruz County, California",2006,717100,19848,735300,19972,638800,54634
0500000US06089,6089,"Shasta County, California",2006,290500,12253,300100,14459,250000,31632
0500000US06095,6095,"Solano County, California",2006,489600,7170,499200,11751,434900,16597
0500000US06097,6097,"Sonoma County, California",2006,618500,8232,632200,10417,572500,21603
0500000US06099,6099,"Stanislaus County, California",2006,371700,5121,380000,5891,335600,11233
0500000US06101,6101,"Sutter County, California",2006,335300,12296,352600,13558,226400,16753
0500000US06107,6107,"Tulare County, California",2006,232100,5672,244500,6422,175800,13736
0500000US06111,6111,"Ventura County, California",2006,648000,6283,663000,7124,562800,21113
0500000US06113,6113,"Yolo County, California",2006,455700,17459,468800,19781,396200,43162
0500000US06115,6115,"Yuba County, California",2006,286400,18916,299700,24414,246300,32133
0500000US06001,6001,"Alameda County, California",2007,651800,5705,661200,6483,616600,13322
0500000US06007,6007,"Butte County, California",2007,288100,13433,315000,15308,231500,25916
0500000US06013,6013,"Contra Costa County, California",2007,622200,6425,634300,7638,567900,19897
0500000US06017,6017,"El Dorado County, California",2007,506500,20206,521600,22213,450100,44796
0500000US06019,6019,"Fresno County, California",2007,296300,6098,314200,7939,237600,10259
0500000US06023,6023,"Humboldt County, California",2007,321000,13183,340300,12905,273300,36657
0500000US06025,6025,"Imperial County, California",2007,247000,11361,264700,11875,196500,17973
0500000US06029,6029,"Kern County, California",2007,256800,6529,274400,6057,192100,13789
0500000US06031,6031,"Kings County, California",2007,240700,9296,247400,11733,208200,25393
0500000US06033,6033,"Lake County, California",2007,301800,27985,334900,31281,246600,47791
0500000US06037,6037,"Los Angeles County, California",2007,589100,2733,600500,3239,543000,7939
0500000US06039,6039,"Madera County, California",2007,332200,14849,348700,17607,282200,30757
0500000US06041,6041,"Marin County, California",2007,918700,18695,947800,21998,816300,43924
0500000US06045,6045,"Mendocino County, California",2007,469000,29525,497400,38507,393300,48157
0500000US06047,6047,"Merced County, California",2007,323700,12985,338400,13931,248400,25480
0500000US06053,6053,"Monterey County, California",2007,658700,9598,666300,11997,625600,31038
0500000US06055,6055,"Napa County, California",2007,643400,19539,674600,22998,489600,77674
0500000US06057,6057,"Nevada County, California",2007,477900,16162,501900,37109,432500,20230
0500000US06059,6059,"Orange County, California",2007,670600,4390,690300,5160,595600,9892
0500000US06061,6061,"Placer County, California",2007,483700,10819,493000,11433,444000,25820
0500000US06065,6065,"Riverside County, California",2007,406300,4376,429700,4526,292900,20976
0500000US06067,6067,"Sacramento County, California",2007,370600,2654,379400,3121,327400,8697
0500000US06071,6071,"San Bernardino County, California",2007,387000,4046,404500,5973,294100,17711
0500000US06073,6073,"San Diego County, California",2007,556500,5568,572800,5995,494300,9839
0500000US06075,6075,"San Francisco County, California",2007,830700,17971,858000,18906,751600,36793
0500000US06077,6077,"San Joaquin County, California",2007,399500,7785,424000,10189,330200,14614
0500000US06079,6079,"San Luis Obispo County, California",2007,578900,17834,604000,19773,492100,34662
0500000US06081,6081,"San Mateo County, California",2007,843100,9738,849300,12032,825300,27814
0500000US06083,6083,"Santa Barbara County, California",2007,641800,31946,672400,37455,559800,66091
0500000US06085,6085,"Santa Clara County, California",2007,758100,10263,763400,11717,740300,18497
0500000US06087,6087,"Santa Cruz County, California",2007,756800,24612,781900,24972,665000,57009
0500000US06089,6089,"Shasta County, California",2007,255500,14718,285600,17945,204900,17004
0500000US06095,6095,"Solano County, California",2007,479500,8150,495900,11303,400700,23269
0500000US06097,6097,"Sonoma County, California",2007,613900,9422,629300,9804,561200,25332
0500000US06099,6099,"Stanislaus County, California",2007,358500,5446,368900,6416,317800,13638
0500000US06101,6101,"Sutter County, California",2007,292700,13489,315200,15851,244700,27476
0500000US06107,6107,"Tulare County, California",2007,235100,5032,245400,6547,196500,12668
0500000US06111,6111,"Ventura County, California",2007,641300,5755,651400,6458,596100,16880
0500000US06113,6113,"Yolo County, California",2007,444100,17487,459200,17269,381300,24962
0500000US06115,6115,"Yuba County, California",2007,284100,31517,313200,29889,179400,98025
0500000US06001,6001,"Alameda County, California",2008,606700,6830,619600,7372,550100,21995
0500000US06007,6007,"Butte County, California",2008,276900,9881,297800,13226,212100,22440
0500000US06013,6013,"Contra Costa County, California",2008,548600,12083,567600,13407,476600,19923
0500000US06017,6017,"El Dorado County, California",2008,446600,16055,462400,17501,384500,25398
0500000US06019,6019,"Fresno County, California",2008,261900,6243,271200,7055,223600,12530
0500000US06023,6023,"Humboldt County, California",2008,321200,13900,338300,14724,272600,25398
0500000US06025,6025,"Imperial County, California",2008,214100,11203,236200,11548,149200,20832
0500000US06029,6029,"Kern County, California",2008,222400,5012,235800,5819,170900,8825
0500000US06031,6031,"Kings County, California",2008,226300,6347,236000,7274,182800,20747
