Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Median value for units with a mortgage,Margin of Error; Total: - Median value for units with a mortgage,Estimate; Total: - Median value for units without a mortgage,Margin of Error; Total: - Median value for units without a mortgage
0500000US06031,6031,"Kings County, California",2013,169200,10858,176300,8172,143200,30957
0500000US06033,6033,"Lake County, California",2013,166400,15405,168300,16957,161800,38242
0500000US06037,6037,"Los Angeles County, California",2013,420200,3238,422600,3914,412400,7602
0500000US06039,6039,"Madera County, California",2013,174700,11846,172700,14813,178000,18460
0500000US06041,6041,"Marin County, California",2013,784200,29720,803800,30633,719300,48051
0500000US06045,6045,"Mendocino County, California",2013,297600,23778,299800,28671,291200,51605
0500000US06047,6047,"Merced County, California",2013,147200,9268,153300,8951,126600,19075
0500000US06053,6053,"Monterey County, California",2013,363800,12003,357900,14586,378000,26300
0500000US06055,6055,"Napa County, California",2013,443000,17904,458100,17720,363200,50797
0500000US06057,6057,"Nevada County, California",2013,337400,18300,338700,21763,334600,28533
0500000US06059,6059,"Orange County, California",2013,539000,7738,554600,8672,487800,10925
0500000US06061,6061,"Placer County, California",2013,352500,6814,359300,8329,330800,15856
0500000US06065,6065,"Riverside County, California",2013,236400,3871,249600,4784,179900,9252
0500000US06067,6067,"Sacramento County, California",2013,238000,3585,241400,4398,223100,10474
0500000US06071,6071,"San Bernardino County, California",2013,230500,4090,247500,4622,172600,9521
0500000US06073,6073,"San Diego County, California",2013,411000,5433,420900,5561,381200,9444
0500000US06075,6075,"San Francisco County, California",2013,778000,18102,801500,21162,733200,24538
0500000US06077,6077,"San Joaquin County, California",2013,208900,8081,216100,9424,187000,12441
0500000US06079,6079,"San Luis Obispo County, California",2013,436000,14633,428800,20520,453300,27623
0500000US06081,6081,"San Mateo County, California",2013,748300,19398,756200,28300,731700,28812
0500000US06083,6083,"Santa Barbara County, California",2013,437300,38706,453000,36926,392100,56830
0500000US06085,6085,"Santa Clara County, California",2013,682300,7115,688100,7487,663700,16355
0500000US06087,6087,"Santa Cruz County, California",2013,535500,27825,530800,31203,549200,59413
0500000US06089,6089,"Shasta County, California",2013,209700,9767,217900,11698,191900,23545
0500000US06095,6095,"Solano County, California",2013,259800,6576,269200,6791,217100,19273
0500000US06097,6097,"Sonoma County, California",2013,406900,12710,415500,15152,385000,31300
0500000US06099,6099,"Stanislaus County, California",2013,175000,6341,175700,8075,173900,10038
0500000US06101,6101,"Sutter County, California",2013,177800,13500,174700,16514,183200,23551
0500000US06107,6107,"Tulare County, California",2013,160400,6584,169500,6919,121300,9955
0500000US06111,6111,"Ventura County, California",2013,443700,7665,459800,9034,383700,13930
0500000US06113,6113,"Yolo County, California",2013,331200,13882,337600,15426,308300,38294
0500000US06115,6115,"Yuba County, California",2013,169800,15857,173600,14461,140800,50618
