Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
0500000US06095,6095,"Solano County, California",2013,58260,3135,496,271,3584,1143,5085,1117,6459,1361,7020,1515,4945,1361,5103,1181,6679,1179,16277,1821,2612,697
0500000US06097,6097,"Sonoma County, California",2013,78405,3228,2671,845,4711,1357,5869,1162,7272,1345,11264,1858,7502,1483,5237,1223,7221,1661,22682,2739,3976,1082
0500000US06099,6099,"Stanislaus County, California",2013,72737,2986,1524,659,3557,1049,7055,1590,8767,1616,5748,1328,7327,1555,5382,1405,6325,1248,22720,2381,4332,1179
0500000US06101,6101,"Sutter County, California",2013,12981,1322,326,354,911,477,1046,454,1479,621,981,398,1639,645,1472,741,1014,498,3568,792,545,242
0500000US06107,6107,"Tulare County, California",2013,62537,2708,2330,856,2889,971,6347,1459,6550,1393,7118,1404,5026,1628,4712,1485,6553,1522,17528,1903,3484,926
0500000US06111,6111,"Ventura County, California",2013,97654,3470,2717,938,5118,1188,9723,1656,11553,1773,9142,1367,10490,1834,7183,1421,10934,1650,26228,2549,4566,933
0500000US06113,6113,"Yolo County, California",2013,36208,2198,796,386,1786,601,3833,1048,3750,1002,4750,1314,2383,823,2462,947,2428,893,10512,1553,3508,1009
0500000US06115,6115,"Yuba County, California",2013,10823,1299,42,76,457,313,665,380,1267,595,975,429,1075,519,723,468,1875,799,3110,954,634,388
0500000US06001,6001,"Alameda County, California",2012,262069,5487,6706,1321,16699,1931,27861,2561,37511,3499,29733,2817,23407,2517,16520,1933,21045,2075,71476,4002,11111,1332
0500000US06007,6007,"Butte County, California",2012,34636,2502,625,306,1882,589,2229,707,3901,1050,3258,789,2877,1056,2713,897,3181,952,11540,1537,2430,693
