Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Housing units with a mortgage:,Margin of Error; Housing units with a mortgage:,Estimate; Housing units with a mortgage: - Less than 10.0 percent,Margin of Error; Housing units with a mortgage: - Less than 10.0 percent,Estimate; Housing units with a mortgage: - 10.0 to 14.9 percent,Margin of Error; Housing units with a mortgage: - 10.0 to 14.9 percent,Estimate; Housing units with a mortgage: - 15.0 to 19.9 percent,Margin of Error; Housing units with a mortgage: - 15.0 to 19.9 percent,Estimate; Housing units with a mortgage: - 20.0 to 24.9 percent,Margin of Error; Housing units with a mortgage: - 20.0 to 24.9 percent,Estimate; Housing units with a mortgage: - 25.0 to 29.9 percent,Margin of Error; Housing units with a mortgage: - 25.0 to 29.9 percent,Estimate; Housing units with a mortgage: - 30.0 to 34.9 percent,Margin of Error; Housing units with a mortgage: - 30.0 to 34.9 percent,Estimate; Housing units with a mortgage: - 35.0 to 39.9 percent,Margin of Error; Housing units with a mortgage: - 35.0 to 39.9 percent,Estimate; Housing units with a mortgage: - 40.0 to 49.9 percent,Margin of Error; Housing units with a mortgage: - 40.0 to 49.9 percent,Estimate; Housing units with a mortgage: - 50.0 percent or more,Margin of Error; Housing units with a mortgage: - 50.0 percent or more,Estimate; Housing units with a mortgage: - Not computed,Margin of Error; Housing units with a mortgage: - Not computed,Estimate; Housing units without a mortgage:,Margin of Error; Housing units without a mortgage:,Estimate; Housing units without a mortgage: - Less than 10.0 percent,Margin of Error; Housing units without a mortgage: - Less than 10.0 percent,Estimate; Housing units without a mortgage: - 10.0 to 14.9 percent,Margin of Error; Housing units without a mortgage: - 10.0 to 14.9 percent,Estimate; Housing units without a mortgage: - 15.0 to 19.9 percent,Margin of Error; Housing units without a mortgage: - 15.0 to 19.9 percent,Estimate; Housing units without a mortgage: - 20.0 to 24.9 percent,Margin of Error; Housing units without a mortgage: - 20.0 to 24.9 percent,Estimate; Housing units without a mortgage: - 25.0 to 29.9 percent,Margin of Error; Housing units without a mortgage: - 25.0 to 29.9 percent,Estimate; Housing units without a mortgage: - 30.0 to 34.9 percent,Margin of Error; Housing units without a mortgage: - 30.0 to 34.9 percent,Estimate; Housing units without a mortgage: - 35.0 to 39.9 percent,Margin of Error; Housing units without a mortgage: - 35.0 to 39.9 percent,Estimate; Housing units without a mortgage: - 40.0 to 49.9 percent,Margin of Error; Housing units without a mortgage: - 40.0 to 49.9 percent,Estimate; Housing units without a mortgage: - 50.0 percent or more,Margin of Error; Housing units without a mortgage: - 50.0 percent or more,Estimate; Housing units without a mortgage: - Not computed,Margin of Error; Housing units without a mortgage: - Not computed
0500000US06055,6055,"Napa County, California",2006,29915,1619,20706,1694,619,361,1017,416,2104,663,2649,749,3214,925,1910,566,1724,577,2457,702,5012,1280,0,289,9209,1100,3597,776,2153,591,1031,468,232,290,288,269,189,166,302,309,551,291,866,406,0,289
0500000US06057,6057,"Nevada County, California",2006,29191,1931,19643,1657,892,458,1456,479,1966,576,2450,694,2127,706,2324,740,1959,710,1758,657,4711,1018,0,289,9548,1296,2879,748,1559,577,1307,595,451,325,740,333,439,296,373,237,712,446,1088,603,0,289
0500000US06059,6059,"Orange County, California",2006,605615,6967,474101,7649,18142,2039,35866,2488,57064,3070,65378,3415,57922,3508,48155,3038,35938,3014,49764,3139,103749,4610,2123,732,131514,4485,62784,3433,22786,2291,13690,1825,6730,1077,5683,959,4051,1006,3079,712,4003,921,7348,1184,1360,622
0500000US06061,6061,"Placer County, California",2006,89272,2523,68151,2502,2108,644,5513,1104,9530,1452,9680,1237,9964,1297,6567,1346,5422,1256,6967,1320,12162,1573,238,206,21121,1735,8700,1163,4710,990,2366,640,1781,662,447,269,708,454,378,272,710,337,1321,626,0,289
0500000US06065,6065,"Riverside County, California",2006,444836,6011,338553,6134,8044,1261,24406,2260,34117,3086,41002,3108,37544,2967,35245,3198,28759,2853,42765,3496,85042,4647,1629,634,106283,3679,37784,2487,22822,1865,12785,1514,7263,1238,5276,1073,4484,852,2970,897,3091,831,8710,1512,1098,489
0500000US06067,6067,"Sacramento County, California",2006,306047,6029,244003,6011,8152,1267,17377,2202,29879,2285,35697,3038,30314,2504,25593,2457,21915,2205,26704,2694,47371,3575,1001,473,62044,3047,28529,2150,12938,1573,6576,1125,3566,920,1841,482,1413,452,1434,551,1562,649,3479,747,706,468
0500000US06071,6071,"San Bernardino County, California",2006,393257,6526,311681,6264,10742,1527,22983,2041,39982,3070,42416,3330,36411,2889,29002,2937,25129,3031,36071,3363,68202,4015,743,410,81576,3953,33295,2658,14615,1918,8834,1334,6171,1347,4934,1248,3548,907,1491,561,2140,748,5826,1149,722,386
0500000US06073,6073,"San Diego County, California",2006,599242,8305,460541,8017,13695,1793,36196,2559,49053,3142,57239,3291,56403,3357,49049,3072,40048,2797,53837,3281,103151,4916,1870,707,138701,4039,62259,3254,23913,1907,13190,1512,9013,1358,7299,1369,3852,964,2455,658,5306,1097,10052,1407,1362,523
0500000US06075,6075,"San Francisco County, California",2006,126712,4349,87731,3812,3738,1033,6699,992,11315,1430,10873,1474,10422,1690,8992,1402,5610,1000,8883,1523,20870,2235,329,212,38981,2330,18015,1969,6073,1256,4313,1042,2918,966,870,398,1152,502,864,386,679,338,3818,870,279,221
0500000US06077,6077,"San Joaquin County, California",2006,132481,3772,101335,3950,3551,852,5739,1168,11328,1772,13582,1829,12523,1569,10640,1684,9110,1357,11930,1674,22780,2254,152,141,31146,2155,12654,1776,6410,976,3399,750,2144,764,1470,559,1148,447,766,339,1038,470,1757,700,360,312
0500000US06079,6079,"San Luis Obispo County, California",2006,60654,2209,42695,2256,1453,512,3671,985,4612,918,4023,882,5162,1295,4934,1053,3461,903,4924,1016,10231,1395,224,199,17959,1608,7666,1288,3271,857,2010,543,1098,442,804,363,614,379,499,347,328,246,1480,592,189,187
0500000US06081,6081,"San Mateo County, California",2006,159025,3815,118743,3870,4603,730,10106,1611,12533,1438,15564,1811,12688,1555,13332,2019,9375,1334,12895,1428,27305,2495,342,246,40282,2749,18791,2025,7418,1093,3778,932,2194,791,1638,557,522,301,1253,485,1339,607,3152,818,197,171
0500000US06083,6083,"Santa Barbara County, California",2006,75011,2009,51465,2401,1656,486,4184,896,5761,1032,5444,1011,5942,1126,4930,1072,3306,824,7235,1147,12859,1479,148,130,23546,1786,10629,1223,4150,898,2501,855,1283,497,852,420,821,443,907,402,838,458,1529,625,36,60
0500000US06085,6085,"Santa Clara County, California",2006,354810,6056,275979,5947,9809,1451,21802,2001,33793,2748,36442,2778,36580,2775,27861,2540,20690,2313,30622,2370,56840,4250,1540,726,78831,3241,39277,2416,12302,1485,7803,1289,5382,1150,3135,878,1903,625,1338,471,2332,719,4620,868,739,462
0500000US06087,6087,"Santa Cruz County, California",2006,55666,2221,41706,2288,1294,533,2559,903,3649,849,4844,801,4950,1069,5752,1057,3625,913,5589,1051,9295,1452,149,172,13960,1319,5527,1076,2822,790,1118,542,940,382,531,287,356,246,418,297,684,347,1518,568,46,74
0500000US06089,6089,"Shasta County, California",2006,44889,2165,29380,1966,1379,482,3030,733,3597,746,3882,892,4696,956,3159,1049,1860,691,3354,959,4203,944,220,236,15509,1434,6074,1028,3271,741,2155,715,1173,465,576,314,441,282,380,243,394,251,950,386,95,125
0500000US06095,6095,"Solano County, California",2006,90468,3012,76112,3038,1993,613,3348,868,8281,1321,9764,1316,8554,1108,8742,1265,6729,1439,10638,1476,17975,2080,88,101,14356,1372,6857,1029,2948,648,1328,512,1087,445,482,360,316,208,0,289,540,431,685,306,113,131
0500000US06097,6097,"Sonoma County, California",2006,114133,3091,83329,3106,2607,656,5320,952,9050,1373,9884,1220,10619,1299,9787,1710,6931,1303,10096,1451,18849,2132,186,254,30804,2310,12314,1656,6196,1145,3465,759,2511,808,1033,434,594,269,576,289,724,362,3308,861,83,146
0500000US06099,6099,"Stanislaus County, California",2006,102731,3409,79838,3013,2526,639,5390,1004,8367,1170,10233,1457,10190,1687,6679,1223,6540,1149,10429,1561,19067,2282,417,279,22893,1962,9372,1236,5239,1012,2222,611,1651,528,734,306,905,442,993,585,613,283,1091,459,73,102
0500000US06101,6101,"Sutter County, California",2006,19526,1348,15127,1457,567,272,1442,537,1670,506,2546,792,1825,584,1980,684,1721,742,1578,679,1798,627,0,289,4399,690,1560,491,1004,385,844,355,263,193,197,152,124,122,0,289,51,85,278,205,78,96
0500000US06107,6107,"Tulare County, California",2006,72770,2612,53815,2349,2660,776,5061,1148,7895,1207,9297,1079,6147,1035,5343,1108,3320,740,3930,874,9715,1703,447,406,18955,1542,8938,1189,4603,940,1798,516,763,278,908,474,487,247,311,187,319,198,592,294,236,222
0500000US06111,6111,"Ventura County, California",2006,177961,3791,142963,3752,5776,1025,11566,1619,15755,2150,20805,1970,17792,1961,14450,1886,12694,1816,15445,1655,28336,2265,344,259,34998,2585,15863,1634,6487,1221,3361,731,2366,597,1443,558,1016,472,644,445,778,388,2793,858,247,325
0500000US06113,6113,"Yolo County, California",2006,36338,1546,27712,1639,1304,553,2472,789,2733,695,4237,907,3231,976,3088,776,2988,910,2611,760,4936,946,112,136,8626,1030,4271,811,1953,553,910,377,254,321,307,263,288,233,119,134,72,121,350,227,102,124
0500000US06115,6115,"Yuba County, California",2006,13381,1162,9293,1214,98,93,429,242,1638,662,1491,545,1098,460,1442,623,642,401,923,497,1466,493,66,110,4088,634,936,409,1205,454,751,397,238,178,182,194,108,126,129,128,122,122,133,147,284,313
0500000US06001,6001,"Alameda County, California",2007,298409,5528,231047,5330,6487,1293,15799,1578,26670,2078,30321,2419,28065,2705,26398,2222,16827,1988,25144,2444,54331,3540,1005,536,67362,3400,32378,2375,11759,1392,6265,1096,4287,876,3146,764,2080,661,1184,438,1663,636,3950,836,650,381
0500000US06007,6007,"Butte County, California",2007,50554,2046,32463,2187,1270,586,2398,603,3499,755,4463,1079,4874,1110,2712,921,3137,881,4374,1079,5677,1167,59,95,18091,1675,6731,1012,3613,924,1525,479,1580,629,1037,360,654,343,713,463,716,324,1223,410,299,330
0500000US06013,6013,"Contra Costa County, California",2007,260823,4027,207504,4425,7295,1332,17296,2052,19927,2221,23055,1921,25291,2082,22715,2248,17253,1956,23050,2124,50764,3817,858,491,53319,2633,23112,1899,10756,1324,4967,926,4289,922,1985,591,1120,504,711,390,1961,679,3461,974,957,480
0500000US06017,6017,"El Dorado County, California",2007,48954,1913,38957,2089,1583,854,2931,797,4415,957,4156,973,4612,986,4577,1146,4233,1043,4359,1076,8010,1506,81,125,9997,1056,3543,725,1785,505,1014,361,760,430,609,277,649,365,284,305,471,290,709,426,173,297
0500000US06019,6019,"Fresno County, California",2007,157007,3883,115802,4008,4367,944,11891,1647,15222,1707,17905,2179,13368,1709,11849,1652,8470,1429,11234,1428,20967,2286,529,372,41205,2207,18900,1705,8925,1362,3914,755,2602,679,1042,424,1122,482,1225,397,943,366,2175,570,357,303
0500000US06023,6023,"Humboldt County, California",2007,30514,1785,17020,1674,499,273,1064,523,2687,752,2394,672,2848,723,1195,501,1101,437,1628,545,3325,814,279,344,13494,1161,5936,832,2052,552,1599,603,1143,435,804,463,243,180,414,344,669,435,600,381,34,66
0500000US06025,6025,"Imperial County, California",2007,22774,1899,15608,1806,633,356,1640,571,1517,505,2003,564,2307,737,1704,552,1296,568,1605,596,2903,756,0,292,7166,991,2569,771,941,466,1128,444,575,390,611,448,384,262,92,113,324,229,542,328,0,292
0500000US06029,6029,"Kern County, California",2007,147822,3929,113124,3773,6375,1277,10374,1420,13881,1477,13665,1815,13181,1837,11366,1907,7506,1206,12007,1816,24483,2445,286,339,34698,2074,14707,1637,7395,1139,3775,886,2663,765,1551,521,833,391,535,378,938,395,2198,655,103,121
0500000US06031,6031,"Kings County, California",2007,23535,1440,18414,1522,420,231,1611,616,2842,946,2292,768,3239,922,2187,951,1077,444,1491,629,3041,762,214,261,5121,795,2148,587,624,278,429,260,424,230,181,138,546,355,23,39,437,395,124,131,185,204
0500000US06033,6033,"Lake County, California",2007,16763,1774,9458,1575,536,390,405,363,980,467,822,434,1113,842,1174,644,981,522,1388,772,2059,828,0,292,7305,1190,2028,730,2078,745,1031,556,462,351,313,255,326,272,201,198,313,233,553,327,0,292
0500000US06037,6037,"Los Angeles County, California",2007,1558468,13095,1201197,13004,41524,3059,92706,4054,124722,4491,140202,4638,133319,6117,111977,5448,86951,4536,136981,5286,327654,9647,5161,1222,357271,7044,163893,5310,64266,3387,34260,2554,23815,2414,15946,1910,10376,1422,8321,1353,8756,1655,24718,2209,2920,869
0500000US06039,6039,"Madera County, California",2007,27034,1646,19179,1606,771,370,1587,631,2420,816,1779,600,2040,789,2689,1044,1229,500,3302,862,3362,1036,0,292,7855,1036,3466,794,1620,572,671,324,834,426,321,237,478,340,57,96,51,85,306,173,51,85
0500000US06041,6041,"Marin County, California",2007,64824,2754,48764,2647,2525,599,4029,971,5075,933,6298,1311,5422,1087,4033,883,3445,903,5863,1305,11885,1836,189,143,16060,1854,7267,1283,3365,711,1311,497,1112,528,575,324,262,219,654,490,334,230,1120,517,60,101
0500000US06045,6045,"Mendocino County, California",2007,21300,1535,11172,1239,314,272,696,469,779,356,1438,526,1164,573,926,464,985,477,1044,427,3826,935,0,292,10128,1265,3943,885,1936,748,1105,411,1131,509,414,290,108,79,120,112,535,309,810,461,26,44
0500000US06047,6047,"Merced County, California",2007,41790,2430,32201,2277,1553,639,2045,700,3249,865,3383,957,4248,1017,3950,905,2032,768,3576,1058,7740,1448,425,467,9589,1220,4324,959,2198,692,1151,442,493,244,377,254,94,113,69,111,197,150,534,301,152,149
0500000US06053,6053,"Monterey County, California",2007,64807,2875,49020,2896,1642,563,2476,720,4804,1156,5557,1197,5138,1164,5289,1086,3612,798,5227,1156,14957,1772,318,294,15787,1606,7648,1116,3168,696,1315,433,1013,507,446,268,238,176,341,274,578,327,952,524,88,100
0500000US06055,6055,"Napa County, California",2007,32301,1522,23407,1580,1058,599,1278,486,2306,698,3471,907,2034,688,1890,652,2003,606,2960,737,6238,1138,169,232,8894,1094,3420,799,1464,600,1305,558,818,392,328,289,221,267,199,195,531,342,608,409,0,292
0500000US06057,6057,"Nevada County, California",2007,28349,1647,19635,1711,500,347,1559,556,1455,590,2213,617,2481,821,1685,672,1426,701,1708,650,6342,1231,266,251,8714,1198,3843,763,1535,537,1074,426,675,307,395,255,63,58,146,179,184,184,772,425,27,44
0500000US06059,6059,"Orange County, California",2007,612493,5755,474371,6181,19742,1989,39518,2900,54108,3511,60780,3568,55541,3747,45349,3236,38651,3112,49678,2973,108869,4283,2135,684,138122,4094,68932,3368,22190,1982,13134,1735,7302,1140,5814,974,4370,1003,3114,871,3468,921,8687,1413,1111,561
0500000US06061,6061,"Placer County, California",2007,89508,2618,67194,2681,1596,477,4057,722,8310,1344,9538,1525,8950,1261,7262,1185,6086,1110,7286,1198,13882,2060,227,266,22314,1767,8837,1116,4343,802,2709,746,1542,541,1312,596,499,271,758,326,754,439,1443,653,117,142
0500000US06065,6065,"Riverside County, California",2007,452798,6660,348396,6475,9727,1639,21987,2457,34112,2486,39425,2853,41774,3075,36416,3321,28558,2574,45183,2844,89246,4363,1968,807,104402,3727,39835,2396,18988,2073,10774,1272,8015,1298,6284,1118,3751,860,3306,951,2478,695,9644,1559,1327,560
0500000US06067,6067,"Sacramento County, California",2007,307787,5148,241655,5377,7991,1370,18443,2093,29960,2712,32796,2800,30636,2463,25944,2568,19618,2563,28614,2279,47075,3131,578,407,66132,2767,31126,2234,12355,1327,7420,1219,5106,953,1792,715,1510,529,1098,501,2001,662,3219,833,505,456
0500000US06071,6071,"San Bernardino County, California",2007,386391,6425,306394,6367,8283,1432,20820,2628,34960,2894,44735,3216,34111,3256,31895,2727,22852,2517,36283,3033,71088,4349,1367,682,79997,3516,33972,2829,14806,1712,8580,1353,5352,1084,4386,1128,2332,832,1834,566,2161,827,5848,1220,726,535
0500000US06073,6073,"San Diego County, California",2007,584243,7869,447396,7654,13463,1627,30924,2445,49623,3129,57483,3423,56297,3643,43866,2839,38500,2975,50841,3080,104908,5286,1491,625,136847,4639,62674,3351,22245,2191,14740,1584,10003,1483,6114,1251,3898,1067,3305,857,3702,924,9057,1399,1109,488
0500000US06075,6075,"San Francisco County, California",2007,121809,4211,88448,3953,4778,1205,6532,1055,10402,1395,11890,1866,8810,1469,7843,1313,8125,1428,8584,1297,21210,2472,274,206,33361,2337,14488,1578,5037,967,3287,901,2094,729,1789,807,1445,611,774,503,1100,491,3140,1014,207,208
0500000US06077,6077,"San Joaquin County, California",2007,131039,4269,100008,4237,2813,804,4996,978,10889,1671,13383,1691,10733,1533,9612,1459,8958,1562,10386,1776,27979,2629,259,231,31031,2049,12982,1511,6240,953,3492,709,2289,714,1632,517,780,397,456,339,759,408,2302,594,99,115
0500000US06079,6079,"San Luis Obispo County, California",2007,59915,2816,42061,2684,1509,547,4020,817,4010,800,5437,1048,5249,1189,3438,976,3662,933,4964,1020,9384,1442,388,395,17854,1432,7912,1186,3370,890,2171,606,1582,591,564,323,547,309,250,208,459,293,940,473,59,103
0500000US06081,6081,"San Mateo County, California",2007,155617,3522,115367,3518,4963,1018,8794,1336,13951,1963,12761,1391,14754,1873,11165,1596,8279,1240,13438,1725,26907,2280,355,248,40250,2401,20384,1773,7626,1267,3856,966,2080,657,1166,448,849,508,729,447,1030,512,2483,882,47,78
0500000US06083,6083,"Santa Barbara County, California",2007,76420,2216,54610,2295,1732,673,4165,1155,6506,1160,6468,1106,5553,1008,4884,1031,4639,1190,6471,1148,13811,1710,381,313,21810,1736,11127,1196,4419,901,1767,529,912,398,955,490,497,247,157,153,526,293,1250,469,200,191
0500000US06085,6085,"Santa Clara County, California",2007,354395,6539,271367,6265,11356,1458,22127,2377,32321,2082,35029,2939,32251,2603,26711,2133,21577,2039,29767,2520,59264,3575,964,533,83028,3487,43868,2880,13468,1453,7652,1208,4130,954,3235,863,1517,558,1456,454,1836,686,5283,1236,583,326
0500000US06087,6087,"Santa Cruz County, California",2007,55748,2309,39666,2351,1102,375,2840,767,3290,760,4131,894,4367,935,4184,804,2904,698,6103,1278,10745,1721,0,292,16082,1386,6937,1014,2954,687,2162,675,1428,584,733,416,268,247,677,351,507,429,416,247,0,292
0500000US06089,6089,"Shasta County, California",2007,44597,2017,30278,2037,1512,623,2191,573,3125,813,5014,1081,3503,658,2613,841,1883,425,2385,624,7995,1632,57,94,14319,1393,5939,1127,2762,766,1525,472,1304,445,688,323,417,242,349,231,584,380,634,399,117,113
0500000US06095,6095,"Solano County, California",2007,90775,2452,73365,2572,1427,471,5284,960,9626,1356,10044,1430,9812,1520,7296,1295,5807,1158,8557,1316,15512,1606,0,292,17410,1514,7654,992,3906,940,2332,825,959,405,430,227,335,217,313,242,544,269,937,462,0,292
0500000US06097,6097,"Sonoma County, California",2007,110167,2654,79142,2463,3104,950,4007,806,8463,1151,9458,1296,9865,1410,8461,1518,6522,1174,9895,1400,19023,2050,344,244,31025,2040,13985,1521,5080,922,3843,824,2150,628,1069,378,947,445,754,399,706,341,2304,791,187,144
0500000US06099,6099,"Stanislaus County, California",2007,100425,3289,76512,2932,2238,738,5219,1080,9054,1480,9813,1686,8866,1456,9443,1517,6312,1143,8705,1501,16769,2210,93,148,23913,1922,8438,1419,4589,1108,3121,722,1389,408,1252,438,986,453,683,392,1337,569,1957,743,161,166
0500000US06101,6101,"Sutter County, California",2007,20769,1166,14727,1397,610,414,1003,445,1832,568,2283,829,1641,628,1571,620,990,432,1406,501,3343,901,48,82,6042,835,2304,587,1282,547,782,476,505,373,340,296,307,333,0,292,314,268,134,174,74,107
0500000US06107,6107,"Tulare County, California",2007,72453,2619,52800,2707,2587,685,4567,1072,5583,956,7570,1209,6552,1071,5840,1193,4050,1050,5075,993,10794,1681,182,242,19653,1519,8175,1326,4116,851,2534,628,1631,565,769,342,906,410,215,167,189,137,942,390,176,151
0500000US06111,6111,"Ventura County, California",2007,173223,3236,136390,3578,4317,1063,9866,1116,15445,1848,17085,1893,18468,1952,12081,1445,11011,1319,14604,1858,33240,2787,273,171,36833,2288,16908,1759,6663,1100,4349,907,2405,695,1613,737,959,443,632,309,897,504,1896,617,511,302
0500000US06113,6113,"Yolo County, California",2007,37899,1790,28580,1600,1062,397,2846,686,4293,917,3986,912,4390,1092,2967,913,2180,573,2353,790,4503,1034,0,292,9319,1190,5232,935,1510,548,861,403,327,205,333,235,68,110,260,340,106,126,622,363,0,292
0500000US06115,6115,"Yuba County, California",2007,13169,1391,9762,1250,852,428,446,304,1072,526,1223,644,1361,532,1456,818,1081,519,799,397,1472,589,0,292,3407,767,1878,609,734,321,266,184,137,132,0,292,312,266,0,292,19,32,61,98,0,292
0500000US06001,6001,"Alameda County, California",2008,289188,6710,226724,5625,7667,1141,17873,1754,23618,2393,28777,2243,27304,2525,24857,2473,18580,1811,23923,2181,53190,3805,935,539,62464,3248,30681,2291,10872,1585,5850,1267,4017,956,2657,684,1566,686,1278,569,1329,459,4003,887,211,176
0500000US06007,6007,"Butte County, California",2008,49878,2206,32434,2024,564,296,3217,766,4675,1202,4481,880,4711,1052,3704,936,2290,645,2782,809,5906,1125,104,126,17444,1815,8004,1368,3150,687,2091,656,764,423,180,198,677,368,492,297,643,318,1315,457,128,148
0500000US06013,6013,"Contra Costa County, California",2008,253573,4209,198375,4449,6499,932,12231,1597,22453,2381,22484,2083,25882,2400,20213,2498,17938,2173,23221,2745,46028,3219,1426,664,55198,2946,25750,2166,9900,1301,6549,1096,2871,737,2167,764,1389,528,779,440,1595,541,3800,866,398,351
0500000US06017,6017,"El Dorado County, California",2008,46505,1804,34175,1929,1620,738,1546,724,3357,878,5629,1005,4633,1019,3665,895,3234,860,4431,1082,6060,1037,0,294,12330,1446,4274,935,3390,889,1253,503,993,452,768,429,588,360,299,222,63,107,662,291,40,66
0500000US06019,6019,"Fresno County, California",2008,149799,4811,113955,3754,4185,1080,11620,1575,14198,1713,15101,1659,12168,1209,12063,1913,9381,1681,11028,1840,23466,2768,745,507,35844,2892,16517,1622,7548,1162,3542,874,2120,637,1395,449,806,362,1109,377,961,417,1334,544,512,433
0500000US06023,6023,"Humboldt County, California",2008,28623,1831,18574,1820,1617,753,1775,546,1712,658,2439,642,2324,684,1445,535,1455,653,1391,471,4324,1019,92,115,10049,1118,3756,738,1331,471,974,411,1158,459,847,459,241,170,180,147,319,233,1107,629,136,123
0500000US06025,6025,"Imperial County, California",2008,25739,1837,16553,1967,396,268,1067,392,1781,613,2001,588,2261,814,1906,726,1170,520,1972,600,3944,1128,55,94,9186,1262,3500,872,1939,698,928,410,900,338,414,231,320,227,191,228,394,424,434,463,166,236
0500000US06029,6029,"Kern County, California",2008,145468,4122,108875,3883,4656,974,9936,1494,13685,1726,16917,2219,13374,1726,10009,1489,6706,1135,10953,1925,22317,2520,322,224,36593,2435,15446,1818,6639,995,4464,1169,2385,605,1661,573,1167,521,644,297,1307,556,2650,841,230,228
0500000US06031,6031,"Kings County, California",2008,22409,1676,16612,1820,381,273,1600,705,2069,636,3232,899,2355,971,1137,452,1118,432,1525,573,3095,866,100,161,5797,1084,2929,748,1119,494,774,408,125,139,376,255,70,84,38,61,77,150,220,152,69,120
0500000US06033,6033,"Lake County, California",2008,15574,1835,9981,1466,316,284,888,427,1355,640,734,407,803,416,692,445,1263,812,1047,545,2760,931,123,195,5593,1159,1946,628,850,455,404,297,402,274,167,175,187,158,329,287,422,347,886,493,0,294
0500000US06037,6037,"Los Angeles County, California",2008,1528562,13153,1178111,13787,42544,2822,82938,4468,127733,5582,137608,5806,124669,5326,107170,4909,93693,4319,131177,5166,324079,8669,6500,1340,350451,8218,167289,5528,61312,3819,32653,2481,20224,2008,14322,1696,10742,1443,8041,1317,9245,1608,23014,2334,3609,914
0500000US06039,6039,"Madera County, California",2008,24974,1866,18166,2005,1253,664,1491,574,2319,776,2083,734,1700,549,1451,686,1325,495,1556,715,4872,1250,116,147,6808,1002,3238,703,1450,525,359,227,555,283,187,170,123,130,195,306,280,183,370,239,51,87
0500000US06041,6041,"Marin County, California",2008,66339,2622,50025,2776,2517,654,3785,904,5126,1008,5178,932,5370,1163,5947,1120,4325,1160,4610,1236,12864,1868,303,298,16314,1881,7793,1390,3498,849,1192,594,727,429,678,573,532,295,369,274,531,342,822,531,172,208
0500000US06045,6045,"Mendocino County, California",2008,21170,1695,11401,1449,496,318,972,478,1482,544,1348,623,1449,649,880,518,625,351,1531,576,2528,767,90,141,9769,1281,3685,971,2029,623,889,339,886,517,400,287,351,355,170,253,446,363,849,419,64,103
0500000US06047,6047,"Merced County, California",2008,38502,2103,27964,1924,982,488,2305,659,3114,660,3316,893,2546,776,2916,901,1941,537,3412,1070,7303,1445,129,163,10538,1166,4749,789,1918,569,1216,438,872,327,459,317,208,150,174,173,161,161,654,316,127,153
0500000US06053,6053,"Monterey County, California",2008,65439,2763,47326,2750,1293,472,3634,1039,3914,1008,5550,1179,6008,1241,4037,898,3366,1216,5452,1368,13997,1763,75,110,18113,1786,8693,1216,3462,784,1744,497,1142,572,390,265,418,261,399,320,486,282,1102,525,277,215
0500000US06055,6055,"Napa County, California",2008,30047,1952,20740,1954,706,321,1598,580,2281,780,2943,850,2700,731,1840,619,2050,842,1681,555,4882,1108,59,182,9307,1180,4393,1005,898,395,760,379,751,311,275,201,411,435,256,293,367,288,1024,484,172,172
0500000US06057,6057,"Nevada County, California",2008,29176,1783,18889,1542,244,181,1084,422,1892,587,2237,661,2212,769,2255,763,2368,930,1471,528,4813,1133,313,265,10287,1236,3750,788,1857,639,1153,417,949,462,657,343,265,219,430,308,173,173,941,368,112,137
0500000US06059,6059,"Orange County, California",2008,592946,6891,462290,7294,19156,1924,34145,2184,55219,3277,57061,3556,53013,3070,47855,3552,37344,2967,50552,3504,105622,5228,2323,805,130656,5043,67051,3768,18478,1862,10713,1265,7674,1468,4535,1016,3498,769,2596,703,3708,903,10734,1357,1669,809
0500000US06061,6061,"Placer County, California",2008,93935,2467,70780,2858,2627,850,4059,880,8671,1316,9499,1498,9574,1302,8180,1324,6538,1331,8189,1464,13157,1527,286,240,23155,1841,8397,1255,4857,925,3181,684,1814,550,1167,418,887,378,686,351,913,478,922,331,331,366
0500000US06065,6065,"Riverside County, California",2008,438193,7265,335984,7413,7789,1282,18236,2017,32620,2748,42103,3240,37668,2913,33210,2903,29187,2405,42162,3110,90581,5365,2428,859,102209,3668,37494,2461,19395,2229,12147,1398,7865,1423,5835,1210,3151,847,2929,824,3586,799,8052,1292,1755,488
0500000US06067,6067,"Sacramento County, California",2008,297912,5728,235253,5136,7464,1232,18710,1926,26826,2605,33456,2674,30460,2914,23284,2265,21782,2172,25214,2473,47454,3547,603,295,62659,3101,28919,2286,12981,1577,6692,989,3498,829,2647,800,1617,561,1313,523,1758,522,3065,659,169,160
0500000US06071,6071,"San Bernardino County, California",2008,365279,6911,288220,6704,7855,1322,19453,1990,32086,2973,39003,3218,34551,3016,30117,2785,21627,2240,30415,2910,71096,3852,2017,766,77059,3596,33217,2279,12686,1623,8976,1316,5192,857,4674,1006,2970,872,1970,614,1897,722,4536,1166,941,437
0500000US06073,6073,"San Diego County, California",2008,585307,7571,451087,7543,15415,1712,29674,2821,50564,3089,53905,3637,55345,3714,46888,3172,33911,2378,50078,3196,113162,5224,2145,713,134220,5093,63988,3684,22744,2162,11897,1669,6984,1306,5815,1225,4442,1017,3049,736,3781,868,9410,1484,2110,851
0500000US06075,6075,"San Francisco County, California",2008,127625,4686,95909,4044,4695,1104,8017,1359,12752,1810,13588,1710,10859,1589,9172,1612,6541,1433,8854,1618,21018,2627,413,305,31716,2598,16397,1893,4850,890,3824,976,1788,617,1183,497,701,451,445,307,499,311,1685,664,344,226
