Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; With a mortgage:,Margin of Error; With a mortgage:,"Estimate; With a mortgage: - Less than $50,000","Margin of Error; With a mortgage: - Less than $50,000","Estimate; With a mortgage: - $50,000 to $99,999","Margin of Error; With a mortgage: - $50,000 to $99,999","Estimate; With a mortgage: - $100,000 to $149,999","Margin of Error; With a mortgage: - $100,000 to $149,999","Estimate; With a mortgage: - $150,000 to $199,999","Margin of Error; With a mortgage: - $150,000 to $199,999","Estimate; With a mortgage: - $200,000 to $299,999","Margin of Error; With a mortgage: - $200,000 to $299,999","Estimate; With a mortgage: - $300,000 to $499,999","Margin of Error; With a mortgage: - $300,000 to $499,999","Estimate; With a mortgage: - $500,000 or more","Margin of Error; With a mortgage: - $500,000 or more",Estimate; Not mortgaged:,Margin of Error; Not mortgaged:,"Estimate; Not mortgaged: - Less than $50,000","Margin of Error; Not mortgaged: - Less than $50,000","Estimate; Not mortgaged: - $50,000 to $99,999","Margin of Error; Not mortgaged: - $50,000 to $99,999","Estimate; Not mortgaged: - $100,000 to $149,999","Margin of Error; Not mortgaged: - $100,000 to $149,999","Estimate; Not mortgaged: - $150,000 to $199,999","Margin of Error; Not mortgaged: - $150,000 to $199,999","Estimate; Not mortgaged: - $200,000 to $299,999","Margin of Error; Not mortgaged: - $200,000 to $299,999","Estimate; Not mortgaged: - $300,000 to $499,999","Margin of Error; Not mortgaged: - $300,000 to $499,999","Estimate; Not mortgaged: - $500,000 or more","Margin of Error; Not mortgaged: - $500,000 or more"
0500000US06019,6019,"Fresno County, California",2007,157007,3883,115802,4008,1335,434,2391,750,4281,945,8650,1317,37017,3009,43559,2887,18569,1889,41205,2207,3339,797,3442,931,3319,682,5397,892,11003,1674,11131,1315,3574,818
0500000US06023,6023,"Humboldt County, California",2007,30514,1785,17020,1674,69,117,141,117,450,266,383,221,5137,1038,7303,1134,3537,833,13494,1161,1698,564,553,327,647,324,1456,450,2938,734,3596,825,2606,542
0500000US06025,6025,"Imperial County, California",2007,22774,1899,15608,1806,306,242,440,308,786,425,1590,562,7143,1150,4732,1026,611,379,7166,991,1278,458,457,265,540,271,1457,498,1667,651,1035,507,732,459
0500000US06029,6029,"Kern County, California",2007,147822,3929,113124,3773,1425,495,3255,841,4977,1047,14093,2009,42576,2718,35766,2631,11032,1524,34698,2074,4513,1000,3123,629,4167,944,6240,1048,7996,1026,6199,1043,2460,554
0500000US06031,6031,"Kings County, California",2007,23535,1440,18414,1522,213,337,936,500,1003,395,3103,801,7399,1175,4705,1012,1055,386,5121,795,233,172,456,213,956,470,775,387,1355,398,715,386,631,365
0500000US06033,6033,"Lake County, California",2007,16763,1774,9458,1575,536,521,719,630,100,152,773,874,1577,838,3704,958,2049,881,7305,1190,1005,398,818,401,854,479,499,392,1423,696,1856,762,850,397
0500000US06037,6037,"Los Angeles County, California",2007,1558468,13095,1201197,13004,9380,1276,14242,1492,7811,1229,11452,1400,44822,3438,329843,8705,783647,10482,357271,7044,15512,1547,14683,1798,8576,1291,6718,1142,21578,2300,92229,4806,197975,5241
0500000US06039,6039,"Madera County, California",2007,27034,1646,19179,1606,124,135,59,96,1003,594,615,392,4991,1241,8952,1312,3435,865,7855,1036,669,312,128,106,744,352,412,278,2288,737,2690,716,924,376
0500000US06041,6041,"Marin County, California",2007,64824,2754,48764,2647,57,95,479,366,264,241,420,292,412,242,3025,832,44107,2321,16060,1854,260,159,358,272,441,274,303,352,354,240,1299,501,13045,1686
0500000US06045,6045,"Mendocino County, California",2007,21300,1535,11172,1239,130,146,76,123,411,360,104,106,569,332,4363,926,5519,1068,10128,1265,1158,515,759,389,196,134,396,270,781,352,2770,703,4068,967
0500000US06047,6047,"Merced County, California",2007,41790,2430,32201,2277,297,255,587,433,484,279,1106,535,10121,1747,14369,1608,5237,1270,9589,1220,1095,414,1136,457,241,181,925,404,2337,623,2398,555,1457,457
0500000US06053,6053,"Monterey County, California",2007,64807,2875,49020,2896,70,118,335,216,317,261,651,386,1243,578,5858,1232,40546,2699,15787,1606,938,570,746,452,455,259,460,267,595,326,1888,625,10705,1332
0500000US06055,6055,"Napa County, California",2007,32301,1522,23407,1580,123,144,464,297,191,218,104,124,166,164,3492,905,18867,1575,8894,1094,815,394,1110,495,485,294,53,66,755,403,1306,486,4370,850
0500000US06057,6057,"Nevada County, California",2007,28349,1647,19635,1711,38,69,119,141,309,335,106,134,954,453,8248,1399,9861,1428,8714,1198,303,263,533,243,264,240,258,253,717,317,3932,861,2707,639
0500000US06059,6059,"Orange County, California",2007,612493,5755,474371,6181,3122,950,7164,1179,3528,992,2766,633,10705,1490,69859,3076,377227,5922,138122,4094,6473,1114,7706,1285,5341,933,6284,1085,7087,996,17673,1661,87558,3519
0500000US06061,6061,"Placer County, California",2007,89508,2618,67194,2681,129,135,377,344,329,233,640,323,3347,1005,29949,2372,32423,2270,22314,1767,1186,536,1068,358,973,520,385,263,2174,707,7538,1096,8990,1297
0500000US06065,6065,"Riverside County, California",2007,452798,6660,348396,6475,3948,1084,4860,1037,3769,700,8621,1198,36484,2843,177880,6094,112834,4392,104402,3727,14456,1574,10790,1476,5984,1025,8288,1670,13375,1513,31070,2308,20439,2099
0500000US06067,6067,"Sacramento County, California",2007,307787,5148,241655,5377,2432,746,1959,551,2276,692,6413,1304,39996,2901,134620,5145,53959,2748,66132,2767,5993,1087,3247,749,2780,720,4306,915,11974,1541,26972,2062,10860,1274
0500000US06071,6071,"San Bernardino County, California",2007,386391,6425,306394,6367,3914,1026,4476,952,4496,953,9246,1460,41675,3488,153614,5677,88973,3605,79997,3516,9645,1523,7572,1195,4980,989,4430,927,13954,1809,26862,2189,12554,1704
0500000US06073,6073,"San Diego County, California",2007,584243,7869,447396,7654,2958,746,4798,1082,2771,833,4214,973,23914,2680,136788,5426,271953,6151,136847,4639,10316,1260,8032,1160,4921,1003,3434,732,8776,1288,34276,2630,67092,3325
0500000US06075,6075,"San Francisco County, California",2007,121809,4211,88448,3953,283,193,1757,496,199,166,373,254,1601,611,4125,1007,80110,3737,33361,2337,500,301,1515,483,300,228,359,230,1325,466,2154,725,27208,2196
0500000US06077,6077,"San Joaquin County, California",2007,131039,4269,100008,4237,671,336,1105,502,784,396,2221,617,12008,1714,49756,3290,33463,2990,31031,2049,3238,926,2596,729,960,359,1325,504,5048,820,11882,1215,5982,1060
0500000US06079,6079,"San Luis Obispo County, California",2007,59915,2816,42061,2684,253,209,309,270,137,132,462,299,1979,810,10881,1593,28040,2346,17854,1432,392,197,1342,490,680,347,696,332,1413,547,4639,994,8692,1132
0500000US06081,6081,"San Mateo County, California",2007,155617,3522,115367,3518,611,498,1520,495,307,168,410,239,2230,663,5767,1078,104522,3270,40250,2401,1051,408,1408,501,799,360,511,290,1232,453,2362,633,32887,2403
0500000US06083,6083,"Santa Barbara County, California",2007,76420,2216,54610,2295,174,178,635,343,1040,485,519,271,2760,930,16122,1746,33360,2053,21810,1736,312,157,1648,534,1363,473,1104,543,1845,577,3847,860,11691,1129
0500000US06085,6085,"Santa Clara County, California",2007,354395,6539,271367,6265,2131,608,6093,1171,3114,655,2014,678,2865,739,22885,1987,232265,6031,83028,3487,3388,890,3994,903,1733,578,1378,426,1407,442,5362,948,65766,3320
0500000US06087,6087,"Santa Cruz County, California",2007,55748,2309,39666,2351,36,61,341,233,437,269,272,288,1353,472,3650,950,33577,2384,16082,1386,785,469,628,365,576,310,1268,507,766,399,1654,682,10405,1214
0500000US06089,6089,"Shasta County, California",2007,44597,2017,30278,2037,476,278,520,266,1647,737,3239,853,10319,1576,10180,1599,3897,905,14319,1393,2208,777,1782,569,1000,389,1939,519,3404,691,2664,558,1322,566
0500000US06095,6095,"Solano County, California",2007,90775,2452,73365,2572,571,379,592,325,278,206,416,249,3279,907,32315,2517,35914,2140,17410,1514,1864,617,1038,408,615,331,380,216,1325,534,7344,1201,4844,1079
0500000US06097,6097,"Sonoma County, California",2007,110167,2654,79142,2463,848,507,1611,586,533,297,866,519,1705,407,16365,1705,57214,2059,31025,2040,2079,642,2027,648,1132,360,706,340,1803,662,5323,910,17955,1524
0500000US06099,6099,"Stanislaus County, California",2007,100425,3289,76512,2932,417,265,586,334,843,428,2428,810,15501,1802,41842,2555,14895,1699,23913,1922,2904,737,1134,472,853,424,1099,428,4750,1006,9059,1348,4114,1076
0500000US06101,6101,"Sutter County, California",2007,20769,1166,14727,1397,212,248,214,178,461,320,1172,485,4593,984,6674,1060,1401,543,6042,835,312,286,480,335,227,187,1040,470,2218,666,1030,527,735,323
0500000US06107,6107,"Tulare County, California",2007,72453,2619,52800,2707,794,461,2015,617,3589,908,8217,1323,19938,2198,13272,1855,4975,1003,19653,1519,2474,690,1850,562,2592,678,3152,651,4345,768,3529,661,1711,444
0500000US06111,6111,"Ventura County, California",2007,173223,3236,136390,3578,241,210,1502,467,1051,547,826,351,2749,621,22097,1870,107924,3557,36833,2288,1231,606,2109,498,873,367,1221,505,1837,560,5515,973,24047,2109
0500000US06113,6113,"Yolo County, California",2007,37899,1790,28580,1600,53,92,341,270,216,185,270,243,2784,830,13112,1251,11804,1339,9319,1190,1285,538,419,253,171,269,119,137,561,295,3581,798,3183,784
0500000US06115,6115,"Yuba County, California",2007,13169,1391,9762,1250,492,575,207,227,287,194,983,422,2564,709,3959,895,1270,572,3407,767,981,405,400,247,231,197,381,255,503,392,699,345,212,201
0500000US06001,6001,"Alameda County, California",2008,289188,6710,226724,5625,1876,686,1648,442,1264,533,1733,709,8734,1514,56276,3602,155193,4507,62464,3248,3311,757,2361,662,851,363,1199,541,3298,858,16208,1688,35236,2518
0500000US06007,6007,"Butte County, California",2008,49878,2206,32434,2024,995,442,603,272,962,499,3668,835,10224,1402,11236,1485,4746,1032,17444,1815,3237,805,2155,712,1075,439,1782,564,3441,747,3737,823,2017,768
0500000US06013,6013,"Contra Costa County, California",2008,253573,4209,198375,4449,1484,602,1026,402,1645,567,4389,1125,15452,2153,59982,3300,114397,3785,55198,2946,3645,614,2342,723,1344,701,1924,693,6253,1345,13851,1731,25839,2158
0500000US06017,6017,"El Dorado County, California",2008,46505,1804,34175,1929,781,454,190,147,155,160,271,223,2671,699,15766,1731,14341,1608,12330,1446,892,510,497,312,849,369,398,267,1272,432,4269,945,4153,712
0500000US06019,6019,"Fresno County, California",2008,149799,4811,113955,3754,3080,914,2511,717,4921,1181,18006,2355,38342,2503,33611,2509,13484,1626,35844,2892,4602,991,3946,958,2215,659,5173,984,8256,1236,7852,1121,3800,867
0500000US06023,6023,"Humboldt County, California",2008,28623,1831,18574,1820,144,123,141,137,259,185,653,393,5722,1317,8574,1377,3081,744,10049,1118,1411,523,448,296,721,381,844,556,2294,602,2665,624,1666,540
0500000US06025,6025,"Imperial County, California",2008,25739,1837,16553,1967,529,484,634,418,1076,459,2969,1003,8137,1287,2615,729,593,293,9186,1262,2046,586,1191,526,1380,577,1485,557,1833,746,906,367,345,239
0500000US06029,6029,"Kern County, California",2008,145468,4122,108875,3883,2703,884,4397,924,10397,1764,22781,2213,37369,3042,23939,2254,7289,1242,36593,2435,5112,1075,5899,1220,4409,883,5804,1002,8266,1071,5614,1083,1489,522
0500000US06031,6031,"Kings County, California",2008,22409,1676,16612,1820,128,176,288,220,943,508,2976,780,8118,1443,3341,679,818,563,5797,1084,606,292,1041,437,474,314,1221,492,1688,640,551,284,216,149
0500000US06033,6033,"Lake County, California",2008,15574,1835,9981,1466,791,446,364,293,745,410,1437,809,2468,694,2479,879,1697,626,5593,1159,748,422,468,364,604,410,767,383,693,408,1326,601,987,610
0500000US06037,6037,"Los Angeles County, California",2008,1528562,13153,1178111,13787,13065,1709,9266,1431,10044,1513,18070,2230,79574,4319,410254,10022,637838,10969,350451,8218,22063,2010,12223,1777,7532,1310,8056,1171,23092,2102,104914,4864,172571,5611
0500000US06039,6039,"Madera County, California",2008,24974,1866,18166,2005,237,161,176,162,1398,700,2051,758,5490,1170,6226,1086,2588,972,6808,1002,1026,444,94,110,746,429,371,237,1433,464,2239,620,899,428
0500000US06041,6041,"Marin County, California",2008,66339,2622,50025,2776,553,615,378,324,327,248,251,288,797,355,3411,808,44308,2544,16314,1881,555,351,265,319,196,190,145,137,545,342,556,346,14052,1864
0500000US06045,6045,"Mendocino County, California",2008,21170,1695,11401,1449,283,209,44,77,125,130,337,369,1432,666,4988,1205,4192,825,9769,1281,1307,602,317,198,622,329,236,219,561,299,3202,851,3524,968
0500000US06047,6047,"Merced County, California",2008,38502,2103,27964,1924,423,327,1473,599,2217,721,4982,1079,9066,1439,7182,1342,2621,827,10538,1166,1691,446,800,329,1175,520,1565,446,1806,580,1773,575,1728,522
0500000US06053,6053,"Monterey County, California",2008,65439,2763,47326,2750,982,544,439,202,925,541,1691,688,4758,955,13262,1607,25269,2237,18113,1786,1361,512,966,483,774,525,706,438,1017,455,3452,868,9837,1212
0500000US06055,6055,"Napa County, California",2008,30047,1952,20740,1954,413,254,51,88,0,294,232,207,518,301,5125,962,14401,1747,9307,1180,763,363,1156,485,306,218,236,212,317,284,1716,571,4813,994
0500000US06057,6057,"Nevada County, California",2008,29176,1783,18889,1542,104,128,52,89,472,391,223,256,1913,663,7830,1368,8295,1110,10287,1236,949,413,759,288,112,134,293,279,991,400,3604,781,3579,773
0500000US06059,6059,"Orange County, California",2008,592946,6891,462290,7294,3147,739,5657,1119,3221,839,4269,1116,14744,1612,107334,5290,323918,6532,130656,5043,7778,1162,8482,1223,5775,1121,3984,1040,7937,1247,25628,1925,71072,3497
0500000US06061,6061,"Placer County, California",2008,93935,2467,70780,2858,516,341,507,395,842,390,1606,718,9954,1617,32016,2421,25339,1775,23155,1841,1417,467,1264,586,319,205,501,284,3175,774,9508,1397,6971,1180
0500000US06065,6065,"Riverside County, California",2008,438193,7265,335984,7413,5656,1070,4695,1030,8141,1431,25117,2454,82754,4428,145910,5993,63711,3339,102209,3668,17918,2067,8819,1192,7464,1255,9639,1596,16087,1851,26560,2157,15722,1956
0500000US06067,6067,"Sacramento County, California",2008,297912,5728,235253,5136,3783,1091,2742,727,7214,1374,19671,2085,70767,3657,94455,4176,36621,2562,62659,3101,6244,1182,3781,829,3620,753,5827,922,15802,1530,19196,1848,8189,1199
0500000US06071,6071,"San Bernardino County, California",2008,365279,6911,288220,6704,4795,982,5987,1369,11328,1725,21944,2452,64707,3633,125266,5062,54193,3302,77059,3596,12591,1508,6441,1354,6186,1213,5203,967,14565,1695,22841,2413,9232,1434
0500000US06073,6073,"San Diego County, California",2008,585307,7571,451087,7543,4949,945,4975,1188,6612,1197,8243,1318,39418,3163,168564,5163,218326,6829,134220,5093,11144,1299,7693,1195,3500,810,3655,957,10832,1484,42264,3230,55132,3094
0500000US06075,6075,"San Francisco County, California",2008,127625,4686,95909,4044,274,179,622,393,392,256,280,195,1665,807,6789,1375,85887,3938,31716,2598,735,435,239,200,184,174,39,63,562,337,2045,637,27912,2551
0500000US06077,6077,"San Joaquin County, California",2008,121162,4667,93087,3485,1245,500,1577,600,5278,1128,7903,1222,24199,2355,37154,2513,15731,1647,28075,3866,3514,936,1671,624,1882,625,2313,808,7511,1325,6566,1301,4618,1038
0500000US06079,6079,"San Luis Obispo County, California",2008,63686,2700,44833,2605,140,138,406,275,306,268,809,494,2413,846,15119,1976,25640,1916,18853,1668,1146,551,994,439,720,293,597,360,1565,637,4979,1078,8852,1130
0500000US06081,6081,"San Mateo County, California",2008,154221,4114,114888,3808,415,250,1254,541,1052,516,835,378,2043,789,8280,1271,101009,3459,39333,2557,916,446,1078,355,893,416,251,188,714,436,3182,806,32299,2448
0500000US06083,6083,"Santa Barbara County, California",2008,75128,2751,53505,2648,507,276,514,284,1043,413,1452,661,6054,1379,15098,1681,28837,2136,21623,1857,909,335,1190,509,916,379,643,367,2240,607,4477,917,11248,1315
0500000US06085,6085,"Santa Clara County, California",2008,355181,6145,274843,6206,1527,629,3804,1010,3213,900,1208,553,4261,921,33322,2995,227508,5187,80338,4087,3662,965,4996,981,1770,595,1122,508,1559,611,7574,1292,59655,3305
0500000US06087,6087,"Santa Cruz County, California",2008,55999,1812,41907,2115,282,224,587,295,687,375,387,250,1361,541,6139,1087,32464,1778,14092,1391,621,364,612,339,360,255,352,235,1268,458,3677,723,7202,1218
0500000US06089,6089,"Shasta County, California",2008,45629,2248,29867,1937,447,298,484,328,901,397,3169,936,11009,1625,10210,1640,3647,719,15762,1274,2633,793,529,269,644,383,2107,624,3722,797,4600,1075,1527,485
0500000US06095,6095,"Solano County, California",2008,86980,2938,69311,2685,414,225,1176,516,1057,501,2195,698,11334,1530,35201,2422,17934,1751,17669,1519,1487,541,1232,589,806,406,489,273,2193,612,7334,1211,4128,828
0500000US06097,6097,"Sonoma County, California",2008,115000,2667,85015,2918,954,428,1094,518,648,367,1644,797,5263,1060,29055,2264,46357,2840,29985,1958,3665,868,1547,493,1658,609,322,209,1895,614,7083,1244,13815,1617
0500000US06099,6099,"Stanislaus County, California",2008,100049,3247,75225,3015,1466,543,2233,665,4179,987,9320,1494,24888,2410,24550,2047,8589,1192,24824,1985,4605,975,960,455,960,510,2449,600,6030,1266,6545,986,3275,814
0500000US06101,6101,"Sutter County, California",2008,18696,1304,14094,1236,181,155,352,267,676,420,1650,506,5624,964,4299,926,1312,504,4602,735,871,421,387,235,266,221,621,288,1056,397,773,356,628,274
0500000US06107,6107,"Tulare County, California",2008,73086,2860,53336,3079,807,329,2052,684,4787,1042,11157,1543,20861,1982,9714,1338,3958,843,19750,1567,2792,623,1638,466,1837,710,3702,904,6084,1194,2332,558,1365,495
0500000US06111,6111,"Ventura County, California",2008,170236,4023,134492,4012,1006,431,1914,588,1488,557,1726,619,5177,1057,38800,2387,84381,3288,35744,1965,2190,687,1967,624,1155,443,841,394,2676,815,8581,1318,18334,1708
0500000US06113,6113,"Yolo County, California",2008,36711,2253,27506,2021,62,98,423,249,292,207,1356,615,5063,998,11124,1471,9186,1192,9205,1319,1528,700,831,415,629,370,49,82,1391,483,2892,684,1885,646
0500000US06115,6115,"Yuba County, California",2008,14673,1368,11137,1459,89,103,417,371,888,487,2462,1012,3174,790,2776,741,1331,600,3536,758,806,396,575,300,344,233,811,448,376,259,375,240,249,169
0500000US06001,6001,"Alameda County, California",2009,280221,4710,218017,4452,1785,641,1525,582,3071,775,5785,1118,21168,2196,70825,3377,113858,3513,62204,2812,2957,665,2836,783,980,406,1428,500,6409,1196,18791,1749,28803,2238
0500000US06007,6007,"Butte County, California",2009,51838,2164,33434,2418,863,395,1269,563,3080,795,4159,927,12210,1524,9217,1385,2636,716,18404,1926,3967,1046,1257,504,2150,669,2340,694,3053,654,3877,860,1760,575
0500000US06013,6013,"Contra Costa County, California",2009,247333,4879,192553,4331,2276,672,3534,950,5731,1167,11148,1725,35544,2829,53446,3402,80874,2974,54780,2619,3687,796,2256,521,2800,779,2673,669,8705,1294,13816,1978,20843,1829
0500000US06017,6017,"El Dorado County, California",2009,51393,2223,38395,2457,483,337,540,519,745,512,1131,594,8026,1433,15281,1860,12189,1664,12998,1515,1087,516,982,566,390,262,921,630,1400,531,4838,837,3380,842
0500000US06019,6019,"Fresno County, California",2009,152504,3738,113831,3713,2039,717,6154,1014,15966,1769,23246,2289,35758,2578,22726,2032,7942,1150,38673,2831,4997,795,3650,844,5643,997,4122,771,9202,1307,8046,1227,3013,810
0500000US06023,6023,"Humboldt County, California",2009,29092,1375,17437,1246,253,212,803,509,305,151,1125,560,5693,1009,6083,1074,3175,797,11655,1168,1340,460,1085,492,891,460,459,269,2328,743,3244,729,2308,676
0500000US06025,6025,"Imperial County, California",2009,28596,1824,19459,1714,185,169,2293,837,4052,862,6165,1197,4980,1009,1553,583,231,155,9137,1065,2591,709,1513,541,1726,651,1683,700,764,518,739,390,121,120
0500000US06029,6029,"Kern County, California",2009,145330,4194,108854,3815,3171,760,10666,1613,20740,2374,24028,2272,30484,2540,15455,1670,4310,1012,36476,2327,6324,1173,5743,994,7282,1412,5419,906,6419,1115,3463,937,1826,560
0500000US06031,6031,"Kings County, California",2009,19582,1515,14752,1799,48,50,871,481,1571,540,3919,995,5971,1034,1944,672,428,214,4830,813,624,287,475,316,736,277,1039,520,1173,401,556,265,227,168
0500000US06033,6033,"Lake County, California",2009,17747,1681,11323,1714,132,168,474,376,617,440,2508,882,2267,883,3395,982,1930,804,6424,1259,1432,555,759,592,330,282,868,482,634,355,1457,625,944,543
0500000US06037,6037,"Los Angeles County, California",2009,1514362,13749,1175417,13096,14654,1735,15419,2162,27854,2188,42299,3204,167443,5745,430588,9826,477160,8469,338945,7612,23675,2332,13778,1709,9082,1137,11196,1553,40834,2765,102791,4588,137589,5405
0500000US06039,6039,"Madera County, California",2009,27746,1856,19812,1656,648,492,1194,520,3335,1080,2749,897,6207,1200,4013,920,1666,648,7934,1122,1068,488,702,356,1052,554,872,404,1731,593,2061,663,448,299
0500000US06041,6041,"Marin County, California",2009,63046,2716,45528,2528,194,194,241,210,417,298,240,170,1349,596,4795,1051,38292,2336,17518,1844,711,345,391,319,131,189,612,482,521,369,1404,556,13748,1599
0500000US06045,6045,"Mendocino County, California",2009,21021,1480,12144,1284,263,243,107,93,702,456,517,490,1546,526,5289,970,3720,846,8877,1098,1253,547,557,352,754,324,200,213,1091,427,3243,818,1779,585
0500000US06047,6047,"Merced County, California",2009,39947,2316,28925,2019,1041,461,5018,1018,6759,1273,5934,1145,5456,878,3138,847,1579,596,11022,1284,1815,523,1579,555,2259,735,1463,539,1609,543,1191,428,1106,382
0500000US06053,6053,"Monterey County, California",2009,64565,2566,47723,2672,476,280,1178,513,2048,751,4555,1072,8143,1350,12409,1447,18914,1551,16842,1708,1189,548,1436,578,518,272,397,261,1889,572,3968,700,7445,1471
0500000US06055,6055,"Napa County, California",2009,31298,1867,21686,1875,542,330,123,208,59,99,204,206,1967,788,9355,1547,9436,1500,9612,1248,791,306,1657,544,323,207,448,326,813,353,1728,472,3852,875
0500000US06057,6057,"Nevada County, California",2009,30320,1892,20909,1897,1015,665,167,161,263,223,240,260,2758,760,9304,1324,7162,1247,9411,1243,1150,613,213,167,470,354,237,156,1118,473,2932,703,3291,769
0500000US06059,6059,"Orange County, California",2009,586937,7024,445966,7693,4427,1097,6692,1129,4958,993,8887,1360,35437,2685,137456,4897,248109,5704,140971,5213,8248,1228,7214,1086,5762,1096,4902,970,12665,1511,35453,2850,66727,3683
0500000US06061,6061,"Placer County, California",2009,90529,2281,68275,2725,403,225,348,263,977,440,2675,728,14536,1835,32207,2302,17129,1437,22254,1755,1322,456,1090,508,1031,555,1024,483,3930,846,8735,1260,5122,1072
0500000US06065,6065,"Riverside County, California",2009,440246,6338,330966,6996,5291,1081,13092,1846,34663,3293,55179,3946,98419,4356,92851,4449,31471,2523,109280,3435,21579,2302,10932,1332,9635,1365,11831,1602,21652,2145,21646,1890,12005,1627
0500000US06067,6067,"Sacramento County, California",2009,292581,5267,224531,5432,3833,836,8102,1270,20017,2422,33278,2607,70338,4320,63305,3299,25658,2059,68050,2906,7873,947,4661,824,5997,1126,8236,1264,17482,1993,16634,1564,7167,902
0500000US06071,6071,"San Bernardino County, California",2009,377587,6460,296549,6117,7619,1407,16992,2060,33486,2904,42177,3271,86334,4893,79535,4353,30406,2678,81038,3703,15114,1997,10151,1703,9301,1694,9984,1548,14217,1438,14778,1807,7493,1355
0500000US06073,6073,"San Diego County, California",2009,578787,7201,443139,7620,5039,1001,7481,1339,10040,1678,18369,2048,68169,3680,165332,5079,168709,5234,135648,4409,12881,1638,7393,1295,5486,1036,5177,1070,15951,1691,43103,3286,45657,2964
0500000US06075,6075,"San Francisco County, California",2009,122182,4247,87651,3799,315,271,484,275,766,438,873,451,1982,716,8864,1396,74367,3728,34531,2724,629,391,984,480,475,296,84,103,1198,508,3947,989,27214,2242
0500000US06077,6077,"San Joaquin County, California",2009,126980,5361,97311,4553,1658,638,6652,1211,12579,1797,18271,2004,28860,2740,20854,2228,8437,1149,29669,2233,4810,1135,2706,742,4996,1052,3317,731,5988,907,4515,897,3337,1070
0500000US06079,6079,"San Luis Obispo County, California",2009,63780,2394,43996,2461,684,360,462,279,389,282,1535,748,3731,744,17448,1925,19747,2001,19784,1662,1751,632,390,246,1038,422,395,235,1908,643,5990,937,8312,1083
0500000US06081,6081,"San Mateo County, California",2009,153416,4043,115966,4114,636,314,904,352,641,294,526,299,3310,857,15838,2123,94111,4141,37450,2353,1288,503,1053,546,497,300,370,257,809,407,4482,1061,28951,1862
0500000US06083,6083,"Santa Barbara County, California",2009,74286,2605,51322,2743,871,425,855,357,987,485,2598,810,9410,1364,9949,1654,26652,2209,22964,1820,1181,437,1427,432,1013,409,1119,439,2718,689,2183,664,13323,1429
0500000US06085,6085,"Santa Clara County, California",2009,344935,6086,262070,5783,3038,717,3308,711,2845,855,3741,1102,11965,1761,59383,3382,177790,5125,82865,4112,4984,1140,4950,831,1644,546,1288,467,2331,823,13743,1676,53925,3089
0500000US06087,6087,"Santa Cruz County, California",2009,56015,2417,39787,2126,248,199,297,213,627,369,1391,506,3428,857,8137,1136,25659,1889,16228,1769,1316,616,937,390,786,542,813,509,1032,417,2935,817,8409,1161
0500000US06089,6089,"Shasta County, California",2009,44976,1870,29180,1950,851,462,264,194,1992,664,5171,867,9761,1291,7791,1186,3350,857,15796,1311,3106,859,889,354,1017,446,1917,658,3982,887,3471,628,1414,484
0500000US06095,6095,"Solano County, California",2009,91324,2797,72794,3101,902,410,1841,670,4215,1183,6757,995,20470,1613,27484,2275,11125,1591,18530,1703,3084,869,1238,457,1860,622,1769,516,4185,781,4327,864,2067,678
0500000US06097,6097,"Sonoma County, California",2009,109437,3969,80798,3614,1217,368,681,446,1675,633,2388,643,8182,1289,31848,2715,34807,2339,28639,1889,2583,637,2755,695,1447,506,1100,403,2282,692,8505,1110,9967,1129
0500000US06099,6099,"Stanislaus County, California",2009,96132,3720,69828,3305,1756,618,4986,1028,11400,1694,16085,1898,19887,2036,10779,1562,4935,1088,26304,2059,4562,942,3058,763,3103,784,4139,840,5528,964,3876,937,2038,697
0500000US06101,6101,"Sutter County, California",2009,19642,1373,14940,1313,107,140,949,495,1885,681,4201,993,3750,860,3299,775,749,278,4702,919,1045,546,571,323,251,223,846,372,854,395,951,392,184,129
0500000US06107,6107,"Tulare County, California",2009,72208,2486,54057,2674,1618,558,3725,1029,10188,1339,13755,1963,14647,1773,7307,1102,2817,695,18151,1598,2719,657,2579,804,2912,706,3591,884,2950,615,2137,553,1263,435
0500000US06111,6111,"Ventura County, California",2009,169308,3738,134239,3984,1424,619,1701,682,1151,494,3058,1015,12605,1475,50649,3258,63651,3091,35069,2576,1867,501,1750,567,1260,499,1284,584,4381,1049,10634,1247,13893,1849
0500000US06113,6113,"Yolo County, California",2009,37805,1579,28664,1754,637,497,234,239,564,376,2274,823,7419,1181,10262,1321,7274,1084,9141,1159,1228,493,437,261,590,342,813,419,1595,601,2066,610,2412,653
0500000US06115,6115,"Yuba County, California",2009,15321,1323,10970,1436,437,325,991,519,2089,718,2203,686,3771,1073,1107,557,372,202,4351,726,284,238,771,406,886,431,662,336,1296,478,337,211,115,121
0500000US06001,6001,"Alameda County, California",2010,286780,5237,220712,5421,1614,483,2458,698,5330,963,7176,1408,22316,2193,72687,3751,109131,4207,66068,3121,2988,637,2181,590,642,343,1438,516,5693,983,20050,1814,33076,1783
0500000US06007,6007,"Butte County, California",2010,50325,2185,32399,1937,563,294,1991,647,3270,942,5014,924,10613,1425,8095,1178,2853,700,17926,1690,3892,1001,1951,552,1303,529,1930,636,4193,839,2950,668,1707,675
