Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; With a mortgage:,Margin of Error; With a mortgage:,"Estimate; With a mortgage: - Less than $50,000","Margin of Error; With a mortgage: - Less than $50,000","Estimate; With a mortgage: - $50,000 to $99,999","Margin of Error; With a mortgage: - $50,000 to $99,999","Estimate; With a mortgage: - $100,000 to $149,999","Margin of Error; With a mortgage: - $100,000 to $149,999","Estimate; With a mortgage: - $150,000 to $199,999","Margin of Error; With a mortgage: - $150,000 to $199,999","Estimate; With a mortgage: - $200,000 to $299,999","Margin of Error; With a mortgage: - $200,000 to $299,999","Estimate; With a mortgage: - $300,000 to $499,999","Margin of Error; With a mortgage: - $300,000 to $499,999","Estimate; With a mortgage: - $500,000 or more","Margin of Error; With a mortgage: - $500,000 or more",Estimate; Not mortgaged:,Margin of Error; Not mortgaged:,"Estimate; Not mortgaged: - Less than $50,000","Margin of Error; Not mortgaged: - Less than $50,000","Estimate; Not mortgaged: - $50,000 to $99,999","Margin of Error; Not mortgaged: - $50,000 to $99,999","Estimate; Not mortgaged: - $100,000 to $149,999","Margin of Error; Not mortgaged: - $100,000 to $149,999","Estimate; Not mortgaged: - $150,000 to $199,999","Margin of Error; Not mortgaged: - $150,000 to $199,999","Estimate; Not mortgaged: - $200,000 to $299,999","Margin of Error; Not mortgaged: - $200,000 to $299,999","Estimate; Not mortgaged: - $300,000 to $499,999","Margin of Error; Not mortgaged: - $300,000 to $499,999","Estimate; Not mortgaged: - $500,000 or more","Margin of Error; Not mortgaged: - $500,000 or more"
0500000US06067,6067,"Sacramento County, California",2005,300975,6108,233524,5941,2410,695,4301,1113,2510,636,9489,1378,39327,3121,126034,4884,49453,3340,67451,3333,6941,1460,4242,825,3137,707,4358,936,13367,1843,25392,2076,10014,1294
0500000US06071,6071,"San Bernardino County, California",2005,383061,8033,301738,7455,5930,1360,9075,2016,12435,2138,23538,2942,67338,4257,129409,5198,54013,3370,81323,3896,14791,1806,8333,1352,7362,1823,5400,940,16358,2388,21588,2255,7491,1521
0500000US06073,6073,"San Diego County, California",2005,605855,9464,463882,9150,4671,1047,5447,1199,3452,821,5127,1380,21933,2757,138819,5622,284433,7644,141973,4737,11798,1728,9642,1804,4310,930,3147,654,9788,1358,39279,3045,64009,3612
0500000US06075,6075,"San Francisco County, California",2005,122603,4341,85560,3739,655,369,2185,632,160,159,322,269,1367,585,8425,1349,72446,3550,37043,2675,352,232,1264,552,283,215,185,181,806,338,4389,1084,29764,2174
0500000US06077,6077,"San Joaquin County, California",2005,129522,3815,101175,3727,847,483,1135,406,1497,558,5429,1365,15199,2221,50403,3695,26665,1973,28347,2069,3312,1039,1501,507,1852,580,2304,665,4471,804,10850,1297,4057,687
0500000US06079,6079,"San Luis Obispo County, California",2005,64077,2752,45652,2747,921,562,333,239,1000,867,1425,806,1974,578,13191,1589,26808,2030,18425,1919,1638,667,1343,630,600,308,986,418,1861,660,4559,1174,7438,1319
0500000US06081,6081,"San Mateo County, California",2005,158672,4079,117527,4386,527,262,1333,443,899,436,323,230,2031,578,8144,1067,104270,3973,41145,2394,1014,431,1435,476,390,259,423,279,750,329,4614,1252,32519,2299
0500000US06083,6083,"Santa Barbara County, California",2005,79553,2759,56337,2735,599,291,554,306,613,287,423,252,2146,679,13755,1685,38247,2282,23216,1692,1630,579,1738,591,1066,356,1278,510,1251,484,5002,934,11251,1295
0500000US06085,6085,"Santa Clara County, California",2005,349388,7404,269769,7539,2844,902,7752,1854,2990,1186,2391,801,5622,1183,32687,3508,215483,6294,79619,3588,3653,998,5846,1095,1648,486,877,341,2960,1058,7115,1397,57520,3027
0500000US06087,6087,"Santa Cruz County, California",2005,55676,2686,40302,2662,0,293,853,393,951,441,287,274,1182,362,5037,1052,31992,2247,15374,1558,591,366,953,451,483,325,401,230,1231,553,1721,649,9994,1366
0500000US06089,6089,"Shasta County, California",2005,44986,1865,30074,1970,406,263,1249,532,2182,621,4501,836,9689,1257,9282,1157,2765,654,14912,1367,1686,484,2161,641,1863,591,2381,681,3065,777,2490,581,1266,394
