Id,Id2,Geography,Year,Estimate; Total,Margin of Error; Total
0500000US06107,6107,"Tulare County, California",2007,135497,164
0500000US06111,6111,"Ventura County, California",2007,272463,221
0500000US06113,6113,"Yolo County, California",2007,71794,68
0500000US06115,6115,"Yuba County, California",2007,27972,73
0500000US06001,6001,"Alameda County, California",2008,566622,2845
0500000US06007,6007,"Butte County, California",2008,95492,929
0500000US06013,6013,"Contra Costa County, California",2008,395668,1215
0500000US06017,6017,"El Dorado County, California",2008,83103,362
0500000US06019,6019,"Fresno County, California",2008,308459,2220
0500000US06023,6023,"Humboldt County, California",2008,59128,963
0500000US06025,6025,"Imperial County, California",2008,54469,307
0500000US06029,6029,"Kern County, California",2008,272536,2148
0500000US06031,6031,"Kings County, California",2008,42244,1768
0500000US06033,6033,"Lake County, California",2008,35244,567
0500000US06037,6037,"Los Angeles County, California",2008,3385983,4803
0500000US06039,6039,"Madera County, California",2008,49353,1175
0500000US06041,6041,"Marin County, California",2008,108569,763
0500000US06045,6045,"Mendocino County, California",2008,38987,528
0500000US06047,6047,"Merced County, California",2008,83693,556
0500000US06053,6053,"Monterey County, California",2008,140159,904
0500000US06055,6055,"Napa County, California",2008,53323,1191
0500000US06057,6057,"Nevada County, California",2008,50164,236
0500000US06059,6059,"Orange County, California",2008,1035210,3430
0500000US06061,6061,"Placer County, California",2008,147266,1154
0500000US06065,6065,"Riverside County, California",2008,769126,1321
0500000US06067,6067,"Sacramento County, California",2008,551149,2045
0500000US06071,6071,"San Bernardino County, California",2008,687370,2007
0500000US06073,6073,"San Diego County, California",2008,1138440,5224
0500000US06075,6075,"San Francisco County, California",2008,359905,1620
0500000US06077,6077,"San Joaquin County, California",2008,228603,2944
0500000US06079,6079,"San Luis Obispo County, California",2008,116769,1085
0500000US06081,6081,"San Mateo County, California",2008,267033,2204
0500000US06083,6083,"Santa Barbara County, California",2008,151772,1142
0500000US06085,6085,"Santa Clara County, California",2008,617672,2303
0500000US06087,6087,"Santa Cruz County, California",2008,103480,620
0500000US06089,6089,"Shasta County, California",2008,76999,587
0500000US06095,6095,"Solano County, California",2008,150596,483
0500000US06097,6097,"Sonoma County, California",2008,198438,1437
0500000US06099,6099,"Stanislaus County, California",2008,175118,1356
0500000US06101,6101,"Sutter County, California",2008,33451,362
0500000US06107,6107,"Tulare County, California",2008,137822,563
0500000US06111,6111,"Ventura County, California",2008,273553,1880
0500000US06113,6113,"Yolo County, California",2008,72548,2938
0500000US06115,6115,"Yuba County, California",2008,28630,232
0500000US06001,6001,"Alameda County, California",2009,567345,1694
