Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Living in a principal city:,Margin of Error; Living in a principal city:,Estimate; Living in a principal city: - Worked in Metropolitan Statistical Area of residence:,Margin of Error; Living in a principal city: - Worked in Metropolitan Statistical Area of residence:,Estimate; Living in a principal city: - Worked in Metropolitan Statistical Area of residence: - Worked in a principal city,Margin of Error; Living in a principal city: - Worked in Metropolitan Statistical Area of residence: - Worked in a principal city,Estimate; Living in a principal city: - Worked in Metropolitan Statistical Area of residence: - Worked outside any principal city,Margin of Error; Living in a principal city: - Worked in Metropolitan Statistical Area of residence: - Worked outside any principal city,Estimate; Living in a principal city: - Worked in a different Metropolitan Statistical Area:,Margin of Error; Living in a principal city: - Worked in a different Metropolitan Statistical Area:,Estimate; Living in a principal city: - Worked in a different Metropolitan Statistical Area: - Worked in a principal city,Margin of Error; Living in a principal city: - Worked in a different Metropolitan Statistical Area: - Worked in a principal city,Estimate; Living in a principal city: - Worked in a different Metropolitan Statistical Area: - Worked outside any principal city,Margin of Error; Living in a principal city: - Worked in a different Metropolitan Statistical Area: - Worked outside any principal city,Estimate; Living in a principal city: - Worked in a Micropolitan Statistical Area:,Margin of Error; Living in a principal city: - Worked in a Micropolitan Statistical Area:,Estimate; Living in a principal city: - Worked in a Micropolitan Statistical Area: - Worked in a principal city,Margin of Error; Living in a principal city: - Worked in a Micropolitan Statistical Area: - Worked in a principal city,Estimate; Living in a principal city: - Worked in a Micropolitan Statistical Area: - Worked outside any principal city,Margin of Error; Living in a principal city: - Worked in a Micropolitan Statistical Area: - Worked outside any principal city,Estimate; Living in a principal city: - Worked outside any Metropolitan or Micropolitan Statistical Area,Margin of Error; Living in a principal city: - Worked outside any Metropolitan or Micropolitan Statistical Area,Estimate; Living outside any principal city:,Margin of Error; Living outside any principal city:,Estimate; Living outside any principal city: - Worked in Metropolitan Statistical Area of residence:,Margin of Error; Living outside any principal city: - Worked in Metropolitan Statistical Area of residence:,Estimate; Living outside any principal city: - Worked in Metropolitan Statistical Area of residence: - Worked in a principal city,Margin of Error; Living outside any principal city: - Worked in Metropolitan Statistical Area of residence: - Worked in a principal city,Estimate; Living outside any principal city: - Worked in Metropolitan Statistical Area of residence: - Worked outside any principal city,Margin of Error; Living outside any principal city: - Worked in Metropolitan Statistical Area of residence: - Worked outside any principal city,Estimate; Living outside any principal city: - Worked in a different Metropolitan Statistical Area:,Margin of Error; Living outside any principal city: - Worked in a different Metropolitan Statistical Area:,Estimate; Living outside any principal city: - Worked in a different Metropolitan Statistical Area: - Worked in a principal city,Margin of Error; Living outside any principal city: - Worked in a different Metropolitan Statistical Area: - Worked in a principal city,Estimate; Living outside any principal city: - Worked in a different Metropolitan Statistical Area: - Worked outside any principal city,Margin of Error; Living outside any principal city: - Worked in a different Metropolitan Statistical Area: - Worked outside any principal city,Estimate; Living outside any principal city: - Worked in a Micropolitan Statistical Area:,Margin of Error; Living outside any principal city: - Worked in a Micropolitan Statistical Area:,Estimate; Living outside any principal city: - Worked in a Micropolitan Statistical Area: - Worked in a principal city,Margin of Error; Living outside any principal city: - Worked in a Micropolitan Statistical Area: - Worked in a principal city,Estimate; Living outside any principal city: - Worked in a Micropolitan Statistical Area: - Worked outside any principal city,Margin of Error; Living outside any principal city: - Worked in a Micropolitan Statistical Area: - Worked outside any principal city,Estimate; Living outside any principal city: - Worked outside any Metropolitan or Micropolitan Statistical Area,Margin of Error; Living outside any principal city: - Worked outside any Metropolitan or Micropolitan Statistical Area
0500000US06081,6081,"San Mateo County, California",2006,343371,5499,111449,5461,95868,5504,59890,4070,35978,3417,15328,1984,12707,1955,2621,919,143,136,40,67,103,117,110,128,231922,7155,195116,6459,104321,6365,90795,5149,36393,2944,29531,2499,6862,1570,122,118,48,79,74,86,291,339
0500000US06083,6083,"Santa Barbara County, California",2006,181196,4409,77861,5299,70819,5021,52703,4302,18116,2474,7042,1617,3160,1258,3882,1056,0,289,0,289,0,289,0,289,103335,5528,97033,5542,31915,2806,65118,4469,6302,1298,3493,986,2809,807,0,289,0,289,0,289,0,289
0500000US06085,6085,"Santa Clara County, California",2006,811512,9332,675007,9794,580386,9014,518352,8873,62034,3851,93353,5395,56854,4039,36499,3157,54,89,54,89,0,289,1214,595,136505,5719,123781,5489,70406,4371,53375,4416,12202,1774,6859,1288,5343,1311,76,123,0,289,76,123,446,389
0500000US06087,6087,"Santa Cruz County, California",2006,121481,3521,48207,3506,39326,3285,29215,2950,10111,1760,8803,1617,4556,1250,4247,1001,0,289,0,289,0,289,78,127,73274,3869,53378,3456,20446,1978,32932,2980,19771,1788,13416,1832,6355,1277,59,96,59,96,0,289,66,108
0500000US06089,6089,"Shasta County, California",2006,72780,3458,36478,3290,34314,3274,28021,2890,6293,1200,866,462,436,320,430,280,1163,564,834,551,329,231,135,159,36302,3318,34844,3210,15763,1894,19081,2687,408,249,170,159,238,216,861,404,492,273,369,259,189,129
0500000US06095,6095,"Solano County, California",2006,182476,3297,97842,4221,52220,3830,40001,2877,12219,2291,45557,3056,22140,2774,23417,2594,0,289,0,289,0,289,65,108,84634,4224,56447,3757,21950,2563,34497,3324,28187,2996,13288,1852,14899,2280,0,289,0,289,0,289,0,289
0500000US06097,6097,"Sonoma County, California",2006,228426,4602,100928,4947,82044,4760,61598,4796,20446,2146,18275,2490,9702,1790,8573,1554,435,283,121,137,314,216,174,167,127498,5194,107525,5218,39685,3257,67840,4498,19284,2017,10067,1308,9217,1779,565,307,107,125,458,273,124,202
0500000US06099,6099,"Stanislaus County, California",2006,206999,4934,81121,4586,65227,3861,46688,3255,18539,2296,15561,2392,5893,1404,9668,1960,278,242,0,289,278,242,55,91,125878,5777,95434,5088,31001,3351,64433,4392,29555,3061,11181,1662,18374,2507,773,507,0,289,773,507,116,125
0500000US06101,6101,"Sutter County, California",2006,40095,2036,24159,2530,17903,2132,9598,1581,8305,1832,5646,1327,2927,915,2719,884,182,159,59,99,123,158,428,286,15936,2255,11130,2005,6029,1523,5101,1286,4463,1553,1843,896,2620,1147,16,28,0,289,16,28,327,202
0500000US06107,6107,"Tulare County, California",2006,158972,4774,61569,4512,53464,4340,40991,4059,12473,1943,8105,1428,3741,1056,4364,1200,0,289,0,289,0,289,0,289,97403,5147,84867,4991,27304,3473,57563,3983,12483,2003,4614,1127,7869,1538,0,289,0,289,0,289,53,85
0500000US06111,6111,"Ventura County, California",2006,383037,5073,222023,7333,182087,6642,148011,7022,34076,3690,39668,3615,21852,2562,17816,2532,0,289,0,289,0,289,268,360,161014,6354,115128,6059,41212,3412,73916,5437,45260,3059,30133,2761,15127,1931,0,289,0,289,0,289,626,463
0500000US06113,6113,"Yolo County, California",2006,83628,3112,23989,3065,22890,3016,15747,2315,7143,1589,1029,480,314,249,715,440,0,289,0,289,0,289,70,118,59639,3364,52297,3486,17345,2490,34952,2985,6708,1303,2808,851,3900,999,252,317,80,134,172,279,382,349
0500000US06001,6001,"Alameda County, California",2007,683964,9956,457974,10421,404102,10015,322354,8745,81748,5217,53228,4243,46777,4099,6451,1521,0,292,0,292,0,292,644,447,225990,8064,200530,7445,109658,5428,90872,4605,24740,2765,20210,2477,4530,1239,517,490,81,141,436,472,203,224
0500000US06007,6007,"Butte County, California",2007,90242,3706,39376,3283,36757,3127,29922,3151,6835,1716,1211,579,239,205,972,500,865,511,58,92,807,519,543,387,50866,3288,44051,2963,13784,1782,30267,2795,5159,1189,2556,838,2603,877,525,456,83,153,442,435,1131,649
0500000US06013,6013,"Contra Costa County, California",2007,473998,7329,31251,3302,29940,3376,18438,2409,11502,2221,1311,679,886,614,425,261,0,292,0,292,0,292,0,292,442747,7978,413885,8345,152267,6668,261618,8408,28031,2603,19265,2055,8766,1510,711,550,564,531,147,140,120,143
0500000US06019,6019,"Fresno County, California",2007,366836,6712,194244,6907,181700,6737,150212,6133,31488,2676,12544,1814,6313,1330,6231,1337,0,292,0,292,0,292,0,292,172592,6429,158771,5995,71957,4431,86814,5391,13821,1747,5380,1169,8441,1562,0,292,0,292,0,292,0,292
0500000US06025,6025,"Imperial County, California",2007,51947,2934,14294,2221,13615,2217,9031,1747,4584,1115,439,278,138,145,301,260,0,292,0,292,0,292,240,203,37653,2716,34540,2801,9144,1672,25396,2623,2597,992,737,424,1860,887,0,292,0,292,0,292,516,482
0500000US06029,6029,"Kern County, California",2007,299226,6119,133266,5339,127328,5285,89344,4397,37984,3208,5748,1186,3989,996,1759,686,43,71,43,71,0,292,147,138,165960,6932,149409,6417,46758,3679,102651,5579,15739,2587,4092,1263,11647,2196,318,264,0,292,318,264,494,499
0500000US06031,6031,"Kings County, California",2007,56058,2889,24795,2989,19318,2690,11166,1847,8152,1722,5477,1753,2711,1024,2766,1267,0,292,0,292,0,292,0,292,31263,3313,25069,2958,4765,1378,20304,2777,6194,1861,2276,1239,3918,1448,0,292,0,292,0,292,0,292
0500000US06037,6037,"Los Angeles County, California",2007,4423707,20832,2568604,25214,2489679,24528,1977785,24872,511894,10176,75240,4590,40732,3633,34508,2817,883,475,117,139,766,468,2802,910,1855103,24285,1774715,23873,791273,15036,983442,19609,78845,6301,37977,4123,40868,3998,327,247,65,108,262,222,1216,417
0500000US06039,6039,"Madera County, California",2007,55530,2810,22036,2657,17192,2382,10363,1805,6829,1696,4741,1466,3037,1129,1704,941,0,292,0,292,0,292,103,164,33494,2981,20922,2760,5039,1562,15883,2277,11864,2001,7802,1846,4062,1156,0,292,0,292,0,292,708,434
0500000US06041,6041,"Marin County, California",2007,123054,3534,29676,3858,27812,3777,20606,2903,7206,1804,1864,777,1684,722,180,182,0,292,0,292,0,292,0,292,93378,4764,87536,4459,39230,3093,48306,3471,5654,1181,3383,926,2271,854,0,292,0,292,0,292,188,247
0500000US06047,6047,"Merced County, California",2007,92158,3077,26809,3081,23091,2885,16110,2552,6981,1706,3602,1328,2191,1207,1411,679,0,292,0,292,0,292,116,192,65349,3580,44251,3599,11082,1837,33169,3320,20828,2669,8748,2085,12080,1860,227,368,0,292,227,368,43,63
0500000US06053,6053,"Monterey County, California",2007,180687,3855,59521,4320,52773,4290,34155,3913,18618,2446,6748,1709,3683,1247,3065,1414,0,292,0,292,0,292,0,292,121166,5132,109096,5089,15870,2395,93226,4539,11912,2191,6941,1597,4971,1764,0,292,0,292,0,292,158,150
0500000US06055,6055,"Napa County, California",2007,63693,2043,35010,2194,27561,2295,17817,2000,9744,1804,7395,1260,3799,1066,3596,883,0,292,0,292,0,292,54,91,28683,2337,20190,2127,5494,1082,14696,1975,8291,1555,5071,1202,3220,986,202,254,49,83,153,240,0,292
0500000US06059,6059,"Orange County, California",2007,1430251,10319,699294,12046,671998,11847,511355,10619,160643,6840,26502,3017,13516,2293,12986,2062,186,232,128,211,58,96,608,350,730957,12296,700680,12560,322798,9580,377882,10507,29857,2962,14532,1884,15325,2091,0,292,0,292,0,292,420,272
0500000US06061,6061,"Placer County, California",2007,162136,4470,55583,3800,51538,4014,33008,3185,18530,2389,3857,1260,2119,956,1738,956,141,135,89,104,52,88,47,77,106553,4450,98014,4758,36352,3425,61662,4472,5811,1282,2628,802,3183,1079,2264,854,836,491,1428,694,464,292
0500000US06065,6065,"Riverside County, California",2007,872667,10080,203696,8942,170642,8348,110532,7596,60110,4717,32826,3504,19287,2781,13539,2305,114,139,73,122,41,67,114,134,668971,10611,540733,10869,128676,6276,412057,10351,127212,6277,73484,4876,53728,4131,233,197,42,72,191,185,793,464
0500000US06067,6067,"Sacramento County, California",2007,620447,6943,303625,7942,288830,7604,214400,7113,74430,4606,13598,2162,7271,1744,6327,1406,509,291,238,203,271,239,688,591,316822,9387,293115,9337,157028,6745,136087,6858,21265,2801,10328,1925,10937,2307,1092,559,741,573,351,335,1350,832
0500000US06071,6071,"San Bernardino County, California",2007,844716,11296,268672,10228,213802,9286,139485,7820,74317,5581,54754,4343,29246,3025,25508,3309,62,105,0,292,62,105,54,88,576044,12366,452990,10272,156090,7398,296900,9109,121854,7514,62624,5401,59230,4973,59,100,59,100,0,292,1141,456
0500000US06073,6073,"San Diego County, California",2007,1396627,11623,722903,11335,698011,11325,575750,10768,122261,5523,22717,2801,12725,1972,9992,2212,368,390,222,316,146,138,1807,657,673724,12414,641172,12417,274094,9029,367078,12265,29801,3160,16229,2344,13572,2185,197,165,80,93,117,138,2554,964
0500000US06077,6077,"San Joaquin County, California",2007,266484,5145,112466,6911,94275,6014,64172,5396,30103,4088,16776,2867,9324,1698,7452,2058,1025,1254,148,250,877,1206,390,308,154018,6402,104884,5699,26348,3455,78536,4933,48920,4137,27061,3184,21859,2668,49,81,0,292,49,81,165,162
0500000US06079,6079,"San Luis Obispo County, California",2007,117972,3264,38999,3852,35933,3735,25463,2807,10470,2154,3066,957,1501,583,1565,757,0,292,0,292,0,292,0,292,78973,4512,71440,4370,21950,2889,49490,4070,7533,1402,4953,1336,2580,1015,0,292,0,292,0,292,0,292
0500000US06081,6081,"San Mateo County, California",2007,353222,5159,113820,7295,98447,7058,64670,5823,33777,4080,15321,1804,12443,1534,2878,803,0,292,0,292,0,292,52,86,239402,8507,200886,8443,109734,7119,91152,4952,38283,2960,32318,2755,5965,1396,76,127,0,292,76,127,157,189
0500000US06083,6083,"Santa Barbara County, California",2007,183274,3783,94489,5149,87577,4413,58147,3619,29430,2873,6837,1842,2428,802,4409,1645,0,292,0,292,0,292,75,130,88785,4766,82799,4701,28704,2720,54095,3548,5917,1292,2880,909,3037,915,0,292,0,292,0,292,69,116
0500000US06085,6085,"Santa Clara County, California",2007,833114,9004,688146,10220,594123,9693,534178,9721,59945,4101,93384,5159,58897,4595,34487,3105,118,201,0,292,118,201,521,382,144968,6614,128450,6266,75428,4657,53022,3929,16422,2475,9350,1638,7072,1552,0,292,0,292,0,292,96,112
0500000US06087,6087,"Santa Cruz County, California",2007,123935,3137,46414,3006,36802,2873,27179,2818,9623,1430,9503,1567,4477,1139,5026,1206,0,292,0,292,0,292,109,135,77521,3923,56491,3584,20662,2421,35829,2647,21030,3144,12210,1854,8820,2345,0,292,0,292,0,292,0,292
0500000US06089,6089,"Shasta County, California",2007,76610,3126,39211,3236,37598,3238,31014,2859,6584,1693,480,306,170,203,310,240,1002,737,783,703,219,233,131,158,37399,3688,34191,3552,19382,2507,14809,2099,1141,486,551,407,590,452,1224,507,880,393,344,278,843,652
0500000US06095,6095,"Solano County, California",2007,182130,4307,98567,4242,55135,3892,40424,3441,14711,2450,43306,3129,24350,2293,18956,2313,55,104,0,292,55,104,71,119,83563,4341,53298,3880,18102,2072,35196,3474,30087,2474,15259,2040,14828,2099,0,292,0,292,0,292,178,168
0500000US06097,6097,"Sonoma County, California",2007,226604,3934,98898,5441,81411,4826,62411,4282,19000,2347,17197,2729,8533,1697,8664,1875,167,120,0,292,167,120,123,208,127706,5566,105342,5263,40442,3445,64900,4722,21376,2413,11648,1789,9728,1577,852,495,89,105,763,475,136,165
0500000US06099,6099,"Stanislaus County, California",2007,204013,5441,77682,4942,61477,4606,42063,4075,19414,2581,15404,2040,6573,1270,8831,1710,453,435,0,292,453,435,348,356,126331,5473,96732,5664,29573,3724,67159,4355,28122,3078,10013,1843,18109,2762,1320,783,120,146,1200,757,157,142
0500000US06101,6101,"Sutter County, California",2007,39057,2332,25707,2445,16445,1857,9940,1496,6505,1316,7990,1396,4794,1413,3196,952,340,279,113,139,227,236,932,518,13350,2070,8703,1498,4167,1089,4536,964,3996,1006,2384,750,1612,628,253,318,38,63,215,308,398,213
0500000US06107,6107,"Tulare County, California",2007,157277,4810,62033,4174,56445,4235,41594,3795,14851,2304,5588,1261,2379,797,3209,989,0,292,0,292,0,292,0,292,95244,4817,79940,5170,22075,3112,57865,4158,15167,2204,5105,1375,10062,1780,0,292,0,292,0,292,137,162
0500000US06111,6111,"Ventura County, California",2007,375552,6076,215512,5884,176732,5799,148307,5538,28425,2991,38240,3140,20278,2271,17962,2462,465,503,0,292,465,503,75,129,160040,6305,115292,6343,48397,4262,66895,5051,44639,3173,29624,2735,15015,2200,0,292,0,292,0,292,109,129
0500000US06113,6113,"Yolo County, California",2007,91015,3640,22925,3355,20839,3094,15032,2922,5807,1047,1910,790,422,304,1488,686,176,286,176,286,0,292,0,292,68090,3668,60106,3476,21391,2607,38715,3018,7900,1626,3442,1061,4458,1107,0,292,0,292,0,292,84,109
0500000US06001,6001,"Alameda County, California",2008,715593,6799,467438,9652,414707,9044,321558,8652,93149,6622,52184,3935,45970,3766,6214,1208,235,267,0,294,235,267,312,320,248155,9982,220130,9452,126649,7281,93481,5444,27225,2758,22726,2362,4499,1484,187,184,130,159,57,95,613,439
0500000US06007,6007,"Butte County, California",2008,90343,3772,41130,3864,36898,3408,30396,3421,6502,1556,2122,826,1178,692,944,587,406,224,188,160,218,199,1704,1128,49213,3782,43241,3467,14628,2199,28613,2661,4241,1169,2297,918,1944,687,576,401,60,101,516,388,1155,566
0500000US06013,6013,"Contra Costa County, California",2008,487764,5844,28350,3017,27263,2928,18536,2211,8727,1508,1087,435,681,370,406,265,0,294,0,294,0,294,0,294,459414,6348,429533,6427,163707,6223,265826,6348,29055,2967,18804,2116,10251,2193,322,288,62,101,260,245,504,282
0500000US06019,6019,"Fresno County, California",2008,364626,6539,192303,7865,178466,7858,144308,7675,34158,3410,13524,2012,5549,1490,7975,1409,219,221,170,204,49,80,94,159,172323,7583,155840,7099,68237,4427,87603,7083,16317,2710,5181,1370,11136,2289,27,47,0,294,27,47,139,161
0500000US06025,6025,"Imperial County, California",2008,56041,2385,15149,2489,14305,2439,8737,1630,5568,1345,807,569,574,470,233,317,0,294,0,294,0,294,37,75,40892,2803,37200,2372,10772,1776,26428,1963,3061,1093,1174,551,1887,887,0,294,0,294,0,294,631,572
0500000US06029,6029,"Kern County, California",2008,312742,6460,138827,6921,133151,6811,95713,5467,37438,4341,5612,1288,3158,906,2454,960,0,294,0,294,0,294,64,105,173915,7320,155953,6654,46662,3835,109291,6420,17171,2864,6444,1876,10727,2350,501,310,104,123,397,284,290,195
0500000US06031,6031,"Kings County, California",2008,58066,4886,26650,3193,21529,2791,13442,2293,8087,1656,5121,1364,3058,992,2063,786,0,294,0,294,0,294,0,294,31416,4455,27590,4330,6930,1376,20660,3884,3799,1175,1500,599,2299,892,0,294,0,294,0,294,27,52
0500000US06037,6037,"Los Angeles County, California",2008,4530548,25742,2632728,26183,2556709,26824,2041213,25956,515496,13285,72703,5150,39450,3694,33253,3107,610,374,284,325,326,220,2706,1069,1897820,23897,1820661,24006,811431,16913,1009230,17597,74365,4137,34979,3089,39386,2730,156,154,0,294,156,154,2638,912
0500000US06039,6039,"Madera County, California",2008,47747,3407,17327,2722,13632,2586,9157,2171,4475,1241,3695,1199,2905,1164,790,458,0,294,0,294,0,294,0,294,30420,2974,20197,2561,4565,1310,15632,2261,9660,1555,6859,1393,2801,772,0,294,0,294,0,294,563,445
0500000US06041,6041,"Marin County, California",2008,128185,3335,27404,2784,26240,2709,17047,2499,9193,2002,1164,735,925,741,239,199,0,294,0,294,0,294,0,294,100781,3859,94652,3781,41482,3279,53170,3637,5995,1499,4571,1298,1424,609,66,109,0,294,66,109,68,82
0500000US06047,6047,"Merced County, California",2008,93577,3537,28637,3225,24145,3206,16712,2658,7433,1555,4193,1207,1920,975,2273,806,139,229,0,294,139,229,160,204,64940,3581,44199,3328,11769,1639,32430,3258,20641,2783,7475,1577,13166,2327,100,169,100,169,0,294,0,294
0500000US06053,6053,"Monterey County, California",2008,179919,4395,60873,5054,55775,4906,36049,3921,19726,2983,5098,1192,2061,808,3037,953,0,294,0,294,0,294,0,294,119046,5792,106779,5435,17724,2464,89055,4853,12098,2230,6636,1415,5462,1500,0,294,0,294,0,294,169,199
0500000US06055,6055,"Napa County, California",2008,65694,3359,38818,4208,33756,4253,20425,2625,13331,3803,5010,1175,2448,843,2562,885,0,294,0,294,0,294,52,88,26876,3360,19486,2534,5516,1290,13970,2270,7059,2148,4826,1609,2233,833,331,428,0,294,331,428,0,294
0500000US06059,6059,"Orange County, California",2008,1469509,9020,705836,13006,685352,13077,530798,11184,154554,6853,20138,3245,10785,2195,9353,1824,142,134,0,294,142,134,204,202,763673,13488,736793,12735,347789,8808,389004,11778,26078,2923,14041,2023,12037,1965,266,234,213,216,53,87,536,277
0500000US06061,6061,"Placer County, California",2008,165778,4340,59342,4919,56670,5069,40653,4323,16017,2066,2357,858,1749,800,608,418,94,110,94,110,0,294,221,296,106436,5768,98364,5681,39397,3601,58967,4304,5652,1367,2162,727,3490,1086,2362,936,1366,653,996,569,58,96
0500000US06065,6065,"Riverside County, California",2008,880102,10454,210647,10473,175173,9178,113718,7663,61455,4665,35175,4053,19731,2655,15444,2554,0,294,0,294,0,294,299,230,669455,11806,541448,13322,141289,7344,400159,12258,126530,7477,75181,6132,51349,4449,708,556,247,210,461,516,769,430
0500000US06067,6067,"Sacramento County, California",2008,628808,8397,313740,8914,295818,8239,219143,7397,76675,4594,15876,2399,7489,1408,8387,1924,1070,969,703,651,367,387,976,353,315068,9490,294618,9713,157547,7163,137071,6577,18355,2454,8381,1696,9974,1873,658,373,314,299,344,223,1437,667
0500000US06071,6071,"San Bernardino County, California",2008,847918,11894,284846,11680,230946,10073,142541,8468,88405,6627,53802,4936,28938,3803,24864,3373,98,115,0,294,98,115,0,294,563072,11850,443242,11359,154351,7813,288891,8935,118632,6303,58514,4143,60118,4685,629,1053,0,294,629,1053,569,296
0500000US06073,6073,"San Diego County, California",2008,1422322,13947,721111,14429,703743,14217,572491,12777,131252,6375,15904,1849,9694,1588,6210,1183,339,268,105,123,234,239,1125,505,701211,15329,672484,15127,285331,9200,387153,12853,25692,2671,12428,1872,13264,2089,263,284,0,294,263,284,2772,1074
0500000US06077,6077,"San Joaquin County, California",2008,273076,5827,104685,5673,88538,5464,64023,4741,24515,2755,15287,2116,8295,1854,6992,1412,0,294,0,294,0,294,860,769,168391,6794,116132,6502,29957,3468,86175,5261,51124,3597,27486,2519,23638,2675,638,425,103,171,535,395,497,281
0500000US06079,6079,"San Luis Obispo County, California",2008,125195,4379,40806,4079,39258,3970,26350,3419,12908,2203,1511,694,953,676,558,475,37,70,0,294,37,70,0,294,84389,4959,71958,4964,23624,2622,48334,4299,12274,2055,8093,1759,4181,1073,94,114,49,87,45,74,63,105
0500000US06081,6081,"San Mateo County, California",2008,363557,6105,119360,6737,102044,6219,67193,5341,34851,3274,17098,2235,15288,2220,1810,684,81,137,0,294,81,137,137,158,244197,7686,207012,7026,108001,5402,99011,5799,36604,3116,30454,2826,6150,986,139,162,73,122,66,104,442,312
0500000US06083,6083,"Santa Barbara County, California",2008,191943,4401,97832,5411,91195,4995,73963,4349,17232,2373,6179,1543,2646,1067,3533,1375,399,568,399,568,0,294,59,96,94111,5555,87639,5269,41193,4209,46446,4023,6472,1261,3391,973,3081,782,0,294,0,294,0,294,0,294
0500000US06085,6085,"Santa Clara County, California",2008,865247,10179,713774,10391,620858,9893,563065,9715,57793,5157,91247,5874,57427,4574,33820,3528,120,140,120,140,0,294,1549,569,151473,7961,134748,7508,79661,5445,55087,5296,16456,1955,9736,1550,6720,1261,0,294,0,294,0,294,269,232
0500000US06087,6087,"Santa Cruz County, California",2008,126810,3995,48417,3466,40727,3495,28990,3001,11737,1897,7644,1213,4655,799,2989,870,0,294,0,294,0,294,46,78,78393,3988,55266,4142,23519,2659,31747,3315,22885,2851,14834,2443,8051,1668,0,294,0,294,0,294,242,331
0500000US06089,6089,"Shasta County, California",2008,73604,3386,39486,2993,37725,3054,32041,2892,5684,1478,683,578,623,578,60,97,743,476,539,414,204,241,335,343,34118,3353,32442,3199,17637,2284,14805,1917,597,311,356,247,241,201,735,384,259,255,476,266,344,250
0500000US06095,6095,"Solano County, California",2008,190507,4383,102831,5182,56947,4042,43747,3249,13200,2262,45404,3239,23515,2438,21889,2741,394,341,211,252,183,226,86,104,87676,5510,54696,4534,24629,2926,30067,3206,32777,3506,15718,2683,17059,2433,103,117,49,80,54,87,100,123
0500000US06097,6097,"Sonoma County, California",2008,230919,4741,106553,5065,88380,4954,65017,4474,23363,2599,17781,2804,8391,1746,9390,1965,285,353,0,294,285,353,107,125,124366,5198,105624,5464,37808,3279,67816,4436,17312,2154,9604,1564,7708,1475,1381,639,600,442,781,471,49,79
0500000US06099,6099,"Stanislaus County, California",2008,212020,5218,86041,4661,68196,4219,46796,3818,21400,2565,17680,2136,6856,1406,10824,1901,106,126,0,294,106,126,59,98,125979,5766,95313,4802,27219,2537,68094,4610,29762,2726,11861,1726,17901,2150,744,392,135,221,609,325,160,121
0500000US06101,6101,"Sutter County, California",2008,39208,2337,25557,2466,18303,2283,13481,2080,4822,1021,6338,1454,3866,1106,2472,826,433,421,252,303,181,274,483,280,13651,2094,8272,1378,3400,899,4872,1040,4953,1213,2676,921,2277,760,0,294,0,294,0,294,426,334
0500000US06107,6107,"Tulare County, California",2008,167842,5327,74577,4545,67796,4374,51308,3830,16488,2709,6411,1220,3271,903,3140,990,151,256,151,256,0,294,219,182,93265,5535,79445,5195,24421,2927,55024,4784,13604,1848,4624,1461,8980,1552,0,294,0,294,0,294,216,272
0500000US06111,6111,"Ventura County, California",2008,380445,6309,225488,8074,184742,7299,150491,6712,34251,3476,40689,4510,21584,3207,19105,2436,0,294,0,294,0,294,57,89,154957,7081,109341,6354,45258,4066,64083,5077,45564,3350,32305,2840,13259,2032,0,294,0,294,0,294,52,84
0500000US06113,6113,"Yolo County, California",2008,91632,5888,20939,2954,18828,2703,13379,2215,5449,1297,1910,697,381,250,1529,671,0,294,0,294,0,294,201,205,70693,4758,62723,4349,21188,2444,41535,3897,7103,1794,2676,955,4427,1341,459,525,0,294,459,525,408,368
0500000US06001,6001,"Alameda County, California",2009,700618,8954,470108,8591,415411,9025,333023,8182,82388,4912,54338,3893,49348,3595,4990,1328,0,294,0,294,0,294,359,258,230510,4977,202624,4832,110764,5168,91860,4514,27629,3014,23560,2584,4069,1340,257,258,117,194,140,165,0,294
0500000US06007,6007,"Butte County, California",2009,86568,4336,38876,3215,35174,3007,29623,2728,5551,1367,1480,601,349,296,1131,530,1345,679,151,148,1194,680,877,558,47692,3267,41959,3256,12914,2288,29045,2689,4269,1116,1763,649,2506,856,367,289,0,294,367,289,1097,787
0500000US06013,6013,"Contra Costa County, California",2009,472142,7425,28836,1935,28266,1931,17328,1769,10938,1392,570,347,414,287,156,184,0,294,0,294,0,294,0,294,443306,7012,416069,7237,157123,6107,258946,6779,26777,3012,17102,2307,9675,2174,353,240,56,94,297,223,107,151
0500000US06019,6019,"Fresno County, California",2009,334036,7509,175605,5974,163707,6294,131173,5603,32534,3311,11661,1876,4943,1060,6718,1489,95,152,0,294,95,152,142,231,158431,5967,145307,5706,61018,3816,84289,5049,13124,1937,4789,1251,8335,1489,0,294,0,294,0,294,0,294
0500000US06025,6025,"Imperial County, California",2009,55797,2897,14903,1724,13905,1650,7783,1319,6122,1245,998,485,404,273,594,437,0,294,0,294,0,294,0,294,40894,2422,37112,2398,9361,1625,27751,2372,2677,751,873,417,1804,665,0,294,0,294,0,294,1105,617
0500000US06029,6029,"Kern County, California",2009,291189,6649,127049,4997,121167,4812,84826,4478,36341,3238,5584,1491,3195,1071,2389,936,142,171,54,88,88,148,156,168,164140,6641,150207,6420,47670,4057,102537,5670,13636,2373,3866,1024,9770,2229,297,273,35,60,262,263,0,294
0500000US06031,6031,"Kings County, California",2009,55819,2377,25435,2241,21748,2217,13624,1884,8124,1689,3687,793,1677,544,2010,732,0,294,0,294,0,294,0,294,30384,2221,22851,2516,4837,1065,18014,2395,7533,2503,1385,722,6148,2384,0,294,0,294,0,294,0,294
