Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Living in a principal city:,Margin of Error; Living in a principal city:,Estimate; Living in a principal city: - Worked in Metropolitan Statistical Area of residence:,Margin of Error; Living in a principal city: - Worked in Metropolitan Statistical Area of residence:,Estimate; Living in a principal city: - Worked in Metropolitan Statistical Area of residence: - Worked in a principal city,Margin of Error; Living in a principal city: - Worked in Metropolitan Statistical Area of residence: - Worked in a principal city,Estimate; Living in a principal city: - Worked in Metropolitan Statistical Area of residence: - Worked outside any principal city,Margin of Error; Living in a principal city: - Worked in Metropolitan Statistical Area of residence: - Worked outside any principal city,Estimate; Living in a principal city: - Worked in a different Metropolitan Statistical Area:,Margin of Error; Living in a principal city: - Worked in a different Metropolitan Statistical Area:,Estimate; Living in a principal city: - Worked in a different Metropolitan Statistical Area: - Worked in a principal city,Margin of Error; Living in a principal city: - Worked in a different Metropolitan Statistical Area: - Worked in a principal city,Estimate; Living in a principal city: - Worked in a different Metropolitan Statistical Area: - Worked outside any principal city,Margin of Error; Living in a principal city: - Worked in a different Metropolitan Statistical Area: - Worked outside any principal city,Estimate; Living in a principal city: - Worked in a Micropolitan Statistical Area:,Margin of Error; Living in a principal city: - Worked in a Micropolitan Statistical Area:,Estimate; Living in a principal city: - Worked in a Micropolitan Statistical Area: - Worked in a principal city,Margin of Error; Living in a principal city: - Worked in a Micropolitan Statistical Area: - Worked in a principal city,Estimate; Living in a principal city: - Worked in a Micropolitan Statistical Area: - Worked outside any principal city,Margin of Error; Living in a principal city: - Worked in a Micropolitan Statistical Area: - Worked outside any principal city,Estimate; Living in a principal city: - Worked outside any Metropolitan or Micropolitan Statistical Area,Margin of Error; Living in a principal city: - Worked outside any Metropolitan or Micropolitan Statistical Area,Estimate; Living outside any principal city:,Margin of Error; Living outside any principal city:,Estimate; Living outside any principal city: - Worked in Metropolitan Statistical Area of residence:,Margin of Error; Living outside any principal city: - Worked in Metropolitan Statistical Area of residence:,Estimate; Living outside any principal city: - Worked in Metropolitan Statistical Area of residence: - Worked in a principal city,Margin of Error; Living outside any principal city: - Worked in Metropolitan Statistical Area of residence: - Worked in a principal city,Estimate; Living outside any principal city: - Worked in Metropolitan Statistical Area of residence: - Worked outside any principal city,Margin of Error; Living outside any principal city: - Worked in Metropolitan Statistical Area of residence: - Worked outside any principal city,Estimate; Living outside any principal city: - Worked in a different Metropolitan Statistical Area:,Margin of Error; Living outside any principal city: - Worked in a different Metropolitan Statistical Area:,Estimate; Living outside any principal city: - Worked in a different Metropolitan Statistical Area: - Worked in a principal city,Margin of Error; Living outside any principal city: - Worked in a different Metropolitan Statistical Area: - Worked in a principal city,Estimate; Living outside any principal city: - Worked in a different Metropolitan Statistical Area: - Worked outside any principal city,Margin of Error; Living outside any principal city: - Worked in a different Metropolitan Statistical Area: - Worked outside any principal city,Estimate; Living outside any principal city: - Worked in a Micropolitan Statistical Area:,Margin of Error; Living outside any principal city: - Worked in a Micropolitan Statistical Area:,Estimate; Living outside any principal city: - Worked in a Micropolitan Statistical Area: - Worked in a principal city,Margin of Error; Living outside any principal city: - Worked in a Micropolitan Statistical Area: - Worked in a principal city,Estimate; Living outside any principal city: - Worked in a Micropolitan Statistical Area: - Worked outside any principal city,Margin of Error; Living outside any principal city: - Worked in a Micropolitan Statistical Area: - Worked outside any principal city,Estimate; Living outside any principal city: - Worked outside any Metropolitan or Micropolitan Statistical Area,Margin of Error; Living outside any principal city: - Worked outside any Metropolitan or Micropolitan Statistical Area
0500000US06055,6055,"Napa County, California",2005,63078,2439,37312,2636,29362,2330,21223,2225,8139,1475,7561,1471,4082,1056,3479,1064,0,293,0,293,0,293,389,577,25766,2583,18785,2447,5194,1429,13591,2286,6917,1267,4519,992,2398,861,0,293,0,293,0,293,64,107
0500000US06059,6059,"Orange County, California",2005,1375867,12056,658748,13699,633963,13076,494047,13105,139916,7343,24477,2785,11423,1636,13054,2102,123,142,0,293,123,142,185,216,717119,13929,687108,13586,320350,9095,366758,10076,28652,3283,14494,2217,14158,2017,119,143,49,82,70,116,1240,1082
0500000US06061,6061,"Placer County, California",2005,145650,3911,52687,4525,51090,4596,35354,3758,15736,2031,1182,487,688,379,494,282,158,191,96,163,62,106,257,282,92963,5436,84854,5278,31721,3401,53133,4515,5592,1153,2476,829,3116,830,2234,958,1082,573,1152,675,283,381
0500000US06065,6065,"Riverside County, California",2005,801371,12798,191119,11374,159304,9574,99493,6796,59811,6284,31542,4081,14962,2203,16580,3289,0,293,0,293,0,293,273,210,610252,15963,489541,15057,112919,6825,376622,14089,119585,6679,68232,5364,51353,4689,410,316,97,116,313,295,716,428
0500000US06067,6067,"Sacramento County, California",2005,589109,7681,290676,10090,279065,9678,208972,8633,70093,4680,10595,1676,5835,1030,4760,1237,346,227,220,207,126,102,670,477,298433,10082,282835,9993,158412,7467,124423,7472,14151,2132,7838,1746,6313,1309,257,172,26,42,231,170,1190,558
0500000US06071,6071,"San Bernardino County, California",2005,778766,9945,237646,10156,188196,9122,124399,7933,63797,5511,49095,4453,25437,2826,23658,3794,82,136,0,293,82,136,273,364,541120,12283,407571,11319,130005,5711,277566,9957,131695,7243,64997,5168,66698,5141,607,325,138,161,469,285,1247,615
0500000US06073,6073,"San Diego County, California",2005,1297344,11031,678493,14482,656512,14268,540138,13807,116374,5990,20345,2747,12617,2137,7728,1497,59,98,0,293,59,98,1577,693,618851,13288,590708,12544,260771,9232,329937,11002,25089,2991,13602,1915,11487,2155,405,336,351,324,54,89,2649,1070
0500000US06077,6077,"San Joaquin County, California",2005,260514,5500,109034,6073,91923,5737,66151,5450,25772,2862,16781,2685,8756,1913,8025,1792,0,293,0,293,0,293,330,247,151480,7317,98988,5652,30458,3526,68530,4689,51195,5054,30165,3345,21030,3754,0,293,0,293,0,293,1297,1064
0500000US06079,6079,"San Luis Obispo County, California",2005,109931,3217,35644,3583,33283,3655,24563,3420,8720,1358,2134,667,1077,525,1057,573,227,354,227,354,0,293,0,293,74287,3999,65815,3936,22101,2426,43714,3289,8472,1630,4664,955,3808,1275,0,293,0,293,0,293,0,293
0500000US06081,6081,"San Mateo County, California",2005,322263,6089,108135,5430,91484,5649,58737,4596,32747,3139,16356,3608,14641,3560,1715,748,245,290,79,131,166,266,50,82,214128,7086,179601,6934,94425,5096,85176,4820,34259,3443,28056,2930,6203,1493,97,112,39,66,58,96,171,166
0500000US06083,6083,"Santa Barbara County, California",2005,172379,3626,80935,4512,73014,4508,48720,4058,24294,2477,7865,1591,3704,1194,4161,1034,56,95,0,293,56,95,0,293,91444,4675,86219,4589,31775,3384,54444,3858,5225,1221,3191,1041,2034,678,0,293,0,293,0,293,0,293
0500000US06085,6085,"Santa Clara County, California",2005,777259,9437,639909,10489,553143,11093,497441,10640,55702,4617,85689,4524,55201,4052,30488,2973,127,147,56,93,71,115,950,478,137350,8464,121290,7709,70841,5082,50449,4674,15878,2492,8642,1947,7236,1740,0,293,0,293,0,293,182,213
0500000US06087,6087,"Santa Cruz County, California",2005,122626,3384,42984,3985,36323,3899,24276,2616,12047,2427,6661,1517,3620,1127,3041,838,0,293,0,293,0,293,0,293,79642,4490,59175,4156,21086,2381,38089,3603,20399,2111,13451,1937,6948,1334,0,293,0,293,0,293,68,111
0500000US06089,6089,"Shasta County, California",2005,69765,3304,37079,3144,34526,3047,30104,2817,4422,1206,1119,626,682,517,437,314,1248,601,1098,581,150,191,186,188,32686,3142,30121,3018,16459,2016,13662,2014,1004,479,269,210,735,460,1370,542,739,439,631,344,191,153
0500000US06095,6095,"Solano County, California",2005,174139,4466,92033,4410,47433,3697,35926,3158,11507,2003,43936,3628,26293,3272,17643,2159,290,356,206,330,84,143,374,461,82106,4492,50620,3690,18771,2721,31849,3009,31310,3190,15475,2521,15835,2105,176,216,74,124,102,173,0,293
0500000US06097,6097,"Sonoma County, California",2005,216208,5061,93728,5313,76943,4812,59131,4339,17812,2455,16256,2225,8869,1687,7387,1606,458,327,309,266,149,185,71,116,122480,5991,101197,5298,38267,3500,62930,4820,20050,2859,12213,2201,7837,2156,1089,428,438,294,651,343,144,162
0500000US06099,6099,"Stanislaus County, California",2005,194800,5357,81497,4614,62659,4133,44026,3223,18633,2759,18545,3131,6594,1253,11951,2935,248,263,0,293,248,263,45,74,113303,5627,85750,5404,26738,3224,59012,4493,26663,3363,11588,1633,15075,3018,420,341,0,293,420,341,470,383
0500000US06101,6101,"Sutter County, California",2005,35865,2113,25076,2759,19380,2514,11822,1880,7558,1698,4993,1138,2860,742,2133,750,143,167,143,167,0,293,560,434,10789,1701,7452,1649,3128,941,4324,1281,3085,883,1889,706,1196,498,0,293,0,293,0,293,252,220
0500000US06107,6107,"Tulare County, California",2005,148881,3956,59272,4123,53064,4073,39406,3591,13658,2049,6208,1427,2299,757,3909,1242,0,293,0,293,0,293,0,293,89609,4153,77486,4284,23608,2593,53878,3519,12020,1838,4322,941,7698,1568,0,293,0,293,0,293,103,119
0500000US06111,6111,"Ventura County, California",2005,364396,5890,214165,7192,172839,6535,142653,6164,30186,2792,41146,3788,23226,2853,17920,1838,0,293,0,293,0,293,180,233,150231,7673,104709,6873,46627,4512,58082,4539,45331,4657,31097,3277,14234,2620,0,293,0,293,0,293,191,191
0500000US06113,6113,"Yolo County, California",2005,81805,2761,25157,2474,22926,2293,16009,2001,6917,1724,1877,653,498,321,1379,517,0,293,0,293,0,293,354,337,56648,2780,51309,2672,16981,1802,34328,2651,4985,1156,1605,497,3380,1051,88,104,0,293,88,104,266,278
0500000US06001,6001,"Alameda County, California",2006,683282,9387,458642,10258,412251,9646,327589,9067,84662,5569,45608,3413,39091,3036,6517,1244,137,170,45,74,92,152,646,355,224640,9571,201336,9247,106833,6724,94503,5986,23185,3038,20237,2688,2948,910,64,102,0,289,64,102,55,90
0500000US06007,6007,"Butte County, California",2006,89624,3398,34085,3644,32328,3452,27915,3219,4413,1342,514,332,165,194,349,275,606,488,73,72,533,492,637,478,55539,3379,49008,3240,17818,2287,31190,2704,4842,1301,1802,838,3040,961,649,500,120,140,529,479,1040,519
0500000US06013,6013,"Contra Costa County, California",2006,482815,6142,30169,3316,28280,3259,17654,2441,10626,1904,1889,787,976,473,913,577,0,289,0,289,0,289,0,289,452646,6153,422502,6353,158295,6329,264207,7901,29372,2427,21395,2425,7977,1497,250,187,49,83,201,167,522,319
0500000US06019,6019,"Fresno County, California",2006,357506,7551,190409,7858,176120,7764,144045,7672,32075,3806,14137,2127,5261,1220,8876,1933,53,88,0,289,53,88,99,167,167097,6987,151870,6910,67128,4151,84742,5515,15127,2295,4883,1064,10244,1789,0,289,0,289,0,289,100,146
0500000US06025,6025,"Imperial County, California",2006,55866,2269,17820,2587,17003,2584,10861,2164,6142,1662,517,476,47,78,470,475,0,289,0,289,0,289,300,270,38046,2687,35332,2697,9935,1865,25397,2332,2371,668,1034,457,1337,540,0,289,0,289,0,289,343,319
0500000US06029,6029,"Kern County, California",2006,307806,6650,133216,5165,126810,5377,91411,4542,35399,3090,6293,1591,3322,912,2971,1152,60,102,60,102,0,289,53,86,174590,7159,157428,6873,49062,4128,108366,6141,16278,2501,5947,1382,10331,2140,687,544,183,293,504,473,197,201
0500000US06031,6031,"Kings County, California",2006,55766,2516,24583,2347,19383,2259,12614,2001,6769,1598,5050,1201,2764,1011,2286,834,0,289,0,289,0,289,150,246,31183,2628,24451,2271,5295,1405,19156,1831,6713,1731,2087,739,4626,1536,0,289,0,289,0,289,19,32
0500000US06037,6037,"Los Angeles County, California",2006,4423725,22386,2555124,25802,2474628,26186,1967964,24767,506664,11745,77849,5172,41591,3806,36258,3666,750,389,154,156,596,369,1897,687,1868601,24854,1787915,23847,791913,17467,996002,18796,78750,4677,37495,3171,41255,3346,1057,539,491,411,566,337,879,560
0500000US06039,6039,"Madera County, California",2006,49407,2485,18302,2302,12099,1962,7989,1483,4110,1608,6132,1599,4050,1373,2082,853,0,289,0,289,0,289,71,120,31105,2872,20497,2435,3942,1075,16555,2384,9826,1589,6641,1329,3185,933,0,289,0,289,0,289,782,608
