Id,Id2,Geography,,Estimate; Total:,Margin of Error; Total:,"Estimate; Car, truck, or van:","Margin of Error; Car, truck, or van:","Estimate; Car, truck, or van: - Drove alone","Margin of Error; Car, truck, or van: - Drove alone","Estimate; Car, truck, or van: - Carpooled:","Margin of Error; Car, truck, or van: - Carpooled:","Estimate; Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 4-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 4-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Estimate; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool","Margin of Error; Car, truck, or van: - Carpooled: - In 7-or-more-person carpool",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Public transportation (excluding taxicab): - Subway or elevated,Estimate; Public transportation (excluding taxicab): - Railroad,Margin of Error; Public transportation (excluding taxicab): - Railroad,Estimate; Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Public transportation (excluding taxicab): - Ferryboat,Estimate; Taxicab,Margin of Error; Taxicab,Estimate; Motorcycle,Margin of Error; Motorcycle,Estimate; Bicycle,Margin of Error; Bicycle,Estimate; Walked,Margin of Error; Walked,Estimate; Other means,Margin of Error; Other means,Estimate; Worked at home,Margin of Error; Worked at home
0500000US06067,6067,"Sacramento County, California",2006,633463,10484,561962,11297,477001,11088,84961,5808,65080,5116,13011,2253,2983,1528,1295,709,2592,945,20027,2256,14933,2144,1680,672,1495,458,1767,700,152,253,599,467,2097,618,5117,1190,12556,2556,4138,1205,26967,2965
0500000US06071,6071,"San Bernardino County, California",2006,755572,11657,689244,12019,586835,12027,102409,6308,72705,5270,17583,2628,7684,2500,2546,965,1891,600,9365,1910,9113,1910,137,167,69,111,46,77,0,265,127,189,1793,810,1921,705,13926,2306,7396,2133,31800,3084
0500000US06073,6073,"San Diego County, California",2006,1415721,11870,1216038,13314,1059444,13468,156594,7779,125155,6739,19074,2683,5933,1552,3263,1347,3169,739,42591,3650,36593,3568,2541,817,163,157,3294,910,0,265,658,394,6131,1390,7919,1464,37829,3408,13689,2140,90866,4675
0500000US06075,6075,"San Francisco County, California",2006,552083,10327,266040,7798,208286,6773,57754,4153,37605,3517,14521,2032,3413,1072,554,366,1661,724,197778,7310,97915,5717,9908,1958,73762,4154,12317,2190,3876,1007,1158,709,5368,1459,8089,1309,38363,3601,5455,1142,29832,3109
0500000US06077,6077,"San Joaquin County, California",2006,244326,7106,225484,7305,192389,6716,33095,3441,25710,2583,4076,1062,2431,1336,407,245,471,347,1551,993,1399,968,0,265,0,265,0,265,152,267,126,122,156,154,1654,732,4585,1061,1198,584,9572,1803
0500000US06079,6079,"San Luis Obispo County, California",2006,116205,3676,100387,3843,82937,3606,17450,2609,11907,2044,2467,1215,1163,636,811,622,1102,988,1383,462,1383,462,0,265,0,265,0,265,0,265,0,265,1231,669,2408,767,4277,1149,1262,980,5257,1083
0500000US06081,6081,"San Mateo County, California",2006,348731,9586,296154,8602,253410,7383,42744,4186,28845,3339,9224,2004,2464,893,852,709,1359,527,18244,3087,10379,2647,532,425,3725,1207,3608,1139,0,265,0,265,1188,623,2430,791,9351,2358,5497,1619,15867,2327
0500000US06083,6083,"Santa Barbara County, California",2006,194037,5720,161093,5583,130718,5083,30375,3881,19954,2509,4639,1443,2456,1199,2979,1481,347,290,6720,1291,6720,1291,0,265,0,265,0,265,0,265,88,66,920,412,6398,1374,7897,1369,829,467,10092,1475
0500000US06085,6085,"Santa Clara County, California",2006,903671,12917,793551,13215,698222,12743,95329,6738,77019,6176,11513,2053,3419,1154,2331,1001,1047,584,30090,3689,21507,3293,683,366,1084,507,6816,1376,0,265,258,239,2714,810,9438,1796,19669,2082,10806,2417,37145,3594
0500000US06087,6087,"Santa Cruz County, California",2006,108799,4395,86977,4344,74225,4025,12752,2118,8928,1625,1791,674,1463,1079,255,218,315,227,3791,1120,3609,1068,0,265,0,265,182,291,0,265,53,89,467,281,3645,1329,4059,1030,796,709,9011,1535
0500000US06089,6089,"Shasta County, California",2006,74315,3493,67830,3150,59118,3130,8712,1675,7152,1623,1323,751,198,138,19,31,20,33,917,714,917,714,0,265,0,265,0,265,0,265,89,150,390,331,0,265,1892,879,477,356,2720,770
0500000US06095,6095,"Solano County, California",2006,140232,4380,127911,4276,108913,3737,18998,2458,15182,1893,2567,1345,517,330,270,283,462,378,1094,531,993,541,0,265,0,265,52,85,49,83,0,265,629,412,511,302,2322,779,984,669,6781,1274
0500000US06097,6097,"Sonoma County, California",2006,208427,5592,180664,5900,154580,5652,26084,3351,18449,2948,4522,1482,1366,615,714,414,1033,669,3156,1037,3071,1043,0,265,0,265,0,265,85,142,0,265,702,449,2194,763,6116,1294,957,550,14638,2002
0500000US06099,6099,"Stanislaus County, California",2006,184581,5854,165475,5904,144402,5950,21073,2388,15924,2182,3312,1154,936,548,543,491,358,295,1567,555,1406,511,92,162,0,265,69,114,0,265,0,265,563,350,799,380,3396,1076,2287,1125,10494,1837
0500000US06107,6107,"Tulare County, California",2006,156239,5300,141338,5089,113486,5196,27852,3580,17560,2556,5582,1984,1328,709,1671,1023,1711,837,1567,605,1567,605,0,265,0,265,0,265,0,265,80,132,693,367,750,525,3158,930,2962,1043,5691,1056
0500000US06111,6111,"Ventura County, California",2006,342316,6577,308738,6810,265749,6894,42989,3622,31495,3355,8214,1838,2315,880,361,320,604,315,4769,1221,4347,1157,218,333,0,265,204,308,0,265,106,125,780,407,2079,578,7547,1479,1404,540,16893,2072
0500000US06001,6001,"Alameda County, California",2007,700286,13324,570967,13164,499713,12550,71254,5284,53575,5087,10936,1891,4024,1105,1115,524,1604,636,50682,4254,23977,3106,625,370,23194,2873,2886,920,0,267,160,195,2781,953,9440,1526,23086,2676,9266,1939,33904,3733
0500000US06013,6013,"Contra Costa County, California",2007,375843,9370,321858,8099,279426,8004,42432,4445,32313,3822,5995,1470,1889,721,1092,944,1143,654,12315,2250,8359,1974,0,267,3155,953,801,420,0,267,0,267,712,351,3233,1451,9669,2163,2861,907,25195,2488
0500000US06019,6019,"Fresno County, California",2007,372124,8037,332706,7641,280764,7873,51942,4629,33889,3821,9041,2035,3297,1905,2524,1019,3191,1112,5508,1541,5446,1548,0,267,0,267,0,267,62,101,0,267,1105,563,1756,617,7642,1400,10790,2704,12617,1949
0500000US06025,6025,"Imperial County, California",2007,51236,3258,46025,3082,39828,3016,6197,1406,4457,1362,787,496,618,304,56,92,279,220,621,406,549,390,72,118,0,267,0,267,0,267,123,141,80,130,194,294,1996,1021,374,277,1823,696
