Id,Id2,Geography,Year,Estimate; Median gross rent,Margin of Error; Median gross rent
0500000US06111,6111,"Ventura County, California",2007,1326,41
0500000US06113,6113,"Yolo County, California",2007,976,50
0500000US06115,6115,"Yuba County, California",2007,695,80
0500000US06001,6001,"Alameda County, California",2008,1192,17
0500000US06007,6007,"Butte County, California",2008,832,38
0500000US06013,6013,"Contra Costa County, California",2008,1254,34
0500000US06017,6017,"El Dorado County, California",2008,1048,76
0500000US06019,6019,"Fresno County, California",2008,797,16
0500000US06023,6023,"Humboldt County, California",2008,782,43
0500000US06025,6025,"Imperial County, California",2008,646,21
0500000US06029,6029,"Kern County, California",2008,801,27
0500000US06031,6031,"Kings County, California",2008,875,62
0500000US06033,6033,"Lake County, California",2008,830,183
0500000US06037,6037,"Los Angeles County, California",2008,1103,7
0500000US06039,6039,"Madera County, California",2008,904,80
0500000US06041,6041,"Marin County, California",2008,1565,86
0500000US06045,6045,"Mendocino County, California",2008,871,66
0500000US06047,6047,"Merced County, California",2008,711,35
0500000US06053,6053,"Monterey County, California",2008,1067,47
0500000US06055,6055,"Napa County, California",2008,1175,81
0500000US06057,6057,"Nevada County, California",2008,978,54
0500000US06059,6059,"Orange County, California",2008,1420,16
0500000US06061,6061,"Placer County, California",2008,1183,45
0500000US06065,6065,"Riverside County, California",2008,1147,23
0500000US06067,6067,"Sacramento County, California",2008,976,15
0500000US06071,6071,"San Bernardino County, California",2008,1070,19
0500000US06073,6073,"San Diego County, California",2008,1207,14
0500000US06075,6075,"San Francisco County, California",2008,1262,38
0500000US06077,6077,"San Joaquin County, California",2008,935,27
0500000US06079,6079,"San Luis Obispo County, California",2008,1118,52
0500000US06081,6081,"San Mateo County, California",2008,1437,34
0500000US06083,6083,"Santa Barbara County, California",2008,1250,55
0500000US06085,6085,"Santa Clara County, California",2008,1413,23
0500000US06087,6087,"Santa Cruz County, California",2008,1326,67
0500000US06089,6089,"Shasta County, California",2008,865,51
0500000US06095,6095,"Solano County, California",2008,1216,41
0500000US06097,6097,"Sonoma County, California",2008,1183,35
0500000US06099,6099,"Stanislaus County, California",2008,921,24
0500000US06101,6101,"Sutter County, California",2008,782,87
0500000US06107,6107,"Tulare County, California",2008,727,31
0500000US06111,6111,"Ventura County, California",2008,1404,33
0500000US06113,6113,"Yolo County, California",2008,1070,64
0500000US06115,6115,"Yuba County, California",2008,833,90
0500000US06001,6001,"Alameda County, California",2009,1185,18
0500000US06007,6007,"Butte County, California",2009,812,46
0500000US06013,6013,"Contra Costa County, California",2009,1272,44
0500000US06017,6017,"El Dorado County, California",2009,1113,60
