Id,Id2,Geography,Year,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
0500000US06087,6087,"Santa Cruz County, California",2007,756800,24612
0500000US06089,6089,"Shasta County, California",2007,255500,14718
0500000US06095,6095,"Solano County, California",2007,479500,8150
0500000US06097,6097,"Sonoma County, California",2007,613900,9422
0500000US06099,6099,"Stanislaus County, California",2007,358500,5446
0500000US06101,6101,"Sutter County, California",2007,292700,13489
0500000US06107,6107,"Tulare County, California",2007,235100,5032
0500000US06111,6111,"Ventura County, California",2007,641300,5755
0500000US06113,6113,"Yolo County, California",2007,444100,17487
0500000US06115,6115,"Yuba County, California",2007,284100,31517
0500000US06001,6001,"Alameda County, California",2008,606700,6830
0500000US06007,6007,"Butte County, California",2008,276900,9881
0500000US06013,6013,"Contra Costa County, California",2008,548600,12083
0500000US06017,6017,"El Dorado County, California",2008,446600,16055
0500000US06019,6019,"Fresno County, California",2008,261900,6243
0500000US06023,6023,"Humboldt County, California",2008,321200,13900
0500000US06025,6025,"Imperial County, California",2008,214100,11203
0500000US06029,6029,"Kern County, California",2008,222400,5012
0500000US06031,6031,"Kings County, California",2008,226300,6347
0500000US06033,6033,"Lake County, California",2008,256600,33577
0500000US06037,6037,"Los Angeles County, California",2008,525100,5088
0500000US06039,6039,"Madera County, California",2008,292500,16865
0500000US06041,6041,"Marin County, California",2008,922600,24573
0500000US06045,6045,"Mendocino County, California",2008,414000,31896
0500000US06047,6047,"Merced County, California",2008,239800,12349
0500000US06053,6053,"Monterey County, California",2008,535700,24130
0500000US06055,6055,"Napa County, California",2008,608100,25756
0500000US06057,6057,"Nevada County, California",2008,450000,20671
0500000US06059,6059,"Orange County, California",2008,616400,5783
0500000US06061,6061,"Placer County, California",2008,416700,11164
0500000US06065,6065,"Riverside County, California",2008,329600,4045
0500000US06067,6067,"Sacramento County, California",2008,312400,4636
0500000US06071,6071,"San Bernardino County, California",2008,331400,4309
0500000US06073,6073,"San Diego County, California",2008,482900,4201
0500000US06075,6075,"San Francisco County, California",2008,824300,16575
0500000US06077,6077,"San Joaquin County, California",2008,311300,7529
0500000US06079,6079,"San Luis Obispo County, California",2008,532600,22682
0500000US06081,6081,"San Mateo County, California",2008,820400,11824
0500000US06083,6083,"Santa Barbara County, California",2008,557400,41308
0500000US06085,6085,"Santa Clara County, California",2008,729000,8336
0500000US06087,6087,"Santa Cruz County, California",2008,660400,19283
0500000US06089,6089,"Shasta County, California",2008,279400,11669
0500000US06095,6095,"Solano County, California",2008,388800,7908
0500000US06097,6097,"Sonoma County, California",2008,518700,17517
0500000US06099,6099,"Stanislaus County, California",2008,276100,7322
0500000US06101,6101,"Sutter County, California",2008,265700,12519
0500000US06107,6107,"Tulare County, California",2008,223700,4783
0500000US06111,6111,"Ventura County, California",2008,566200,7783
0500000US06113,6113,"Yolo County, California",2008,388200,15972
0500000US06115,6115,"Yuba County, California",2008,219700,20572
0500000US06001,6001,"Alameda County, California",2009,507400,9129
0500000US06007,6007,"Butte County, California",2009,245100,10270
0500000US06013,6013,"Contra Costa County, California",2009,424500,11329
0500000US06017,6017,"El Dorado County, California",2009,399800,18740
0500000US06019,6019,"Fresno County, California",2009,221700,4976
0500000US06023,6023,"Humboldt County, California",2009,303900,15732
0500000US06025,6025,"Imperial County, California",2009,160300,6058
0500000US06029,6029,"Kern County, California",2009,177800,5779
0500000US06031,6031,"Kings County, California",2009,204800,8985
0500000US06033,6033,"Lake County, California",2009,252500,41247
0500000US06037,6037,"Los Angeles County, California",2009,441400,3174
0500000US06039,6039,"Madera County, California",2009,226500,14811
0500000US06041,6041,"Marin County, California",2009,820200,29698
0500000US06045,6045,"Mendocino County, California",2009,369800,20046
0500000US06047,6047,"Merced County, California",2009,157500,6833
0500000US06053,6053,"Monterey County, California",2009,402700,24708
0500000US06055,6055,"Napa County, California",2009,456100,22904
0500000US06057,6057,"Nevada County, California",2009,413900,23583
0500000US06059,6059,"Orange County, California",2009,530400,6682
0500000US06061,6061,"Placer County, California",2009,369400,6041
0500000US06065,6065,"Riverside County, California",2009,247200,3965
0500000US06067,6067,"Sacramento County, California",2009,257800,4613
0500000US06071,6071,"San Bernardino County, California",2009,242000,4294
0500000US06073,6073,"San Diego County, California",2009,417700,5353
0500000US06075,6075,"San Francisco County, California",2009,751600,18304
0500000US06077,6077,"San Joaquin County, California",2009,221600,5918
0500000US06079,6079,"San Luis Obispo County, California",2009,460300,16340
0500000US06081,6081,"San Mateo County, California",2009,731800,13314
0500000US06083,6083,"Santa Barbara County, California",2009,553900,31245
0500000US06085,6085,"Santa Clara County, California",2009,645500,7430
0500000US06087,6087,"Santa Cruz County, California",2009,590800,18184
0500000US06089,6089,"Shasta County, California",2009,243300,7596
0500000US06095,6095,"Solano County, California",2009,297300,7687
0500000US06097,6097,"Sonoma County, California",2009,446700,10646
0500000US06099,6099,"Stanislaus County, California",2009,196800,7736
0500000US06101,6101,"Sutter County, California",2009,199600,13724
0500000US06107,6107,"Tulare County, California",2009,175400,8073
0500000US06111,6111,"Ventura County, California",2009,475900,8890
0500000US06113,6113,"Yolo County, California",2009,337700,13687
0500000US06115,6115,"Yuba County, California",2009,180700,23655
0500000US06001,6001,"Alameda County, California",2010,497200,8918
0500000US06007,6007,"Butte County, California",2010,233800,10826
0500000US06013,6013,"Contra Costa County, California",2010,416000,17153
0500000US06017,6017,"El Dorado County, California",2010,376600,13964
0500000US06019,6019,"Fresno County, California",2010,212500,4546
0500000US06023,6023,"Humboldt County, California",2010,294100,12602
0500000US06025,6025,"Imperial County, California",2010,154100,5495
0500000US06029,6029,"Kern County, California",2010,164200,3666
0500000US06031,6031,"Kings County, California",2010,184600,9771
0500000US06033,6033,"Lake County, California",2010,196200,23892
0500000US06037,6037,"Los Angeles County, California",2010,429500,4088
0500000US06039,6039,"Madera County, California",2010,203900,20534
0500000US06041,6041,"Marin County, California",2010,775200,25501
0500000US06045,6045,"Mendocino County, California",2010,360200,22336
0500000US06047,6047,"Merced County, California",2010,146100,10127
0500000US06053,6053,"Monterey County, California",2010,381700,12839
0500000US06055,6055,"Napa County, California",2010,424100,34194
0500000US06057,6057,"Nevada County, California",2010,369300,14132
0500000US06059,6059,"Orange County, California",2010,528200,6500
0500000US06061,6061,"Placer County, California",2010,344100,8339
0500000US06065,6065,"Riverside County, California",2010,227900,2802
0500000US06067,6067,"Sacramento County, California",2010,240200,3460
0500000US06071,6071,"San Bernardino County, California",2010,221700,5300
0500000US06073,6073,"San Diego County, California",2010,407000,5547
0500000US06075,6075,"San Francisco County, California",2010,768000,19204
0500000US06077,6077,"San Joaquin County, California",2010,213400,4739
0500000US06079,6079,"San Luis Obispo County, California",2010,425200,16140
0500000US06081,6081,"San Mateo County, California",2010,729500,14036
0500000US06083,6083,"Santa Barbara County, California",2010,446800,28795
0500000US06085,6085,"Santa Clara County, California",2010,639400,8631
0500000US06087,6087,"Santa Cruz County, California",2010,558000,16351
0500000US06089,6089,"Shasta County, California",2010,225600,11214
0500000US06095,6095,"Solano County, California",2010,262600,9034
0500000US06097,6097,"Sonoma County, California",2010,414000,11680
0500000US06099,6099,"Stanislaus County, California",2010,176800,5404
0500000US06101,6101,"Sutter County, California",2010,206600,11044
0500000US06107,6107,"Tulare County, California",2010,170300,4846
0500000US06111,6111,"Ventura County, California",2010,458200,8696
0500000US06113,6113,"Yolo County, California",2010,324800,19017
0500000US06115,6115,"Yuba County, California",2010,173700,11509
0500000US06001,6001,"Alameda County, California",2011,480700,8458
0500000US06007,6007,"Butte County, California",2011,226600,12429
0500000US06013,6013,"Contra Costa County, California",2011,391400,9627
0500000US06017,6017,"El Dorado County, California",2011,337900,13234
0500000US06019,6019,"Fresno County, California",2011,184300,6726
0500000US06023,6023,"Humboldt County, California",2011,304900,16135
0500000US06025,6025,"Imperial County, California",2011,130800,11389
0500000US06029,6029,"Kern County, California",2011,155900,3998
0500000US06031,6031,"Kings County, California",2011,169600,7319
0500000US06033,6033,"Lake County, California",2011,192200,26277
0500000US06037,6037,"Los Angeles County, California",2011,410600,3285
0500000US06039,6039,"Madera County, California",2011,169300,6393
0500000US06041,6041,"Marin County, California",2011,730500,23572
0500000US06045,6045,"Mendocino County, California",2011,298900,24756
0500000US06047,6047,"Merced County, California",2011,146700,8538
0500000US06053,6053,"Monterey County, California",2011,332300,19058
0500000US06055,6055,"Napa County, California",2011,395700,26415
0500000US06057,6057,"Nevada County, California",2011,340400,16998
0500000US06059,6059,"Orange County, California",2011,506300,7233
0500000US06061,6061,"Placer County, California",2011,321700,10721
0500000US06065,6065,"Riverside County, California",2011,222700,4417
0500000US06067,6067,"Sacramento County, California",2011,217000,4509
0500000US06071,6071,"San Bernardino County, California",2011,211500,6571
0500000US06073,6073,"San Diego County, California",2011,396500,3593
0500000US06075,6075,"San Francisco County, California",2011,719800,12955
0500000US06077,6077,"San Joaquin County, California",2011,196800,6691
0500000US06079,6079,"San Luis Obispo County, California",2011,402200,19407
0500000US06081,6081,"San Mateo County, California",2011,706300,10103
0500000US06083,6083,"Santa Barbara County, California",2011,447700,22554
0500000US06085,6085,"Santa Clara County, California",2011,627400,7567
0500000US06087,6087,"Santa Cruz County, California",2011,532200,21640
0500000US06089,6089,"Shasta County, California",2011,203700,12973
0500000US06095,6095,"Solano County, California",2011,256400,10171
0500000US06097,6097,"Sonoma County, California",2011,398900,10185
0500000US06099,6099,"Stanislaus County, California",2011,161900,4162
0500000US06101,6101,"Sutter County, California",2011,175900,14326
0500000US06107,6107,"Tulare County, California",2011,152500,4321
0500000US06111,6111,"Ventura County, California",2011,433100,7370
0500000US06113,6113,"Yolo County, California",2011,290200,21767
0500000US06115,6115,"Yuba County, California",2011,162600,11203
0500000US06001,6001,"Alameda County, California",2012,472900,8290
0500000US06007,6007,"Butte County, California",2012,203100,10045
0500000US06013,6013,"Contra Costa County, California",2012,381300,8374
0500000US06017,6017,"El Dorado County, California",2012,335700,10912
0500000US06019,6019,"Fresno County, California",2012,174200,3816
0500000US06023,6023,"Humboldt County, California",2012,280400,11727
0500000US06025,6025,"Imperial County, California",2012,133800,13800
0500000US06029,6029,"Kern County, California",2012,150200,4779
0500000US06031,6031,"Kings County, California",2012,161200,8182
0500000US06033,6033,"Lake County, California",2012,149300,17097
0500000US06037,6037,"Los Angeles County, California",2012,399500,3194
0500000US06039,6039,"Madera County, California",2012,168800,6079
0500000US06041,6041,"Marin County, California",2012,752900,29912
0500000US06045,6045,"Mendocino County, California",2012,297200,21851
0500000US06047,6047,"Merced County, California",2012,138100,7247
0500000US06053,6053,"Monterey County, California",2012,318200,12539
0500000US06055,6055,"Napa County, California",2012,396500,17002
0500000US06057,6057,"Nevada County, California",2012,324600,19904
0500000US06059,6059,"Orange County, California",2012,492200,5104
0500000US06061,6061,"Placer County, California",2012,319300,8781
0500000US06065,6065,"Riverside County, California",2012,220000,3775
0500000US06067,6067,"Sacramento County, California",2012,213500,4127
0500000US06071,6071,"San Bernardino County, California",2012,206100,4110
0500000US06073,6073,"San Diego County, California",2012,386400,3606
0500000US06075,6075,"San Francisco County, California",2012,727600,14500
0500000US06077,6077,"San Joaquin County, California",2012,190600,6093
0500000US06079,6079,"San Luis Obispo County, California",2012,410900,18701
0500000US06081,6081,"San Mateo County, California",2012,701900,11033
0500000US06083,6083,"Santa Barbara County, California",2012,409700,36291
0500000US06085,6085,"Santa Clara County, California",2012,634600,6951
0500000US06087,6087,"Santa Cruz County, California",2012,545700,18950
0500000US06089,6089,"Shasta County, California",2012,202500,11320
0500000US06095,6095,"Solano County, California",2012,234900,6439
0500000US06097,6097,"Sonoma County, California",2012,380100,7795
0500000US06099,6099,"Stanislaus County, California",2012,159800,4342
0500000US06101,6101,"Sutter County, California",2012,166500,5598
0500000US06107,6107,"Tulare County, California",2012,155100,3937
0500000US06111,6111,"Ventura County, California",2012,413100,7079
0500000US06113,6113,"Yolo County, California",2012,280800,14322
0500000US06115,6115,"Yuba County, California",2012,175800,15859
0500000US06001,6001,"Alameda County, California",2013,518900,9781
0500000US06007,6007,"Butte County, California",2013,217600,10164
0500000US06013,6013,"Contra Costa County, California",2013,424100,11512
0500000US06017,6017,"El Dorado County, California",2013,352900,12804
0500000US06019,6019,"Fresno County, California",2013,185200,5954
0500000US06023,6023,"Humboldt County, California",2013,259500,12540
0500000US06025,6025,"Imperial County, California",2013,148400,9215
0500000US06029,6029,"Kern County, California",2013,161000,4533
0500000US06031,6031,"Kings County, California",2013,169200,10858
0500000US06033,6033,"Lake County, California",2013,166400,15405
0500000US06037,6037,"Los Angeles County, California",2013,420200,3238
0500000US06039,6039,"Madera County, California",2013,174700,11846
0500000US06041,6041,"Marin County, California",2013,784200,29720
0500000US06045,6045,"Mendocino County, California",2013,297600,23778
0500000US06047,6047,"Merced County, California",2013,147200,9268
0500000US06053,6053,"Monterey County, California",2013,363800,12003
0500000US06055,6055,"Napa County, California",2013,443000,17904
0500000US06057,6057,"Nevada County, California",2013,337400,18300
0500000US06059,6059,"Orange County, California",2013,539000,7738
0500000US06061,6061,"Placer County, California",2013,352500,6814
0500000US06065,6065,"Riverside County, California",2013,236400,3871
0500000US06067,6067,"Sacramento County, California",2013,238000,3585
0500000US06071,6071,"San Bernardino County, California",2013,230500,4090
0500000US06073,6073,"San Diego County, California",2013,411000,5433
0500000US06075,6075,"San Francisco County, California",2013,778000,18102
0500000US06077,6077,"San Joaquin County, California",2013,208900,8081
0500000US06079,6079,"San Luis Obispo County, California",2013,436000,14633
0500000US06081,6081,"San Mateo County, California",2013,748300,19398
0500000US06083,6083,"Santa Barbara County, California",2013,437300,38706
0500000US06085,6085,"Santa Clara County, California",2013,682300,7115
0500000US06087,6087,"Santa Cruz County, California",2013,535500,27825
0500000US06089,6089,"Shasta County, California",2013,209700,9767
0500000US06095,6095,"Solano County, California",2013,259800,6576
0500000US06097,6097,"Sonoma County, California",2013,406900,12710
0500000US06099,6099,"Stanislaus County, California",2013,175000,6341
0500000US06101,6101,"Sutter County, California",2013,177800,13500
0500000US06107,6107,"Tulare County, California",2013,160400,6584
0500000US06111,6111,"Ventura County, California",2013,443700,7665
0500000US06113,6113,"Yolo County, California",2013,331200,13882
0500000US06115,6115,"Yuba County, California",2013,169800,15857
