Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied,Margin of Error; Owner occupied,Estimate; Renter occupied,Margin of Error; Renter occupied
0500000US06097,6097,"Sonoma County, California",2005,453850,*****,296034,10777,157816,10777
0500000US06099,6099,"Stanislaus County, California",2005,497804,*****,320913,13052,176891,13052
0500000US06101,6101,"Sutter County, California",2005,87444,*****,60045,3400,27399,3400
0500000US06107,6107,"Tulare County, California",2005,404909,*****,234086,10829,170823,10829
0500000US06111,6111,"Ventura County, California",2005,782759,*****,549331,17280,233428,17280
0500000US06113,6113,"Yolo County, California",2005,176609,*****,103039,5422,73570,5422
0500000US06115,6115,"Yuba County, California",2005,65818,*****,36136,4663,29682,4663
0500000US06001,6001,"Alameda County, California",2006,1426617,1058,870833,17564,555784,17540
0500000US06007,6007,"Butte County, California",2006,211012,407,129924,6271,81088,6244
0500000US06013,6013,"Contra Costa County, California",2006,1011614,538,749665,15679,261949,15689
0500000US06017,6017,"El Dorado County, California",2006,176782,151,137709,5230,39073,5250
0500000US06019,6019,"Fresno County, California",2006,872538,747,488592,14006,383946,14003
0500000US06023,6023,"Humboldt County, California",2006,125270,412,69953,4826,55317,4736
0500000US06025,6025,"Imperial County, California",2006,150460,346,93120,6583,57340,6611
0500000US06029,6029,"Kern County, California",2006,745788,736,462298,14097,283490,14123
0500000US06031,6031,"Kings County, California",2006,128660,637,69972,5442,58688,5464
0500000US06033,6033,"Lake County, California",2006,64997,110,40676,4102,24321,4090
0500000US06037,6037,"Los Angeles County, California",2006,9744896,2963,5091079,44612,4653817,44637
0500000US06039,6039,"Madera County, California",2006,135888,339,78834,6708,57054,6688
0500000US06041,6041,"Marin County, California",2006,238286,439,160458,6308,77828,6332
0500000US06045,6045,"Mendocino County, California",2006,86850,237,56371,4085,30479,4098
0500000US06047,6047,"Merced County, California",2006,240883,464,127693,8858,113190,8811
0500000US06053,6053,"Monterey County, California",2006,390700,728,213813,10037,176887,10038
0500000US06055,6055,"Napa County, California",2006,126591,822,81833,5356,44758,5185
0500000US06057,6057,"Nevada County, California",2006,97752,204,71501,4676,26251,4648
0500000US06059,6059,"Orange County, California",2006,2966572,1207,1868437,27927,1098135,27958
0500000US06061,6061,"Placer County, California",2006,323922,395,244998,6550,78924,6522
0500000US06065,6065,"Riverside County, California",2006,1995866,993,1402130,19143,593736,19159
0500000US06067,6067,"Sacramento County, California",2006,1349868,968,859578,16024,490290,16059
0500000US06071,6071,"San Bernardino County, California",2006,1954906,1491,1333126,21626,621780,21737
0500000US06073,6073,"San Diego County, California",2006,2826027,1657,1656836,26402,1169191,26377
0500000US06075,6075,"San Francisco County, California",2006,723392,946,332769,11305,390623,11252
0500000US06077,6077,"San Joaquin County, California",2006,658095,578,416932,13965,241163,13917
0500000US06079,6079,"San Luis Obispo County, California",2006,239429,675,149031,5938,90398,5861
0500000US06081,6081,"San Mateo County, California",2006,698761,519,461616,11836,237145,11849
0500000US06083,6083,"Santa Barbara County, California",2006,376915,1148,199188,6864,177727,7055
0500000US06085,6085,"Santa Clara County, California",2006,1697425,1807,1075053,19505,622372,19297
0500000US06087,6087,"Santa Cruz County, California",2006,241652,260,146864,7151,94788,7161
0500000US06089,6089,"Shasta County, California",2006,177162,220,113637,6660,63525,6716
0500000US06095,6095,"Solano County, California",2006,396235,602,266077,8657,130158,8698
0500000US06097,6097,"Sonoma County, California",2006,455912,727,289437,8353,166475,8291
0500000US06099,6099,"Stanislaus County, California",2006,506039,486,335864,12440,170175,12443
0500000US06101,6101,"Sutter County, California",2006,91410,289,59398,3534,32012,3534
0500000US06107,6107,"Tulare County, California",2006,413258,866,245807,10247,167451,10173
0500000US06111,6111,"Ventura County, California",2006,788566,564,550918,14322,237648,14397
0500000US06113,6113,"Yolo County, California",2006,183307,247,103022,4550,80285,4538
0500000US06115,6115,"Yuba County, California",2006,68731,626,37444,4217,31287,4133
0500000US06001,6001,"Alameda County, California",2007,1424939,1831,866460,17285,558479,16985
0500000US06007,6007,"Butte County, California",2007,214682,308,124735,5770,89947,5748
0500000US06013,6013,"Contra Costa County, California",2007,1010330,737,734722,11906,275608,11894
0500000US06017,6017,"El Dorado County, California",2007,174944,91,129807,5522,45137,5531
0500000US06019,6019,"Fresno County, California",2007,883216,476,494411,15740,388805,15791
0500000US06023,6023,"Humboldt County, California",2007,123691,309,74274,4237,49417,4235
0500000US06025,6025,"Imperial County, California",2007,150394,241,80290,5814,70104,5825
0500000US06029,6029,"Kern County, California",2007,750032,755,464319,14911,285713,14833
