Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied,Margin of Error; Owner occupied,Estimate; Renter occupied,Margin of Error; Renter occupied
0500000US06033,6033,"Lake County, California",2013,62993,576,38934,3164,24059,3203
0500000US06037,6037,"Los Angeles County, California",2013,9840983,6524,4731516,48430,5109467,47931
0500000US06039,6039,"Madera County, California",2013,144668,993,79879,5734,64789,5749
0500000US06041,6041,"Marin County, California",2013,251046,1202,165886,5518,85160,5523
0500000US06045,6045,"Mendocino County, California",2013,85029,522,47441,4125,37588,4192
0500000US06047,6047,"Merced County, California",2013,256204,2843,128208,8002,127996,7231
0500000US06053,6053,"Monterey County, California",2013,410636,1606,192943,8882,217693,9164
0500000US06055,6055,"Napa County, California",2013,136155,931,82442,4463,53713,4421
0500000US06057,6057,"Nevada County, California",2013,97043,624,68903,4462,28140,4469
0500000US06059,6059,"Orange County, California",2013,3071779,2501,1737753,25174,1334026,25110
0500000US06061,6061,"Placer County, California",2013,363314,1105,255694,7812,107620,7819
0500000US06065,6065,"Riverside County, California",2013,2260423,2898,1408475,25831,851948,26147
0500000US06067,6067,"Sacramento County, California",2013,1437135,2724,783755,16257,653380,16170
0500000US06071,6071,"San Bernardino County, California",2013,2040703,6251,1236160,20311,804543,19521
0500000US06073,6073,"San Diego County, California",2013,3122919,4213,1636232,22924,1486687,23518
0500000US06075,6075,"San Francisco County, California",2013,817633,2734,341085,10809,476548,11404
0500000US06077,6077,"San Joaquin County, California",2013,688776,1896,373018,12355,315758,12626
0500000US06079,6079,"San Luis Obispo County, California",2013,260282,2495,144388,5810,115894,5722
0500000US06081,6081,"San Mateo County, California",2013,737239,1654,453479,8724,283760,9009
0500000US06083,6083,"Santa Barbara County, California",2013,416025,2432,206656,9198,209369,9322
0500000US06085,6085,"Santa Clara County, California",2013,1828854,2004,1043850,19631,785004,19946
0500000US06087,6087,"Santa Cruz County, California",2013,257627,1500,153037,8360,104590,8542
0500000US06089,6089,"Shasta County, California",2013,175899,879,103609,4733,72290,4678
0500000US06095,6095,"Solano County, California",2013,414096,1006,243851,9258,170245,9259
0500000US06097,6097,"Sonoma County, California",2013,486689,1263,284792,8762,201897,8746
0500000US06099,6099,"Stanislaus County, California",2013,519822,915,288024,10388,231798,10419
0500000US06101,6101,"Sutter County, California",2013,94434,313,55266,4788,39168,4749
0500000US06107,6107,"Tulare County, California",2013,448528,1002,231478,10597,217050,10716
0500000US06111,6111,"Ventura County, California",2013,826851,1845,507167,12205,319684,12046
0500000US06113,6113,"Yolo County, California",2013,196634,1526,98104,6411,98530,6358
0500000US06115,6115,"Yuba County, California",2013,72162,835,40740,4000,31422,3847
