Year,Id,Id2,Geography,Estimate; Median gross rent as a percentage of household income,Margin of Error; Median gross rent as a percentage of household income
2011,0500000US06077,6077,"San Joaquin County, California",34.2,1.9
2011,0500000US06079,6079,"San Luis Obispo County, California",37.3,2.9
2011,0500000US06081,6081,"San Mateo County, California",31.5,1.5
2011,0500000US06083,6083,"Santa Barbara County, California",33.4,1.5
2011,0500000US06085,6085,"Santa Clara County, California",28.7,0.6
2011,0500000US06087,6087,"Santa Cruz County, California",36.7,2.8
2011,0500000US06089,6089,"Shasta County, California",40.5,3.7
2011,0500000US06095,6095,"Solano County, California",32.2,2.4
2011,0500000US06097,6097,"Sonoma County, California",34,1.7
2011,0500000US06099,6099,"Stanislaus County, California",36.5,2.3
2011,0500000US06101,6101,"Sutter County, California",33.8,3.1
2011,0500000US06107,6107,"Tulare County, California",32.5,1.7
2011,0500000US06111,6111,"Ventura County, California",33.3,1.3
2011,0500000US06113,6113,"Yolo County, California",38,2.4
2011,0500000US06115,6115,"Yuba County, California",28.3,2.9
2010,0500000US06001,6001,"Alameda County, California",31.9,0.9
2010,0500000US06007,6007,"Butte County, California",34.1,1.9
2010,0500000US06013,6013,"Contra Costa County, California",32.9,1.5
2010,0500000US06017,6017,"El Dorado County, California",35.2,5
2010,0500000US06019,6019,"Fresno County, California",34.6,1.5
2010,0500000US06023,6023,"Humboldt County, California",36.1,3.9
2010,0500000US06025,6025,"Imperial County, California",31.5,3.7
2010,0500000US06029,6029,"Kern County, California",33.5,1.3
2010,0500000US06031,6031,"Kings County, California",30.1,3.2
2010,0500000US06033,6033,"Lake County, California",39.6,6.1
2010,0500000US06037,6037,"Los Angeles County, California",35.1,0.4
2010,0500000US06039,6039,"Madera County, California",29.4,5.5
2010,0500000US06041,6041,"Marin County, California",35.6,2.2
2010,0500000US06045,6045,"Mendocino County, California",35.4,4.9
2010,0500000US06047,6047,"Merced County, California",32.7,2.8
2010,0500000US06053,6053,"Monterey County, California",33.6,1.5
2010,0500000US06055,6055,"Napa County, California",32.5,3
2010,0500000US06057,6057,"Nevada County, California",39,4.7
2010,0500000US06059,6059,"Orange County, California",33.8,0.6
2010,0500000US06061,6061,"Placer County, California",31.8,2.3
2010,0500000US06065,6065,"Riverside County, California",37.1,1.1
2010,0500000US06067,6067,"Sacramento County, California",34.5,1
2010,0500000US06071,6071,"San Bernardino County, California",35.8,1.1
2010,0500000US06073,6073,"San Diego County, California",34.5,0.6
2010,0500000US06075,6075,"San Francisco County, California",28.3,0.8
2010,0500000US06077,6077,"San Joaquin County, California",34.7,1.4
