GeoID,Date,Total,Total - Margin of Error; Total
6061,12/31/2009,148519,346
6065,12/31/2009,774705,1734
6067,12/31/2009,552913,1680
6071,12/31/2009,689103,1100
6073,12/31/2009,1142276,3020
6075,12/31/2009,361242,1534
6077,12/31/2009,228859,4600
6079,12/31/2009,117340,961
6081,12/31/2009,267437,1431
6083,12/31/2009,152023,1102
6085,12/31/2009,620185,2494
6087,12/31/2009,103731,1301
6089,12/31/2009,77560,625
6095,12/31/2009,150837,1054
6097,12/31/2009,198849,1605
6099,12/31/2009,175226,566
6101,12/31/2009,33485,438
6107,12/31/2009,139070,402
6111,12/31/2009,274057,935
6113,12/31/2009,72729,974
6115,12/31/2009,28748,977
6001,12/31/2010,582628,2724
6007,12/31/2010,95867,972
6013,12/31/2010,400447,1848
6017,12/31/2010,88158,873
6019,12/31/2010,315965,937
6023,12/31/2010,61555,1024
6025,12/31/2010,56090,486
6029,12/31/2010,284674,1213
6031,12/31/2010,43900,941
6033,12/31/2010,35481,17
6037,12/31/2010,3444870,4461
6039,12/31/2010,49156,662
6041,12/31/2010,111220,1494
6045,12/31/2010,40342,1057
6047,12/31/2010,83690,632
6053,12/31/2010,139034,1621
6055,12/31/2010,54769,950
6057,12/31/2010,52592,715
6059,12/31/2010,1049079,2589
6061,12/31/2010,152913,620
6065,12/31/2010,801324,1028
6067,12/31/2010,555980,2314
6071,12/31/2010,699933,1461
6073,12/31/2010,1165043,5312
6075,12/31/2010,376777,1401
6077,12/31/2010,233873,2538
6079,12/31/2010,117353,1191
6081,12/31/2010,271006,905
6083,12/31/2010,152819,1544
6085,12/31/2010,631955,1523
6087,12/31/2010,104444,3942
6089,12/31/2010,77334,1177
6095,12/31/2010,152784,1720
6097,12/31/2010,204595,1238
6099,12/31/2010,179516,1292
6101,12/31/2010,33866,544
6107,12/31/2010,141898,924
6111,12/31/2010,281681,2606
6113,12/31/2010,75095,3857
6115,12/31/2010,27647,747
6001,12/31/2011,584631,801
6007,12/31/2011,95901,496
6013,12/31/2011,401362,476
6017,12/31/2011,88784,267
6019,12/31/2011,318099,812
6023,12/31/2011,61872,510
6025,12/31/2011,56291,340
6029,12/31/2011,286972,945
6031,12/31/2011,44175,664
6033,12/31/2011,35396,278
6037,12/31/2011,3449489,2013
6039,12/31/2011,49129,548
6041,12/31/2011,111538,802
6045,12/31/2011,40471,426
6047,12/31/2011,83583,264
6053,12/31/2011,138811,2061
6055,12/31/2011,54928,507
6057,12/31/2011,52895,270
6059,12/31/2011,1050907,747
6061,12/31/2011,154367,432
6065,12/31/2011,807206,1090
6067,12/31/2011,556334,1437
6071,12/31/2011,702114,1700
6073,12/31/2011,1168705,2230
6075,12/31/2011,378261,1035
6077,12/31/2011,234820,682
6079,12/31/2011,117459,1022
6081,12/31/2011,271363,409
6083,12/31/2011,152856,687
6085,12/31/2011,633349,805
6087,12/31/2011,104447,436
6089,12/31/2011,77340,464
6095,12/31/2011,153295,454
6097,12/31/2011,205383,1364
6099,12/31/2011,180094,290
6101,12/31/2011,33891,137
6107,12/31/2011,142924,291
6111,12/31/2011,282521,478
6113,12/31/2011,75542,341
6115,12/31/2011,27537,241
6001,12/31/2012,583618,925
6007,12/31/2012,96000,707
6013,12/31/2012,401397,438
6017,12/31/2012,88109,239
6019,12/31/2012,318451,592
6023,12/31/2012,61659,418
6025,12/31/2012,56117,412
6029,12/31/2012,285867,822
6031,12/31/2012,44193,446
6033,12/31/2012,35272,261
6037,12/31/2012,3444644,1999
6039,12/31/2012,49422,382
6041,12/31/2012,111083,517
6045,12/31/2012,40336,220
6047,12/31/2012,83571,1069
6053,12/31/2012,138871,517
6055,12/31/2012,54736,595
6057,12/31/2012,52623,327
6059,12/31/2012,1052535,959
6061,12/31/2012,154382,432
6065,12/31/2012,805050,953
6067,12/31/2012,556314,887
6071,12/31/2012,700200,1009
6073,12/31/2012,1169225,1389
6075,12/31/2012,376899,1449
6077,12/31/2012,234605,581
6079,12/31/2012,117552,845
6081,12/31/2012,270714,484
6083,12/31/2012,152699,726
6085,12/31/2012,636293,1139
6087,12/31/2012,104286,642
6089,12/31/2012,77308,313
6095,12/31/2012,153035,612
6097,12/31/2012,204760,1016
6099,12/31/2012,179199,461
6101,12/31/2012,33881,111
6107,12/31/2012,143458,361
6111,12/31/2012,281700,558
6113,12/31/2012,75265,495
6115,12/31/2012,27608,278
6001,12/31/2013,587829,758
6007,12/31/2013,96586,464
6013,12/31/2013,404167,444
6017,12/31/2013,88483,277
6019,12/31/2013,320796,559
6023,12/31/2013,61976,401
6025,12/31/2013,56492,306
6029,12/31/2013,288383,902
6031,12/31/2013,44522,428
6033,12/31/2013,35426,315
6037,12/31/2013,3462431,2151
6039,12/31/2013,49566,305
6041,12/31/2013,111566,501
6045,12/31/2013,40477,208
6047,12/31/2013,83842,859
6053,12/31/2013,139386,496
6055,12/31/2013,54939,329
6057,12/31/2013,52784,253
6059,12/31/2013,1060030,812
6061,12/31/2013,155879,412
6065,12/31/2013,811100,905
6067,12/31/2013,558823,996
6071,12/31/2013,703253,1845
6073,12/31/2013,1176799,1482
6075,12/31/2013,381001,1184
6077,12/31/2013,235940,603
6079,12/31/2013,118213,1004
6081,12/31/2013,272154,594
6083,12/31/2013,153526,826
6085,12/31/2013,642654,699
6087,12/31/2013,104677,553
6089,12/31/2013,77533,350
6095,12/31/2013,153867,357
6097,12/31/2013,205684,495
6099,12/31/2013,179705,303
6101,12/31/2013,33954,111
6107,12/31/2013,144323,319
6111,12/31/2013,282819,599
6113,12/31/2013,75710,550
6115,12/31/2013,27746,291
