GeoID,Date,Total: - Less than 10.0 percent,Total: - 10.0 to 14.9 percent,Total: - 15.0 to 19.9 percent,Total: - 20.0 to 24.9 percent,Total: - 25.0 to 29.9 percent,Total: - 30.0 to 34.9 percent,Total: - 35.0 to 39.9 percent,Total: - 40.0 to 49.9 percent,Total: - 50.0 percent or more,Total: - Not computed
6017,12/31/2012,0.0095,0.0497,0.1469,0.1240,0.1189,0.1012,0.0773,0.0481,0.2603,0.0641
6019,12/31/2012,0.0331,0.0455,0.0976,0.0867,0.1058,0.0950,0.0694,0.1054,0.2949,0.0667
6023,12/31/2012,0.0349,0.0460,0.0815,0.1074,0.1016,0.0530,0.0628,0.0826,0.3609,0.0693
6025,12/31/2012,0.0546,0.0435,0.0807,0.1130,0.1040,0.0715,0.0547,0.0898,0.3045,0.0837
6029,12/31/2012,0.0318,0.0826,0.1107,0.1073,0.0833,0.0784,0.0724,0.1042,0.2718,0.0575
6031,12/31/2012,0.0383,0.0900,0.1300,0.1409,0.0775,0.0924,0.0746,0.0850,0.2091,0.0623
6033,12/31/2012,0.0090,0.0789,0.0648,0.1166,0.0878,0.0496,0.0784,0.0912,0.3899,0.0339
6037,12/31/2012,0.0222,0.0574,0.0900,0.1090,0.1033,0.0870,0.0704,0.0996,0.3131,0.0478
6039,12/31/2012,0.0363,0.0623,0.0678,0.0882,0.0306,0.0798,0.1024,0.0914,0.2663,0.1749
6041,12/31/2012,0.0463,0.0646,0.0902,0.1112,0.1360,0.0598,0.0790,0.0907,0.2732,0.0488
6045,12/31/2012,0.0470,0.0294,0.0736,0.0698,0.1293,0.0659,0.0807,0.1023,0.3233,0.0786
6047,12/31/2012,0.0258,0.0421,0.1362,0.1087,0.0854,0.0732,0.0633,0.1159,0.2529,0.0966
6053,12/31/2012,0.0187,0.0604,0.0959,0.1228,0.1178,0.1021,0.0655,0.1127,0.2723,0.0318
6055,12/31/2012,0.0358,0.0512,0.1574,0.0776,0.1362,0.0794,0.0831,0.1323,0.1847,0.0621
6057,12/31/2012,0.0358,0.0323,0.0550,0.1229,0.1473,0.0944,0.0527,0.1704,0.2127,0.0765
6059,12/31/2012,0.0213,0.0587,0.0886,0.1242,0.1081,0.0996,0.0705,0.1001,0.2860,0.0430
6061,12/31/2012,0.0097,0.0596,0.1048,0.1437,0.1198,0.0811,0.0674,0.0932,0.2794,0.0414
6065,12/31/2012,0.0175,0.0419,0.0912,0.1076,0.1162,0.0912,0.0699,0.1149,0.2987,0.0509
6067,12/31/2012,0.0242,0.0531,0.1030,0.1099,0.1112,0.0839,0.0687,0.0982,0.3022,0.0457
6071,12/31/2012,0.0198,0.0495,0.0904,0.1055,0.0927,0.0892,0.0697,0.1023,0.3161,0.0649
6073,12/31/2012,0.0184,0.0587,0.0916,0.1124,0.1148,0.0931,0.0711,0.1133,0.2681,0.0585
6075,12/31/2012,0.0482,0.0991,0.1283,0.1076,0.1157,0.0857,0.0594,0.0664,0.2437,0.0458
6077,12/31/2012,0.0183,0.0716,0.0954,0.1071,0.0902,0.0864,0.0721,0.0967,0.2993,0.0630
