GeoID,Date,"Housing units with a mortgage, contract to purchase, or similar debt:","Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both:","Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Second mortgage only","Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Home equity loan only","Housing units with a mortgage, contract to purchase, or similar debt: - Both second mortgage and home equity loan","Housing units with a mortgage, contract to purchase, or similar debt: - No second mortgage and no home equity loan",Housing units without a mortgage
6045,31/12/2013,0.5831,0.1171,0.0390,0.0780,0.0139,0.4521,0.4169
6047,31/12/2013,0.6745,0.0726,0.0322,0.0405,0.0002,0.6016,0.3255
6053,31/12/2013,0.6935,0.1277,0.0265,0.1013,0.0034,0.5624,0.3065
6055,31/12/2013,0.7433,0.1726,0.0326,0.1400,0.0115,0.5593,0.2567
6057,31/12/2013,0.6534,0.0993,0.0189,0.0805,0.0119,0.5422,0.3466
6059,31/12/2013,0.7334,0.1501,0.0309,0.1192,0.0097,0.5736,0.2666
6061,31/12/2013,0.7390,0.1389,0.0387,0.1002,0.0030,0.5971,0.2610
6065,31/12/2013,0.7352,0.1084,0.0389,0.0695,0.0067,0.6201,0.2648
6067,31/12/2013,0.7457,0.1280,0.0409,0.0871,0.0062,0.6115,0.2543
6071,31/12/2013,0.7369,0.1109,0.0375,0.0734,0.0080,0.6180,0.2631
6073,31/12/2013,0.7396,0.1409,0.0332,0.1077,0.0100,0.5887,0.2604
6075,31/12/2013,0.6782,0.1586,0.0324,0.1262,0.0054,0.5142,0.3218
6077,31/12/2013,0.7198,0.1240,0.0316,0.0924,0.0117,0.5841,0.2802
6079,31/12/2013,0.6724,0.1369,0.0248,0.1121,0.0047,0.5308,0.3276
6081,31/12/2013,0.7232,0.1637,0.0291,0.1346,0.0100,0.5496,0.2768
6083,31/12/2013,0.6790,0.1301,0.0397,0.0904,0.0037,0.5453,0.3210
6085,31/12/2013,0.7229,0.1534,0.0302,0.1232,0.0084,0.5611,0.2771
6087,31/12/2013,0.7034,0.1584,0.0205,0.1379,0.0029,0.5421,0.2966
6089,31/12/2013,0.6452,0.0971,0.0356,0.0615,0.0054,0.5426,0.3548
6095,31/12/2013,0.7590,0.1473,0.0527,0.0946,0.0057,0.6059,0.2410
6097,31/12/2013,0.7041,0.1549,0.0313,0.1236,0.0060,0.5433,0.2959
6099,31/12/2013,0.7295,0.0992,0.0347,0.0646,0.0207,0.6096,0.2705
6101,31/12/2013,0.6901,0.1375,0.0663,0.0713,0.0022,0.5503,0.3099
6107,31/12/2013,0.7187,0.1002,0.0283,0.0719,0.0101,0.6084,0.2813
6111,31/12/2013,0.7563,0.1669,0.0389,0.1280,0.0086,0.5808,0.2437
6113,31/12/2013,0.7136,0.1353,0.0487,0.0866,0.0056,0.5728,0.2864
6115,31/12/2013,0.6935,0.0878,0.0479,0.0399,0.0135,0.5923,0.3065
