GeoID,Date,"Car, truck, or van:","Car, truck, or van: - Drove alone","Car, truck, or van: - Carpooled:","Car, truck, or van: - Carpooled: - In 2-person carpool","Car, truck, or van: - Carpooled: - In 3-person carpool","Car, truck, or van: - Carpooled: - In 4-person carpool","Car, truck, or van: - Carpooled: - In 5- or 6-person carpool","Car, truck, or van: - Carpooled: - In 7-or-more-person carpool",Public transportation (excluding taxicab):,Public transportation (excluding taxicab): - Bus or trolley bus,Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Public transportation (excluding taxicab): - Subway or elevated,Public transportation (excluding taxicab): - Railroad,Public transportation (excluding taxicab): - Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked at home
6085,31/12/2006,0.8781,0.7727,0.1055,0.0852,0.0127,0.0038,0.0026,0.0012,0.0333,0.0238,0.0008,0.0012,0.0075,0.0000,0.0003,0.0030,0.0104,0.0218,0.0120,0.0411
6087,31/12/2006,0.7994,0.6822,0.1172,0.0821,0.0165,0.0134,0.0023,0.0029,0.0348,0.0332,0.0000,0.0000,0.0017,0.0000,0.0005,0.0043,0.0335,0.0373,0.0073,0.0828
6089,31/12/2006,0.9127,0.7955,0.1172,0.0962,0.0178,0.0027,0.0003,0.0003,0.0123,0.0123,0.0000,0.0000,0.0000,0.0000,0.0012,0.0052,0.0000,0.0255,0.0064,0.0366
6095,31/12/2006,0.9121,0.7767,0.1355,0.1083,0.0183,0.0037,0.0019,0.0033,0.0078,0.0071,0.0000,0.0000,0.0004,0.0003,0.0000,0.0045,0.0036,0.0166,0.0070,0.0484
6097,31/12/2006,0.8668,0.7417,0.1251,0.0885,0.0217,0.0066,0.0034,0.0050,0.0151,0.0147,0.0000,0.0000,0.0000,0.0004,0.0000,0.0034,0.0105,0.0293,0.0046,0.0702
6099,31/12/2006,0.8965,0.7823,0.1142,0.0863,0.0179,0.0051,0.0029,0.0019,0.0085,0.0076,0.0005,0.0000,0.0004,0.0000,0.0000,0.0031,0.0043,0.0184,0.0124,0.0569
6107,31/12/2006,0.9046,0.7264,0.1783,0.1124,0.0357,0.0085,0.0107,0.0110,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,0.0005,0.0044,0.0048,0.0202,0.0190,0.0364
6111,31/12/2006,0.9019,0.7763,0.1256,0.0920,0.0240,0.0068,0.0011,0.0018,0.0139,0.0127,0.0006,0.0000,0.0006,0.0000,0.0003,0.0023,0.0061,0.0220,0.0041,0.0493
6001,31/12/2007,0.8153,0.7136,0.1017,0.0765,0.0156,0.0057,0.0016,0.0023,0.0724,0.0342,0.0009,0.0331,0.0041,0.0000,0.0002,0.0040,0.0135,0.0330,0.0132,0.0484
6013,31/12/2007,0.8564,0.7435,0.1129,0.0860,0.0160,0.0050,0.0029,0.0030,0.0328,0.0222,0.0000,0.0084,0.0021,0.0000,0.0000,0.0019,0.0086,0.0257,0.0076,0.0670
6019,31/12/2007,0.8941,0.7545,0.1396,0.0911,0.0243,0.0089,0.0068,0.0086,0.0148,0.0146,0.0000,0.0000,0.0000,0.0002,0.0000,0.0030,0.0047,0.0205,0.0290,0.0339
6025,31/12/2007,0.8983,0.7773,0.1210,0.0870,0.0154,0.0121,0.0011,0.0054,0.0121,0.0107,0.0014,0.0000,0.0000,0.0000,0.0024,0.0016,0.0038,0.0390,0.0073,0.0356
6029,31/12/2007,0.9258,0.7523,0.1735,0.1189,0.0235,0.0175,0.0064,0.0071,0.0113,0.0113,0.0000,0.0000,0.0000,0.0000,0.0000,0.0036,0.0041,0.0187,0.0116,0.0248
6031,31/12/2007,0.8821,0.7307,0.1514,0.0648,0.0403,0.0068,0.0253,0.0142,0.0073,0.0041,0.0011,0.0000,0.0021,0.0000,0.0000,0.0158,0.0049,0.0426,0.0097,0.0375
6037,31/12/2007,0.8388,0.7291,0.1097,0.0828,0.0165,0.0059,0.0025,0.0020,0.0715,0.0642,0.0006,0.0031,0.0035,0.0001,0.0005,0.0024,0.0062,0.0282,0.0109,0.0417
6039,31/12/2007,0.8950,0.7176,0.1774,0.0814,0.0275,0.0095,0.0178,0.0413,0.0082,0.0082,0.0000,0.0000,0.0000,0.0000,0.0000,0.0046,0.0026,0.0318,0.0059,0.0519
6041,31/12/2007,0.7952,0.6962,0.0990,0.0685,0.0147,0.0086,0.0021,0.0051,0.0318,0.0281,0.0000,0.0014,0.0022,0.0000,0.0000,0.0105,0.0156,0.0395,0.0106,0.0967
6047,31/12/2007,0.8477,0.7243,0.1234,0.0940,0.0088,0.0081,0.0066,0.0059,0.0096,0.0096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0026,0.0107,0.0503,0.0419,0.0372
