GeoID,Date,Quintile Means: - Lowest Quintile,Quintile Means: - Second Quintile,Quintile Means: - Third Quintile,Quintile Means: - Fourth Quintile,Quintile Means: - Highest Quintile,Top 5 Percent
6045,12/31/2007,10438,25486,43072,67991,125264,196313
6045,12/31/2006,9217,24888,38816,59264,137365,239208
6047,12/31/2013,11187,25629,41000,63407,135330,221394
6047,12/31/2012,9950,25534,43654,68874,140201,222798
6047,12/31/2011,10876,24820,39707,64106,138952,237542
6047,12/31/2010,9717,24710,42489,66440,156837,303930
6047,12/31/2009,10461,24441,39632,63114,136466,240762
6047,12/31/2008,9370,24344,42627,68019,138709,230849
6047,12/31/2007,10929,25695,44064,68596,149588,260753
6047,12/31/2006,10623,23263,41151,62888,129133,220917
6053,12/31/2013,13832,34934,57398,89805,195509,345439
6053,12/31/2012,15345,35996,58225,88050,183245,306073
6053,12/31/2011,13711,33343,53638,84277,187334,332827
6053,12/31/2010,14552,34485,54893,84941,184539,317627
6053,12/31/2009,14054,33949,58215,90265,179799,294790
6053,12/31/2008,16061,37904,59472,89603,183841,316288
6053,12/31/2007,14854,36675,57840,86501,192206,351574
6053,12/31/2006,15892,35470,55437,85181,187322,346627
6055,12/31/2013,17164,41122,69722,107433,232514,404672
6055,12/31/2012,17258,42831,68498,103717,224171,393136
6055,12/31/2011,16517,38123,61732,96600,232652,443046
6055,12/31/2010,14802,37476,64459,99429,220000,401643
6055,12/31/2009,18929,43265,70024,109980,236603,412469
6055,12/31/2008,17117,39425,66138,102878,228459,415322
6055,12/31/2007,17462,38193,62412,98599,219483,396815
6055,12/31/2006,12610,37945,66230,95847,203993,365916
6057,12/31/2013,14652,33089,55153,87546,177666,298927
6057,12/31/2012,18444,35745,54640,88979,178464,311190
6057,12/31/2011,13578,33040,54527,85259,179607,295744
6057,12/31/2010,12136,31088,54395,82382,152264,231241
6057,12/31/2009,14290,34365,58411,89011,178586,291348
6057,12/31/2008,13727,33405,53095,82575,152922,244345
6057,12/31/2007,15991,37290,58504,83677,160163,262734
6057,12/31/2006,14728,32957,50547,77170,161347,259749
6059,12/31/2013,16439,43698,74047,115845,256183,450586
6059,12/31/2012,16421,43337,72314,113387,244901,424418
6059,12/31/2011,16304,42756,72699,113189,238186,405225
6059,12/31/2010,16626,42424,70769,108404,228821,393326
6059,12/31/2009,17903,45100,72438,110007,235016,410969
6059,12/31/2008,18110,46396,75148,115217,253183,455644
6059,12/31/2007,18668,45180,73802,112864,246449,440365
6059,12/31/2006,17106,43564,70760,106759,234817,427584
6061,12/31/2013,17055,44802,73082,111184,225997,385885
6061,12/31/2012,17047,41996,69523,106178,206164,343489
6061,12/31/2011,14790,39436,69014,104093,195488,303555
6061,12/31/2010,16331,40336,67918,102505,194662,307031
6061,12/31/2009,18252,43340,70955,107251,201147,320492
6061,12/31/2008,17870,46245,74373,108421,208212,345179
6061,12/31/2007,18410,43025,69335,101317,197491,318855
6061,12/31/2006,18917,43839,69410,103284,211022,367782
6065,12/31/2013,12948,32799,54601,85767,175175,290623
6065,12/31/2012,12651,31793,53137,83213,164537,259242
6065,12/31/2011,12743,31909,53454,83969,167417,266776
6065,12/31/2010,13435,32534,54398,84152,168194,276793
6065,12/31/2009,13782,33217,55714,85438,165812,271672
6065,12/31/2008,14447,34898,57938,87893,174188,289121
6065,12/31/2007,14505,35449,58551,88387,181037,310856
6065,12/31/2006,13970,33413,53742,81091,160139,261641
6067,12/31/2013,11662,31529,53403,84121,175474,297941
6067,12/31/2012,11215,30878,53018,83571,169627,280212
6067,12/31/2011,11863,31449,52540,81596,163135,257139
6067,12/31/2010,12788,32260,53121,81545,159377,256089
6067,12/31/2009,13205,32288,53263,82089,163925,266984
6067,12/31/2008,14980,36038,57476,86197,164542,260049
6067,12/31/2007,14467,35697,57032,85659,165182,265123
6067,12/31/2006,13525,33129,53971,82034,159614,261106
6071,12/31/2013,11188,31604,52731,81806,162742,262879
6071,12/31/2012,11165,30093,50780,78966,152727,240146
6071,12/31/2011,11566,30586,51278,79994,153933,239178
6071,12/31/2010,12347,32029,53132,80755,152332,233737
6071,12/31/2009,12341,31946,52687,81194,159238,256926
6071,12/31/2008,13706,33978,55333,84000,164588,271352
6071,12/31/2007,14901,35578,56544,84159,154881,235885
6071,12/31/2006,13550,32734,53338,79304,150210,238779
6073,12/31/2013,12969,36559,61934,98835,219538,387992
6073,12/31/2012,12586,35424,60325,95680,202616,340973
6073,12/31/2011,11999,34858,59493,93714,194109,320379
6073,12/31/2010,13319,35467,59562,93106,195196,330707
6073,12/31/2009,14539,37022,60647,94493,195818,329967
6073,12/31/2008,14553,38353,63719,98643,207052,352149
6073,12/31/2007,15029,37515,62008,95415,200204,342385
6073,12/31/2006,14387,36324,59397,90950,192097,330553
6075,12/31/2013,11943,39715,78250,133316,323053,586684
6075,12/31/2012,10572,36916,73188,124846,290773,519542
6075,12/31/2011,11650,36726,70575,118761,276443,495518
6075,12/31/2010,11527,36599,71361,117991,266447,472606
6075,12/31/2009,11949,38605,71592,117576,273694,479837
6075,12/31/2008,11859,40117,74718,123074,293997,523744
6075,12/31/2007,12173,36794,67980,112541,275830,514352
6075,12/31/2006,11444,36212,65872,106538,242318,424799
6077,12/31/2013,11586,30211,51739,81093,157316,246599
6077,12/31/2012,11401,29735,50959,81199,166130,268996
