GeoID,Date,1 to 4 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Same house 1 year ago:,Same house 1 year ago: - 1 to 4 years,Same house 1 year ago: - 5 to 9 years,Same house 1 year ago: - 10 to 14 years,Same house 1 year ago: - 15 to 17 years,Same house 1 year ago: - 18 and 19 years,Same house 1 year ago: - 20 to 24 years,Same house 1 year ago: - 25 to 29 years,Same house 1 year ago: - 30 to 34 years,Same house 1 year ago: - 35 to 39 years,Same house 1 year ago: - 40 to 44 years,Same house 1 year ago: - 45 to 49 years,Same house 1 year ago: - 50 to 54 years,Same house 1 year ago: - 55 to 59 years,Same house 1 year ago: - 60 and 61 years,Same house 1 year ago: - 62 to 64 years,Same house 1 year ago: - 65 to 69 years,Same house 1 year ago: - 70 to 74 years,Same house 1 year ago: - 75 to 79 years,Same house 1 year ago: - 80 to 84 years,Same house 1 year ago: - 85 years and over,Moved within same county:,Moved within same county: - 1 to 4 years,Moved within same county: - 5 to 9 years,Moved within same county: - 10 to 14 years,Moved within same county: - 15 to 17 years,Moved within same county: - 18 and 19 years,Moved within same county: - 20 to 24 years,Moved within same county: - 25 to 29 years,Moved within same county: - 30 to 34 years,Moved within same county: - 35 to 39 years,Moved within same county: - 40 to 44 years,Moved within same county: - 45 to 49 years,Moved within same county: - 50 to 54 years,Moved within same county: - 55 to 59 years,Moved within same county: - 60 and 61 years,Moved within same county: - 62 to 64 years,Moved within same county: - 65 to 69 years,Moved within same county: - 70 to 74 years,Moved within same county: - 75 to 79 years,Moved within same county: - 80 to 84 years,Moved within same county: - 85 years and over,Moved from different county within same state:,Moved from different county within same state: - 1 to 4 years,Moved from different county within same state: - 5 to 9 years,Moved from different county within same state: - 10 to 14 years,Moved from different county within same state: - 15 to 17 years,Moved from different county within same state: - 18 and 19 years,Moved from different county within same state: - 20 to 24 years,Moved from different county within same state: - 25 to 29 years,Moved from different county within same state: - 30 to 34 years,Moved from different county within same state: - 35 to 39 years,Moved from different county within same state: - 40 to 44 years,Moved from different county within same state: - 45 to 49 years,Moved from different county within same state: - 50 to 54 years,Moved from different county within same state: - 55 to 59 years,Moved from different county within same state: - 60 and 61 years,Moved from different county within same state: - 62 to 64 years,Moved from different county within same state: - 65 to 69 years,Moved from different county within same state: - 70 to 74 years,Moved from different county within same state: - 75 to 79 years,Moved from different county within same state: - 80 to 84 years,Moved from different county within same state: - 85 years and over,Moved from different state:,Moved from different state: - 1 to 4 years,Moved from different state: - 5 to 9 years,Moved from different state: - 10 to 14 years,Moved from different state: - 15 to 17 years,Moved from different state: - 18 and 19 years,Moved from different state: - 20 to 24 years,Moved from different state: - 25 to 29 years,Moved from different state: - 30 to 34 years,Moved from different state: - 35 to 39 years,Moved from different state: - 40 to 44 years,Moved from different state: - 45 to 49 years,Moved from different state: - 50 to 54 years,Moved from different state: - 55 to 59 years,Moved from different state: - 60 and 61 years,Moved from different state: - 62 to 64 years,Moved from different state: - 65 to 69 years,Moved from different state: - 70 to 74 years,Moved from different state: - 75 to 79 years,Moved from different state: - 80 to 84 years,Moved from different state: - 85 years and over,Moved from abroad:,Moved from abroad: - 1 to 4 years,Moved from abroad: - 5 to 9 years,Moved from abroad: - 10 to 14 years,Moved from abroad: - 15 to 17 years,Moved from abroad: - 18 and 19 years,Moved from abroad: - 20 to 24 years,Moved from abroad: - 25 to 29 years,Moved from abroad: - 30 to 34 years,Moved from abroad: - 35 to 39 years,Moved from abroad: - 40 to 44 years,Moved from abroad: - 45 to 49 years,Moved from abroad: - 50 to 54 years,Moved from abroad: - 55 to 59 years,Moved from abroad: - 60 and 61 years,Moved from abroad: - 62 to 64 years,Moved from abroad: - 65 to 69 years,Moved from abroad: - 70 to 74 years,Moved from abroad: - 75 to 79 years,Moved from abroad: - 80 to 84 years,Moved from abroad: - 85 years and over
6039,12/31/06,0.0684,0.2043,0.0251,0.0851,0.0898,0.0679,0.0721,0.071,0.0655,0.0602,0.0576,0.0315,0.0316,0.0196,0.0505,0.79,0.0431,0.1608,0.0187,0.06,0.0639,0.0471,0.051,0.0575,0.0557,0.0553,0.0521,0.0295,0.0301,0.0183,0.0467,0.1124,0.0181,0.0257,0.0026,0.0173,0.015,0.0088,0.007,0.0036,0.0063,0.0033,0.0014,0.0005,0.0007,0,0.0022,0.0824,0.0061,0.0146,0.0026,0.0076,0.0101,0.0098,0.0127,0.007,0.0032,0.0016,0.0034,0.001,0.0003,0.0012,0.0012,0.0107,0.0011,0.0017,0,0,0.0007,0.0011,0.0014,0.0023,0.0004,0,0.0006,0.0005,0.0005,0,0.0004,0.0044,0,0.0015,0.0012,0.0001,0,0.0011,0,0.0006,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6041,12/31/06,0.049,0.1431,0.0231,0.0545,0.0399,0.0547,0.0759,0.0779,0.0847,0.0925,0.0911,0.0652,0.0463,0.0304,0.0717,0.8477,0.0407,0.125,0.0167,0.0363,0.0273,0.0392,0.0577,0.0629,0.0752,0.086,0.0815,0.0591,0.0448,0.029,0.0666,0.0745,0.0038,0.0107,0.0036,0.0052,0.0068,0.0046,0.0101,0.0079,0.0039,0.0031,0.0065,0.0037,0.0004,0.0004,0.0037,0.0575,0.003,0.0045,0.0027,0.0073,0.0037,0.0109,0.0064,0.0057,0.0051,0.002,0.0025,0.0013,0.0005,0.001,0.001,0.0147,0.0012,0.003,0,0.003,0.0008,0.0001,0.0014,0.0013,0.0006,0.0014,0.0004,0.0008,0.0003,0,0.0005,0.0056,0.0003,0,0,0.0027,0.0014,0,0.0003,0,0,0,0.0003,0.0003,0.0003,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6047,12/31/06,0.0711,0.2328,0.0361,0.0845,0.0802,0.0707,0.0756,0.0637,0.0604,0.0539,0.0418,0.0356,0.026,0.0256,0.0419,0.7624,0.0454,0.1921,0.0186,0.051,0.0504,0.0465,0.0623,0.051,0.0443,0.0471,0.0368,0.0335,0.0219,0.0237,0.0378,0.1607,0.0194,0.0267,0.008,0.0273,0.0206,0.0179,0.0092,0.0109,0.0072,0.0054,0.0029,0.0013,0.0016,0.0002,0.0022,0.0626,0.0053,0.0118,0.0086,0.0062,0.0067,0.0049,0.0033,0.0013,0.0075,0.0008,0.0016,0.0007,0.0025,0,0.0015,0.0123,0.001,0.0017,0.0009,0,0.0022,0.0014,0.0005,0.0002,0.0014,0.0006,0.0001,0.0002,0,0.0016,0.0004,0.0021,0,0.0005,0,0,0.0004,0,0.0004,0.0002,0,0,0.0004,0,0,0.0002,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6053,12/31/06,0.0688,0.1966,0.0318,0.0838,0.0835,0.0716,0.0647,0.0774,0.069,0.0621,0.0502,0.0396,0.0278,0.0216,0.0515,0.8097,0.0522,0.1589,0.0228,0.0572,0.052,0.0529,0.0542,0.0661,0.0604,0.0565,0.047,0.0367,0.0246,0.0202,0.048,0.1075,0.0116,0.0251,0.0022,0.0134,0.0169,0.0113,0.0054,0.0056,0.0037,0.0039,0.0021,0.0018,0.0021,0.0008,0.0017,0.048,0.0024,0.009,0.002,0.0048,0.0094,0.0045,0.0026,0.0045,0.004,0.0014,0.0008,0.0003,0.0008,0.0004,0.0011,0.0226,0.0015,0.0023,0.0039,0.0058,0.0021,0.0021,0.0017,0.0011,0.0002,0.0003,0.0003,0.0002,0,0.0003,0.0007,0.0121,0.0011,0.0013,0.0008,0.0026,0.0031,0.0008,0.0009,0.0001,0.0006,0,0,0.0005,0.0002,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6055,12/31/06,0.0528,0.1664,0.0273,0.0755,0.0681,0.0611,0.0797,0.0652,0.0711,0.072,0.0692,0.048,0.0362,0.0341,0.0732,0.8186,0.0443,0.1394,0.0166,0.0458,0.0452,0.0419,0.0667,0.0546,0.0619,0.0649,0.063,0.042,0.0342,0.0313,0.0668,0.089,0.0069,0.0131,0.0058,0.0131,0.0109,0.0084,0.0078,0.0055,0.0041,0.0048,0.0033,0.0023,0.0009,0.0014,0.0006,0.0518,0.0016,0.0016,0.0046,0.0108,0.0105,0.0034,0.0015,0.0019,0.0013,0.002,0.0021,0.0032,0.0008,0.0014,0.0052,0.0216,0,0.0056,0.0002,0.0017,0,0.0051,0.0038,0.0024,0.0017,0.0004,0,0.0002,0,0,0.0005,0.019,0,0.0068,0,0.004,0.0016,0.0023,0,0.0008,0.0021,0,0.0008,0.0002,0.0003,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6059,12/31/06,0.0611,0.1919,0.0282,0.0694,0.0655,0.0712,0.0816,0.0801,0.0776,0.0655,0.0562,0.0426,0.0317,0.0255,0.052,0.8402,0.0493,0.1657,0.0216,0.0482,0.0449,0.054,0.0675,0.0684,0.0689,0.0596,0.0522,0.0388,0.0296,0.0238,0.0477,0.1111,0.009,0.0192,0.0036,0.014,0.0142,0.0119,0.0096,0.0087,0.0063,0.0042,0.0029,0.0024,0.0014,0.0011,0.0028,0.0271,0.0015,0.0037,0.0024,0.0045,0.0034,0.0027,0.0023,0.0011,0.0016,0.0011,0.0007,0.0007,0.0005,0.0003,0.0008,0.0118,0.0006,0.0015,0.0003,0.0015,0.0018,0.0015,0.0015,0.0011,0.0006,0.0003,0.0003,0.0001,0,0.0003,0.0004,0.0098,0.0007,0.0018,0.0003,0.0011,0.0012,0.0012,0.0008,0.0008,0.0002,0.0003,0.0002,0.0006,0.0001,0,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6061,12/31/06,0.0454,0.1653,0.0274,0.0726,0.0778,0.0677,0.0731,0.0758,0.0778,0.0682,0.0598,0.0428,0.042,0.0323,0.072,0.8326,0.0367,0.1453,0.0192,0.0438,0.0449,0.0524,0.0657,0.0666,0.0682,0.0616,0.0538,0.0405,0.0396,0.0292,0.065,0.0913,0.0048,0.0167,0.004,0.0169,0.0178,0.0088,0.0047,0.0043,0.0036,0.0031,0.0007,0.0008,0.0006,0.0013,0.0031,0.0546,0.003,0.0014,0.0021,0.0089,0.0116,0.0051,0.0015,0.0028,0.0043,0.0029,0.0043,0.0014,0.0016,0.0014,0.0022,0.0123,0.0008,0.0014,0.0008,0.0019,0.0011,0.0008,0.0001,0.0019,0.0011,0.0005,0.0002,0,0.0002,0.0004,0.0011,0.0092,0.0002,0.0005,0.0012,0.0011,0.0023,0.0005,0.0011,0.0002,0.0006,0,0.0008,0.0001,0,0,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6065,12/31/06,0.0587,0.2049,0.0288,0.0788,0.0928,0.0766,0.0734,0.0731,0.0672,0.0548,0.0418,0.0349,0.0289,0.0259,0.0592,0.7983,0.0439,0.1678,0.0212,0.0538,0.0619,0.0562,0.0577,0.0596,0.0586,0.0481,0.0361,0.03,0.0259,0.0237,0.0539,0.1093,0.0084,0.0214,0.0036,0.0141,0.0164,0.0108,0.0088,0.0077,0.004,0.0038,0.0027,0.0024,0.0012,0.0012,0.0027,0.0689,0.005,0.0123,0.0026,0.0074,0.0111,0.0075,0.0056,0.0048,0.0034,0.0022,0.0021,0.0018,0.001,0.0007,0.0014,0.0161,0.001,0.0027,0.0007,0.002,0.0022,0.0014,0.0011,0.0007,0.0008,0.0005,0.0008,0.0004,0.0005,0.0004,0.0008,0.0073,0.0004,0.0007,0.0007,0.0015,0.001,0.0007,0.0003,0.0003,0.0003,0.0002,0.0002,0.0003,0.0002,0,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6067,12/31/06,0.0596,0.193,0.027,0.0699,0.0823,0.0727,0.0755,0.0755,0.074,0.0655,0.0553,0.0383,0.0322,0.0245,0.0547,0.7944,0.0448,0.1559,0.0195,0.0413,0.0505,0.053,0.0611,0.0612,0.0643,0.0581,0.0493,0.034,0.0297,0.0228,0.0489,0.1406,0.0104,0.027,0.0045,0.0188,0.0219,0.0131,0.0092,0.0099,0.007,0.0058,0.004,0.0022,0.0016,0.0013,0.0038,0.0409,0.0024,0.0059,0.002,0.0067,0.0064,0.0046,0.0034,0.0023,0.0014,0.0011,0.001,0.0012,0.0007,0.0002,0.0016,0.0143,0.001,0.0024,0.0005,0.0019,0.0023,0.0011,0.0008,0.0013,0.001,0.0003,0.0005,0.0003,0.0002,0.0002,0.0004,0.0098,0.0011,0.0017,0.0005,0.0012,0.0012,0.0009,0.0009,0.0007,0.0004,0,0.0005,0.0005,0,0.0001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6071,12/31/06,0.0654,0.2217,0.0328,0.0821,0.0863,0.0735,0.0733,0.0736,0.0707,0.0587,0.0474,0.0323,0.0241,0.0205,0.0376,0.8228,0.0499,0.1854,0.0255,0.0596,0.061,0.0545,0.0607,0.0637,0.0616,0.0529,0.0431,0.0297,0.0225,0.019,0.0337,0.1051,0.0103,0.0232,0.0039,0.0129,0.0145,0.0103,0.0072,0.0057,0.0053,0.0037,0.0025,0.0014,0.001,0.0009,0.0023,0.0521,0.004,0.0104,0.0017,0.0057,0.0072,0.0065,0.0045,0.0036,0.0025,0.0018,0.0014,0.0009,0.0004,0.0003,0.0011,0.013,0.001,0.0021,0.0012,0.0023,0.0022,0.0012,0.0007,0.0004,0.0007,0.0002,0.0003,0.0003,0.0001,0.0001,0.0004,0.007,0.0003,0.0006,0.0004,0.0016,0.0014,0.0009,0.0002,0.0002,0.0005,0.0001,0.0001,0.0001,0.0001,0.0002,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
