GeoID,Date,With a mortgage:,With a mortgage: - Less than 2.0,With a mortgage: - 2.0 to 2.9,With a mortgage: - 3.0 to 3.9,With a mortgage: - 4.0 or more,With a mortgage: - Not computed,Not mortgaged:,Not mortgaged: - Less than 2.0,Not mortgaged: - 2.0 to 2.9,Not mortgaged: - 3.0 to 3.9,Not mortgaged: - 4.0 or more,Not mortgaged: - Not computed
6111,31/12/2005,0.7961,0.0242,0.0402,0.0764,0.6542,0.0012,0.2039,0.0140,0.0086,0.0096,0.1703,0.0014
6113,31/12/2005,0.7325,0.0305,0.0654,0.0969,0.5388,0.0010,0.2675,0.0333,0.0120,0.0188,0.2007,0.0026
6115,31/12/2005,0.6485,0.0717,0.0775,0.1348,0.3646,0.0000,0.3515,0.0553,0.0490,0.0407,0.2030,0.0036
6001,31/12/2006,0.7838,0.0241,0.0388,0.0696,0.6488,0.0024,0.2162,0.0138,0.0080,0.0108,0.1818,0.0019
6007,31/12/2006,0.6381,0.0603,0.0793,0.1150,0.3835,0.0000,0.3619,0.0646,0.0460,0.0525,0.1961,0.0027
6013,31/12/2006,0.8010,0.0241,0.0372,0.0717,0.6665,0.0016,0.1990,0.0155,0.0088,0.0110,0.1627,0.0010
6017,31/12/2006,0.7802,0.0277,0.0580,0.0972,0.5942,0.0030,0.2198,0.0298,0.0240,0.0147,0.1502,0.0010
6019,31/12/2006,0.7497,0.0504,0.1007,0.1401,0.4542,0.0044,0.2503,0.0411,0.0196,0.0270,0.1612,0.0015
6023,31/12/2006,0.5981,0.0294,0.0689,0.0689,0.4290,0.0020,0.4019,0.0688,0.0274,0.0331,0.2706,0.0020
6025,31/12/2006,0.7064,0.0612,0.1325,0.0897,0.4200,0.0030,0.2936,0.0904,0.0420,0.0301,0.1277,0.0035
6029,31/12/2006,0.7593,0.0830,0.1235,0.1421,0.4105,0.0004,0.2407,0.0453,0.0255,0.0231,0.1430,0.0038
6031,31/12/2006,0.7454,0.0917,0.1821,0.1571,0.3134,0.0010,0.2546,0.0791,0.0329,0.0212,0.1187,0.0027
6033,31/12/2006,0.5884,0.0363,0.0435,0.0507,0.4579,0.0000,0.4116,0.0703,0.0259,0.0231,0.2924,0.0000
6037,31/12/2006,0.7791,0.0311,0.0417,0.0699,0.6322,0.0043,0.2209,0.0183,0.0096,0.0117,0.1778,0.0034
6039,31/12/2006,0.7219,0.0549,0.0747,0.1145,0.4755,0.0023,0.2781,0.0250,0.0247,0.0233,0.1992,0.0059
6041,31/12/2006,0.7273,0.0272,0.0323,0.0529,0.6138,0.0011,0.2727,0.0152,0.0131,0.0128,0.2296,0.0019
6045,31/12/2006,0.5876,0.0252,0.0266,0.0506,0.4770,0.0082,0.4124,0.0337,0.0410,0.0221,0.3156,0.0000
6047,31/12/2006,0.7013,0.0263,0.0406,0.0762,0.5549,0.0032,0.2987,0.0435,0.0207,0.0210,0.2122,0.0014
6053,31/12/2006,0.7279,0.0277,0.0202,0.0385,0.6408,0.0007,0.2721,0.0206,0.0126,0.0126,0.2249,0.0013
6055,31/12/2006,0.6922,0.0164,0.0267,0.0555,0.5935,0.0000,0.3078,0.0184,0.0180,0.0086,0.2628,0.0000
6057,31/12/2006,0.6729,0.0254,0.0258,0.0712,0.5505,0.0000,0.3271,0.0284,0.0165,0.0129,0.2692,0.0000
6059,31/12/2006,0.7828,0.0307,0.0344,0.0607,0.6535,0.0035,0.2172,0.0230,0.0101,0.0128,0.1690,0.0022
6061,31/12/2006,0.7634,0.0203,0.0524,0.1184,0.5696,0.0027,0.2366,0.0188,0.0087,0.0174,0.1917,0.0000
6065,31/12/2006,0.7611,0.0302,0.0580,0.0948,0.5744,0.0037,0.2389,0.0432,0.0199,0.0191,0.1543,0.0025
6067,31/12/2006,0.7973,0.0331,0.0674,0.1294,0.5641,0.0033,0.2027,0.0219,0.0156,0.0178,0.1451,0.0023
6071,31/12/2006,0.7926,0.0408,0.0691,0.0990,0.5818,0.0019,0.2074,0.0420,0.0196,0.0142,0.1298,0.0018
6073,31/12/2006,0.7685,0.0245,0.0378,0.0755,0.6276,0.0031,0.2315,0.0241,0.0125,0.0151,0.1775,0.0023
6075,31/12/2006,0.6924,0.0331,0.0361,0.0642,0.5563,0.0026,0.3076,0.0114,0.0069,0.0125,0.2746,0.0022
6077,31/12/2006,0.7649,0.0327,0.0629,0.0848,0.5833,0.0011,0.2351,0.0306,0.0186,0.0183,0.1649,0.0027
6079,31/12/2006,0.7039,0.0220,0.0245,0.0595,0.5942,0.0037,0.2961,0.0188,0.0200,0.0196,0.2345,0.0031
6081,31/12/2006,0.7467,0.0347,0.0277,0.0668,0.6153,0.0022,0.2533,0.0144,0.0062,0.0108,0.2207,0.0012
6083,31/12/2006,0.6861,0.0242,0.0288,0.0511,0.5800,0.0020,0.3139,0.0251,0.0094,0.0141,0.2648,0.0005
6085,31/12/2006,0.7778,0.0357,0.0405,0.0792,0.6181,0.0043,0.2222,0.0246,0.0106,0.0092,0.1757,0.0021
6087,31/12/2006,0.7492,0.0162,0.0271,0.0593,0.6440,0.0027,0.2508,0.0179,0.0152,0.0091,0.2077,0.0008
6089,31/12/2006,0.6545,0.0546,0.0880,0.0970,0.4101,0.0049,0.3455,0.0402,0.0433,0.0321,0.2278,0.0021
6095,31/12/2006,0.8413,0.0259,0.0473,0.0950,0.6721,0.0010,0.1587,0.0183,0.0088,0.0080,0.1224,0.0012
6097,31/12/2006,0.7301,0.0242,0.0251,0.0573,0.6219,0.0016,0.2699,0.0261,0.0128,0.0188,0.2116,0.0007
6099,31/12/2006,0.7772,0.0304,0.0709,0.0997,0.5722,0.0041,0.2228,0.0272,0.0167,0.0162,0.1621,0.0007
6101,31/12/2006,0.7747,0.0362,0.0952,0.1564,0.4870,0.0000,0.2253,0.0308,0.0248,0.0210,0.1447,0.0040
6107,31/12/2006,0.7395,0.0819,0.1267,0.1261,0.3986,0.0061,0.2605,0.0570,0.0247,0.0414,0.1342,0.0032
6111,31/12/2006,0.8033,0.0250,0.0395,0.0600,0.6769,0.0019,0.1967,0.0171,0.0112,0.0112,0.1558,0.0014
6113,31/12/2006,0.7626,0.0351,0.0648,0.0937,0.5660,0.0031,0.2374,0.0378,0.0102,0.0176,0.1691,0.0028
6115,31/12/2006,0.6945,0.0306,0.1084,0.1230,0.4276,0.0049,0.3055,0.0247,0.0149,0.0254,0.2193,0.0212
6001,31/12/2007,0.7743,0.0290,0.0451,0.0871,0.6097,0.0034,0.2257,0.0177,0.0129,0.0113,0.1817,0.0022
6007,31/12/2007,0.6421,0.0554,0.0924,0.0980,0.3952,0.0012,0.3579,0.0671,0.0226,0.0337,0.2285,0.0059
6013,31/12/2007,0.7956,0.0276,0.0507,0.0862,0.6279,0.0033,0.2044,0.0177,0.0105,0.0114,0.1611,0.0037
6017,31/12/2007,0.7958,0.0237,0.0607,0.1046,0.6051,0.0017,0.2042,0.0196,0.0193,0.0190,0.1427,0.0035
6019,31/12/2007,0.7376,0.0564,0.1236,0.1472,0.4069,0.0034,0.2624,0.0463,0.0274,0.0248,0.1616,0.0023
6023,31/12/2007,0.5578,0.0349,0.0437,0.1061,0.3639,0.0091,0.4422,0.0643,0.0324,0.0544,0.2900,0.0011
6025,31/12/2007,0.6853,0.0686,0.1196,0.1297,0.3675,0.0000,0.3147,0.0637,0.0256,0.0261,0.1992,0.0000
6029,31/12/2007,0.7653,0.0771,0.1494,0.1273,0.4095,0.0019,0.2347,0.0463,0.0232,0.0242,0.1404,0.0007
6031,31/12/2007,0.7824,0.1021,0.1523,0.1833,0.3356,0.0091,0.2176,0.0186,0.0251,0.0218,0.1443,0.0079
6033,31/12/2007,0.5642,0.0493,0.0547,0.0793,0.3809,0.0000,0.4358,0.0686,0.0370,0.0354,0.2948,0.0000
6037,31/12/2007,0.7708,0.0313,0.0433,0.0782,0.6146,0.0033,0.2292,0.0189,0.0104,0.0122,0.1860,0.0019
6039,31/12/2007,0.7094,0.0685,0.0953,0.0782,0.4674,0.0000,0.2906,0.0511,0.0159,0.0224,0.1993,0.0019
6041,31/12/2007,0.7523,0.0332,0.0381,0.0737,0.6043,0.0029,0.2477,0.0147,0.0113,0.0162,0.2046,0.0009
6045,31/12/2007,0.5245,0.0066,0.0397,0.0205,0.4577,0.0000,0.4755,0.0658,0.0279,0.0298,0.3508,0.0012
6047,31/12/2007,0.7705,0.0560,0.0859,0.1269,0.4915,0.0102,0.2295,0.0456,0.0216,0.0104,0.1482,0.0036
6053,31/12/2007,0.7564,0.0179,0.0297,0.0545,0.6494,0.0049,0.2436,0.0237,0.0174,0.0099,0.1912,0.0014
6055,31/12/2007,0.7247,0.0265,0.0362,0.0412,0.6155,0.0052,0.2753,0.0488,0.0253,0.0177,0.1836,0.0000
6057,31/12/2007,0.6926,0.0177,0.0417,0.0459,0.5779,0.0094,0.3074,0.0152,0.0198,0.0323,0.2391,0.0010
6059,31/12/2007,0.7745,0.0346,0.0446,0.0773,0.6145,0.0035,0.2255,0.0208,0.0128,0.0137,0.1763,0.0018
6061,31/12/2007,0.7507,0.0227,0.0786,0.1254,0.5214,0.0025,0.2493,0.0243,0.0149,0.0174,0.1914,0.0013
6065,31/12/2007,0.7694,0.0364,0.0658,0.1163,0.5466,0.0043,0.2306,0.0436,0.0214,0.0196,0.1430,0.0029
6067,31/12/2007,0.7851,0.0414,0.0998,0.1461,0.4960,0.0019,0.2149,0.0248,0.0225,0.0237,0.1422,0.0016
6071,31/12/2007,0.7930,0.0408,0.0750,0.1168,0.5568,0.0035,0.2070,0.0348,0.0163,0.0201,0.1338,0.0019
6073,31/12/2007,0.7658,0.0263,0.0520,0.0977,0.5871,0.0026,0.2342,0.0276,0.0122,0.0166,0.1759,0.0019
6075,31/12/2007,0.7261,0.0459,0.0464,0.0722,0.5594,0.0022,0.2739,0.0189,0.0080,0.0140,0.2312,0.0017
6077,31/12/2007,0.7632,0.0293,0.0704,0.1128,0.5486,0.0020,0.2368,0.0321,0.0175,0.0198,0.1667,0.0008
6079,31/12/2007,0.7020,0.0263,0.0327,0.0729,0.5636,0.0065,0.2980,0.0192,0.0192,0.0242,0.2343,0.0010
6081,31/12/2007,0.7414,0.0367,0.0443,0.0571,0.6011,0.0023,0.2586,0.0203,0.0117,0.0118,0.2145,0.0003
6083,31/12/2007,0.7146,0.0293,0.0364,0.0768,0.5671,0.0050,0.2854,0.0274,0.0179,0.0156,0.2218,0.0026
6085,31/12/2007,0.7657,0.0426,0.0455,0.0822,0.5927,0.0027,0.2343,0.0221,0.0101,0.0155,0.1850,0.0016
6087,31/12/2007,0.7115,0.0257,0.0248,0.0551,0.6059,0.0000,0.2885,0.0267,0.0203,0.0268,0.2146,0.0000
6089,31/12/2007,0.6789,0.0419,0.0968,0.1245,0.4145,0.0013,0.3211,0.0802,0.0176,0.0295,0.1911,0.0026
6095,31/12/2007,0.8082,0.0224,0.0622,0.1270,0.5966,0.0000,0.1918,0.0281,0.0122,0.0159,0.1356,0.0000
6097,31/12/2007,0.7184,0.0274,0.0340,0.0586,0.5953,0.0031,0.2816,0.0222,0.0140,0.0190,0.2248,0.0017
6099,31/12/2007,0.7619,0.0384,0.0794,0.1166,0.5265,0.0009,0.2381,0.0275,0.0134,0.0231,0.1725,0.0016
