GeoID,Date,Gini Index
6001,12/31/2013,0.4755
6007,12/31/2013,0.4750
6013,12/31/2013,0.4687
6017,12/31/2013,0.4855
6019,12/31/2013,0.4762
6023,12/31/2013,0.4292
6025,12/31/2013,0.4419
6029,12/31/2013,0.4562
6031,12/31/2013,0.4505
6033,12/31/2013,0.4479
6037,12/31/2013,0.5047
6039,12/31/2013,0.4516
6041,12/31/2013,0.5244
6045,12/31/2013,0.5189
6047,12/31/2013,0.4452
6053,12/31/2013,0.4628
6055,12/31/2013,0.4593
6057,12/31/2013,0.4458
6059,12/31/2013,0.4717
6061,12/31/2013,0.4428
6065,12/31/2013,0.4497
6067,12/31/2013,0.4602
6071,12/31/2013,0.4461
6073,12/31/2013,0.4789
6075,12/31/2013,0.5283
6077,12/31/2013,0.4416
6079,12/31/2013,0.4490
6081,12/31/2013,0.4820
6083,12/31/2013,0.5038
6085,12/31/2013,0.4705
6087,12/31/2013,0.4581
6089,12/31/2013,0.4545
6095,12/31/2013,0.4267
6097,12/31/2013,0.4645
6099,12/31/2013,0.4786
6101,12/31/2013,0.4646
6107,12/31/2013,0.4679
6111,12/31/2013,0.4459
6113,12/31/2013,0.4787
6115,12/31/2013,0.3916
6001,12/31/2012,0.4753
6007,12/31/2012,0.4635
6013,12/31/2012,0.4617
6017,12/31/2012,0.4248
6019,12/31/2012,0.4782
6023,12/31/2012,0.4586
6025,12/31/2012,0.4673
6029,12/31/2012,0.4585
6031,12/31/2012,0.4595
6033,12/31/2012,0.4725
6037,12/31/2012,0.4965
6039,12/31/2012,0.4730
6041,12/31/2012,0.5173
6045,12/31/2012,0.4327
6047,12/31/2012,0.4518
6053,12/31/2012,0.4390
6055,12/31/2012,0.4500
6057,12/31/2012,0.4299
6059,12/31/2012,0.4643
6061,12/31/2012,0.4322
6065,12/31/2012,0.4404
6067,12/31/2012,0.4561
6071,12/31/2012,0.4390
6073,12/31/2012,0.4665
6075,12/31/2012,0.5225
6077,12/31/2012,0.4564
6079,12/31/2012,0.4437
6081,12/31/2012,0.4849
6083,12/31/2012,0.4698
6085,12/31/2012,0.4663
6087,12/31/2012,0.4615
6089,12/31/2012,0.4358
6095,12/31/2012,0.4312
6097,12/31/2012,0.4552
6099,12/31/2012,0.4455
6101,12/31/2012,0.4756
6107,12/31/2012,0.4594
6111,12/31/2012,0.4431
6113,12/31/2012,0.4796
6115,12/31/2012,0.4136
6001,12/31/2011,0.4708
6007,12/31/2011,0.4570
6013,12/31/2011,0.4695
6017,12/31/2011,0.4469
6019,12/31/2011,0.4635
6023,12/31/2011,0.4582
6025,12/31/2011,0.4821
6029,12/31/2011,0.4574
6031,12/31/2011,0.4457
6033,12/31/2011,0.4289
6037,12/31/2011,0.5021
6039,12/31/2011,0.4145
6041,12/31/2011,0.5235
6045,12/31/2011,0.4680
6047,12/31/2011,0.4579
6053,12/31/2011,0.4635
6055,12/31/2011,0.4808
6057,12/31/2011,0.4509
6059,12/31/2011,0.4589
6061,12/31/2011,0.4304
6065,12/31/2011,0.4434
6067,12/31/2011,0.4435
6071,12/31/2011,0.4369
6073,12/31/2011,0.4616
6075,12/31/2011,0.5148
6077,12/31/2011,0.4380
6079,12/31/2011,0.4604
6081,12/31/2011,0.4928
6083,12/31/2011,0.4693
6085,12/31/2011,0.4666
6087,12/31/2011,0.4638
6089,12/31/2011,0.4460
6095,12/31/2011,0.4242
6097,12/31/2011,0.4418
6099,12/31/2011,0.4444
6101,12/31/2011,0.4292
6107,12/31/2011,0.4458
6111,12/31/2011,0.4364
6113,12/31/2011,0.4906
6115,12/31/2011,0.3936
6001,12/31/2010,0.4590
6007,12/31/2010,0.4370
6013,12/31/2010,0.4450
6017,12/31/2010,0.4420
6019,12/31/2010,0.4620
6023,12/31/2010,0.4710
6025,12/31/2010,0.4410
6029,12/31/2010,0.4500
6031,12/31/2010,0.4370
6033,12/31/2010,0.4560
6037,12/31/2010,0.4900
6039,12/31/2010,0.4440
6041,12/31/2010,0.5120
6045,12/31/2010,0.4160
6047,12/31/2010,0.4890
6053,12/31/2010,0.4520
6055,12/31/2010,0.4700
6057,12/31/2010,0.4260
6059,12/31/2010,0.4530
6061,12/31/2010,0.4250
6065,12/31/2010,0.4400
6067,12/31/2010,0.4340
6071,12/31/2010,0.4250
6073,12/31/2010,0.4580
6075,12/31/2010,0.5070
6077,12/31/2010,0.4360
6079,12/31/2010,0.4620
6081,12/31/2010,0.4530
6083,12/31/2010,0.5030
6085,12/31/2010,0.4520
6087,12/31/2010,0.4600
6089,12/31/2010,0.4410
6095,12/31/2010,0.4050
6097,12/31/2010,0.4380
6099,12/31/2010,0.4580
6101,12/31/2010,0.4270
6107,12/31/2010,0.4510
6111,12/31/2010,0.4410
6113,12/31/2010,0.4640
6115,12/31/2010,0.4080
6001,12/31/2009,0.4490
6007,12/31/2009,0.4490
6013,12/31/2009,0.4560
6017,12/31/2009,0.4000
6019,12/31/2009,0.4570
6023,12/31/2009,0.4610
6025,12/31/2009,0.4930
6029,12/31/2009,0.4490
6031,12/31/2009,0.4240
6033,12/31/2009,0.4780
6037,12/31/2009,0.4860
6039,12/31/2009,0.4340
6041,12/31/2009,0.4950
6045,12/31/2009,0.4350
6047,12/31/2009,0.4600
6053,12/31/2009,0.4430
6055,12/31/2009,0.4530
6057,12/31/2009,0.4400
6059,12/31/2009,0.4500
6061,12/31/2009,0.4180
6065,12/31/2009,0.4330
6067,12/31/2009,0.4380
6071,12/31/2009,0.4370
6073,12/31/2009,0.4500
6075,12/31/2009,0.5070
