GeoID,Date,Affordability
6001,12/1/2010,0.33
6001,3/1/2011,0.35
6001,6/1/2011,0.35
6001,9/1/2011,0.36
6001,12/1/2011,0.39
6001,3/1/2012,0.45
6001,6/1/2012,0.38
6001,9/1/2012,0.34
6001,12/1/2012,0.36
6001,3/1/2013,0.32
6001,6/1/2013,0.25
6001,9/1/2013,0.21
6001,12/1/2013,0.23
6001,3/1/2014,0.22
6001,6/1/2014,0.18
6001,9/1/2014,0.19
6001,12/1/2014,0.2
6001,3/1/2015,0.23
6013,1/1/1991,0.24
6013,2/1/1991,0.27
6013,3/1/1991,0.23
6013,4/1/1991,0.21
6013,5/1/1991,0.19
6013,6/1/1991,0.2
6013,7/1/1991,0.19
6013,8/1/1991,0.24
6013,9/1/1991,0.23
6013,10/1/1991,0.24
6013,11/1/1991,0.26
6013,12/1/1991,0.24
6013,1/1/1992,0.33
6013,2/1/1992,0.31
6013,3/1/1992,0.27
6013,4/1/1992,0.23
6013,5/1/1992,0.25
6013,6/1/1992,0.23
6013,7/1/1992,0.22
6013,8/1/1992,0.18
6013,9/1/1992,0.23
6013,10/1/1992,0.25
6013,11/1/1992,0.23
6013,12/1/1992,0.26
6013,1/1/1993,0.3
6013,2/1/1993,0.29
6013,3/1/1993,0.28
6013,4/1/1993,0.28
6013,5/1/1993,0.25
6013,6/1/1993,0.25
6013,7/1/1993,0.29
6013,8/1/1993,0.28
6013,9/1/1993,0.28
6013,10/1/1993,0.31
6013,11/1/1993,0.31
6013,12/1/1993,0.3
6013,1/1/1994,0.33
6013,2/1/1994,0.29
6013,3/1/1994,0.3
6013,4/1/1994,0.29
6013,5/1/1994,0.28
6013,6/1/1994,0.25
6013,7/1/1994,0.26
6013,8/1/1994,0.26
6013,9/1/1994,0.25
6013,10/1/1994,0.25
6013,11/1/1994,0.27
6013,12/1/1994,0.26
6013,1/1/1995,0.29
6013,2/1/1995,0.28
6013,3/1/1995,0.26
6013,4/1/1995,0.25
6013,5/1/1995,0.25
6013,6/1/1995,0.23
6013,7/1/1995,0.23
6013,8/1/1995,0.22
6013,9/1/1995,0.22
6013,10/1/1995,0.24
6013,11/1/1995,0.26
6013,12/1/1995,0.29
6013,1/1/1996,0.31
6013,2/1/1996,0.29
6013,3/1/1996,0.27
6013,4/1/1996,0.24
6013,5/1/1996,0.22
6013,6/1/1996,0.22
6013,7/1/1996,0.21
6013,8/1/1996,0.24
6013,9/1/1996,0.22
6013,10/1/1996,0.23
6013,11/1/1996,0.29
6013,12/1/1996,0.29
6013,1/1/1997,0.28
6013,2/1/1997,0.28
6013,3/1/1997,0.29
6013,4/1/1997,0.27
6013,5/1/1997,0.22
6013,6/1/1997,0.21
6013,7/1/1997,0.23
6013,8/1/1997,0.25
6013,9/1/1997,0.26
6013,10/1/1997,0.26
6013,11/1/1997,0.26
6013,12/1/1997,0.26
6013,1/1/1998,0.27
6013,2/1/1998,0.27
6013,3/1/1998,0.27
6013,4/1/1998,0.28
6013,5/1/1998,0.26
6013,6/1/1998,0.22
6013,7/1/1998,0.26
6013,8/1/1998,0.23
6013,9/1/1998,0.24
6013,10/1/1998,0.26
6013,11/1/1998,0.29
6013,12/1/1998,0.28
6013,1/1/1999,0.26
6013,2/1/1999,0.29
6013,3/1/1999,0.22
6013,4/1/1999,0.24
6013,5/1/1999,0.26
6013,6/1/1999,0.2
6013,7/1/1999,0.19
6013,8/1/1999,0.19
6013,9/1/1999,0.19
6013,10/1/1999,0.19
6013,11/1/1999,0.2
6013,12/1/1999,0.21
6013,1/1/2000,0.15
6013,2/1/2000,0.18
6013,3/1/2000,0.13
6013,4/1/2000,0.11
6013,5/1/2000,0.12
6013,6/1/2000,0.12
6013,7/1/2000,0.13
6013,8/1/2000,0.12
6013,9/1/2000,0.14
6013,10/1/2000,0.13
6013,11/1/2000,0.14
6013,12/1/2000,0.14
6013,1/1/2001,0.14
6013,2/1/2001,0.15
6013,3/1/2001,0.13
6013,4/1/2001,0.13
6013,5/1/2001,0.14
6013,6/1/2001,0.11
6013,7/1/2001,0.14
6013,8/1/2001,0.14
6013,9/1/2001,0.16
6013,10/1/2001,0.17
6013,11/1/2001,0.18
6013,12/1/2001,0.18
6013,1/1/2002,0.16
6013,2/1/2002,0.15
6013,3/1/2002,0.11
6013,4/1/2002,0.11
6013,5/1/2002,0.09
6013,6/1/2002,0.1
6013,7/1/2002,0.1
6013,8/1/2002,0.11
6013,9/1/2002,0.12
6013,10/1/2002,0.13
6013,11/1/2002,0.14
6013,12/1/2002,0.12
6013,1/1/2003,0.16
6013,2/1/2003,0.13
6013,3/1/2003,0.12
6013,4/1/2003,0.1
6013,5/1/2003,0.11
6013,6/1/2003,0.12
6013,7/1/2003,0.13
6013,8/1/2003,0.11
6013,9/1/2003,0.1
6013,10/1/2003,0.12
6013,11/1/2003,0.13
6013,12/1/2003,0.12
6013,1/1/2004,0.14
6013,2/1/2004,0.1
6013,3/1/2004,0.12
6013,4/1/2004,0.11
6013,5/1/2004,0.1
6013,6/1/2004,0.1
6013,7/1/2004,0.1
6013,8/1/2004,0.1
6013,9/1/2004,0.1
6013,10/1/2004,0.1
6013,11/1/2004,0.1
6013,12/1/2004,0.1
6013,1/1/2005,0.1
6013,2/1/2005,0.1
6013,3/1/2005,0.1
6013,4/1/2005,0.1
6013,5/1/2005,0.1
6013,6/1/2005,0.1
6013,7/1/2005,0.1
6013,8/1/2005,0.1
6013,9/1/2005,0.1
6013,10/1/2005,0.1
6013,11/1/2005,0.1
6013,12/1/2005,0.1
6013,3/1/2006,0.11
6013,6/1/2006,0.15
6013,9/1/2006,0.17
6013,12/1/2006,0.23
6013,3/1/2007,0.1
6013,6/1/2007,0.16
6013,9/1/2007,0.08
6013,12/1/2007,0.12
6013,3/1/2008,0.15
6013,6/1/2008,0.14
6013,9/1/2008,0.15
6013,12/1/2008,0.17
6013,3/1/2009,0.32
6013,6/1/2009,0.25
6013,9/1/2009,0.22
6013,12/1/2009,0.24
6013,3/1/2010,0.25
6013,6/1/2010,0.21
6013,9/1/2010,0.21
6013,12/1/2010,0.26
6013,3/1/2011,0.3
6013,6/1/2011,0.26
6013,9/1/2011,0.27
6013,12/1/2011,0.37
6013,3/1/2012,0.36
6013,6/1/2012,0.26
6013,9/1/2012,0.28
6013,12/1/2012,0.31
6013,3/1/2013,0.28
6013,6/1/2013,0.2
6013,9/1/2013,0.22
6013,12/1/2013,0.24
6013,3/1/2014,0.24
6013,6/1/2014,0.19
6013,9/1/2014,0.19
6013,12/1/2014,0.23
6013,3/1/2015,0.21
6019,1/1/1991,0.43
6019,2/1/1991,0.44
6019,3/1/1991,0.48
6019,4/1/1991,0.47
6019,5/1/1991,0.44
6019,6/1/1991,0.46
6019,7/1/1991,0.44
6019,8/1/1991,0.45
6019,9/1/1991,0.46
6019,10/1/1991,0.44
6019,11/1/1991,0.48
6019,12/1/1991,0.51
6019,1/1/1992,0.53
6019,2/1/1992,0.48
6019,3/1/1992,0.49
