GeoID,Date,Estimate; Gini Index
6001,12/31/2013,0.4755
6007,12/31/2013,0.475
6013,12/31/2013,0.4687
6017,12/31/2013,0.4855
6019,12/31/2013,0.4762
6023,12/31/2013,0.4292
6025,12/31/2013,0.4419
6029,12/31/2013,0.4562
6031,12/31/2013,0.4505
6033,12/31/2013,0.4479
6037,12/31/2013,0.5047
6039,12/31/2013,0.4516
6041,12/31/2013,0.5244
6045,12/31/2013,0.5189
6047,12/31/2013,0.4452
6053,12/31/2013,0.4628
6055,12/31/2013,0.4593
6057,12/31/2013,0.4458
6059,12/31/2013,0.4717
6061,12/31/2013,0.4428
6065,12/31/2013,0.4497
6067,12/31/2013,0.4602
6071,12/31/2013,0.4461
6073,12/31/2013,0.4789
6075,12/31/2013,0.5283
6077,12/31/2013,0.4416
6079,12/31/2013,0.449
6081,12/31/2013,0.482
6083,12/31/2013,0.5038
6085,12/31/2013,0.4705
6087,12/31/2013,0.4581
6089,12/31/2013,0.4545
6095,12/31/2013,0.4267
6097,12/31/2013,0.4645
6099,12/31/2013,0.4786
6101,12/31/2013,0.4646
6107,12/31/2013,0.4679
6111,12/31/2013,0.4459
6113,12/31/2013,0.4787
6115,12/31/2013,0.3916
6001,12/31/2012,0.4753
6007,12/31/2012,0.4635
6013,12/31/2012,0.4617
6017,12/31/2012,0.4248
6019,12/31/2012,0.4782
6023,12/31/2012,0.4586
6025,12/31/2012,0.4673
6029,12/31/2012,0.4585
6031,12/31/2012,0.4595
6033,12/31/2012,0.4725
6037,12/31/2012,0.4965
6039,12/31/2012,0.473
6041,12/31/2012,0.5173
6045,12/31/2012,0.4327
6047,12/31/2012,0.4518
6053,12/31/2012,0.439
6055,12/31/2012,0.45
6057,12/31/2012,0.4299
6059,12/31/2012,0.4643
6061,12/31/2012,0.4322
6065,12/31/2012,0.4404
6067,12/31/2012,0.4561
6071,12/31/2012,0.439
6073,12/31/2012,0.4665
6075,12/31/2012,0.5225
6077,12/31/2012,0.4564
6079,12/31/2012,0.4437
6081,12/31/2012,0.4849
6083,12/31/2012,0.4698
6085,12/31/2012,0.4663
6087,12/31/2012,0.4615
6089,12/31/2012,0.4358
6095,12/31/2012,0.4312
6097,12/31/2012,0.4552
6099,12/31/2012,0.4455
6101,12/31/2012,0.4756
6107,12/31/2012,0.4594
6111,12/31/2012,0.4431
6113,12/31/2012,0.4796
6115,12/31/2012,0.4136
6001,12/31/2011,0.4708
6007,12/31/2011,0.457
6013,12/31/2011,0.4695
6017,12/31/2011,0.4469
6019,12/31/2011,0.4635
6023,12/31/2011,0.4582
6025,12/31/2011,0.4821
6029,12/31/2011,0.4574
6031,12/31/2011,0.4457
6033,12/31/2011,0.4289
6037,12/31/2011,0.5021
6039,12/31/2011,0.4145
6041,12/31/2011,0.5235
6045,12/31/2011,0.468
6047,12/31/2011,0.4579
6053,12/31/2011,0.4635
6055,12/31/2011,0.4808
6057,12/31/2011,0.4509
6059,12/31/2011,0.4589
6061,12/31/2011,0.4304
6065,12/31/2011,0.4434
6067,12/31/2011,0.4435
6071,12/31/2011,0.4369
6073,12/31/2011,0.4616
6075,12/31/2011,0.5148
6077,12/31/2011,0.438
6079,12/31/2011,0.4604
6081,12/31/2011,0.4928
6083,12/31/2011,0.4693
6085,12/31/2011,0.4666
6087,12/31/2011,0.4638
6089,12/31/2011,0.446
6095,12/31/2011,0.4242
6097,12/31/2011,0.4418
6099,12/31/2011,0.4444
6101,12/31/2011,0.4292
6107,12/31/2011,0.4458
6111,12/31/2011,0.4364
6113,12/31/2011,0.4906
6115,12/31/2011,0.3936
6001,12/31/2010,0.459
6007,12/31/2010,0.437
6013,12/31/2010,0.445
6017,12/31/2010,0.442
6019,12/31/2010,0.462
6023,12/31/2010,0.471
6025,12/31/2010,0.441
6029,12/31/2010,0.45
6031,12/31/2010,0.437
6033,12/31/2010,0.456
6037,12/31/2010,0.49
6039,12/31/2010,0.444
6041,12/31/2010,0.512
6045,12/31/2010,0.416
6047,12/31/2010,0.489
6053,12/31/2010,0.452
6055,12/31/2010,0.47
6057,12/31/2010,0.426
6059,12/31/2010,0.453
6061,12/31/2010,0.425
6065,12/31/2010,0.44
6067,12/31/2010,0.434
6071,12/31/2010,0.425
6073,12/31/2010,0.458
6075,12/31/2010,0.507
6077,12/31/2010,0.436
6079,12/31/2010,0.462
6081,12/31/2010,0.453
6083,12/31/2010,0.503
6085,12/31/2010,0.452
6087,12/31/2010,0.46
6089,12/31/2010,0.441
6095,12/31/2010,0.405
6097,12/31/2010,0.438
6099,12/31/2010,0.458
6101,12/31/2010,0.427
6107,12/31/2010,0.451
6111,12/31/2010,0.441
6113,12/31/2010,0.464
6115,12/31/2010,0.408
