GeoID,Date,Estimate; Median gross rent as a percentage of household income,Margin of Error; Median gross rent as a percentage of household income
6037,31/12/2011,36,0.4
6039,31/12/2011,25.6,3.5
6041,31/12/2011,34.2,2.1
6045,31/12/2011,34.9,6.1
6047,31/12/2011,35.2,3.2
6053,31/12/2011,34.4,1.2
6055,31/12/2011,34.6,3.1
6057,31/12/2011,38.7,4.7
6059,31/12/2011,33.6,0.7
6061,31/12/2011,34.5,2.7
6065,31/12/2011,36.6,1.6
6067,31/12/2011,33.7,1
6071,31/12/2011,36.2,1.3
6073,31/12/2011,34.3,0.6
6075,31/12/2011,28,0.8
6077,31/12/2011,34.2,1.9
6079,31/12/2011,37.3,2.9
6081,31/12/2011,31.5,1.5
6083,31/12/2011,33.4,1.5
6085,31/12/2011,28.7,0.6
6087,31/12/2011,36.7,2.8
6089,31/12/2011,40.5,3.7
6095,31/12/2011,32.2,2.4
6097,31/12/2011,34,1.7
6099,31/12/2011,36.5,2.3
6101,31/12/2011,33.8,3.1
6107,31/12/2011,32.5,1.7
6111,31/12/2011,33.3,1.3
6113,31/12/2011,38,2.4
6115,31/12/2011,28.3,2.9
6001,31/12/2010,31.9,0.9
6007,31/12/2010,34.1,1.9
6013,31/12/2010,32.9,1.5
6017,31/12/2010,35.2,5
6019,31/12/2010,34.6,1.5
6023,31/12/2010,36.1,3.9
6025,31/12/2010,31.5,3.7
6029,31/12/2010,33.5,1.3
6031,31/12/2010,30.1,3.2
6033,31/12/2010,39.6,6.1
6037,31/12/2010,35.1,0.4
6039,31/12/2010,29.4,5.5
6041,31/12/2010,35.6,2.2
6045,31/12/2010,35.4,4.9
6047,31/12/2010,32.7,2.8
6053,31/12/2010,33.6,1.5
6055,31/12/2010,32.5,3
6057,31/12/2010,39,4.7
6059,31/12/2010,33.8,0.6
6061,31/12/2010,31.8,2.3
6065,31/12/2010,37.1,1.1
6067,31/12/2010,34.5,1
6071,31/12/2010,35.8,1.1
6073,31/12/2010,34.5,0.6
6075,31/12/2010,28.3,0.8
6077,31/12/2010,34.7,1.4
6079,31/12/2010,36.4,2.3
6081,31/12/2010,29.1,1
6083,31/12/2010,34.5,2.3
6085,31/12/2010,29,0.7
6087,31/12/2010,33.2,1.5
6089,31/12/2010,37.6,3.7
6095,31/12/2010,33,2.1
6097,31/12/2010,34.8,2.1
6099,31/12/2010,35.5,2.4
6101,31/12/2010,27.5,2.6
6107,31/12/2010,33.4,2.3
6111,31/12/2010,32.9,1.1
6113,31/12/2010,34.8,3.7
6115,31/12/2010,32.3,4.4
6001,31/12/2009,29.5,0.7
6007,31/12/2009,33.4,2.4
6013,31/12/2009,32.1,1.6
6017,31/12/2009,33.3,2.6
6019,31/12/2009,33.1,1.4
6023,31/12/2009,42.4,6.5
6025,31/12/2009,34.1,3.3
6029,31/12/2009,34.4,1.8
6031,31/12/2009,28.2,2.7
6033,31/12/2009,43.2,7.5
6037,31/12/2009,33.9,0.4
6039,31/12/2009,33.6,3.1
6041,31/12/2009,32.9,2.2
6045,31/12/2009,33.3,6.2
6047,31/12/2009,34.7,2.8
6053,31/12/2009,32,1.8
6055,31/12/2009,30,2.7
6057,31/12/2009,36.1,5.3
6059,31/12/2009,32.1,0.7
6061,31/12/2009,31.8,1.9
6065,31/12/2009,34.1,0.9
6067,31/12/2009,33.6,1
6071,31/12/2009,34.6,1.1
6073,31/12/2009,34.1,0.6
6075,31/12/2009,27.9,0.8
6077,31/12/2009,34.2,2.1
6079,31/12/2009,37.2,2.7
6081,31/12/2009,30.4,1.6
6083,31/12/2009,34.6,1.9
6085,31/12/2009,28.2,0.6
6087,31/12/2009,35,2.8
6089,31/12/2009,34,4.5
6095,31/12/2009,33.5,2.2
6097,31/12/2009,31.4,2.1
6099,31/12/2009,34,1.7
6101,31/12/2009,29,2.9
6107,31/12/2009,32.4,2.2
6111,31/12/2009,34.5,1.7
6113,31/12/2009,33.9,1.9
6115,31/12/2009,36.1,3.4
6001,31/12/2008,31.3,1
6007,31/12/2008,37.7,3.8
6013,31/12/2008,33.5,1.4
6017,31/12/2008,29.8,4.4
6019,31/12/2008,33.8,1.2
6023,31/12/2008,34.7,4.1
6025,31/12/2008,31.6,3.1
6029,31/12/2008,34.3,1.7
6031,31/12/2008,27.5,4.1
6033,31/12/2008,35.8,6.9
6037,31/12/2008,33.6,0.4
6039,31/12/2008,32.2,2.4
6041,31/12/2008,32.2,1.6
6045,31/12/2008,39.1,10.7
6047,31/12/2008,33.4,2.2
6053,31/12/2008,28.9,1.1
6055,31/12/2008,32.6,3.2
6057,31/12/2008,35.3,6.4
6059,31/12/2008,32.6,0.7
6061,31/12/2008,30.9,2.2
6065,31/12/2008,36.6,1.3
6067,31/12/2008,31.1,1
6071,31/12/2008,34.6,1.1
6073,31/12/2008,32.7,0.6
6075,31/12/2008,27,0.7
6077,31/12/2008,33.7,1.5
6079,31/12/2008,33.7,3.9
6081,31/12/2008,28.7,1
6083,31/12/2008,34.8,1.9
6085,31/12/2008,27.5,0.7
6087,31/12/2008,33.2,2.6
6089,31/12/2008,35.3,4.1
6095,31/12/2008,31.1,1.7
6097,31/12/2008,32.5,1.9
6099,31/12/2008,33.3,1.5
6101,31/12/2008,34,4.4
6107,31/12/2008,30.6,2.2
6111,31/12/2008,32.4,1.4
6113,31/12/2008,31.6,2.8
6115,31/12/2008,29.2,3.9
6001,31/12/2007,30.4,1
6007,31/12/2007,37.5,3
6013,31/12/2007,32.5,1.6
6017,31/12/2007,29.1,2.7
6019,31/12/2007,32.4,1.5
6023,31/12/2007,35.3,3.7
6025,31/12/2007,31.5,2.8
6029,31/12/2007,29.5,1.5
6031,31/12/2007,28.5,3.2
6033,31/12/2007,35.2,10.9
6037,31/12/2007,32.9,0.4
6039,31/12/2007,30.8,3.6
6041,31/12/2007,33.1,3.3
6045,31/12/2007,30.6,7.1
6047,31/12/2007,33.9,2.5
6053,31/12/2007,29.5,1.5
6055,31/12/2007,30.9,3.1
6057,31/12/2007,31.1,4.3
6059,31/12/2007,32.5,0.7
6061,31/12/2007,30.8,1.9
6065,31/12/2007,33.1,0.9
6067,31/12/2007,31.8,1
6071,31/12/2007,32.3,1
6073,31/12/2007,32.6,0.6
6075,31/12/2007,26.9,0.7
6077,31/12/2007,33.3,2.1
6079,31/12/2007,35.6,3.6
6081,31/12/2007,28.4,1.1
6083,31/12/2007,36,2.1
6085,31/12/2007,28.6,0.7
6087,31/12/2007,32.7,1.7
6089,31/12/2007,31,2
6095,31/12/2007,34.4,1.9
6097,31/12/2007,31.2,1.7
6099,31/12/2007,33.6,2.7
6101,31/12/2007,28.9,3.5
6107,31/12/2007,29.8,2
6111,31/12/2007,32.1,1.7
6113,31/12/2007,32.2,3.2
6115,31/12/2007,32.3,3.6
6001,31/12/2006,31.7,0.9
6007,31/12/2006,34.4,2.2
6013,31/12/2006,33.2,1.1
6017,31/12/2006,33.3,6.1
6019,31/12/2006,32.2,1.2
6023,31/12/2006,33.6,3.1
6025,31/12/2006,32.1,2
6029,31/12/2006,30.5,1.5
6031,31/12/2006,30.8,2.5
6033,31/12/2006,38.6,8.3
6037,31/12/2006,33.2,0.3
6039,31/12/2006,34.2,3.7
