GeoID,Date,Estimate; Total:,Margin of Error; Total:,"Estimate; Housing units with a mortgage, contract to purchase, or similar debt:","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt:","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both:","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both:","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Second mortgage only","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Second mortgage only","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Home equity loan only","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - With either a second mortgage or home equity loan, but not both: - Home equity loan only","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - Both second mortgage and home equity loan","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - Both second mortgage and home equity loan","Estimate; Housing units with a mortgage, contract to purchase, or similar debt: - No second mortgage and no home equity loan","Margin of Error; Housing units with a mortgage, contract to purchase, or similar debt: - No second mortgage and no home equity loan",Estimate; Housing units without a mortgage,Margin of Error; Housing units without a mortgage
6059,31/12/2009,586937,7024,445966,7693,142272,5187,33441,2988,108831,4059,11394,1878,292300,6755,140971,5213
6061,31/12/2009,90529,2281,68275,2725,23089,1960,6614,1377,16475,1554,1030,518,44156,2683,22254,1755
6065,31/12/2009,440246,6338,330966,6996,89136,3796,36055,3210,53081,3348,6269,1340,235561,6525,109280,3435
6067,31/12/2009,292581,5267,224531,5432,68669,3425,25349,2278,43320,2540,2714,852,153148,4779,68050,2906
6071,31/12/2009,377587,6460,296549,6117,72218,3841,28401,3028,43817,3103,5368,1442,218963,5626,81038,3703
6073,31/12/2009,578787,7201,443139,7620,138928,5318,38372,2872,100556,4479,8541,1450,295670,6469,135648,4409
6075,31/12/2009,122182,4247,87651,3799,25353,2356,4735,1033,20618,2247,1210,574,61088,3441,34531,2724
6077,31/12/2009,126980,5361,97311,4553,27087,2429,9419,1682,17668,1952,953,524,69271,4139,29669,2233
6079,31/12/2009,63780,2394,43996,2461,12343,1635,2963,1170,9380,1207,1354,712,30299,2354,19784,1662
6081,31/12/2009,153416,4043,115966,4114,38906,2669,7478,1396,31428,2441,1531,718,75529,3385,37450,2353
6083,31/12/2009,74286,2605,51322,2743,15649,1662,3523,941,12126,1365,516,284,35157,2845,22964,1820
6085,31/12/2009,344935,6086,262070,5783,85813,3963,20458,1947,65355,3707,5851,1237,170406,5372,82865,4112
6087,31/12/2009,56015,2417,39787,2126,13354,1514,2965,773,10389,1274,785,439,25648,1894,16228,1769
6089,31/12/2009,44976,1870,29180,1950,8513,1234,2291,622,6222,1022,551,275,20116,1979,15796,1311
6095,31/12/2009,91324,2797,72794,3101,22878,2186,7591,1277,15287,1637,1075,504,48841,2765,18530,1703
6097,31/12/2009,109437,3969,80798,3614,28403,2248,7995,1462,20408,1883,1255,653,51140,3065,28639,1889
6099,31/12/2009,96132,3720,69828,3305,17790,2114,5904,1219,11886,1659,1037,545,51001,2994,26304,2059
6101,31/12/2009,19642,1373,14940,1313,4629,1077,2039,691,2590,837,346,280,9965,1243,4702,919
6107,31/12/2009,72208,2486,54057,2674,11927,1652,4118,1049,7809,1312,742,412,41388,2454,18151,1598
6111,31/12/2009,169308,3738,134239,3984,44089,2800,11803,1539,32286,2616,2805,928,87345,3880,35069,2576
6113,31/12/2009,37805,1579,28664,1754,7836,1230,2876,939,4960,823,238,206,20590,1748,9141,1159
6115,31/12/2009,15321,1323,10970,1436,2743,787,1021,493,1722,588,0,294,8227,1439,4351,726
6001,31/12/2010,286780,5237,220712,5421,63716,3277,14296,1819,49420,3078,3205,984,153791,5455,66068,3121
6007,31/12/2010,50325,2185,32399,1937,7664,1386,1799,627,5865,1275,537,312,24198,1953,17926,1690
6013,31/12/2010,243026,4695,190759,4999,59698,3292,15940,2134,43758,2618,3515,965,127546,4534,52267,2359
6017,31/12/2010,51155,2734,38534,2558,12705,1440,3116,948,9589,1318,377,223,25452,2405,12621,1644
6019,31/12/2010,154283,4108,114058,3926,23654,2430,7077,1369,16577,1926,1283,630,89121,3782,40225,2544
