GeoID,Date,Estimate; Total:,Estimate; Air transportation workers,Estimate; Architecture and engineering occupations,"Estimate; Arts, design, entertainment, sports, and media occupations",Estimate; Building and grounds cleaning and maintenance occupations,Estimate; Business and financial operations occupations,Estimate; Community and social services occupations,Estimate; Computer and mathematical occupations,Estimate; Construction and extraction occupations,"Estimate; Education, training, and library occupations","Estimate; Farming, fishing, and forestry occupations","Estimate; Fire fighting and prevention, and other protective service workers including supervisors",Estimate; Food preparation and serving related occupations,Estimate; Health diagnosing and treating practitioners and other technical occupations,Estimate; Health technologists and technicians,Estimate; Healthcare practitioner and technical occupations:,Estimate; Healthcare support occupations,"Estimate; Installation, maintenance, and repair occupations",Estimate; Law enforcement workers including supervisors,Estimate; Legal occupations,"Estimate; Life, physical, and social science occupations",Estimate; Management occupations,Estimate; Material moving workers,Estimate; Motor vehicle operators,Estimate; Office and administrative support occupations,Estimate; Personal care and service occupations,Estimate; Production occupations,Estimate; Rail and water and other transportation workers,Estimate; Sales and related occupations,"Estimate; Supervisors, transportation and material moving workers"
6111,31/12/2009,373799,1360,18724,18872,30856,37748,11180,19410,32068,40792,20476,8700,32336,23254,9156,1346,11794,27500,7380,8722,12912,79968,14120,16458,101626,29352,38866,1372,89484,1106
6001,31/12/2010,699389,34457,35650,58787,148234,62463,106313,68591,75551,40178,216076,44772,21485,105306,56647,61,123790,128089,31937,33164,36551,120220,85596,495935,79131,82096,106855,185960,216529,40767
6013,31/12/2010,480363,21722,21647,40112,115897,40437,63392,37125,44962,26949,154061,35516,12788,79428,45913,68,88137,81399,22624,18532,22213,80258,67324,339903,64175,67768,61674,119427,163796,24925
6019,31/12/2010,363891,18384,11327,34093,89013,17487,46406,14432,76687,23829,130748,31104,12180,63911,33994,0,75503,59210,18833,15385,14740,29543,23855,264228,78404,56558,59019,49119,150084,18216
6029,31/12/2010,310764,12252,15726,25879,69881,14694,41156,11070,66986,16353,116135,28233,11734,43210,25061,0,61274,47666,15679,12816,10839,27444,21301,225656,66062,42173,49687,42608,131072,18303
6037,31/12/2010,4391268,203275,160748,358991,1109886,278834,697994,324674,579983,260808,1352499,368543,147804,741821,346071,245,901063,787088,238594,253736,182907,522084,441659,3208196,575137,620321,750657,930596,1509046,280779
6041,31/12/2010,119487,4829,5092,10604,23692,11498,23538,10500,7962,10879,30932,7420,2844,20550,12746,0,18473,20355,4690,6952,7572,22931,18118,73210,18882,16736,8149,33393,41347,8802
6053,31/12/2010,175878,9781,6250,12185,43015,7284,20716,6326,38427,6081,61872,15318,6380,28129,15416,0,40495,30765,10574,6538,9033,18028,10799,123188,39592,26457,27426,20409,74355,9387
6059,31/12/2010,1414260,60928,58846,114443,388440,116744,200811,101955,155330,88497,408754,114647,42723,225312,99311,0,246966,220217,74504,64766,60756,211463,183428,1082144,220772,221479,193810,352237,506274,77261
6061,31/12/2010,151654,7130,6458,14174,39233,12250,19666,11270,15879,9536,54215,10715,5304,22661,16875,0,22450,25371,5181,6275,5711,22950,16280,103667,24774,21920,20162,31086,57756,8353
6065,31/12/2010,854828,38757,32183,71438,237086,39450,103962,35111,119010,50201,295656,86680,34735,154999,69401,0,189666,144997,49401,36171,33697,85166,68986,636809,133432,141094,145216,136658,327946,47314
6067,31/12/2010,595578,21665,27173,49139,146033,44103,80438,47082,67809,37135,262439,54680,21755,104024,66240,0,126726,106545,27663,25232,23218,73605,51690,389353,73607,78467,85571,105710,210586,27808
6071,31/12/2010,791365,41193,26148,70048,205572,36015,96836,37944,128017,44284,299326,70705,28832,137394,74325,0,163268,154088,41232,33885,26539,71756,56271,578998,105362,110961,165277,117750,292370,48395
6073,31/12/2010,1348077,47082,71377,112634,341889,112019,190016,105200,130368,81970,463297,121054,52472,238791,114582,0,267523,221264,74481,55767,68779,191271,153298,962613,187728,190225,156394,315449,465252,72579
6075,31/12/2010,446665,19546,14990,31125,113424,46737,75980,56279,31567,32849,114728,39323,10798,77277,35705,108,85271,71896,19388,25493,30547,78527,72362,313963,61718,60337,47750,140220,136767,20841
6077,31/12/2010,264858,14987,8629,21869,67238,13917,32153,12922,47952,13145,93497,23576,7861,44540,22570,0,52247,46158,15061,10920,7272,25163,21344,196433,41751,34461,54801,41472,102246,16320
6079,31/12/2010,116949,4738,6746,9400,29491,7724,15793,7132,11593,8252,41820,11703,4014,21113,13422,0,23418,19918,4275,5475,6741,14883,10401,76695,19384,17093,13907,21839,43154,5474
6081,31/12/2010,362295,14263,15436,28006,81972,29437,48654,36687,32617,23998,106225,30661,12662,69326,35680,70,74613,62847,18700,13969,22738,62680,47144,252927,45981,48430,42482,95290,116127,19080
6083,31/12/2010,187202,6905,7733,14689,43314,10324,25947,12549,30863,9296,61355,17125,5889,35272,14746,0,41701,33339,12208,8940,10540,23095,13624,131617,33711,26301,25500,32237,69441,10098
6085,31/12/2010,834009,28078,58866,65951,180924,102330,103966,112450,72191,43359,208286,50349,19977,117976,58939,0,127256,134522,29880,31305,34787,184714,131445,655608,96052,100311,89176,307172,243810,35743
6087,31/12/2010,117481,4949,4834,13295,25036,6465,20012,8810,17880,7140,36517,10373,1995,19870,10847,0,22035,20136,5719,5723,4968,17941,10693,81920,20484,13630,14664,25236,41318,5878
6095,31/12/2010,180913,8572,8355,13758,44433,13644,24063,9890,26806,9110,73960,18844,7615,32440,18438,93,36745,31371,10713,6107,6316,20975,16629,127457,21869,21172,32391,32421,63871,11096
6097,31/12/2010,227836,8215,9154,18545,59531,14267,30841,15511,25387,13937,74887,19388,10314,38635,21609,0,48628,42361,9864,10873,10972,24961,19216,154435,38803,34544,30826,40072,87246,11887
6099,31/12/2010,198972,11446,4978,19400,48424,7538,24268,6502,41438,10851,70929,14338,6339,28130,15911,0,37626,40258,7932,6825,7382,18712,12976,147638,34253,27058,44346,25662,77253,11778
6107,31/12/2010,169217,10852,7403,11464,37335,4878,20746,5210,48156,7630,56852,14769,6757,21186,12724,0,31554,25024,8335,7771,5220,13642,10109,123526,45734,24467,34313,16613,77128,9239
6111,31/12/2010,387454,16870,17622,29375,96202,26724,55410,22687,53174,25386,125005,31515,13054,58507,28587,0,71473,56656,21163,18599,16623,54717,45429,281283,67982,58599,48857,85450,145340,21200
6113,31/12/2010,86907,6006,3639,11192,16450,5300,15698,6517,12704,3645,40067,5390,1904,12633,9044,0,14183,15594,2965,3565,5992,11825,6678,54605,12108,10024,14128,14226,28317,5101
6001,31/12/2011,723858,36211,36259,60801,166768,62566,108865,70777,79360,37377,228559,56340,21592,109795,54798,0,130492,132301,30862,32233,38015,118487,87685,525585,81242,83161,110263,192189,229358,38199
6007,31/12/2011,84351,3298,3060,7901,20536,4006,13602,5124,9281,6062,29244,8233,2614,16125,8093,0,20541,15989,4245,5865,4930,8380,6307,55306,13425,12509,11584,11991,30764,5570
6013,31/12/2011,481728,19751,22073,40772,105440,41465,65103,39366,42434,32674,155460,37280,12373,84020,48300,0,94571,81404,28254,19676,23742,83409,71166,341249,57338,64755,56018,126888,157079,22608
6019,31/12/2011,359891,19214,10709,34658,80083,16082,46895,14965,82650,20329,122645,29238,12535,60952,35824,85,73520,63097,17141,12967,11004,29958,21669,265714,71250,45539,71304,47223,140530,21818
6029,31/12/2011,316785,15037,16083,26665,71367,12681,39895,9640,68661,14500,117013,33406,14926,49820,25673,0,67680,54735,14425,11976,11195,24664,19359,231248,62021,40264,58167,40161,131879,19298
6037,31/12/2011,4420242,211835,154577,360641,1106539,289241,704922,343329,577586,273069,1315170,364838,142980,775103,350438,352,940761,785955,248981,258503,196830,506857,442082,3261903,569066,625929,758802,961969,1490729,260918
6041,31/12/2011,122937,5728,3888,11802,26111,11392,23352,9507,8321,10028,28187,8715,4613,19371,9911,0,22721,18323,4927,8291,7283,23936,21343,77626,20988,16647,11466,33859,40327,7446
6053,31/12/2011,167050,7274,5112,12622,35916,6448,22622,6763,40463,8018,54860,13470,5312,27272,14166,0,35492,26258,9479,6522,7788,15720,10057,122193,41818,23245,23463,20978,74188,8176
6059,31/12/2011,1444449,62286,63548,117962,388244,123829,192784,110637,151679,94991,404459,118569,48724,251448,112429,291,266540,215516,79338,64719,54578,210872,190546,1117776,226943,227563,189760,371837,514583,69945
6065,31/12/2011,862951,41334,36003,72409,222854,41131,113668,40383,121249,48247,298437,84029,42822,161329,74728,97,203704,144046,49915,35334,31263,94262,75007,633709,119955,137630,150322,143435,306560,48902
6067,31/12/2011,606476,25415,24913,53649,144058,41285,87272,50416,72175,39333,261565,54509,23562,110932,69037,0,129431,105747,29885,29822,29564,73721,46677,389342,75277,76601,92258,107358,213604,29748
6071,31/12/2011,790016,40687,34500,69471,198605,38582,103759,39200,123456,46998,294065,75658,27995,132191,70937,0,170053,143792,42646,36415,29689,75043,63306,568357,97618,106382,167117,126752,274715,54198
6073,31/12/2011,1376701,49613,73585,121404,342280,108565,201933,109646,136254,92001,443520,134272,51514,260299,117961,0,295582,219467,80321,62330,71341,190998,148661,988685,193910,200563,161716,321537,457874,73018
6075,31/12/2011,450686,16439,15537,34078,110188,48854,80768,61332,28449,27399,110506,42345,13510,81761,34827,0,90196,66848,21039,28696,24461,86167,73750,319777,57366,56099,44814,147109,131446,19248
6077,31/12/2011,264310,16912,13583,20171,63726,13536,34420,12408,53414,12277,88606,25162,9818,41111,19761,0,55542,46437,14581,10717,11197,24817,19981,194970,41353,37216,63931,39960,93328,22103
6079,31/12/2011,118538,4974,6036,11942,30047,7063,20518,5132,12225,5847,45019,15434,6186,23989,9834,0,29202,19584,5832,5807,6848,11924,8396,76988,16922,15767,14510,19261,40962,6073
6081,31/12/2011,364747,15271,13588,26628,84280,31108,52758,36193,31116,20961,104763,27807,13398,66961,32452,0,74891,61479,17378,13563,21968,66320,51235,256452,45517,49965,41056,99188,114281,19696
6083,31/12/2011,199744,8128,8342,17578,46465,11427,29398,11757,31812,10454,65881,18863,6213,39339,16712,0,47210,32220,14290,8932,9324,25106,17915,140169,35021,29356,23129,34843,70969,10343
6085,31/12/2011,858963,30134,59616,64116,183658,99699,106064,117536,78640,42571,205836,54408,21897,127775,58462,0,143291,142910,36008,30304,35595,187428,127138,672992,98345,105723,102586,306036,245703,36545
6087,31/12/2011,128599,4481,4306,13168,31335,8217,18643,8073,15996,7375,41715,12560,3790,23909,12565,0,28290,23235,6406,5825,5032,18479,11502,85859,22356,17842,13778,23680,46760,5300
6095,31/12/2011,181792,6736,8666,13974,41726,11113,22907,11050,24082,9798,78472,17531,9231,34648,21013,451,40187,38631,11762,8092,7360,22432,14006,123544,22647,22452,30283,30348,63579,8157
6097,31/12/2011,232144,10141,8839,18420,57771,14299,31494,13289,28103,16187,70328,20011,7501,41781,19341,0,47466,40506,10782,10574,10289,31108,24375,160782,36809,32645,33322,46278,86597,13672
6099,31/12/2011,199401,11786,5912,17761,52122,7444,26800,7825,41183,8867,69027,17136,4906,30442,17209,0,37931,39199,7739,6658,6366,16996,13348,146917,34076,27676,43093,23717,80346,12787
6107,31/12/2011,167364,9614,6006,11720,32930,5576,22048,5350,51739,9234,58099,15926,8396,23220,13977,0,33248,24907,9623,7543,5203,12317,7675,120592,43324,18892,35084,14855,72666,10719
6111,31/12/2011,390271,16610,17692,31309,100232,27251,52299,24426,59197,21677,124344,32285,10599,57790,30085,39,68624,57501,19277,19673,16892,53509,41944,287869,70643,52796,55704,83011,149903,23874
6001,31/12/2012,747170,35567,37631,64586,168166,72901,113391,82759,75377,41957,216362,56727,21335,119201,63174,142,134873,127123,29405,32576,37598,133704,97701,545268,85753,86240,106614,219630,224562,39992
6007,31/12/2012,86165,3288,2996,9789,23043,2688,12687,4249,9703,5237,29115,8372,3671,17879,8996,0,22943,15916,3793,4712,3982,8394,5720,57753,15219,13801,10928,11487,30672,3369
6013,31/12/2012,498496,24029,20659,43865,113950,40342,69790,42175,43200,35368,150862,36903,14182,82952,45776,0,89616,86218,24531,21646,25969,80893,66190,352376,67785,68528,63209,130472,169372,27101
6019,31/12/2012,359429,20714,10937,28314,80845,15555,45306,17297,76617,18355,119611,32325,16050,63963,32733,0,79108,64118,20808,17055,14169,34407,24634,250747,74835,46669,67691,47278,141593,20950
6029,31/12/2012,320071,15139,15549,23271,73292,13915,37970,12041,72065,15738,113097,33258,13142,53895,26365,0,67432,54785,17951,10828,8961,27181,21189,240033,58575,41715,63038,42334,126814,25048
6037,31/12/2012,4506700,223523,160372,363562,1139731,283360,714167,355095,591050,276440,1329903,385470,147873,789246,371657,0,958792,808029,247974,262669,190404,526150,437137,3288880,590455,633037,790687,970925,1523515,278801
6041,31/12/2012,128037,6600,4506,11558,29614,10116,24773,11229,7185,12366,28561,11944,3743,24491,11231,0,26296,20732,6791,7801,9190,23384,18402,81585,20932,19724,10935,33463,43819,6935
6053,31/12/2012,181521,11384,5001,15688,39515,7469,25513,7257,48816,7579,54376,15530,5639,28322,11810,0,38578,27541,10242,6436,8511,17195,11712,134970,43150,24411,33765,21784,73684,11308
6059,31/12/2012,1478669,65041,62009,121469,401466,125066,206966,115441,157653,95935,391228,123353,47686,259086,110648,361,277853,226416,76089,65414,61801,220998,194328,1149070,224385,233863,203096,389449,507740,76071
6061,31/12/2012,157891,4731,8436,14767,43268,13042,21793,12047,14160,11829,54391,14821,7369,27820,15200,84,30419,23563,7529,6817,5400,23633,19842,108938,23685,23110,16993,35508,55519,8756
6065,31/12/2012,882903,46573,35618,72799,238259,39800,110713,35940,130027,52823,297588,84780,40116,160996,70479,0,200274,156923,54349,34281,31187,91227,69677,654983,137349,142047,159609,143548,330005,48249
6067,31/12/2012,615013,23564,24967,50249,148644,47379,86303,50812,73271,38196,250578,55178,26030,110840,66753,0,132602,107890,31752,27951,28503,70358,54957,407197,77948,85691,92554,114637,210920,33971
6071,31/12/2012,799895,53316,28939,73903,202492,39901,102300,36987,138756,42195,283935,71075,29352,133065,70634,0,166938,151314,38395,29398,27459,67737,57505,588084,100403,110494,193152,123003,278828,52209
6073,31/12/2012,1412983,52911,73497,128068,350175,116400,214076,115300,135793,93473,432888,133735,56013,269998,120175,65,305538,228487,78151,61904,71516,190139,154010,1028957,191569,201374,172529,343607,456799,73556
6075,31/12/2012,457285,15005,17271,35053,107817,55793,84264,65201,26188,30666,108733,39508,12812,77427,32519,0,86435,70193,18281,26495,28636,89527,77843,324477,59348,58606,40696,156210,133397,25115
6077,31/12/2012,269943,16302,10834,24740,68734,11072,34711,11987,51001,13970,92149,21607,8236,42859,22749,0,52826,51135,11333,8980,8428,27701,18919,203113,44593,39344,57265,41109,105881,15041
6079,31/12/2012,127708,4893,6667,12895,32959,6895,21248,6185,14424,9329,47614,13848,5003,21680,11506,0,27055,19584,4491,7464,5281,16635,10304,84752,20487,15696,14227,22239,46992,7095
6081,31/12/2012,379197,15666,13239,27574,90004,29058,50737,35530,29423,22510,104354,32059,12668,74103,34424,0,83168,58511,22833,15691,19290,72110,55431,272738,47166,55660,43186,102045,116352,20262
6083,31/12/2012,191826,9060,8894,17310,45145,11389,28941,11140,30374,9055,63145,17696,6218,33661,15952,0,43697,30900,12885,8747,10320,22557,16872,134257,32595,26248,26725,33723,68814,10472
6085,31/12/2012,883722,28619,67904,66619,186644,110268,111777,121900,79248,46568,203754,58010,24481,135518,59277,0,151469,134422,38451,31763,35294,190631,131446,693905,98922,106329,103331,322481,249564,37081
6087,31/12/2012,134312,5296,6131,12857,34578,10808,20000,9697,16267,8572,38797,13392,2658,23876,10025,0,26462,22431,5198,6769,6727,20259,13723,92254,25926,18564,14180,30225,49763,6594
6089,31/12/2012,69984,3370,3146,5935,18111,3471,9055,4207,7107,4508,24538,7678,3074,15721,8706,0,17705,13082,3522,3379,3310,7269,4299,45205,9332,9540,9411,10825,25982,4063
6095,31/12/2012,180896,6425,7344,13992,46114,12159,20589,9287,23213,12233,73081,15863,8942,35133,21172,0,37783,34534,7632,6462,6317,20227,16680,125299,25517,25349,27401,31024,67805,9165
6097,31/12/2012,233307,9076,9493,19440,60251,13586,32949,11549,29097,14564,73081,21317,8500,41236,18351,251,52608,42935,12389,10940,11673,29280,20835,163164,38255,36927,32590,41374,88107,11454
6099,31/12/2012,202047,11805,6432,15888,47839,8025,23257,8520,45671,9997,62151,17714,8888,35723,15194,0,44897,40852,10159,6853,7329,16905,12355,153626,31746,29535,49508,25099,73271,14218
6107,31/12/2012,170308,10756,4462,14593,36360,4331,23294,5838,49514,8374,54454,14319,6861,27348,14474,0,37488,24872,7418,5522,4725,13377,8907,129069,44716,21480,33071,16916,72190,9216
6111,31/12/2012,392045,16701,18017,29873,101473,29580,54174,25364,55093,23516,114919,35641,12435,65542,29760,0,78223,61149,18681,17976,18688,54844,45001,289972,65491,54148,53681,89446,140614,21477
6113,31/12/2012,91843,6421,4944,12892,19570,6081,17612,6477,14937,4148,40146,6880,1661,13214,8025,0,16343,17290,3782,3428,5907,11844,5771,59543,10924,9997,16520,14612,28350,6436
6001,31/12/2013,766651,36498,37215,72241,168998,70047,117161,83230,79016,45831,229626,52455,20930,118308,62647,0,131655,135202,32935,33286,38441,131871,97874,556644,88655,91433,112161,218817,236690,42505
6007,31/12/2013,91352,3006,2295,10184,21354,4817,12758,6242,10677,6181,32150,9014,3310,19807,10989,0,24289,16841,5174,5447,3609,10225,7875,60698,13104,12512,11508,16275,29722,3506
6013,31/12/2013,510386,18951,21031,39839,118856,41037,72085,45465,43044,33145,154598,42297,14561,90797,42584,265,106994,86406,30294,23505,29024,82102,68911,365131,64465,72034,60439,131655,166944,29733
6019,31/12/2013,371604,17178,10784,36684,85258,15955,52046,16996,80275,21135,125240,29289,12635,64190,33556,0,76033,63309,19734,16061,14038,31431,23159,272370,71283,48874,70949,51260,144736,22796
6029,31/12/2013,323328,14059,14711,23456,72855,15314,37463,12242,77611,14012,112823,31104,12104,50817,25326,0,66334,55174,16191,10898,8977,26002,20802,245246,66347,38629,60698,40717,136332,20226
6037,31/12/2013,4614694,225683,165679,370281,1185075,287617,728365,364746,597187,275719,1345108,387558,147585,807448,368939,346,975893,834118,246036,274185,194958,550032,454663,3385555,599426,654507,797730,1004175,1565642,284225
6041,31/12/2013,127491,5834,4725,12034,28237,12082,24890,13046,8510,8422,34181,8293,3255,15769,10573,0,18943,22641,4141,7575,6429,27934,22801,81302,18538,15700,14103,39478,44145,7433
6053,31/12/2013,172574,8576,4855,13563,38225,7168,22280,6780,38301,8263,54328,16453,6505,30648,13862,0,37068,28133,8529,5364,6068,19519,13227,126885,37687,24189,28708,25438,70170,7649
6055,31/12/2013,69758,2789,2784,4832,18900,3953,9026,3876,9252,3370,20704,6958,2534,15056,5700,0,16353,13778,4905,2752,2635,9240,6778,50130,9806,10805,10588,12787,24417,3378
6059,31/12/2013,1509266,69615,60377,116111,404710,133622,194577,113875,159703,95092,396853,130302,51428,276834,106821,142,290956,228535,77208,71635,57852,233598,212662,1188370,215783,221198,202998,405021,509126,79984
6061,31/12/2013,166031,6190,7156,17717,46080,12111,28208,13994,13626,12190,55682,16707,6479,28656,16012,0,31414,27010,8499,7474,7608,21132,19299,115731,25347,23821,19504,37538,59734,8788
6065,31/12/2013,918967,45645,39555,81579,237245,44373,115225,41735,131431,55638,301208,93545,38077,178113,75433,56,216724,155963,57883,38786,32406,97762,77538,691539,129422,141132,163704,160103,324539,52770
6067,31/12/2013,618670,25175,25948,51915,148862,52306,84810,52043,73703,35620,250386,55054,25860,109531,62726,42,132091,108049,31242,27150,24187,70181,53618,414486,76489,82205,94119,113328,215000,36048
6071,31/12/2013,824290,43985,28574,72417,216864,41493,105384,43294,135759,43806,296893,71635,29641,142517,75042,0,166396,154887,40518,34574,26044,75948,60622,609479,106675,118302,177751,132159,292453,56699
6073,31/12/2013,1431442,54670,70722,121053,366305,118297,199915,114723,142792,90109,444124,134072,54440,269980,117714,116,301406,235732,79944,64276,73495,202130,164608,1043419,190024,204541,177250,342269,469202,84103
6075,31/12/2013,479337,19909,20707,38603,107749,54778,83477,67187,32010,34216,122417,39213,11421,77693,37364,0,83923,71258,19500,29075,27279,97357,81478,344942,59086,57291,48638,165972,134029,25034
6077,31/12/2013,277997,16439,9612,20050,66702,12158,30349,11863,52895,16090,94689,23451,11872,51410,23656,0,59693,52987,14605,11526,8411,24567,21570,207896,39824,36085,63351,41753,102645,17712
6079,31/12/2013,128815,5246,5546,10827,28503,7369,18800,7587,15871,6277,48332,11970,4310,22702,14250,0,27259,22296,6915,7705,6667,18666,13719,86115,18881,16836,15619,24435,46256,7233
6081,31/12/2013,388287,15870,15332,31511,92050,33741,54453,38730,32006,25382,106330,33688,15691,71034,32022,0,78593,57379,18881,16331,22887,72606,56898,284123,47986,51266,44257,115052,119827,24040
6083,31/12/2013,206144,7603,7924,17345,43407,12830,28842,12859,33377,12277,64876,18413,7769,38005,14732,0,47480,35724,14834,9876,11511,24798,19208,145686,39325,29537,23566,36938,77588,10784
6085,31/12/2013,910145,31017,67157,66632,187362,112082,112467,131553,82497,42876,202039,59203,25350,136095,57740,0,147898,148294,36475,32932,36770,207732,143926,722035,108253,107913,102076,341816,253503,36695
6087,31/12/2013,129221,4640,5739,14516,32059,7838,22525,9688,16139,6649,37993,13701,4622,22446,10781,0,28496,20828,6816,5387,5454,17516,12411,90487,23360,16836,17666,26896,44343,6804
6089,31/12/2013,66686,2411,2481,6656,18171,3622,8781,4308,6917,4223,26955,5756,2141,12810,7760,0,15353,11903,2868,3334,3010,5877,4514,44760,7481,7227,8790,10773,26000,3885
6095,31/12/2013,183698,7300,7291,13913,44373,13840,21395,9919,25731,10333,69956,17855,6610,38184,22049,0,38527,35357,9969,6196,6093,20844,16791,129820,23424,24070,31227,33210,63293,10362
6097,31/12/2013,238568,9486,9177,19518,58810,14199,31093,12754,29534,15767,72513,19294,7484,44192,20922,0,50684,44657,12130,9910,10982,34914,26957,168159,34571,34055,32632,47378,86172,12747
6099,31/12/2013,210456,13020,7567,19706,54883,6843,27004,8416,42942,10272,69084,19597,6368,36475,17267,0,44197,39681,11106,7182,7908,17556,13520,162664,33191,30042,46411,28290,80594,13504
6107,31/12/2013,165958,10820,6640,14007,36232,4658,21799,4038,49104,6986,52093,14220,7604,24010,10344,0,32050,26054,7580,4982,5310,13738,9878,126916,44881,23283,35422,17871,69883,8448
6111,31/12/2013,403569,18202,15285,31578,96966,28164,56515,26947,61870,23228,113295,35438,13450,65533,29650,0,76669,62086,20780,18098,17238,56522,48197,300858,73145,54589,54694,91652,150230,19350
6113,31/12/2013,90791,4617,3423,13767,19174,4211,16142,6112,15001,4048,39570,6328,2754,14685,8195,25,17004,17039,4028,3564,6666,9625,6135,61765,13934,10952,15080,14479,30440,3571
