GeoID,Date,Estimate; Total:,Margin of Error; Total:,Estimate; No schooling completed,Margin of Error; No schooling completed,Estimate; Nursery school,Margin of Error; Nursery school,Estimate; Kindergarten,Margin of Error; Kindergarten,Estimate; 1st grade,Margin of Error; 1st grade,Estimate; 2nd grade,Margin of Error; 2nd grade,Estimate; 3rd grade,Margin of Error; 3rd grade,Estimate; 4th grade,Margin of Error; 4th grade,Estimate; 5th grade,Margin of Error; 5th grade,Estimate; 6th grade,Margin of Error; 6th grade,Estimate; 7th grade,Margin of Error; 7th grade,Estimate; 8th grade,Margin of Error; 8th grade,Estimate; 9th grade,Margin of Error; 9th grade,Estimate; 10th grade,Margin of Error; 10th grade,Estimate; 11th grade,Margin of Error; 11th grade,"Estimate; 12th grade, no diploma","Margin of Error; 12th grade, no diploma",Estimate; Regular high school diploma,Margin of Error; Regular high school diploma,Estimate; GED or alternative credential,Margin of Error; GED or alternative credential,"Estimate; Some college, less than 1 year","Margin of Error; Some college, less than 1 year","Estimate; Some college, 1 or more years, no degree","Margin of Error; Some college, 1 or more years, no degree",Estimate; Associate's degree,Margin of Error; Associate's degree,Estimate; Bachelor's degree,Margin of Error; Bachelor's degree,Estimate; Master's degree,Margin of Error; Master's degree,Estimate; Professional school degree,Margin of Error; Professional school degree,Estimate; Doctorate degree,Margin of Error; Doctorate degree
6095,31/12/2009,264214,234,4200,1366,0,294,0,294,117,137,571,359,1296,673,890,541,946,452,6303,1357,1365,553,1853,690,3628,1262,4742,1058,5376,1140,5956,1202,54987,4248,7730,1383,19480,1738,53322,3177,27600,2764,45564,3090,13838,1795,2773,821,1677,533
6097,31/12/2009,322323,1055,6903,1842,100,121,54,88,531,589,954,657,1181,566,720,387,1759,1096,8029,1768,1101,639,3792,1113,3820,1203,4126,1277,5459,1410,6006,1412,53857,4003,7699,1410,20946,2160,60524,4138,29749,2541,65974,3655,27116,2810,7626,1249,4297,1027
6099,31/12/2009,308917,1164,8664,1295,122,196,0,294,512,502,1058,458,4729,1338,3416,1383,2344,845,11970,2049,2259,723,7361,1663,7001,1276,8881,1803,10572,1739,10186,1346,68585,3975,12782,2127,25134,2707,50813,3564,22100,2438,35327,2650,9904,1571,3434,853,1763,647
6101,31/12/2009,57725,902,1198,537,0,294,115,141,45,76,314,395,150,181,124,136,671,563,2205,716,112,144,1141,856,1143,636,1063,532,1918,595,1912,707,11078,1631,1508,693,4851,912,10606,1723,6117,1348,7872,1490,2205,733,1151,560,226,203
6107,31/12/2009,242731,1091,10233,1763,0,294,491,445,1307,657,2658,798,5872,1566,3296,822,3785,1177,14179,2102,2806,692,7235,1308,5779,1148,7588,1947,7927,1207,6019,1417,49338,3632,6129,1494,17072,1862,41363,3466,20264,2262,19372,2400,6717,1349,2202,616,1099,580
6111,31/12/2009,514880,568,8646,1686,0,294,0,294,941,518,1434,757,4272,1155,2744,1120,4756,1347,20865,2984,3083,1019,5861,1649,7345,1415,8371,1746,8603,1788,10195,1731,89383,4858,9214,1395,37321,3165,89717,4929,42666,3666,99825,4202,39457,2948,12453,1883,7728,1280
6113,31/12/2009,111133,702,2111,813,0,294,77,131,579,707,374,338,500,356,335,364,86,143,2525,982,914,568,1099,586,2146,835,1393,630,2622,908,2625,941,16863,2086,2138,669,6332,964,17109,2108,9051,1300,24031,1756,9179,1414,4785,910,4259,1124
6115,31/12/2009,43879,964,347,241,0,294,0,294,0,294,46,83,302,317,403,323,124,142,1355,938,387,270,868,525,675,340,2319,875,2116,830,1701,946,7625,1356,1465,592,3848,792,9601,1671,5013,1108,4079,791,894,446,672,402,39,70
6001,31/12/2010,1022948,540,20110,2383,105,122,259,193,1100,657,3158,1206,3938,1235,5197,1186,4886,1256,24814,3274,3074,1021,11682,1953,13766,2135,13779,2331,19407,3039,20071,2248,187470,8738,17195,2406,42874,3608,152843,6000,65248,4251,246174,7635,113240,5405,26283,2526,26275,2446
6007,31/12/2010,142604,824,1384,601,0,294,284,443,100,157,783,587,295,232,0,294,335,316,1232,680,245,190,2027,858,1880,759,3021,944,4231,1127,2666,787,30056,2467,5626,1399,14038,1850,29237,2677,13097,1591,21155,2192,6931,1164,2250,669,1731,652
6013,31/12/2010,704237,399,8019,1677,0,294,326,266,161,181,480,332,2923,926,1951,904,2184,897,16421,2998,3041,1140,5143,1439,8251,1731,8879,1746,9830,1634,11410,2145,123526,5701,12930,1659,43014,3785,116904,5622,57013,4401,173909,6302,66512,3901,19703,2110,11707,1456
6017,31/12/2010,126347,618,803,485,0,294,0,294,0,294,0,294,75,124,57,100,418,413,628,400,98,161,374,309,274,249,957,447,1790,909,1887,781,25042,2987,3840,1097,9892,1590,27908,2577,12254,2081,27630,2652,8754,1474,2299,639,1367,585
6019,31/12/2010,545988,446,22228,2535,0,294,166,204,1244,624,3491,1068,6612,1542,4870,1087,6286,1900,18937,2516,4389,1279,18789,2629,10415,1949,14830,2539,19923,2508,10619,1676,108857,5240,13704,2309,35156,2821,91137,5883,44844,3637,73702,4509,22792,2274,9171,1753,3826,936
6023,31/12/2010,90604,977,694,402,0,294,0,294,87,151,0,294,0,294,34,61,0,294,928,598,33,55,701,454,1433,900,1678,658,1547,670,1187,556,21456,2487,2212,702,7201,1203,21561,2413,7049,1146,16304,1952,4157,821,1527,445,815,433
6025,31/12/2010,104395,1013,4009,1090,0,294,21,37,200,240,1379,544,1097,564,1607,661,1331,661,5819,1093,1545,666,3024,1141,6018,1436,3342,1243,4946,964,4076,1066,19018,2263,3576,808,7726,1325,14387,1733,7471,1163,9107,1522,3851,1267,665,415,180,176
6029,31/12/2010,493204,781,14479,2163,78,91,336,234,856,456,3250,1093,7407,1478,3986,1155,4081,1235,25010,2654,4179,1284,11396,2035,16841,2150,13155,1908,22523,2805,14122,2277,107466,5095,18927,2130,34700,2942,84872,4803,31548,2962,48768,3395,17780,2127,4987,1084,2457,636
6031,31/12/2010,91789,888,3572,972,0,294,95,135,127,202,570,437,1364,562,1298,767,1151,660,3929,927,509,289,1692,655,2885,959,3820,974,4896,1021,2418,775,20616,2149,3999,1026,5807,1208,13302,1775,9723,1611,7205,1232,2345,687,466,289,0,294
6033,31/12/2010,44420,1182,576,505,0,294,0,294,0,294,212,262,127,227,136,184,0,294,493,434,91,109,350,329,661,497,1168,601,985,535,1118,638,12562,1727,981,578,4564,1296,9535,1685,3769,1075,4581,1311,1647,756,610,505,254,336
6037,31/12/2010,6363995,747,194518,7808,1521,525,3696,1176,14604,1928,36491,3992,66292,4949,52920,4564,58530,4020,327338,10167,49725,3909,103504,5726,180039,7017,107994,6292,156210,7112,187507,7623,1202066,17584,97405,4885,286701,7759,953954,17078,423949,10363,1208325,16316,415264,8441,152678,7324,82764,4694
6039,31/12/2010,93131,524,3981,1351,0,294,79,125,236,239,1199,861,795,453,613,483,1477,729,6437,1670,986,708,1598,676,3360,1191,3101,970,4396,1187,1883,708,18610,2423,2362,693,6894,1169,14068,2150,6675,1266,10712,1674,2458,886,977,468,234,269
6041,31/12/2010,186431,809,2122,1037,0,294,0,294,0,294,247,307,623,671,411,338,913,1084,2234,875,449,416,791,532,1564,749,1476,851,1929,595,3422,1369,19995,2133,3162,859,6733,1350,27227,3238,11975,1957,57495,3275,27177,2784,11630,1666,4856,1457
6045,31/12/2010,59194,1125,988,669,0,294,0,294,0,294,230,202,588,529,277,343,116,187,1074,612,250,245,1653,854,1113,576,1476,760,1050,601,622,435,13148,1953,2101,651,5294,1379,11172,1641,4852,1300,7779,1718,3731,904,1185,471,495,396
6047,31/12/2010,145685,855,6612,1353,0,294,0,294,620,385,1168,713,2946,964,2273,1418,1209,552,9530,1892,767,514,2476,699,3510,1011,4704,1239,4448,1061,5415,1235,34105,3051,4900,1303,9201,1668,25398,2600,8430,1376,12376,1908,2786,741,2110,875,701,429
6053,31/12/2010,258789,478,7929,1570,0,294,156,176,977,578,2660,759,5186,1486,2758,886,2842,822,20539,2367,1393,644,5480,1415,6780,1472,3966,1013,7716,1481,5450,1386,45466,3604,8745,1662,14020,2093,37554,3031,20228,2159,35897,3348,16876,2875,3664,841,2507,879
6055,31/12/2010,92599,841,1064,588,0,294,161,205,45,75,181,220,434,341,452,377,386,330,4274,1160,449,344,2050,939,1280,543,1820,567,1719,593,1482,572,17297,2004,1303,498,4739,1052,18800,2038,8834,1740,17289,1798,6105,1346,1970,563,465,325
6057,31/12/2010,72964,1220,302,233,0,294,0,294,102,170,0,294,180,296,0,294,45,93,0,294,230,347,492,415,199,200,624,486,1102,687,739,770,14477,1965,1795,694,7025,1469,15428,1870,7405,1175,16087,2155,4314,977,1803,648,615,405
6059,31/12/2010,1974096,459,38087,3089,181,182,541,262,2761,1105,5126,1397,11283,1983,7164,1797,12850,1976,68713,5960,9057,1638,21649,2696,48918,3993,25384,2878,31282,3166,48365,3492,320030,8803,31869,2809,100315,4687,319145,8322,149371,5113,480370,10114,161652,5858,51964,3221,28019,2757
6061,31/12/2010,237398,882,2218,1318,0,294,0,294,118,172,135,157,200,222,210,172,502,444,485,424,258,261,1332,634,2134,1002,1917,917,3019,1064,3575,944,46755,4086,4932,1043,16986,2084,49175,3815,24435,2052,54422,3431,17362,2142,4715,1052,2513,798
6065,31/12/2010,1349435,890,25869,2919,72,121,313,293,1911,587,5323,1238,11688,2177,6446,1374,10244,2078,46890,4242,6328,1409,20493,2372,39206,4089,27457,3143,39532,3864,44186,3521,301635,8674,37528,3435,97623,5058,250524,7886,102645,5123,179474,7174,66588,4141,16383,2173,11077,1620
6067,31/12/2010,914213,403,22740,3190,54,89,306,332,504,542,1257,833,5594,1943,2725,895,2666,881,14140,2062,4019,1157,9999,1898,10702,2335,15762,2103,23101,2851,24153,3100,169697,6909,27050,3051,74463,4424,173046,6827,84931,4607,165532,6459,55609,3897,16646,2244,9517,1768
6071,31/12/2010,1215236,879,30480,3516,139,175,211,180,1425,640,3780,1365,8505,1876,6146,1551,7950,1742,41837,4227,7628,1868,19915,3030,33204,3620,27348,2907,43653,3728,41564,3485,281494,10006,34868,3494,90768,4783,214965,7287,93215,5671,142781,6082,57833,3903,15656,2501,9871,1885
6073,31/12/2010,2010984,663,34069,3687,245,179,306,205,3036,1286,4117,1212,8698,1424,5177,1296,9060,1801,48728,4313,15752,2332,27643,3723,40316,4229,28593,3311,35065,3759,38472,3245,342462,10265,41174,3002,122374,6157,341594,10630,185747,8104,423183,10128,166132,5550,48626,3487,40415,2937
6075,31/12/2010,620010,671,17074,2521,216,208,454,364,1474,846,1678,792,3964,1267,1319,682,4134,935,11546,1934,2891,1173,7767,1465,7672,1914,9001,2102,5782,1570,12266,2338,80101,5482,7918,1666,18336,2452,78341,4930,32774,3471,194510,7292,76003,4264,31213,2964,13576,1789
6077,31/12/2010,413983,832,16570,2622,39,67,0,294,1079,694,981,565,2794,904,2551,946,2294,651,15885,2506,2536,1020,7829,1498,7682,1576,10411,1828,14810,2050,11650,1993,90602,5148,15820,1984,28696,2780,71657,4679,36685,2863,50225,3440,14311,1697,5616,1255,3260,836
6079,31/12/2010,180670,664,1507,635,0,294,0,294,45,81,105,182,625,441,541,430,254,161,4206,1820,229,153,1216,640,1163,643,3183,950,4532,1111,4002,1056,34699,3182,4710,912,11860,1758,35038,2948,17069,1811,32242,2735,14890,1932,4700,1066,3854,1081
6081,31/12/2010,504566,613,7485,1405,0,294,141,167,901,648,981,634,3085,1117,1398,634,1764,727,8708,2032,3345,1373,4646,1381,7925,2246,6638,1609,4068,1045,8607,1697,79316,4417,7187,1356,23906,2218,78919,5006,38455,3883,133339,4847,51916,3698,16613,1992,15223,1816
6083,31/12/2010,263268,642,6744,1739,0,294,300,360,590,478,1614,771,3569,1181,1691,740,844,427,12547,2474,1796,805,3579,961,5723,1427,3994,1218,4716,968,6045,1229,42891,3531,6159,1312,19272,2059,42481,3779,20446,2420,45946,3217,21038,2163,5685,1194,5598,1044
6085,31/12/2010,1197185,864,22934,2820,401,299,140,139,723,474,3135,1388,4580,1090,4063,1015,6912,1507,28393,3574,5375,1510,11292,1954,15274,2631,17431,2928,17893,2543,23717,2571,173646,6997,17420,1969,53170,3743,155842,6310,83320,4493,309901,7750,173029,6864,33280,3162,35314,2758
6087,31/12/2010,170880,1096,3039,1003,0,294,0,294,171,211,1418,739,2379,889,887,507,1147,738,6678,2329,175,294,1445,507,2091,738,3118,1231,1865,816,2699,757,23976,3798,4199,2650,10581,1505,34347,3426,13058,1630,36462,2438,14972,1760,3159,788,3014,850
6089,31/12/2010,120923,738,848,470,0,294,0,294,0,294,169,270,0,294,180,200,255,261,232,227,67,109,1138,539,2125,863,2902,844,3255,930,3602,1550,25845,2526,4045,1076,14217,1861,24476,2540,14116,1537,15754,2105,5794,1305,1293,475,610,269
6095,31/12/2010,272421,345,4544,1215,0,294,25,60,0,294,81,140,512,331,900,666,1386,853,4315,1226,1237,645,3109,1101,4143,1687,4706,1253,5272,1134,6972,1444,59465,4126,8663,1858,20662,1944,56203,3430,28101,2423,41585,2925,12506,1602,5357,1323,2677,837
6097,31/12/2010,332689,603,4697,1868,0,294,99,114,0,294,670,457,1490,748,1368,811,1683,750,9295,1843,518,297,2825,769,4207,1120,3615,1114,5904,1423,8624,1357,58424,3507,7731,1681,25785,2370,62907,3916,25971,2565,68932,4092,25617,2436,8687,1472,3640,969
6099,31/12/2010,313371,862,7451,1154,216,180,176,163,836,670,1724,749,2903,832,1995,935,2862,1061,14553,2564,1086,551,6097,1226,6172,1485,7696,1553,11290,1872,10537,1815,77498,4080,11819,1591,27367,2424,49466,4087,21331,2160,33236,2526,11540,1844,4272,972,1248,539
6101,31/12/2010,59150,859,1220,383,46,78,0,294,0,294,185,153,599,547,130,240,425,259,2009,949,245,219,1873,770,2225,866,1098,553,2164,674,878,382,12192,1567,1558,634,4569,1229,9977,1833,5768,1391,8549,1526,2405,874,752,328,283,187
6107,31/12/2010,252444,544,13193,2057,0,294,133,167,1137,597,2456,824,5111,1306,2684,743,2913,1129,14042,2134,2844,982,7202,1184,6647,1298,6771,1158,9726,1626,8341,1662,52208,3545,6088,1207,15829,1895,39316,3527,21959,2259,22553,1897,7856,1407,2434,750,1001,460
6111,31/12/2010,530768,1254,10642,1973,0,294,144,229,906,601,2057,1107,4080,1336,2873,1063,2755,855,21521,2689,2235,840,4527,1081,13401,2728,8969,1955,10664,1641,10480,1762,90731,4961,8936,1637,34608,2533,94841,4525,42827,3583,103029,4344,41759,3062,12006,1419,6777,1295
6113,31/12/2010,117127,746,2866,838,0,294,64,109,0,294,626,423,475,355,333,352,647,429,2174,800,321,278,2312,932,1813,771,1914,803,2525,941,2185,805,19738,2153,2704,955,5745,1129,18123,2408,8467,1288,23638,2385,9721,1302,4974,977,5762,1213
6115,31/12/2010,44686,936,1034,460,0,294,0,294,0,294,80,128,191,189,109,123,17,28,1294,703,115,141,1060,746,1573,702,1147,515,1900,669,1246,539,9687,1345,2689,932,3468,866,7970,1493,4980,1102,4948,1107,847,405,331,263,0,294
6001,31/12/2011,1039030,622,24655,2849,73,101,140,136,671,416,2112,735,3764,1134,4129,1184,6283,2036,23717,3063,4932,1568,10371,1888,18363,3175,11577,1919,14262,1993,19680,2117,191329,7947,15488,2026,46924,3500,144194,6316,68801,3906,250311,7813,120278,5101,27187,2148,29789,2630
6007,31/12/2011,140947,747,1856,784,0,208,0,208,147,160,312,269,226,199,357,290,448,366,1177,459,396,302,1504,737,1430,700,2419,799,4441,1288,2727,764,27068,2540,4247,1148,16023,2129,28628,3291,13334,1972,22383,2577,7084,1384,2770,1052,1970,885
6013,31/12/2011,716292,633,10192,2240,0,208,270,180,698,614,1482,777,1974,872,1966,854,2255,879,13084,2636,3486,1424,6279,1562,9550,2376,10802,2146,8833,1691,11209,2288,124418,6189,16440,2776,45494,3843,115707,6134,52962,4276,172974,7866,70384,5220,22577,3170,13256,1981
6017,31/12/2011,126849,949,930,586,0,208,0,208,0,208,134,157,166,212,560,613,0,208,1368,733,485,468,716,380,908,555,2006,908,1616,942,1472,502,25790,2624,3132,982,11290,2100,26815,2969,12200,1666,26353,2658,7361,1510,2930,813,617,363
6019,31/12/2011,555181,1010,28251,3433,622,411,271,208,2023,742,4666,1296,7080,1513,4361,1072,4795,1584,23014,2540,3669,1087,13391,2100,13387,1768,15237,2885,16885,2713,15621,2227,116210,5544,14623,1844,34794,3251,92526,5690,39975,3989,70290,4463,22133,2594,8048,1522,3309,981
6023,31/12/2011,90796,936,426,297,0,208,0,208,0,208,0,208,207,195,0,208,16,29,469,433,274,231,1663,797,1232,577,2075,709,1753,743,1808,739,22338,2843,3712,1171,6206,1119,15411,2099,8315,1599,16958,2091,4996,1101,1114,379,1823,754
6025,31/12/2011,105588,638,3715,1112,31,51,0,208,509,398,1628,682,1365,569,1262,689,1225,569,7331,1338,1365,695,4222,1246,4979,1124,2513,685,3269,802,2917,785,20360,2109,2412,640,6157,1251,19085,2153,7173,1443,9348,1307,3492,917,1098,483,132,123
6029,31/12/2011,499760,1287,12380,2089,0,208,136,142,849,383,2702,890,6899,1694,4625,1165,4141,1136,23094,2549,2797,734,10292,1778,13704,2676,14418,2186,22855,2723,17165,2193,115304,5911,17981,1881,32910,3261,84844,5083,38658,3212,48730,3496,17522,2386,5356,1209,2398,636
6031,31/12/2011,93661,964,2077,514,0,208,0,208,578,305,917,470,1119,426,605,453,1218,658,3314,959,1453,742,2996,878,2599,853,3326,910,5139,984,2245,506,17397,1958,4403,832,5974,1106,16884,1960,7095,1144,10604,1716,2381,818,1269,682,68,99
6033,31/12/2011,46437,845,199,225,0,208,0,208,0,208,220,323,82,111,272,327,0,208,435,436,39,72,468,362,364,325,1089,518,2098,784,643,360,11019,1728,1661,623,5141,1388,10874,1382,4277,1238,6009,1545,948,448,190,241,409,349
6037,31/12/2011,6443949,*****,196410,7051,1019,412,2955,894,16107,2270,34688,3591,64221,4298,43677,3394,61404,4993,317239,11035,51713,3515,96841,5453,186396,7839,109750,5065,152494,8070,194212,7701,1232845,21130,104097,5252,282382,7982,967269,15462,442295,9309,1232312,18083,424441,9424,151225,6578,77957,4727
6039,31/12/2011,93575,943,4376,1268,0,208,276,367,215,220,1623,641,1498,915,1364,727,1035,604,4706,1310,819,442,2288,796,2493,827,2925,890,4177,1090,2848,950,17539,2129,3945,1204,4997,1307,16410,2294,8304,1871,8204,1362,2265,761,911,580,357,325
6041,31/12/2011,187431,1034,1486,1184,0,208,0,208,0,208,395,430,1159,1017,264,366,109,129,1767,939,745,534,755,439,837,551,977,513,1122,517,3583,1391,22212,2658,3790,1076,9209,1633,28063,3593,12324,2074,58536,3549,25768,2739,9029,1417,5301,1526
6045,31/12/2011,60498,729,986,591,0,208,0,208,78,103,28,50,364,466,48,80,83,135,1117,491,482,537,314,235,588,367,1213,467,999,552,1916,784,13681,1800,1831,776,6539,1514,12661,1683,4745,1171,9240,1405,2195,731,1089,478,301,399
6047,31/12/2011,146468,834,7378,1289,55,89,0,208,996,606,948,396,3173,1035,1846,760,2833,1276,11486,2123,1257,569,4084,1156,4502,1291,3916,957,4075,1189,4473,1120,27919,2421,4707,1221,10187,1432,23764,2467,11436,1812,11466,1616,3458,885,2346,813,163,129
6053,31/12/2011,262123,540,8330,1665,138,219,0,208,914,591,3135,914,5800,1333,3829,1079,3228,974,22337,2639,2534,827,4949,1291,7982,1883,5597,1145,6961,1402,5829,1282,43886,3365,9170,1669,14582,2112,33942,2896,19096,2160,37613,2702,13810,1640,4540,990,3921,986
6055,31/12/2011,94403,490,2461,1103,0,208,296,441,249,197,368,300,1241,615,560,389,1082,575,3279,1332,605,615,631,598,1497,623,2162,1247,1431,562,1721,639,16268,1851,1547,596,5141,1074,12718,1786,8917,1616,20159,2234,7695,1514,3080,892,1295,666
6057,31/12/2011,74068,606,431,337,0,208,0,208,0,208,0,208,0,208,0,208,0,208,141,187,0,208,754,848,192,199,719,545,939,505,409,265,14103,2210,1527,737,5635,1364,17618,1983,7066,1292,15475,2304,6112,1080,1938,765,1009,453
6059,31/12/2011,2008772,531,42385,3402,600,374,1168,702,2098,627,4949,946,13924,2015,7240,1502,10527,2087,61402,4613,12045,2411,18772,2541,39346,4236,25662,2659,28105,2808,53812,4155,336221,8619,30884,2937,100239,5252,322856,9153,160190,7032,481491,10550,169244,5890,53604,4063,32008,3154
6061,31/12/2011,244082,828,1404,889,0,208,38,64,0,208,27,49,175,238,383,407,389,357,1527,826,567,398,1085,733,793,357,1207,588,3363,1170,3178,1009,37503,3379,6362,1759,20472,3403,48926,4815,26959,3150,60323,4917,20133,3140,5281,1388,3987,1491
6065,31/12/2011,1380097,408,26682,3587,100,119,774,541,2192,1057,4437,1402,10668,2059,7169,1552,6304,1460,46126,4758,9898,2350,17082,2448,39520,4751,28183,3756,40098,4185,43631,3952,315910,12232,41626,3822,104129,6746,253943,10895,100559,6826,178312,9755,72236,6528,18521,2533,11997,2129
6067,31/12/2011,929533,530,24026,2929,227,229,0,208,407,395,1771,593,3334,1169,2108,718,3753,1002,16273,3525,3276,990,9224,1967,10014,1816,14809,2212,21288,2664,20828,2370,176681,7546,27538,3187,70471,4157,180121,8250,87352,5167,166434,7008,56313,4775,22607,2420,10678,2660
6071,31/12/2011,1236930,639,29359,3937,519,463,229,208,1711,769,5298,1612,9516,2410,7580,2249,4912,1810,42679,5270,7150,1695,17641,3055,28726,3365,24975,3345,45623,4316,42698,4962,292479,11722,38703,4561,88989,7336,227418,12646,95127,6682,146716,8126,57848,5298,13548,2101,7486,1808
6073,31/12/2011,2045141,900,37042,3677,193,200,1056,603,2025,911,4452,1251,8545,1618,6913,1389,9498,1665,48645,4416,11231,2233,27542,3605,45024,3839,30112,3859,35932,3304,40739,2949,354986,10415,39333,2858,118656,6727,342703,9831,190565,8450,430670,8425,165045,7277,55247,4301,38987,3919
6075,31/12/2011,630383,697,15680,2159,47,85,256,319,894,504,1786,861,3108,910,2305,967,4236,1370,13785,2905,4034,1183,7306,1717,7678,1625,7734,1930,5258,1272,14773,2387,76502,5321,8789,1826,19430,2359,75566,5634,32858,3478,202337,7985,83899,4955,28033,3036,14089,1970
6077,31/12/2011,422178,543,15703,2721,0,208,76,92,307,328,784,392,3079,1211,1484,693,2373,765,16281,3569,2425,826,7318,1871,8336,1737,10035,2159,12488,1731,15378,2437,97248,5176,14475,2035,28222,2771,73998,4480,35396,3088,52279,4570,16587,2303,4196,1143,3710,1078
6079,31/12/2011,180251,1349,2449,1033,0,208,0,208,0,208,533,403,422,272,301,201,368,434,3038,1124,358,278,915,423,1415,681,1866,759,4401,1210,2630,796,33259,3105,5087,1279,14851,2004,37220,3481,15823,2122,33827,3080,14389,1850,4185,1036,2914,830
6081,31/12/2011,511099,544,8612,1410,0,208,44,72,550,458,1060,576,3798,1301,1513,578,2589,979,8639,1621,1154,581,4249,1098,6622,1441,4961,1207,6693,1646,10578,1824,82480,5520,10099,1657,24483,2833,75803,4710,36869,3467,134720,5389,54018,3474,17477,1455,14088,1854
6083,31/12/2011,261301,553,4951,1121,102,170,0,208,556,417,1718,720,2697,878,1683,718,1126,481,14291,2049,1538,692,3583,1072,9352,2004,3594,975,5046,1181,4400,815,37639,3079,6241,1174,14367,1601,42389,3281,21450,2226,50265,3471,21702,2270,6662,1170,5949,1179
6085,31/12/2011,1218703,530,21889,2349,244,222,271,320,861,367,2302,896,5375,1497,4317,1136,5270,1388,25215,2761,4113,1185,11035,2161,20463,2952,15488,2325,15201,2254,23758,2507,185447,7308,18993,2181,51521,3511,162960,6844,84436,5065,312538,9212,172661,6690,31777,2994,42568,3324
6087,31/12/2011,170925,758,2116,858,81,135,0,208,229,291,567,315,1260,639,718,435,2161,1111,6227,1754,480,381,1915,740,3403,1277,2829,1462,2360,842,2312,753,23287,2458,3476,1124,7993,1254,31764,2619,13903,1871,39429,2845,15812,1876,4577,976,4026,955
6089,31/12/2011,122600,1154,877,470,0,208,0,208,0,208,106,169,377,452,123,204,10,22,824,556,174,128,1132,497,1041,500,2179,915,3903,1524,2682,866,30190,2756,4109,1025,11919,1631,25910,2660,14326,1999,15629,2120,3662,962,2646,680,781,413
6095,31/12/2011,275019,468,3185,1016,40,66,0,208,205,191,504,624,677,540,800,636,427,340,5689,1478,832,425,3225,995,3608,1172,3498,918,4956,1194,6151,1274,59521,3984,8132,1616,24638,2549,55570,3494,24906,2690,49571,3803,12647,1953,3974,956,2263,912
6097,31/12/2011,336404,1328,5400,1596,0,208,116,183,58,101,881,637,1497,701,818,468,659,705,8404,2120,1070,545,2560,1075,3425,1192,4434,1189,5526,1402,7549,1892,63707,4518,8569,1501,23220,2435,60665,3709,29582,2875,70980,4212,25099,2685,8667,1409,3518,1075
6099,31/12/2011,317403,596,9933,1436,218,267,330,268,599,366,1015,544,3014,1096,2740,1127,2288,776,12056,2010,2107,938,7161,1639,6556,1363,7363,1416,10796,1773,10373,2117,80642,4828,10666,1813,22651,2035,52708,3931,21470,2400,36888,3603,10041,1677,4961,1435,827,425
6101,31/12/2011,59260,504,1818,705,0,208,52,85,0,208,877,540,462,340,44,62,448,328,1490,555,268,190,1184,823,1012,471,2778,840,2186,627,1444,609,11998,1680,2347,753,6157,1408,9740,1510,5690,1194,6152,1280,2298,1162,651,359,164,198
6107,31/12/2011,255641,847,12304,2041,0,208,0,208,1114,432,2246,1007,5521,1171,3829,1619,2378,715,13414,1895,3186,1129,5598,1260,6848,1592,8145,1880,7995,1717,5872,1129,54690,4691,7998,1380,17327,1789,47932,3482,16548,2414,22490,2278,6382,1102,3047,1064,777,358
6111,31/12/2011,538930,660,9701,1829,147,240,124,147,1501,538,2770,1003,4783,1198,3784,1072,2360,794,20009,3043,1391,521,5289,1280,10575,2053,7518,1437,11266,2125,10672,1787,90159,5015,11456,1788,35294,2660,94101,4578,47580,3735,106818,3875,43592,2620,12572,1953,5468,1219
6113,31/12/2011,115369,807,2497,756,0,208,0,208,116,146,471,465,1190,538,878,658,978,671,2049,873,355,274,1275,735,1728,745,1545,720,1960,657,3031,1019,20624,2539,1964,630,6564,1392,17398,2461,7750,1683,21456,2248,10575,1369,6141,1178,4824,1245
6115,31/12/2011,43923,680,1516,700,0,208,0,208,266,390,23,43,376,365,394,315,101,145,963,461,154,197,686,415,696,460,1089,574,1378,497,1147,399,8410,1468,2356,789,4795,1057,10176,1491,4127,906,3705,1051,1196,503,68,83,301,241
6001,31/12/2012,1060024,317,24139,2772,227,186,373,312,815,470,2257,804,4050,1030,2942,871,5019,1439,21745,2707,4711,1199,10801,1458,14229,2279,12460,2207,13952,1817,22484,2335,176433,6883,17396,1979,48711,3182,152714,6750,75541,4168,269210,8880,123307,5752,28753,2347,27755,2433
6007,31/12/2012,142262,630,3365,1506,0,197,11,19,165,202,87,187,149,161,223,261,155,203,1068,531,359,297,1354,552,1568,635,1896,621,3586,791,4434,1266,27845,2716,4183,877,14014,1957,29906,1948,13643,1816,22877,2073,7207,1294,2642,953,1525,608
6013,31/12/2012,728065,472,9033,1564,247,219,0,197,1018,673,1555,672,3667,1321,2755,1309,3390,1060,13871,2443,2805,812,4976,1523,9131,1596,7652,1354,10169,1862,13283,2088,122765,5508,11404,1720,42212,3192,118107,5546,63435,4092,180147,5870,67195,4401,23523,2284,15725,2063
6017,31/12/2012,126734,699,805,496,0,197,0,197,0,197,0,197,417,342,55,118,0,197,838,507,212,226,729,321,501,415,1713,920,1950,749,1510,554,23455,2354,2401,789,11814,1746,25208,2325,14541,1921,26626,2406,8915,1498,3169,853,1875,816
6019,31/12/2012,560633,327,28092,2609,139,224,253,221,974,547,4905,1416,6704,1294,4433,1147,6242,1393,22388,2494,4078,1068,14386,1790,17643,2496,12395,1644,18154,1910,14135,1942,109130,5382,16706,1837,37844,3236,95001,5410,43171,3402,71549,4411,20212,2386,8796,1446,3303,886
