GeoID,Date,Estimate; Total:,Margin of Error; Total:,Estimate; Worked in state of residence:,Margin of Error; Worked in state of residence:,Estimate; Worked in state of residence: - Worked in county of residence,Margin of Error; Worked in state of residence: - Worked in county of residence,Estimate; Worked in state of residence: - Worked outside county of residence,Margin of Error; Worked in state of residence: - Worked outside county of residence,Estimate; Worked outside state of residence,Margin of Error; Worked outside state of residence,"Estimate; Car, truck, or van - drove alone:","Margin of Error; Car, truck, or van - drove alone:","Estimate; Car, truck, or van - drove alone: - Worked in state of residence:","Margin of Error; Car, truck, or van - drove alone: - Worked in state of residence:","Estimate; Car, truck, or van - drove alone: - Worked in state of residence: - Worked in county of residence","Margin of Error; Car, truck, or van - drove alone: - Worked in state of residence: - Worked in county of residence","Estimate; Car, truck, or van - drove alone: - Worked in state of residence: - Worked outside county of residence","Margin of Error; Car, truck, or van - drove alone: - Worked in state of residence: - Worked outside county of residence","Estimate; Car, truck, or van - drove alone: - Worked outside state of residence","Margin of Error; Car, truck, or van - drove alone: - Worked outside state of residence","Estimate; Car, truck, or van - carpooled:","Margin of Error; Car, truck, or van - carpooled:","Estimate; Car, truck, or van - carpooled: - Worked in state of residence:","Margin of Error; Car, truck, or van - carpooled: - Worked in state of residence:","Estimate; Car, truck, or van - carpooled: - Worked in state of residence: - Worked in county of residence","Margin of Error; Car, truck, or van - carpooled: - Worked in state of residence: - Worked in county of residence","Estimate; Car, truck, or van - carpooled: - Worked in state of residence: - Worked outside county of residence","Margin of Error; Car, truck, or van - carpooled: - Worked in state of residence: - Worked outside county of residence","Estimate; Car, truck, or van - carpooled: - Worked outside state of residence","Margin of Error; Car, truck, or van - carpooled: - Worked outside state of residence",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Worked in state of residence:,Margin of Error; Public transportation (excluding taxicab): - Worked in state of residence:,Estimate; Public transportation (excluding taxicab): - Worked in state of residence: - Worked in county of residence,Margin of Error; Public transportation (excluding taxicab): - Worked in state of residence: - Worked in county of residence,Estimate; Public transportation (excluding taxicab): - Worked in state of residence: - Worked outside county of residence,Margin of Error; Public transportation (excluding taxicab): - Worked in state of residence: - Worked outside county of residence,Estimate; Public transportation (excluding taxicab): - Worked outside state of residence,Margin of Error; Public transportation (excluding taxicab): - Worked outside state of residence,Estimate; Walked:,Margin of Error; Walked:,Estimate; Walked: - Worked in state of residence:,Margin of Error; Walked: - Worked in state of residence:,Estimate; Walked: - Worked in state of residence: - Worked in county of residence,Margin of Error; Walked: - Worked in state of residence: - Worked in county of residence,Estimate; Walked: - Worked in state of residence: - Worked outside county of residence,Margin of Error; Walked: - Worked in state of residence: - Worked outside county of residence,Estimate; Walked: - Worked outside state of residence,Margin of Error; Walked: - Worked outside state of residence,"Estimate; Taxicab, motorcycle, bicycle, or other means:","Margin of Error; Taxicab, motorcycle, bicycle, or other means:","Estimate; Taxicab, motorcycle, bicycle, or other means: - Worked in state of residence:","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Worked in state of residence:","Estimate; Taxicab, motorcycle, bicycle, or other means: - Worked in state of residence: - Worked in county of residence","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Worked in state of residence: - Worked in county of residence","Estimate; Taxicab, motorcycle, bicycle, or other means: - Worked in state of residence: - Worked outside county of residence","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Worked in state of residence: - Worked outside county of residence","Estimate; Taxicab, motorcycle, bicycle, or other means: - Worked outside state of residence","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Worked outside state of residence",Estimate; Worked at home,Margin of Error; Worked at home
6099,31/12/2005,194800,5357,194111,5445,148409,5522,45702,4467,689,476,156594,5889,156068,5888,120039,5674,36029,3868,526,460,22044,3183,21980,3206,14182,2204,7798,2703,64,105,828,377,828,377,543,360,285,200,0,293,4915,1722,4915,1722,4617,1715,298,228,0,293,3398,1024,3299,1003,2007,744,1292,739,99,119,7021,1457
6107,31/12/2005,148881,3956,148640,3952,130550,4388,18090,2229,241,175,111165,4026,111045,4023,97888,3963,13157,1809,120,126,25361,2716,25311,2704,21218,2524,4093,1110,50,84,819,543,819,543,780,534,39,63,0,293,3688,1034,3617,1012,3343,958,274,266,71,117,3422,1100,3422,1100,2895,941,527,568,0,293,4426,914
6111,31/12/2005,364396,5890,362417,5851,277548,6614,84869,5381,1979,744,292174,6816,291163,6788,217966,6744,73197,5012,1011,535,40854,4045,40665,4012,31761,3214,8904,2096,189,185,4103,1024,4057,1015,2529,796,1528,622,46,76,4950,1468,4838,1475,4609,1423,229,298,112,139,5166,1101,4545,1037,3534,854,1011,620,621,409,17149,2233
6113,31/12/2005,81805,2761,80969,2920,52513,3032,28456,2226,836,595,58104,3071,57435,3238,35237,2883,22198,2068,669,556,10015,1960,10015,1960,5113,1475,4902,1387,0,293,2380,977,2380,977,1587,895,793,388,0,293,1824,595,1774,593,1723,596,51,92,50,80,7054,1532,6937,1488,6425,1380,512,361,117,190,2428,668
6115,31/12/2005,24381,2321,24381,2321,11620,1849,12761,1882,0,293,16765,1905,16765,1905,8242,1573,8523,1588,0,293,4855,1505,4855,1505,1758,892,3097,1155,0,293,969,603,969,603,85,148,884,613,0,293,672,483,672,483,672,483,0,293,0,293,343,203,343,203,86,99,257,204,0,293,777,418
6001,31/12/2006,683282,9387,680519,9480,468014,9733,212505,6364,2763,667,452578,8809,451108,8853,317463,8452,133645,4960,1470,518,72510,5285,72418,5308,41370,4108,31048,3279,92,152,76217,5268,75937,5311,32562,3473,43375,3626,280,202,24143,2867,24094,2867,23274,2825,820,485,49,82,22606,2888,21734,2845,18117,2794,3617,804,872,436,35228,3034
6007,31/12/2006,89624,3398,89435,3400,81336,3692,8099,1639,189,173,68689,3493,68578,3495,62745,3435,5833,1171,111,122,9096,1463,9090,1459,7236,1458,1854,823,6,11,1788,780,1788,780,1788,780,0,289,0,289,3137,1075,3137,1075,3000,1064,137,175,0,289,2413,765,2341,779,2066,690,275,374,72,119,4501,1188
6013,31/12/2006,482815,6142,479943,6094,289800,7159,190143,6210,2872,834,340601,7030,338914,6954,215344,6349,123570,4921,1687,712,56583,4864,56172,4840,28075,3518,28097,3711,411,295,43812,4008,43737,3994,8946,1837,34791,3700,75,126,8033,1724,7707,1729,7144,1674,563,310,326,249,8522,1614,8149,1529,5027,1043,3122,952,373,268,25264,2746
6017,31/12/2006,88291,3115,82685,3394,48091,3457,34594,3373,5606,1473,66663,3244,63037,3446,34476,3068,28561,3003,3626,1328,10724,1820,10082,1766,5629,1385,4453,1279,642,453,1031,482,891,437,402,367,489,314,140,223,2252,890,1366,560,1087,543,279,301,886,628,1794,954,1482,737,670,472,812,570,312,330,5827,1168
6019,31/12/2006,357506,7551,356574,7480,327990,7833,28584,2644,932,492,271647,7492,270935,7447,249055,7534,21880,2333,712,433,50869,5544,50770,5564,44922,5305,5848,1366,99,167,5500,1309,5500,1309,5170,1293,330,319,0,289,7285,1352,7178,1355,7028,1367,150,177,107,121,10486,2319,10472,2320,10096,2295,376,290,14,24,11719,1721
6023,31/12/2006,58752,2320,58548,2306,57668,2266,880,447,204,175,43318,2345,43170,2350,42549,2412,621,388,148,152,6728,1615,6728,1615,6627,1590,101,89,0,289,270,228,246,224,246,224,0,289,24,41,3431,1017,3431,1017,3273,986,158,194,0,289,1232,443,1200,440,1200,440,0,289,32,53,3773,735
6025,31/12/2006,55866,2269,54650,2335,52335,2476,2315,752,1216,474,46090,2595,45061,2647,43131,2671,1930,703,1029,461,5005,1331,4818,1302,4433,1279,385,304,187,186,224,199,224,199,224,199,0,289,0,289,1205,434,1205,434,1205,434,0,289,0,289,594,645,594,645,594,645,0,289,0,289,2748,873
6029,31/12/2006,307806,6650,306918,6753,284238,6942,22680,2909,888,437,223837,6377,223113,6434,207274,5801,15839,2359,724,413,59140,4566,59094,4578,53355,4404,5739,1972,46,76,3511,1093,3511,1093,3286,1078,225,217,0,289,3874,1320,3874,1320,3816,1291,58,98,0,289,8899,1923,8781,1920,7962,1963,819,591,118,135,8545,1518
6031,31/12/2006,55766,2516,55373,2531,43834,2536,11539,1994,393,446,40138,3083,40018,3087,31847,2670,8171,1625,120,206,10961,2073,10688,2061,7366,1518,3322,1616,273,409,748,468,748,468,748,468,0,289,0,289,1178,553,1178,553,1178,553,0,289,0,289,724,371,724,371,678,351,46,63,0,289,2017,666
6037,31/12/2006,4423725,22386,4406317,22321,4070349,25788,335968,11629,17408,2206,3184454,23129,3175897,23120,2901251,25482,274646,8971,8557,1857,528190,13211,525513,13253,476102,12734,49411,4278,2677,848,310711,11999,309736,12128,305451,11918,4285,1283,975,445,125236,7065,123921,7083,122135,7171,1786,726,1315,516,89169,5873,85285,5672,79445,5629,5840,1625,3884,1175,185965,7289
6041,31/12/2006,123936,3111,123341,3147,83136,3562,40205,2948,595,341,80844,3681,80561,3664,53592,3299,26969,2594,283,216,15227,2889,15052,2879,10181,2524,4871,1340,175,214,9784,1858,9730,1866,2792,1160,6938,1252,54,91,3331,1002,3331,1002,3131,935,200,211,0,289,2920,977,2837,967,1610,714,1227,647,83,140,11830,1468
6047,31/12/2006,93355,3515,93075,3525,70988,3760,22087,2789,280,236,66415,3997,66198,3984,48356,3518,17842,2742,217,215,15338,3084,15275,3080,11409,2815,3866,1367,63,103,699,528,699,528,663,508,36,61,0,289,3428,1026,3428,1026,3302,1032,126,218,0,289,2572,919,2572,919,2355,909,217,199,0,289,4903,1136
6053,31/12/2006,174077,4674,173413,4760,155452,5097,17961,2673,664,334,118895,4786,118790,4768,105396,4707,13394,2210,105,175,31007,3850,30955,3831,26744,3557,4211,1421,52,85,5179,1447,5179,1447,5064,1448,115,120,0,289,8939,1459,8755,1476,8697,1467,58,97,184,168,2078,622,1755,569,1572,554,183,176,323,240,7979,1593
6055,31/12/2006,63217,2029,62994,2062,50961,2160,12033,1684,223,232,46552,2178,46378,2161,36128,2163,10250,1678,174,217,7481,1785,7481,1785,6128,1685,1353,553,0,289,807,444,758,426,328,306,430,318,49,85,2529,916,2529,916,2529,916,0,289,0,289,1438,779,1438,779,1438,779,0,289,0,289,4410,1290
6057,31/12/2006,47801,2648,47287,2647,35514,2462,11773,2088,514,300,34435,2592,34014,2541,24859,2298,9155,1716,421,290,6268,1731,6268,1731,4040,1134,2228,973,0,289,412,355,412,355,255,257,157,256,0,289,1864,979,1771,969,1733,980,38,63,93,115,952,561,952,561,757,483,195,188,0,289,3870,939
6059,31/12/2006,1427968,11901,1422505,12175,1196738,14496,225767,8406,5463,1478,1109328,12734,1106133,12791,918915,13213,187218,7409,3195,918,161461,7204,161156,7184,130257,7003,30899,3721,305,207,47915,4530,47626,4520,42736,4368,4890,1086,289,185,28024,2915,27709,2947,27035,2948,674,357,315,204,21053,2896,19694,2859,17608,2860,2086,742,1359,762,60187,4313
6061,31/12/2006,156232,3775,154143,3790,97090,4185,57053,3744,2089,767,121811,4570,120388,4585,72688,4255,47700,3428,1423,646,16246,2371,16010,2333,8349,1786,7661,1584,236,198,1187,609,1097,566,458,425,639,425,90,152,2393,1144,2261,1131,2021,1114,240,230,132,169,2700,1055,2492,957,1679,822,813,558,208,189,11895,1849
6065,31/12/2006,858612,9532,853459,9486,613905,11012,239554,8631,5153,1143,634053,10602,631254,10455,450502,11255,180752,6486,2799,909,143757,8105,142651,8114,91437,6269,51214,5087,1106,642,12324,1892,12312,1888,8050,1585,4262,968,12,19,16171,2516,15962,2535,15279,2528,683,348,209,176,12961,2021,11934,1954,9291,1829,2643,819,1027,482,39346,3270
6067,31/12/2006,609851,8050,607038,8109,506052,8683,100986,5184,2813,984,457781,8940,456414,8891,372765,9325,83649,4478,1367,707,81675,5535,81501,5507,67139,5140,14362,2423,174,165,19231,2247,19231,2247,18155,2134,1076,562,0,289,12341,2520,12136,2518,11912,2494,224,188,205,157,11856,1739,10789,1677,9114,1512,1675,685,1067,680,26967,2965
6071,31/12/2006,835775,9865,831950,10023,588784,9589,243166,8173,3825,1093,647207,11239,644939,11316,452711,10623,192228,7561,2268,948,118459,7050,117852,7071,73867,5060,43985,4709,607,379,12247,2033,12128,2043,7966,1785,4162,958,119,193,13495,2346,13336,2359,12812,2364,524,340,159,167,12567,2389,11895,2363,9628,2335,2267,695,672,407,31800,3084
6073,31/12/2006,1391079,10398,1380284,10549,1335982,10366,44302,3719,10795,1613,1040875,12878,1034647,12781,999346,12388,35301,3388,6228,1173,149923,7745,148697,7729,142102,7718,6595,1378,1226,565,43076,3679,42934,3671,41865,3635,1069,536,142,135,37870,3313,37039,3329,36636,3355,403,278,831,504,28469,2863,26101,2553,25167,2475,934,562,2368,658,90866,4675
6075,31/12/2006,394646,6090,392162,6074,298254,7278,93908,4661,2484,791,159722,6159,158866,6225,92746,4513,66120,4392,856,426,30459,3346,29892,3266,19602,2775,10290,1798,567,442,119532,5977,119476,5965,105562,5674,13914,1677,56,93,37943,3584,37554,3542,36272,3507,1282,744,389,282,17158,2118,16542,2014,14240,2009,2302,704,616,368,29832,3109
6077,31/12/2006,275923,6223,274979,6314,203777,5996,71202,5359,944,541,212942,6592,212255,6664,158516,6018,53739,4937,687,447,41894,3909,41894,3909,27029,3355,14865,2202,0,289,3444,1387,3444,1387,1440,985,2004,845,0,289,4714,1094,4590,1079,4525,1073,65,76,124,210,3357,967,3224,940,2695,901,529,333,133,173,9572,1803
6079,31/12/2006,119290,2745,119173,2752,105673,2971,13500,1986,117,142,87278,3387,87200,3369,76437,3238,10763,1839,78,128,16457,2047,16457,2047,13770,2008,2687,931,0,289,1367,459,1367,459,1367,459,0,289,0,289,4101,1132,4101,1132,4101,1132,0,289,0,289,4830,1527,4791,1531,4741,1534,50,84,39,65,5257,1083
6081,31/12/2006,343371,5499,341785,5619,202738,6391,139047,6077,1586,635,246192,6467,245508,6534,144864,5596,100644,5233,684,403,38045,3793,37911,3789,21416,3348,16495,2206,134,131,26740,3165,26684,3179,7281,2068,19403,2481,56,92,9309,2314,9127,2279,8600,2216,527,282,182,232,7218,1642,6688,1626,4710,1421,1978,665,530,355,15867,2327
6083,31/12/2006,181196,4409,180567,4361,167852,4928,12715,2126,629,445,121773,4474,121310,4459,112312,4676,8998,1637,463,424,27369,3546,27369,3546,24229,3642,3140,1286,0,289,6248,1279,6248,1279,6248,1279,0,289,0,289,7927,1331,7927,1331,7739,1338,188,157,0,289,7787,1386,7621,1401,7232,1390,389,270,166,165,10092,1475
6085,31/12/2006,811512,9332,808164,9154,703135,8824,105029,5750,3348,762,624288,9799,622653,9786,538369,10305,84284,4937,1635,561,80381,6336,80127,6314,68359,5751,11768,2259,254,205,29712,3666,29396,3577,22805,3173,6591,1456,316,350,19104,2014,18878,2021,18443,2001,435,394,226,192,20882,3198,19965,3174,18014,2819,1951,966,917,462,37145,3594
6087,31/12/2006,121481,3521,120956,3539,92704,3674,28252,2501,525,320,86870,3579,86671,3608,61988,3307,24683,2223,199,184,12285,2288,12242,2290,9399,2089,2843,1025,43,70,4158,1150,4158,1150,3609,1068,549,378,0,289,4136,990,3983,976,3915,980,68,115,153,181,5021,1615,4891,1617,4782,1588,109,132,130,151,9011,1535
6089,31/12/2006,72780,3458,72289,3465,69158,3490,3131,775,491,385,58240,3184,57915,3179,55356,3073,2559,680,325,233,8392,1612,8298,1610,7791,1626,507,277,94,154,917,714,917,714,917,714,0,289,0,289,1534,703,1462,699,1462,699,0,289,72,121,977,431,977,431,912,416,65,108,0,289,2720,770
6095,31/12/2006,182476,3297,181928,3313,108667,3870,73261,3661,548,353,137466,4076,137228,4060,83446,3636,53782,3250,238,201,29832,2816,29690,2832,13778,2052,15912,2194,142,170,3763,1055,3698,1037,1094,531,2604,1009,65,108,2229,763,2229,763,1977,727,252,266,0,289,2405,889,2302,874,1591,739,711,486,103,170,6781,1274
6097,31/12/2006,228426,4602,227808,4615,189569,5553,38239,2989,618,347,170104,5174,169950,5146,139568,5098,30382,2772,154,179,28182,3247,27991,3223,22907,3208,5084,1115,191,235,4959,1282,4959,1282,2849,1004,2110,726,0,289,6287,1322,6241,1303,6116,1294,125,148,46,74,4256,1054,4029,1055,3491,1031,538,374,227,235,14638,2002
6099,31/12/2006,206999,4934,206660,4920,160661,5206,45999,3754,339,279,162637,5090,162427,5084,126882,5361,35545,3441,210,175,24728,2608,24728,2608,15363,2150,9365,1842,0,289,2066,779,2066,779,1390,550,676,514,0,289,3621,1079,3492,1070,3396,1076,96,115,129,217,3453,1166,3453,1166,3136,1158,317,249,0,289,10494,1837
6101,31/12/2006,40095,2036,39911,2060,21088,2013,18823,2251,184,164,27796,2288,27612,2297,14179,1790,13433,1999,184,164,7799,1652,7799,1652,2852,1153,4947,1489,0,289,593,519,593,519,196,210,397,347,0,289,610,412,610,412,564,383,46,81,0,289,103,161,103,161,103,161,0,289,0,289,3194,1027
6107,31/12/2006,158972,4774,158854,4796,138331,5026,20523,2326,118,118,116166,4932,116138,4933,101230,4680,14908,1973,28,48,27225,3194,27135,3192,22829,3239,4306,1112,90,107,1794,678,1794,678,1344,546,450,368,0,289,3158,930,3158,930,3158,930,0,289,0,289,4938,1291,4938,1291,4079,1194,859,436,0,289,5691,1056
6111,31/12/2006,383037,5073,381160,4979,297215,5869,83945,4340,1877,668,300590,6280,300035,6274,229590,6526,70445,3851,555,322,47106,4013,46949,4007,35653,3294,11296,2462,157,162,4933,1335,4933,1335,3901,1265,1032,499,0,289,7981,1564,7494,1471,7183,1464,311,260,487,366,5534,1278,4856,1162,3995,962,861,562,678,499,16893,2072
6113,31/12/2006,83628,3112,83337,3121,53885,3378,29452,2812,291,278,61259,3542,61090,3588,36127,3163,24963,2489,169,212,6241,1397,6241,1397,3330,900,2911,1061,0,289,2168,733,2168,733,1505,665,663,287,0,289,3533,1352,3411,1332,3127,1280,284,276,122,163,7348,1459,7348,1459,6717,1415,631,345,0,289,3079,814
6001,31/12/2007,683964,9956,681356,9952,463316,10170,218040,8204,2608,699,459767,10055,458622,10069,319385,9355,139237,6319,1145,554,69960,4998,69744,5011,40509,3542,29235,3220,216,186,73020,4415,72916,4407,29838,3612,43078,3573,104,122,23885,2805,23394,2756,22277,2715,1117,619,491,378,23428,2695,22776,2655,17403,2311,5373,1264,652,348,33904,3733
6007,31/12/2007,90242,3706,89958,3681,80808,3522,9150,1613,284,246,69086,3727,68949,3724,61413,3568,7536,1623,137,165,8269,1543,8269,1543,6911,1373,1358,648,0,292,2063,1116,2063,1116,2018,1110,45,85,0,292,2511,1150,2511,1150,2511,1150,0,292,0,292,4291,1177,4144,1175,3933,1158,211,167,147,178,4022,1142
6013,31/12/2007,473998,7329,472276,7472,288226,9457,184050,6908,1722,756,334917,7479,334246,7537,210915,7730,123331,5771,671,485,54775,5111,54386,5034,30815,4144,23571,2706,389,398,40984,3764,40984,3764,7306,1597,33678,3451,0,292,10281,2221,9913,2142,9352,2134,561,340,368,303,7846,1804,7552,1795,4643,1657,2909,809,294,220,25195,2488
6017,31/12/2007,86418,2969,80601,2865,46976,3092,33625,2864,5817,1438,65289,3409,61149,3213,34159,3196,26990,2464,4140,1306,10552,2069,9755,1969,4231,1148,5524,1913,797,492,1433,760,1270,690,663,594,607,347,163,205,1564,753,1189,683,1070,628,119,201,375,315,1323,642,981,602,596,431,385,348,342,277,6257,1240
6019,31/12/2007,366836,6712,366019,6700,340471,6493,25548,2531,817,455,278616,7577,277957,7603,257665,7005,20292,2342,659,435,48997,4609,48997,4609,44367,4671,4630,1032,0,292,5572,1532,5572,1532,5508,1541,64,108,0,292,7456,1366,7408,1360,7408,1360,0,292,48,80,13578,2763,13468,2773,12906,2767,562,371,110,130,12617,1949
6025,31/12/2007,51947,2934,50876,3055,48155,3092,2721,896,1071,646,39477,2791,38516,2872,37097,2926,1419,540,961,635,7388,1412,7278,1424,6136,1403,1142,640,110,135,557,416,557,416,463,391,94,157,0,292,1996,1021,1996,1021,1996,1021,0,292,0,292,706,439,706,439,640,425,66,120,0,292,1823,696
6029,31/12/2007,299226,6119,297276,6099,276737,6470,20539,2566,1950,824,225762,6615,224587,6519,209717,6710,14870,2091,1175,662,50163,4269,49731,4257,45651,3987,4080,1330,432,399,4176,1765,3972,1764,3034,1080,938,1134,204,282,5764,1291,5764,1291,5543,1248,221,217,0,292,6004,1491,5865,1501,5435,1373,430,440,139,134,7357,1302
6031,31/12/2007,56058,2889,55844,2897,44387,3007,11457,2579,214,340,39760,3239,39760,3239,32288,3309,7472,1742,0,292,8548,2334,8548,2334,6143,1995,2405,1117,0,292,382,295,382,295,382,295,0,292,0,292,3348,1733,3348,1733,2179,1230,1169,1267,0,292,2068,1359,1854,1308,1443,1212,411,510,214,340,1952,1166
6037,31/12/2007,4423707,20832,4405796,21046,4083165,21381,322631,10273,17911,2316,3214879,21594,3206972,21583,2942903,21237,264069,9418,7907,1627,483679,11414,480976,11617,435777,11211,45199,4211,2703,731,318935,12089,317756,11934,311363,11844,6393,1463,1179,520,129208,6841,127274,6939,125178,6812,2096,763,1934,893,87469,5624,83281,5504,78407,5286,4874,1178,4188,1170,189537,9068
6041,31/12/2007,123054,3534,122196,3457,81081,3898,41115,3022,858,438,82944,3650,82578,3618,52904,3607,29674,2765,366,312,9545,1898,9402,1869,4544,1204,4858,1333,143,163,8901,1698,8901,1698,3195,1228,5706,1190,0,292,4650,1327,4589,1339,4386,1297,203,207,61,101,4576,1327,4288,1359,3614,1303,674,376,288,215,12438,1694
6047,31/12/2007,92158,3077,91736,3130,67342,3753,24394,2908,422,332,65871,4170,65730,4182,47667,3965,18063,2472,141,146,13177,2394,12910,2366,7984,1801,4926,1594,267,312,745,526,745,526,745,526,0,292,0,292,4149,1400,4135,1405,3890,1303,245,222,14,25,5342,2023,5342,2023,4182,1742,1160,833,0,292,2874,765
6053,31/12/2007,180687,3855,180583,3829,161869,4747,18714,2696,104,118,123046,5193,122994,5198,110033,4990,12961,2240,52,81,30906,3375,30906,3375,25876,3207,5030,1389,0,292,5063,1587,5063,1587,4687,1553,376,396,0,292,9553,1496,9553,1496,9366,1511,187,170,0,292,4612,1314,4560,1301,4400,1301,160,152,52,86,7507,1398
6055,31/12/2007,63693,2043,63528,2031,47751,2366,15777,1782,165,166,45138,2436,45036,2440,31770,2437,13266,1688,102,120,9254,2023,9191,2028,7077,1997,2114,696,63,111,990,646,990,646,773,673,217,220,0,292,3226,750,3226,750,3125,762,101,116,0,292,1151,606,1151,606,1072,597,79,106,0,292,3934,1056
6059,31/12/2007,1430251,10319,1423640,10266,1199179,11793,224461,7952,6611,1237,1115000,12602,1112212,12440,925869,12866,186343,6920,2788,866,153391,8573,152820,8547,124614,7493,28206,3946,571,433,38000,4091,37651,4097,31831,3636,5820,1466,349,397,25346,3249,25116,3239,24557,3280,559,339,230,217,27885,3862,25212,3897,21679,3653,3533,1118,2673,776,70629,4227
6061,31/12/2007,162136,4470,160114,4552,98728,5381,61386,3997,2022,645,125053,4210,123515,4209,71106,4403,52409,3610,1538,592,18534,3269,18494,3267,11332,2555,7162,1798,40,68,2694,1179,2598,1172,1741,1065,857,477,96,160,2468,807,2366,774,2138,741,228,195,102,124,2477,976,2231,996,1501,863,730,445,246,243,10910,1612
6065,31/12/2007,872667,10080,868325,9919,622052,12673,246273,9359,4342,1013,665488,12269,662844,12147,471407,12644,191437,8612,2644,901,128344,7430,127832,7384,80384,5440,47448,4819,512,289,10992,2085,10906,2116,7153,1943,3753,905,86,93,10896,1931,10661,1910,10160,1871,501,352,235,187,12523,2084,11658,2019,8524,1530,3134,1109,865,489,44424,4341
6067,31/12/2007,620447,6943,617788,6845,507432,7782,110356,5421,2659,923,468550,7922,466631,7879,375823,7601,90808,4800,1919,874,85292,5984,84936,5971,68328,5295,16608,2940,356,273,16199,2067,16137,2047,14684,1867,1453,693,62,102,13040,1652,12847,1615,12384,1650,463,253,193,216,12530,1670,12401,1664,11377,1659,1024,454,129,120,24836,2616
6071,31/12/2007,844716,11296,838209,11293,592282,11898,245927,10595,6507,2934,644311,12193,641052,12008,443136,10183,197916,8423,3259,1056,121524,7134,119071,6581,79162,5613,39909,4722,2453,2531,12292,2229,12243,2236,7372,1927,4871,969,49,81,18963,2439,18919,2453,18405,2381,514,402,44,81,13286,2788,12584,2732,9867,2497,2717,1019,702,416,34340,3176
6073,31/12/2007,1396627,11623,1386182,11521,1339183,11633,46999,4175,10445,1931,1046345,12349,1040389,12377,1002311,12020,38078,3769,5956,1273,150212,7816,148957,7726,143562,7672,5395,1349,1255,753,50429,4454,50103,4436,48282,4257,1821,682,326,244,40122,3514,39061,3389,38478,3378,583,291,1061,628,22894,2998,21047,2874,19925,2766,1122,685,1847,653,86625,4511
6075,31/12/2007,416568,6558,415075,6534,311692,7476,103383,5012,1493,634,161142,5825,160692,5794,91302,5339,69390,3963,450,318,29389,3281,29334,3288,18325,2983,11009,2035,55,92,137268,6606,136858,6601,117138,6431,19720,2596,410,334,40241,3611,40121,3608,39031,3462,1090,608,120,195,20266,3034,19808,2988,17634,3007,2174,979,458,319,28262,3337
6077,31/12/2007,266484,5145,265504,5110,199159,5928,66345,4789,980,680,195876,6200,195493,6114,147714,5571,47779,4089,383,324,49455,4811,48908,4757,33088,3906,15820,2929,547,589,3189,1205,3189,1205,1267,665,1922,895,0,292,5411,1018,5411,1018,5207,974,204,332,0,292,3522,900,3472,884,2852,829,620,384,50,81,9031,1662
6079,31/12/2007,117972,3264,117693,3342,107373,3385,10320,1667,279,220,84280,3965,84157,3949,75445,3981,8712,1518,123,146,14253,2425,14253,2425,12945,2368,1308,832,0,292,1025,568,1025,568,1025,568,0,292,0,292,6657,1599,6568,1601,6305,1552,263,307,89,146,3780,1125,3713,1091,3676,1064,37,62,67,112,7977,1533
6081,31/12/2007,353222,5159,351574,5144,201592,6259,149982,5800,1648,799,247994,5846,246847,5942,145631,5881,101216,3909,1147,712,34349,3229,34349,3229,16792,2358,17557,2357,0,292,36261,3261,36214,3266,10255,2211,25959,2689,47,77,9849,2205,9557,2196,8560,2126,997,1016,292,287,8662,2958,8500,2951,4247,1175,4253,2668,162,159,16107,1992
6083,31/12/2007,183274,3783,182747,3684,170376,3471,12371,2111,527,388,122188,3763,121984,3782,112800,3603,9184,1607,204,199,25469,2954,25265,2936,23103,2849,2162,839,204,270,8184,1800,8184,1800,7988,1805,196,203,0,292,7187,1609,7118,1612,6921,1637,197,219,69,116,8350,1565,8300,1563,7668,1592,632,645,50,84,11896,1654
6085,31/12/2007,833114,9004,829527,8947,721767,9137,107760,6083,3587,998,645921,9739,644309,9733,557373,9369,86936,5312,1612,593,80660,5521,80363,5572,68600,5037,11763,2229,297,264,28368,3649,28166,3621,21612,3050,6554,1645,202,201,19292,2542,18544,2513,17575,2441,969,503,748,620,25305,3577,24577,3582,23039,3492,1538,614,728,408,33568,3034
6087,31/12/2007,123935,3137,123782,3142,93293,3796,30489,3295,153,159,85336,3678,85300,3677,62792,3239,22508,2325,36,59,16120,2613,16120,2613,9606,1593,6514,2229,0,292,5272,1708,5272,1708,4261,1510,1011,742,0,292,5025,1437,4959,1434,4882,1424,77,125,66,119,4137,958,4086,965,3707,922,379,267,51,84,8045,1352
6089,31/12/2007,76610,3126,75942,3236,71789,3294,4153,1078,668,687,60044,3318,59575,3373,56453,3495,3122,932,469,649,10065,2109,10065,2109,9316,2148,749,491,0,292,310,263,248,246,248,246,0,292,62,99,1229,729,1229,729,1229,729,0,292,0,292,1743,736,1606,712,1324,704,282,242,137,218,3219,947
6095,31/12/2007,182130,4307,181370,4297,108433,4765,72937,3927,760,512,139156,4586,138592,4556,85868,4082,52724,3286,564,446,26230,2640,26166,2644,11098,2042,15068,2210,64,108,5523,1215,5523,1215,1259,568,4264,1135,0,292,2920,1126,2843,1107,2539,1090,304,273,77,129,2833,928,2778,919,2201,895,577,292,55,93,5468,1239
