GeoID,Date,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Median household income for units with a mortgage,Margin of Error; Total: - Median household income for units with a mortgage,Estimate; Total: - Median household for units without a mortgage,Margin of Error; Total: - Median household for units without a mortgage
6087,31/12/2007,81888,4443,95010,6417,54156,4554
6089,31/12/2007,53687,5010,62443,4178,35008,4743
6095,31/12/2007,84374,3065,92043,2740,49861,3929
6097,31/12/2007,78768,2547,89610,3374,47528,3755
6099,31/12/2007,65061,2662,72618,3268,33721,3227
6101,31/12/2007,65899,7618,73781,6725,34346,6224
6107,31/12/2007,50790,2988,59514,4244,36242,4224
6111,31/12/2007,87583,2668,96658,2879,48878,3656
6113,31/12/2007,85029,6298,100313,5836,48401,7222
6115,31/12/2007,66665,7669,72236,6505,38860,9829
6001,31/12/2008,98064,2474,107661,2287,57739,3367
6007,31/12/2008,52461,3832,68197,5136,35165,2883
6013,31/12/2008,98909,2594,106325,2314,59926,4007
6017,31/12/2008,80286,5645,92761,7376,53997,5417
6019,31/12/2008,66321,2265,73609,2884,42409,3421
6023,31/12/2008,55801,3460,63960,4546,31388,7002
6025,31/12/2008,54509,7059,66650,8414,31351,7348
6029,31/12/2008,59006,3315,67006,3039,36986,3660
6031,31/12/2008,62141,4585,70459,7298,37632,5661
6033,31/12/2008,50956,5776,58740,6478,36704,7382
6037,31/12/2008,81778,982,90248,1139,51229,1176
6039,31/12/2008,65232,8345,72075,6581,46735,6991
6041,31/12/2008,117257,5875,129928,6536,75127,9762
6045,31/12/2008,59707,3534,71362,12267,43006,9480
6047,31/12/2008,61879,4816,67974,4615,45158,5979
6053,31/12/2008,76374,4438,84216,3747,55881,5713
6055,31/12/2008,86029,5943,104213,4791,48339,8014
6057,31/12/2008,64639,5340,80295,10577,47780,4923
6059,31/12/2008,96518,1732,106206,1692,54772,3671
6061,31/12/2008,89335,3460,101732,2822,47058,4562
6065,31/12/2008,70653,1293,80527,1610,39303,1973
6067,31/12/2008,75328,2176,83414,2062,46858,2454
6071,31/12/2008,69630,1861,76679,1941,40562,1798
6073,31/12/2008,86196,1537,96137,1627,50225,2074
6075,31/12/2008,109172,4661,125824,7643,59976,5748
6077,31/12/2008,73810,2986,82912,3168,45845,4189
6079,31/12/2008,74201,4428,86939,4503,47595,5934
6081,31/12/2008,107167,3739,121292,5556,65023,4602
6083,31/12/2008,81405,3927,92431,4810,48613,4702
6085,31/12/2008,111879,2254,123884,3074,71746,4440
6087,31/12/2008,91260,4870,103002,4637,51125,6935
6089,31/12/2008,54221,4896,63711,4301,35613,4617
6095,31/12/2008,85433,3938,96114,4726,48341,4256
6097,31/12/2008,80224,3615,94781,4251,40585,2311
6099,31/12/2008,65892,2997,72751,3284,41800,3169
6101,31/12/2008,63879,5467,70158,4218,35462,8605
6107,31/12/2008,59669,3735,65683,3262,42014,6872
6111,31/12/2008,96512,3396,104943,2282,53969,3465
6113,31/12/2008,84996,9230,97881,8320,53167,8894
6115,31/12/2008,63446,9454,77516,9780,31529,10671
6001,31/12/2009,98014,2269,109180,2060,55843,3764
6007,31/12/2009,53151,3317,63105,3380,35077,4030
6013,31/12/2009,95146,3402,104950,3002,55359,3641
6017,31/12/2009,82837,5677,97510,6459,55184,11354
6019,31/12/2009,63508,2201,70165,3196,42865,4258
6023,31/12/2009,51316,3892,62159,7104,38264,4318
6025,31/12/2009,55129,7519,70182,9827,28681,3950
6029,31/12/2009,61040,1630,67216,3450,40062,3416
6031,31/12/2009,54773,3226,57121,4210,44308,10158
6033,31/12/2009,55375,5088,74870,8580,26613,4219
